energy_ev,total_up,Bi_p_up,Bi_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,15.45582081,1.35911520,0.09156865,3.50804239,8.73504135,0.23835184,5.49101075
-5.99399700,15.31989397,1.31712445,0.09241846,3.43493306,8.66731506,0.24126545,5.44214567
-5.98799400,15.15370553,1.27298368,0.09303984,3.35385543,8.58349347,0.24363849,5.38242609
-5.98199100,14.95917244,1.22719894,0.09342697,3.26579686,8.48458319,0.24545569,5.31251562
-5.97598799,14.73841918,1.18026468,0.09357529,3.17180198,8.37167994,0.24670919,5.23318018
-5.96998499,14.49369034,1.13265183,0.09348154,3.07294003,8.24592263,0.24739776,5.14525284
-5.96398199,14.22728021,1.08479856,0.09314368,2.97027638,8.10845773,0.24752600,5.04960446
-5.95797899,13.94148239,1.03710396,0.09256108,2.86484910,7.96041562,0.24710365,4.94712117
-5.95197599,13.63856011,0.98992441,0.09173465,2.75765108,7.80289904,0.24614502,4.83868943
-5.94597299,13.32073631,0.94357248,0.09066714,2.64961773,7.63698306,0.24466854,4.72518829
-5.93996998,12.99020075,0.89831796,0.08936344,2.54161991,7.46372468,0.24269659,4.60748815
-5.93396698,12.64912974,0.85439050,0.08783086,2.43446143,7.28417950,0.24025533,4.48645452
-5.92796398,12.29971357,0.81198328,0.08607944,2.32888009,7.09942222,0.23737474,4.36295502
-5.92196098,11.94418570,0.77125727,0.08412224,2.22555129,6.91056764,0.23408869,4.23786761
-5.91595798,11.58484817,0.73234545,0.08197540,2.12509302,6.71878842,0.23043493,4.11208791
-5.90995498,11.22408790,0.69535662,0.07965827,2.02807107,6.52532682,0.22645510,3.98653376
-5.90395198,10.86437980,0.66037852,0.07719324,1.93500354,6.33149760,0.22219448,3.86214538
-5.89794897,10.50827367,0.62747990,0.07460553,1.84636400,6.13868053,0.21770158,3.73988010
-5.89194597,10.15836381,0.59671163,0.07192273,1.76258258,5.94830168,0.21302755,3.62070104
-5.88594297,9.81724147,0.56810678,0.06917428,1.68404489,5.76180392,0.20822521,3.50555984
-5.87993997,9.48743243,0.54167987,0.06639078,1.61108892,5.58060774,0.20334798,3.39537408
-5.87393697,9.17132319,0.51742558,0.06360322,1.54400000,5.40606486,0.19844859,3.29100073
-5.86793397,8.87108051,0.49531706,0.06084209,1.48300466,5.23940736,0.19357761,3.19320722
-5.86193097,8.58856986,0.47530437,0.05813658,1.42826375,5.08169601,0.18878205,3.10264219
-5.85592796,8.32527879,0.45731332,0.05551370,1.37986601,4.93377140,0.18410392,3.01980811
-5.84992496,8.08225104,0.44124489,0.05299756,1.33782251,4.79621153,0.17957902,2.94503784
-5.84392196,7.86003673,0.42697560,0.05060865,1.30206301,4.66929929,0.17523600,2.87847721
-5.83791896,7.65866289,0.41435904,0.04836337,1.27243476,4.55300235,0.17109567,2.82007517
-5.83191596,7.47762761,0.40322842,0.04627367,1.24870419,4.44696776,0.16717082,2.76958271
-5.82591296,7.31591922,0.39340035,0.04434689,1.23056187,4.35053198,0.16346646,2.72656122
-5.81990995,7.17206060,0.38467957,0.04258576,1.21763066,4.26274662,0.15998052,2.69040022
-5.81390695,7.04417703,0.37686454,0.04098864,1.20947699,4.18241883,0.15670499,2.66034402
-5.80790395,6.93008449,0.36975359,0.03954991,1.20562480,4.10816459,0.15362753,2.63552613
-5.80190095,6.82739416,0.36315129,0.03826044,1.20557162,4.03847215,0.15073330,2.61500977
-5.79589795,6.73362783,0.35687480,0.03710830,1.20880606,3.97177256,0.14800720,2.59783272
-5.78989495,6.64633846,0.35075978,0.03607943,1.21482598,3.90651354,0.14543610,2.58305399
-5.78389195,6.56322974,0.34466568,0.03515847,1.22315641,3.84123300,0.14301117,2.56980030
-5.77788894,6.48226884,0.33847999,0.03432948,1.23336656,3.77462854,0.14073009,2.55730986
-5.77188594,6.40178682,0.33212139,0.03357670,1.24508498,3.70561953,0.13859902,2.54497145
-5.76588294,6.32056214,0.32554168,0.03288528,1.25801243,3.63339890,0.13663427,2.53235686
-5.75987994,6.23788354,0.31872629,0.03224183,1.27193181,3.55747226,0.13486356,2.51924530
-5.75387694,6.15358970,0.31169349,0.03163492,1.28671479,3.47768294,0.13332672,2.50563851
-5.74787394,6.06808448,0.30449246,0.03105549,1.30232500,3.39422196,0.13207593,2.49176622
-5.74187094,5.98232742,0.29720011,0.03049701,1.31881766,3.30762302,0.13117532,2.47808155
-5.73586793,5.89780057,0.28991707,0.02995567,1.33633583,3.21874300,0.13070004,2.46524682
-5.72986493,5.81645352,0.28276298,0.02943029,1.35510333,3.12872948,0.13073473,2.45411032
-5.72386193,5.74062948,0.27587120,0.02892221,1.37541484,3.03897674,0.13137151,2.44567521
-5.71785893,5.67297557,0.26938334,0.02843503,1.39762352,2.95107277,0.13270745,2.44106176
-5.71185593,5.61634145,0.26344364,0.02797429,1.42212656,2.86673937,0.13484174,2.44146449
-5.70585293,5.57366991,0.25819357,0.02754707,1.44934919,2.78776821,0.13787242,2.44810591
-5.69984992,5.54788381,0.25376663,0.02716154,1.47972772,2.71595508,0.14189305,2.46218846
-5.69384692,5.54177313,0.25028366,0.02682645,1.51369200,2.65303493,0.14698912,2.48484648
-5.68784392,5.55788584,0.24784865,0.02655069,1.55164793,2.60061996,0.15323457,2.51709973
-5.68184092,5.59842604,0.24654514,0.02634279,1.59396027,2.56014242,0.16068836,2.55981005
-5.67583792,5.66516219,0.24643333,0.02621042,1.64093642,2.53280416,0.16939122,2.61364247
-5.66983492,5.75934794,0.24754788,0.02616005,1.69281130,2.51953381,0.17936275,2.67903192
-5.66383192,5.88165765,0.24989640,0.02619650,1.74973383,2.52095288,0.19059889,2.75615657
-5.65782891,6.03213794,0.25345866,0.02632267,1.81175516,2.53735113,0.20306990,2.84491835
-5.65182591,6.21017631,0.25818658,0.02653929,1.87881897,2.56867174,0.21671891,2.94493125
-5.64582291,6.41448751,0.26400479,0.02684473,1.95075393,2.61450607,0.23146103,3.05551756
-5.63981991,6.64311754,0.27081193,0.02723492,2.02726851,2.67409798,0.24718324,3.17571207
-5.63381691,6.89346508,0.27848260,0.02770331,2.10794819,2.74635715,0.26374497,3.30427390
-5.62781391,7.16231951,0.28686982,0.02824097,2.19225510,2.82988076,0.28097935,3.43970562
-5.62181091,7.44591452,0.29580808,0.02883668,2.27953015,2.92298285,0.29869530,3.58027897
-5.61580790,7.73999582,0.30511683,0.02947715,2.36899765,3.02373030,0.31668025,3.72406641
-5.60980490,8.03990122,0.31460432,0.03014731,2.45977229,3.12998458,0.33470355,3.86897755
-5.60380190,8.34065123,0.32407175,0.03083061,2.55086857,3.23944809,0.35252056,4.01279958
-5.59779890,8.63704795,0.33331764,0.03150942,2.64121261,3.34971404,0.36987715,4.15324056
-5.59179590,8.92378005,0.34214214,0.03216545,2.72965616,3.45831858,0.38651471,4.28797458
-5.58579290,9.19553137,0.35035149,0.03278020,2.81499296,3.56279416,0.40217547,4.41468773
-5.57978989,9.44709084,0.35776211,0.03333541,2.89597721,3.66072278,0.41660794,4.53112395
-5.57378689,9.67346123,0.36420463,0.03381352,2.97134403,3.74978806,0.42957246,4.63512971
-5.56778389,9.86996427,0.36952743,0.03419813,3.03983181,3.82782488,0.44084659,4.72469682
-5.56178089,10.03234007,0.37359981,0.03447442,3.10020624,3.89286558,0.45023021,4.79800244
-5.55577789,10.15683830,0.37631466,0.03462954,3.15128549,3.94318162,0.45755030,4.85344564
-5.54977489,10.24029947,0.37759054,0.03465294,3.19196638,3.97731978,0.46266509,4.88967990
-5.54377189,10.28022400,0.37737331,0.03453666,3.22125074,3.99413201,0.46546749,4.90564080
-5.53776888,10.27482786,0.37563702,0.03427550,3.23827152,3.99279834,0.46588781,4.90056862
