energy_ev,total_up,B_p_up,B_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,5.94624608,0.73536458,0.00000000,1.50469218,3.13518013,0.14859504,1.86257139
-5.99399700,5.94875779,0.73375258,0.00000000,1.50480444,3.14594740,0.14779228,1.86308493
-5.98799400,5.95145162,0.73179003,0.00000000,1.50381140,3.15813016,0.14679024,1.86366536
-5.98199100,5.95409633,0.72945022,0.00000000,1.50166772,3.17154702,0.14559479,1.86424923
-5.97598799,5.95637591,0.72671062,0.00000000,1.49833638,3.18595578,0.14421411,1.86473285
-5.96998499,5.95789237,0.72355051,0.00000000,1.49379111,3.20105289,0.14265874,1.86497606
-5.96398199,5.95817527,0.71994916,0.00000000,1.48801971,3.21647701,0.14094152,1.86480849
-5.95797899,5.95669818,0.71588463,0.00000000,1.48102805,3.23181688,0.13907756,1.86403823
-5.95197599,5.95290135,0.71133333,0.00000000,1.47284450,3.24662328,0.13708428,1.86246247
-5.94597299,5.94621960,0.70627033,0.00000000,1.46352467,3.26042454,0.13498132,1.85987971
-5.93996998,5.93611421,0.70067048,0.00000000,1.45315595,3.27274514,0.13279058,1.85610299
-5.93396698,5.92210729,0.69451014,0.00000000,1.44186167,3.28312633,0.13053611,1.85097338
-5.92796398,5.90381658,0.68776954,0.00000000,1.42980447,3.29114797,0.12824402,1.84437316
-5.92196098,5.88098907,0.68043547,0.00000000,1.41718852,3.29645048,0.12594237,1.83623786
-5.91595798,5.85353148,0.67250421,0.00000000,1.40426036,3.29875567,0.12366090,1.82656662
-5.90995498,5.82153567,0.66398440,0.00000000,1.39130811,3.29788561,0.12143074,1.81543012
-5.90395198,5.78529777,0.65489971,0.00000000,1.37865882,3.29377832,0.11928407,1.80297567
-5.89794897,5.74532936,0.64529102,0.00000000,1.36667404,3.28649962,0.11725363,1.78942907
-5.89194597,5.70236022,0.63521806,0.00000000,1.35574341,3.27625036,0.11537218,1.77509298
-5.88594297,5.65733189,0.62476020,0.00000000,1.34627667,3.26336858,0.11367194,1.76034185
-5.87993997,5.61138211,0.61401648,0.00000000,1.33869402,3.24832651,0.11218396,1.74561337
-5.87393697,5.56582066,0.60310469,0.00000000,1.33341537,3.23172220,0.11093743,1.73139690
-5.86793397,5.52209713,0.59215962,0.00000000,1.33084878,3.21426636,0.10995905,1.71821911
-5.86193097,5.48176219,0.58133048,0.00000000,1.33137844,3.19676453,0.10927243,1.70662762
-5.85592796,5.44642351,0.57077766,0.00000000,1.33535286,3.18009558,0.10889743,1.69717309
-5.84992496,5.41769818,0.56066894,0.00000000,1.34307357,3.16518711,0.10884975,1.69039060
-5.84392196,5.39716352,0.55117540,0.00000000,1.35478492,3.15298880,0.10914044,1.68678101
-5.83791896,5.38630804,0.54246708,0.00000000,1.37066538,3.14444468,0.10977558,1.68679313
-5.83191596,5.38648439,0.53470879,0.00000000,1.39082070,3.14046527,0.11075609,1.69080729
-5.82591296,5.39886608,0.52805608,0.00000000,1.41527923,3.14190048,0.11207760,1.69912103
-5.81990995,5.42440930,0.52265159,0.00000000,1.44398962,3.14951440,0.11373047,1.71193740
-5.81390695,5.46382124,0.51862196,0.00000000,1.47682096,3.16396238,0.11569982,1.72935622
-5.80790395,5.51753566,0.51607526,0.00000000,1.51356532,3.18577145,0.11796581,1.75136876
-5.80190095,5.58569649,0.51509916,0.00000000,1.55394265,3.21532422,0.12050385,1.77785571
-5.79589795,5.66814958,0.51575962,0.00000000,1.59760771,3.25284687,0.12328491,1.80858866
-5.78989495,5.76444277,0.51810029,0.00000000,1.64415873,3.29840139,0.12627600,1.84323487
-5.78389195,5.87383387,0.52214242,0.00000000,1.69314749,3.35188197,0.12944055,1.88136499
-5.77788894,5.99530603,0.52788517,0.00000000,1.74409035,3.41301573,0.13273894,1.92246359
-5.77188594,6.12758982,0.53530635,0.00000000,1.79647967,3.48136747,0.13612900,1.96594185
-5.76588294,6.26919115,0.54436333,0.00000000,1.84979545,3.55634823,0.13956668,2.01115211
-5.75987994,6.41842394,0.55499411,0.00000000,1.90351640,3.63722724,0.14300658,2.05740362
-5.75387694,6.57344661,0.56711845,0.00000000,1.95713041,3.72314706,0.14640271,2.10397916
-5.74787394,6.73230133,0.58063896,0.00000000,2.01014387,3.81314127,0.14970914,2.15015174
-5.74187094,6.89295481,0.59544214,0.00000000,2.06208977,3.90615431,0.15288082,2.19520127
-5.73586793,7.05333985,0.61139937,0.00000000,2.11253434,4.00106311,0.15587432,2.23843048
-5.72986493,7.21139656,0.62836781,0.00000000,2.16108220,4.09669978,0.15864868,2.27917977
-5.72386193,7.36511238,0.64619134,0.00000000,2.20738009,4.19187509,0.16116623,2.31684086
-5.71785893,7.51256025,0.66470153,0.00000000,2.25111922,4.28540212,0.16339340,2.35086874
-5.71185593,7.65193406,0.68371873,0.00000000,2.29203649,4.37611964,0.16530145,2.38079193
-5.70585293,7.78158103,0.70305340,0.00000000,2.32991465,4.46291482,0.16686726,2.40622076
