energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.73171644,0.12543865,0.04500438,0.83485982,0.16661664,0.93316171,0.00000000,0.56509203,0.38830007
-5.99399700,1.70328259,0.12464882,0.04119556,0.81234580,0.16234940,0.92175845,0.00000000,0.55795952,0.39286229
-5.98799400,1.66926289,0.12327850,0.03753800,0.78823219,0.15762026,0.90702629,0.00000000,0.54834985,0.39557100
-5.98199100,1.62988888,0.12134903,0.03405459,0.76267586,0.15246478,0.88906733,0.00000000,0.53639390,0.39634320
-5.97598799,1.58544992,0.11888857,0.03076288,0.73583039,0.14692335,0.86802075,0.00000000,0.52225149,0.39512720
-5.96998499,1.53629143,0.11593138,0.02767535,0.70784718,0.14104072,0.84406181,0.00000000,0.50610800,0.39190472
-5.96398199,1.48281206,0.11251713,0.02479981,0.67887699,0.13486540,0.81740020,0.00000000,0.48817051,0.38669218
-5.95797899,1.42545966,0.10869015,0.02213983,0.64907162,0.12844894,0.78827764,0.00000000,0.46866378,0.37954080
-5.95197599,1.36472628,0.10449859,0.01969529,0.61858560,0.12184515,0.75696492,0.00000000,0.44782604,0.37053584
-5.94597299,1.30114220,0.09999357,0.01746300,0.58757767,0.11510928,0.72375831,0.00000000,0.42590468,0.35979474
-5.93996998,1.23526913,0.09522840,0.01543727,0.55621204,0.10829721,0.68897550,0.00000000,0.40315213,0.34746443
-5.93396698,1.16769278,0.09025772,0.01361050,0.52465908,0.10146462,0.65295108,0.00000000,0.37982185,0.33371780
-5.92796398,1.09901503,0.08513664,0.01197379,0.49309563,0.09466625,0.61603178,0.00000000,0.35616456,0.31874960
-5.92196098,1.02984579,0.07992004,0.01051744,0.46170467,0.08795525,0.57857152,0.00000000,0.33242484,0.30277177
-5.91595798,0.96079493,0.07466175,0.00923149,0.43067456,0.08138249,0.54092641,0.00000000,0.30883818,0.28600857
-5.90995498,0.89246446,0.06941386,0.00810615,0.40019774,0.07499615,0.50344990,0.00000000,0.28562840,0.26869154
-5.90395198,0.82544112,0.06422614,0.00713221,0.37046904,0.06884132,0.46648808,0.00000000,0.26300561,0.25105458
-5.89794897,0.76028970,0.05914544,0.00630135,0.34168373,0.06295967,0.43037549,0.00000000,0.24116464,0.23332924
-5.89194597,0.69754713,0.05421519,0.00560642,0.31403540,0.05738937,0.39543125,0.00000000,0.22028405,0.21574043
-5.88594297,0.63771769,0.04947509,0.00504170,0.28771378,0.05216497,0.36195593,0.00000000,0.20052550,0.19850263
-5.87993997,0.58126911,0.04496072,0.00460301,0.26290264,0.04731747,0.33022890,0.00000000,0.18203371,0.18181671
-5.87393697,0.52862985,0.04070343,0.00428787,0.23977786,0.04287441,0.30050641,0.00000000,0.16493670,0.16586737
-5.86793397,0.48018740,0.03673018,0.00409551,0.21850573,0.03886006,0.27302033,0.00000000,0.14934643,0.15082133
-5.86193097,0.43628747,0.03306355,0.00402692,0.19924153,0.03529558,0.24797742,0.00000000,0.13535966,0.13682605
-5.85592796,0.39723390,0.02972179,0.00408476,0.18212839,0.03219927,0.22555914,0.00000000,0.12305894,0.12400915
-5.84992496,0.36328913,0.02671897,0.00427325,0.16729638,0.02958673,0.20592181,0.00000000,0.11251368,0.11247833
-5.84392196,0.33467496,0.02406513,0.00459805,0.15486177,0.02747099,0.18919708,0.00000000,0.10378116,0.10232161
-5.83791896,0.31157319,0.02176653,0.00506599,0.14492646,0.02586265,0.17549238,0.00000000,0.09690733,0.09360801
-5.83191596,0.29412604,0.01982584,0.00568480,0.13757736,0.02476978,0.16489139,0.00000000,0.09192745,0.08638835
-5.82591296,0.28243608,0.01824240,0.00646280,0.13288570,0.02419788,0.15745423,0.00000000,0.08886631,0.08069604
-5.81990995,0.27656526,0.01701239,0.00740849,0.13090616,0.02414963,0.15321733,0.00000000,0.08773814,0.07654799
-5.81390695,0.27653325,0.01612901,0.00853012,0.13167577,0.02462453,0.15219284,0.00000000,0.08854603,0.07394523
-5.80790395,0.28231478,0.01558263,0.00983525,0.13521254,0.02561848,0.15436762,0.00000000,0.09128107,0.07287343
-5.80190095,0.29383613,0.01536085,0.01133021,0.14151378,0.02712325,0.15970170,0.00000000,0.09592096,0.07330318
-5.79589795,0.31097094,0.01544855,0.01301966,0.15055423,0.02912591,0.16812638,0.00000000,0.10242847,0.07519006
-5.78989495,0.33353567,0.01582790,0.01490603,0.16228395,0.03160817,0.17954213,0.00000000,0.11074960,0.07847448
-5.78389195,0.36128493,0.01647837,0.01698912,0.17662628,0.03454584,0.19381627,0.00000000,0.12081174,0.08308145
-5.77788894,0.39390724,0.01737665,0.01926566,0.19347587,0.03790829,0.21078098,0.00000000,0.13252189,0.08892028
