energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,S_s_up,S_p_up
-6.00000000,1.81005289,0.12356149,0.02386341,0.40644197,0.96392923,0.06926660,0.11750203,0.31099863
-5.99399700,1.60348463,0.10909707,0.02124949,0.36209852,0.85194659,0.06252072,0.10365436,0.27696484
-5.98799400,1.41231748,0.09576191,0.01884592,0.32094148,0.74850501,0.05611170,0.09089152,0.24528712
-5.98199100,1.23690142,0.08356718,0.01666199,0.28311795,0.65372015,0.05008283,0.07922642,0.21607372
-5.97598799,1.07731839,0.07250551,0.01470452,0.24872289,0.56756053,0.04446933,0.06865314,0.18938923
-5.96998499,0.93341514,0.06255351,0.01297841,0.21780591,0.48986591,0.03929848,0.05914945,0.16525927
-5.96398199,0.80483914,0.05367447,0.01148719,0.19037885,0.42036701,0.03459002,0.05067946,0.14367587
-5.95797899,0.69107639,0.04582114,0.01023359,0.16642407,0.35870603,0.03035684,0.04319636,0.12460341
-5.95197599,0.59148939,0.03893847,0.00922011,0.14590279,0.30445708,0.02660572,0.03664509,0.10798480
-5.94597299,0.50535423,0.03296630,0.00844957,0.12876338,0.25714602,0.02333835,0.03096490,0.09374759
-5.93996998,0.43189546,0.02784179,0.00792553,0.11494910,0.21626901,0.02055231,0.02609170,0.08180985
-5.93396698,0.37031785,0.02350175,0.00765268,0.10440507,0.18130951,0.01824211,0.02196017,0.07208557
-5.92796398,0.31983427,0.01988463,0.00763711,0.09708406,0.15175331,0.01640017,0.01850555,0.06448942
-5.92196098,0.27968904,0.01693227,0.00788639,0.09295101,0.12710143,0.01501765,0.01566514,0.05894059
-5.91595798,0.24917653,0.01459133,0.00840961,0.09198592,0.10688071,0.01408522,0.01337942,0.05536584
-5.90995498,0.22765462,0.01281449,0.00921711,0.09418514,0.09065214,0.01359356,0.01159293,0.05370137
-5.90395198,0.21455321,0.01156123,0.01032018,0.09956080,0.07801700,0.01353367,0.01025475,0.05389373
-5.89794897,0.20937772,0.01079845,0.01173049,0.10813848,0.06862087,0.01389699,0.00931875,0.05589965
-5.89194597,0.21170815,0.01050074,0.01345942,0.11995316,0.06215564,0.01467522,0.00874354,0.05968480
-5.88594297,0.22119378,0.01065043,0.01551718,0.13504347,0.05835988,0.01586000,0.00849225,0.06522163
-5.87993997,0.23754427,0.01123732,0.01791186,0.15344463,0.05701751,0.01744236,0.00853211,0.07248646
-5.87393697,0.26051770,0.01225829,0.02064840,0.17518014,0.05795527,0.01941199,0.00883385,0.08145572
-5.86793397,0.28990604,0.01371658,0.02372741,0.20025268,0.06103892,0.02175644,0.00937109,0.09210185
-5.86193097,0.32551902,0.01562093,0.02714413,0.22863461,0.06616858,0.02446029,0.01011960,0.10438882
-5.85592796,0.36716694,0.01798447,0.03088734,0.26025848,0.07327327,0.02750422,0.01105658,0.11826761
-5.84992496,0.41464328,0.02082348,0.03493844,0.29500801,0.08230486,0.03086428,0.01215998,0.13367186
-5.84392196,0.46770776,0.02415594,0.03927072,0.33271011,0.09323159,0.03451122,0.01340790,0.15051391
-5.83791896,0.52607075,0.02799990,0.04384882,0.37312836,0.10603132,0.03841002,0.01477800,0.16868150
-5.83191596,0.58937953,0.03237185,0.04862855,0.41595847,0.12068463,0.04251971,0.01624713,0.18803537
-5.82591296,0.65720717,0.03728482,0.05355698,0.46082602,0.13716802,0.04679348,0.01779108,0.20840783
-5.81990995,0.72904446,0.04274658,0.05857298,0.50728691,0.15544719,0.05117908,0.01938442,0.22960262
-5.81390695,0.80429543,0.04875775,0.06360805,0.55483064,0.17547081,0.05561967,0.02100061,0.25139602
-5.80790395,0.88227670,0.05531004,0.06858767,0.60288658,0.19716472,0.06005487,0.02261215,0.27353932
-5.80190095,0.96222078,0.06238454,0.07343288,0.65083308,0.22042690,0.06442227,0.02419099,0.29576265
-5.79589795,1.04328351,0.06995031,0.07806222,0.69800936,0.24512336,0.06865913,0.02570899,0.31778004
-5.78989495,1.12455531,0.07796316,0.08239397,0.74372971,0.27108512,0.07270435,0.02713854,0.33929553
-5.78389195,1.20507599,0.08636490,0.08634852,0.78729959,0.29810642,0.07650051,0.02845323,0.36001021
-5.77788894,1.28385283,0.09508290,0.08985078,0.82803309,0.32594441,0.07999604,0.02962855,0.37962994
-5.77188594,1.35988111,0.10403027,0.09283263,0.86527097,0.35432035,0.08314723,0.03064266,0.39787327
-5.76588294,1.43216662,0.11310656,0.09523518,0.89839874,0.38292245,0.08592016,0.03147703,0.41447950
-5.75987994,1.49974931,0.12219897,0.09701085,0.92686381,0.41141028,0.08829232,0.03211707,0.42921633
-5.75387694,1.56172718,0.13118427,0.09812498,0.95019129,0.43942087,0.09025383,0.03255265,0.44188694
-5.74787394,1.61727980,0.13993118,0.09855717,0.96799753,0.46657619,0.09180832,0.03277845,0.45233602
-5.74187094,1.66569037,0.14830337,0.09830206,0.98000101,0.49249199,0.09297321,0.03279418,0.46045480
-5.73586793,1.70636581,0.15616275,0.09736955,0.98603018,0.51678757,0.09377953,0.03260462,0.46618450
-5.72986493,1.73885402,0.16337324,0.09578458,0.98602781,0.53909634,0.09427119,0.03221950,0.46951849
-5.72386193,1.76285789,0.16980464,0.09358633,0.98005191,0.55907663,0.09450369,0.03165319,0.47050273
-5.71785893,1.77824547,0.17533653,0.09082698,0.96827322,0.57642240,0.09454247,0.03092424,0.46923480
-5.71185593,1.78505617,0.17986210,0.08756998,0.95096932,0.59087343,0.09446085,0.03005484,0.46586147
-5.70585293,1.78350277,0.18329166,0.08388817,0.92851598,0.60222450,0.09433767,0.02907009,0.46057500
-5.69984992,1.77396925,0.18555566,0.07986145,0.90137591,0.61033320,0.09425482,0.02799734,0.45360844
-5.69384692,1.75700472,0.18660719,0.07557454,0.87008557,0.61512603,0.09429479,0.02686537,0.44523006
-5.68784392,1.73331373,0.18642366,0.07111460,0.83524075,0.61660242,0.09453823,0.02570375,0.43573737
-5.68184092,1.70374331,0.18500778,0.06656899,0.79748124,0.61483660,0.09506185,0.02454209,0.42545082
-5.67583792,1.66926742,0.18238758,0.06202323,0.75747543,0.60997714,0.09593661,0.02340955,0.41470765
-5.66983492,1.63096928,0.17861567,0.05755918,0.71590534,0.60224417,0.09722638,0.02233436,0.40385589
-5.66383192,1.59002227,0.17376754,0.05325361,0.67345243,0.59192443,0.09898704,0.02134352,0.39324905
-5.65782891,1.54766997,0.16793926,0.04917705,0.63078481,0.57936437,0.10126613,0.02046271,0.38324122
-5.65182591,1.50520582,0.16124435,0.04539307,0.58854595,0.56496153,0.10410303,0.01971623,0.37418311
-5.64582291,1.46395305,0.15381031,0.04195786,0.54734522,0.54915459,0.10752953,0.01912726,0.36641867
-5.63981991,1.42524511,0.14577468,0.03892022,0.50775026,0.53241246,0.11157085,0.01871807,0.36028252
-5.63381691,1.39040691,0.13728096,0.03632175,0.47028121,0.51522289,0.11624687,0.01851048,0.35609790
-5.62781391,1.36073701,0.12847456,0.03419730,0.43540671,0.49808083,0.12157356,0.01852625,0.35417509
-5.62181091,1.33749078,0.11949883,0.03257557,0.40354143,0.48147711,0.12756435,0.01878763,0.35481004
-5.61580790,1.32186443,0.11049146,0.03147980,0.37504495,0.46588762,0.13423138,0.01931777,0.35828303
-5.60980490,1.31497968,0.10158128,0.03092840,0.35022164,0.45176331,0.14158645,0.02014112,0.36485712
-5.60380190,1.31786903,0.09288560,0.03093564,0.32932136,0.43952116,0.14964147,0.02128366,0.37477615
-5.59779890,1.33146116,0.08450807,0.03151208,0.31254053,0.42953638,0.15840851,0.02277306,0.38826221
-5.59179590,1.35656646,0.07653728,0.03266495,0.30002350,0.42213578,0.16789911,0.02463853,0.40551231
-5.58579290,1.39386256,0.06904580,0.03439826,0.29186372,0.41759238,0.17812301,0.02691052,0.42669432
-5.57978989,1.44387984,0.06208999,0.03671270,0.28810490,0.41612129,0.18908636,0.02962017,0.45194221
