energy_ev,total_up,Ca_p_up,Ca_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,4.21181899,0.01902976,0.00000000,0.46157921,0.98193974,0.01687705,0.73450138,0.09112655,1.32744452
-5.99399700,4.37939330,0.01996546,0.00000000,0.48403932,1.02274892,0.01787865,0.76691136,0.09551821,1.37607936
-5.98799400,4.53872886,0.02089872,0.00000000,0.50605085,1.06212039,0.01886314,0.79841200,0.09980477,1.42149390
-5.98199100,4.68876549,0.02182391,0.00000000,0.52748181,1.09985406,0.01982272,0.82881884,0.10396409,1.46337614
-5.97598799,4.82863262,0.02273569,0.00000000,0.54821714,1.13578278,0.02075012,0.85796644,0.10797735,1.50149217
-5.96998499,4.95766704,0.02362920,0.00000000,0.56816110,1.16977473,0.02163875,0.88571145,0.11182940,1.53569062
-5.96398199,5.07542587,0.02450022,0.00000000,0.58723931,1.20173495,0.02248288,0.91193530,0.11550902,1.56590515
-5.95797899,5.18169385,0.02534533,0.00000000,0.60540052,1.23160591,0.02327779,0.93654628,0.11900906,1.59215474
-5.95197599,5.27648474,0.02616205,0.00000000,0.62261774,1.25936699,0.02401986,0.95948080,0.12232648,1.61454185
-5.94597299,5.36003625,0.02694893,0.00000000,0.63888896,1.28503302,0.02470667,0.98070399,0.12546216,1.63324832
-5.93996998,5.43279866,0.02770559,0.00000000,0.65423720,1.30865175,0.02533704,1.00020937,0.12842069,1.64852916
-5.93396698,5.49541710,0.02843277,0.00000000,0.66870991,1.33030035,0.02591100,1.01801757,0.13120990,1.66070431
-5.92796398,5.54870789,0.02913225,0.00000000,0.68237772,1.35008103,0.02642975,1.03417426,0.13384039,1.67014872
-5.92196098,5.59362980,0.02980678,0.00000000,0.69533248,1.36811583,0.02689559,1.04874719,0.13632478,1.67728079
-5.91595798,5.63125081,0.03045992,0.00000000,0.70768475,1.38454090,0.02731170,1.06182241,0.13867708,1.68254991
-5.90995498,5.66271178,0.03109585,0.00000000,0.71956065,1.39950029,0.02768204,1.07349992,0.14091179,1.68642312
-5.90395198,5.68918819,0.03171918,0.00000000,0.73109828,1.41313954,0.02801109,1.08388887,0.14304317,1.68937159
-5.89794897,5.71185148,0.03233468,0.00000000,0.74244381,1.42559939,0.02830361,1.09310244,0.14508439,1.69185740
-5.89194597,5.73183148,0.03294704,0.00000000,0.75374740,1.43700979,0.02856445,1.10125273,0.14704685,1.69432098
-5.88594297,5.75018164,0.03356062,0.00000000,0.76515904,1.44748446,0.02879825,1.10844582,0.14893951,1.69716976
-5.87993997,5.76784828,0.03417922,0.00000000,0.77682464,1.45711641,0.02900929,1.11477734,0.15076848,1.70076850
-5.87393697,5.78564546,0.03480588,0.00000000,0.78888231,1.46597445,0.02920126,1.12032865,0.15253663,1.70543157
-5.86793397,5.80423637,0.03544273,0.00000000,0.80145922,1.47410105,0.02937714,1.12516397,0.15424357,1.71141754
-5.86193097,5.82412203,0.03609088,0.00000000,0.81466895,1.48151155,0.02953914,1.12932851,0.15588566,1.71892615
