energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up,W_p_up,W_d_up
-6.00000000,6.57746826,0.03144814,1.35945539,0.06302026,2.24258594,0.83552894,0.26644681,4.42892135,1.61934159
-5.99399700,6.65444904,0.03120061,1.40628209,0.06369317,2.22267039,0.82201816,0.26777126,4.50827160,1.66059272
-5.98799400,6.74431357,0.03100337,1.45338874,0.06443562,2.21037015,0.81224791,0.27001087,4.59122279,1.70444747
-5.98199100,6.84589447,0.03085396,1.50009471,0.06522024,2.20588004,0.80650548,0.27310239,4.67760883,1.75019483
-5.97598799,6.95805603,0.03074813,1.54577861,0.06601752,2.20934125,0.80503612,0.27698085,4.76729050,1.79718043
-5.96998499,7.07970130,0.03068006,1.58988545,0.06679678,2.22083703,0.80803641,0.28158155,4.86013408,1.84481362
-5.96398199,7.20977438,0.03064257,1.63193140,0.06752707,2.24038846,0.81564829,0.28684181,4.95598748,1.89257173
-5.95797899,7.34725857,0.03062741,1.67150619,0.06817817,2.26795056,0.82795351,0.29270241,5.05465545,1.94000184
-5.95197599,7.49117114,0.03062558,1.70827330,0.06872137,2.30340906,0.84496904,0.29910882,5.15587539,1.98672002
-5.94597299,7.64055571,0.03062763,1.74196795,0.06913025,2.34657816,0.86664324,0.30601212,5.25929563,2.03240839
-5.93996998,7.79447354,0.03062399,1.77239334,0.06938136,2.39719939,0.89285306,0.31336966,5.36445771,2.07681042
-5.93396698,7.95199492,0.03060528,1.79941544,0.06945469,2.45494202,0.92340249,0.32114552,5.47078432,2.11972476
-5.92796398,8.11219214,0.03056262,1.82295686,0.06933413,2.51940496,0.95802221,0.32931076,5.57757399,2.16099846
-5.92196098,8.27413499,0.03048791,1.84299008,0.06900771,2.59012049,0.99637060,0.33784354,5.68400358,2.20051975
-5.91595798,8.43688988,0.03037404,1.85953072,0.06846775,2.66655971,1.03803638,0.34672907,5.78913893,2.23821112
-5.90995498,8.59952314,0.03021515,1.87263105,0.06771093,2.74813971,1.08254267,0.35595943,5.89195364,2.27402306
-5.90395198,8.76110857,0.03000674,1.88237417,0.06673824,2.83423228,1.12935279,0.36553334,5.99135534,2.30792873
-5.89794897,8.92073924,0.02974584,1.88886897,0.06555479,2.92417405,1.17787771,0.37545575,6.08621843,2.33991978
-5.89194597,9.07754254,0.02943105,1.89224612,0.06416963,3.01727753,1.22748504,0.38573736,6.17542142,2.37000336
-5.88594297,9.23069752,0.02906260,1.89265487,0.06259543,3.11284280,1.27750975,0.39639391,6.25788706,2.39820015
-5.87993997,9.37945312,0.02864230,1.89026060,0.06084815,3.21016938,1.32726609,0.40744542,6.33262279,2.42454326
-5.87393697,9.52314540,0.02817353,1.88524297,0.05894663,3.30856776,1.37606095,0.41891509,6.39875891,2.44907744
-5.86793397,9.66121226,0.02766109,1.87779419,0.05691215,3.40737005,1.42320802,0.43082803,6.45558221,2.47185852
-5.86193097,9.79320368,0.02711111,1.86811723,0.05476794,3.50593946,1.46804266,0.44320977,6.50256252,2.49295229
-5.85592796,9.91878633,0.02653085,1.85642368,0.05253867,3.60367796,1.50993697,0.45608443,6.53937046,2.51243273
-5.84992496,10.03774109,0.02592855,1.84293085,0.05024993,3.70003202,1.54831459,0.46947277,6.56588480,2.53037903
-5.84392196,10.14995318,0.02531316,1.82785813,0.04792768,3.79449600,1.58266486,0.48338998,6.58218887,2.54687140
-5.83791896,10.25539461,0.02469410,1.81142242,0.04559770,3.88661324,1.61255570,0.49784331,6.58855569,2.56198553
-5.83191596,10.35409966,0.02408107,1.79383274,0.04328504,3.97597471,1.63764470,0.51282975,6.58542288,2.57578585
-5.82591296,10.44613439,0.02348372,1.77528422,0.04101351,4.06221549,1.65768802,0.52833368,6.57335845,2.58831782
-5.81990995,10.53156201,0.02291142,1.75595175,0.03880517,4.14500919,1.67254651,0.54432474,6.55301976,2.59959987
-5.81390695,10.61040606,0.02237301,1.73598369,0.03667990,4.22406086,1.68218878,0.56075597,6.52510809,2.60961527
-5.80790395,10.68261390,0.02187651,1.71549612,0.03465502,4.29909866,1.68669088,0.57756238,6.49032179,2.61830481
-5.80190095,10.74802299,0.02142896,1.69456798,0.03274496,4.36986493,1.68623251,0.59466004,6.44931108,2.62556085
-5.79589795,10.80633241,0.02103613,1.67323780,0.03096101,4.43610722,1.68108964,0.61194586,6.40263733,2.63122333
-5.78989495,10.85708188,0.02070242,1.65150201,0.02931121,4.49756980,1.67162393,0.62929795,6.35073969,2.63507836
-5.78389195,10.89964012,0.02043065,1.62931558,0.02780025,4.55398626,1.65826901,0.64657685,6.29391106,2.63685972
-5.77788894,10.93320390,0.02022201,1.60659465,0.02642957,4.60507373,1.64151432,0.66362748,6.23228514,2.63625359
-5.77188594,10.95680842,0.02007598,1.58322157,0.02519742,4.65052918,1.62188711,0.68028170,6.16583527,2.63290645
-5.76588294,10.96934919,0.01999033,1.55905189,0.02409913,4.69002814,1.59993330,0.69636170,6.09438510,2.62643610
-5.75987994,10.96961471,0.01996113,1.53392313,0.02312740,4.72322620,1.57619815,0.71168380,6.01763051,2.61644521
-5.75387694,10.95632871,0.01998288,1.50766489,0.02227263,4.74976337,1.55120759,0.72606274,5.93517106,2.60253709
-5.74787394,10.92820022,0.02004863,1.48010973,0.02152339,4.76927136,1.52545112,0.73931620,5.84654913,2.58433275
-5.74187094,10.88397915,0.02015017,1.45110420,0.02086682,4.78138368,1.49936712,0.75126944,5.75129416,2.56148856
-5.73586793,10.82251492,0.02027827,1.42051954,0.02028915,4.78574829,1.47333131,0.76175992,5.64896927,2.53371356
-5.72986493,10.74281548,0.02042292,1.38826127,0.01977615,4.78204248,1.44764894,0.77064157,5.53921726,2.50078563
-5.72386193,10.64410388,0.02057368,1.35427731,0.01931358,4.76998939,1.42255102,0.77778881,5.42180363,2.46256560
-5.71785893,10.52587002,0.02071995,1.31856413,0.01888769,4.74937558,1.39819483,0.78309993,5.29665372,2.41900876
-5.71185593,10.38791504,0.02085135,1.28117071,0.01848556,4.72006891,1.37466855,0.78649989,5.16388250,2.37017299
-5.70585293,10.23038661,0.02095800,1.24220007,0.01809546,4.68203594,1.35199970,0.78794239,5.02381513,2.31622335
-5.69984992,10.05380340,0.02103090,1.20180839,0.01770716,4.63535786,1.33016680,0.78741115,4.87699777,2.25743280
-5.69384692,9.85906772,0.02106217,1.16020201,0.01731210,4.58024429,1.30911345,0.78492037,4.72419819,2.19417905
-5.68784392,9.64746575,0.02104534,1.11763231,0.01690357,4.51704382,1.28876405,0.78051441,4.56639669,2.12693781
-5.68184092,9.42065528,0.02097556,1.07438905,0.01647679,4.44625081,1.26903996,0.77426674,4.40476811,2.05627269
-5.67583792,9.18064138,0.02084973,1.03079256,0.01602886,4.36850749,1.24987517,0.76627810,4.24065617,1.98282230
-5.66983492,8.92974078,0.02066660,0.98718513,0.01555875,4.28460111,1.23123044,0.75667411,4.07554191,1.90728502
-5.66383192,8.67053624,0.02042682,0.94392227,0.01506714,4.19545568,1.21310505,0.74560236,3.91100773,1.83040234
-5.65782891,8.40582261,0.02013282,0.90136414,0.01455625,4.10211844,1.19554526,0.73322903,3.74869912,1.75294118
-5.65182591,8.13854626,0.01978875,0.85986753,0.01402961,4.00574104,1.17864918,0.71973535,3.59028555,1.67567605
-5.64582291,7.87174019,0.01940024,0.81977890,0.01349182,3.90755624,1.16256748,0.70531378,3.43742250,1.59937166
-5.63981991,7.60845699,0.01897422,0.78142851,0.01294827,3.80885060,1.14750016,0.69016433,3.29171560,1.52476664
-5.63381691,7.35170199,0.01851854,0.74512583,0.01240484,3.71093439,1.13368949,0.67449090,3.15468843,1.45255880
-5.62781391,7.10436896,0.01804173,0.71115641,0.01186764,3.61510983,1.12140956,0.65849786,3.02775443,1.38339245
-5.62181091,6.86918049,0.01755260,0.67978002,0.01134274,3.52263900,1.11095330,0.64238707,2.91219376,1.31784810
-5.61580790,6.64863529,0.01705995,0.65123000,0.01083592,3.43471281,1.10261769,0.62635519,2.80913513,1.25643479
-5.60980490,6.44496386,0.01657219,0.62571373,0.01035249,3.35242254,1.09668818,0.61059158,2.71954276,1.19958511
-5.60380190,6.26009428,0.01609709,0.60341385,0.00989706,3.27673503,1.09342334,0.59527665,2.64420813,1.14765298
-5.59779890,6.09562872,0.01564149,0.58449018,0.00947348,3.20847276,1.09304080,0.58058072,2.58374619,1.10091409
-5.59179590,5.95283149,0.01521114,0.56908188,0.00908473,3.14829966,1.09570519,0.56666336,2.53859545,1.05956876
-5.58579290,5.83262825,0.01481051,0.55730981,0.00873292,3.09671310,1.10151906,0.55367314,2.50902137,1.02374705
-5.57978989,5.73561611,0.01444279,0.54927869,0.00841926,3.05404233,1.11051706,0.54174767,2.49512245,0.99351559
-5.57378689,5.66208330,0.01410984,0.54507888,0.00814421,3.02045322,1.12266400,0.53101393,2.49683815,0.96888585
-5.56778389,5.61203690,0.01381226,0.54478772,0.00790751,2.99595864,1.13785653,0.52158858,2.51395822,0.94982332
-5.56178089,5.58523690,0.01354953,0.54847014,0.00770839,2.98043396,1.15592855,0.51357842,2.54613265,0.93625708
-5.55577789,5.58123415,0.01332017,0.55617850,0.00754569,2.97363621,1.17665970,0.50708062,2.59288175,0.92808927
-5.54977489,5.59941006,0.01312193,0.56795167,0.00741810,2.97522604,1.19978649,0.50218281,2.65360597,0.92520402
-5.54377189,5.63901567,0.01295208,0.58381323,0.00732433,2.98479088,1.22501514,0.49896290,2.72759493,0.92747527
-5.53776888,5.69920803,0.01280760,0.60376895,0.00726335,3.00186809,1.25203548,0.49748867,2.81403555,0.93477323
-5.53176588,5.77908177,0.01268546,0.62780351,0.00723456,3.02596679,1.28053475,0.49781699,2.91201914,0.94696906
-5.52576288,5.87769468,0.01258287,0.65587673,0.00723804,3.05658735,1.31021065,0.49999296,3.02054732,0.96393764
-5.51975988,5.99408599,0.01249747,0.68791931,0.00727467,3.09323758,1.34078267,0.50404878,3.13853705,0.98555827
-5.51375688,6.12728703,0.01242756,0.72382843,0.00734632,3.13544508,1.37200113,0.51000267,3.26482486,1.01171340
-5.50775388,6.27632427,0.01237222,0.76346330,0.00745595,3.18276545,1.40365342,0.51785777,3.39817078,1.04228541
-5.50175088,6.44021525,0.01233144,0.80664104,0.00760772,3.23478629,1.43556713,0.52760131,3.53726219,1.07715184
-5.49574787,6.61795846,0.01230620,0.85313300,0.00780704,3.29112724,1.46760987,0.53920400,3.68071830,1.11617917
-5.48974487,6.80851856,0.01229850,0.90266187,0.00806057,3.35143656,1.49968618,0.55261981,3.82709554,1.15921585
-5.48374187,7.01080843,0.01231134,0.95489981,0.00837620,3.41538479,1.53173154,0.56778622,3.97489449,1.20608481
-5.47773887,7.22366999,0.01234871,1.00946776,0.00876297,3.48265627,1.56370415,0.58462481,4.12256870,1.25657598
-5.47173587,7.44585531,0.01241547,1.06593618,0.00923092,3.55293929,1.59557505,0.60304229,4.26853581,1.31043937
-5.46573287,7.67600970,0.01251723,1.12382739,0.00979096,3.62591556,1.62731720,0.62293192,4.41119105,1.36737913
-5.45972986,7.91265818,0.01266023,1.18261939,0.01045458,3.70124974,1.65889440,0.64417499,4.54892327,1.42704891
-5.45372686,8.15419630,0.01285115,1.24175152,0.01123361,3.77857950,1.69025056,0.66664249,4.68013334,1.48904893
-5.44772386,8.39888613,0.01309689,1.30063153,0.01213983,3.85750662,1.72130027,0.69019661,4.80325466,1.55292492
