energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.07940884,0.02826358,0.00585807,0.40475625,0.33396825,0.00649286,0.71121685,0.23193209,0.04777613
-5.99399700,1.06787049,0.02754457,0.00623702,0.40578266,0.32865543,0.00622338,0.70454203,0.22665640,0.04785219
-5.98799400,1.05682026,0.02670695,0.00670668,0.40769473,0.32266177,0.00594646,0.69840163,0.22127432,0.04819070
-5.98199100,1.04678289,0.02576735,0.00726972,0.41075361,0.31612387,0.00566396,0.69315875,0.21592762,0.04881297
-5.97598799,1.03837364,0.02474510,0.00792858,0.41524388,0.30921480,0.00537852,0.68923280,0.21077873,0.04974189
-5.96998499,1.03226624,0.02366166,0.00868517,0.42145979,0.30213579,0.00509337,0.68707796,0.20600428,0.05100014
-5.96398199,1.02915829,0.02253985,0.00954046,0.42969041,0.29510694,0.00481218,0.68716003,0.20178808,0.05260842
-5.95797899,1.02973563,0.02140311,0.01049416,0.44020465,0.28835750,0.00453886,0.68993261,0.19831372,0.05458363
-5.95197599,1.03463706,0.02027477,0.01154438,0.45323641,0.28211600,0.00427734,0.69581358,0.19575716,0.05693723
-5.94597299,1.04442092,0.01917729,0.01268734,0.46897061,0.27660079,0.00403147,0.70516293,0.19427949,0.05967375
-5.93996998,1.05953491,0.01813160,0.01391713,0.48753060,0.27201135,0.00380479,0.71826269,0.19402012,0.06278958
-5.93396698,1.08029033,0.01715650,0.01522554,0.50896749,0.26852069,0.00360045,0.73529990,0.19509070,0.06627203
-5.92796398,1.10684180,0.01626812,0.01660200,0.53325172,0.26626918,0.00342106,0.75635322,0.19756988,0.07009873
-5.92196098,1.13917322,0.01547954,0.01803355,0.56026747,0.26536012,0.00326861,0.78138375,0.20149913,0.07423751
-5.91595798,1.17709074,0.01480045,0.01950497,0.58980995,0.26585703,0.00314441,0.81023058,0.20687973,0.07864654
-5.90995498,1.22022277,0.01423703,0.02099898,0.62158593,0.26778289,0.00304905,0.84261100,0.21367108,0.08327501
-5.90395198,1.26802751,0.01379183,0.02249657,0.65521756,0.27112138,0.00298239,0.87812580,0.22179033,0.08806409
