energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,1.91310609,0.00592311,0.13313849,0.94509707,0.31362412,0.56671705,0.02612653,1.15348214
-5.99399700,2.02933159,0.00537311,0.14221946,0.99569399,0.33425120,0.60070350,0.02834289,1.22267679
-5.98799400,2.14735664,0.00490260,0.15144221,1.04539572,0.35541792,0.63360181,0.03068984,1.29281977
-5.98199100,2.26494316,0.00450493,0.16063470,1.09320412,0.37672655,0.66480381,0.03313451,1.36258620
-5.97598799,2.37976237,0.00417296,0.16962019,1.13811502,0.39776097,0.69370737,0.03563950,1.43059601
-5.96998499,2.48945159,0.00389925,0.17822107,1.17914687,0.41809593,0.71973335,0.03816354,1.49544837
-5.96398199,2.59167464,0.00367620,0.18626297,1.21536938,0.43730717,0.74234240,0.04066233,1.55575812
-5.95797899,2.68418379,0.00349624,0.19357891,1.24593128,0.45498199,0.76105105,0.04308958,1.61019324
-5.95197599,2.76488120,0.00335193,0.20001354,1.27008579,0.47073006,0.77544635,0.04539814,1.65751182
-5.94597299,2.83187754,0.00323613,0.20542709,1.28721303,0.48419384,0.78519848,0.04754132,1.69659734
-5.93996998,2.88354553,0.00314212,0.20969910,1.29683836,0.49505855,0.79007079,0.04947415,1.72649071
-5.93396698,2.91856639,0.00306373,0.21273161,1.29864603,0.50306095,0.78992687,0.05115477,1.74641801
-5.92796398,2.93596717,0.00299536,0.21445182,1.29248753,0.50799681,0.78473426,0.05254566,1.75581264
-5.92196098,2.93514759,0.00293214,0.21481398,1.27838443,0.50972664,0.77456481,0.05361486,1.75433110
-5.91595798,2.91589518,0.00286991,0.21380053,1.25652559,0.50817944,0.75959155,0.05433694,1.74186165
-5.90995498,2.87838809,0.00280526,0.21142234,1.22725910,0.50335433,0.74008233,0.05469387,1.71852567
-5.90395198,2.82318556,0.00273555,0.20771812,1.19107918,0.49531987,0.71639057,0.05467555,1.68467148
