energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,6.20196386,1.86533238,0.00000000,1.54428185,0.00000000,4.93855713,2.75392544
-5.99399700,6.22217665,1.86888086,0.00000000,1.54223464,0.00000000,5.01730289,2.75670583
-5.98799400,6.23408625,1.87332559,0.00000000,1.53631196,0.00000000,5.08907751,2.75716617
-5.98199100,6.23913496,1.87922568,0.00000000,1.52682176,0.00000000,5.15434452,2.75613957
-5.97598799,6.23877037,1.88707138,0.00000000,1.51411143,0.00000000,5.21355820,2.75444037
-5.96998499,6.23439665,1.89727162,0.00000000,1.49855730,0.00000000,5.26713161,2.75283891
-5.96398199,6.22733050,1.91014504,0.00000000,1.48055444,0.00000000,5.31540717,2.75203911
-5.95797899,6.21876372,1.92591479,0.00000000,1.46050714,0.00000000,5.35863151,2.75265990
-5.95197599,6.20973404,1.94470740,0.00000000,1.43882043,0.00000000,5.39693588,2.75522128
-5.94597299,6.20110544,1.96655595,0.00000000,1.41589279,0.00000000,5.43032349,2.76013552
-5.93996998,6.19355880,1.99140744,0.00000000,1.39211038,0.00000000,5.45866472,2.76770421
-5.93396698,6.18759331,2.01913411,0.00000000,1.36784279,0.00000000,5.48170085,2.77812090
-5.92796398,6.18353826,2.04954839,0.00000000,1.34344029,0.00000000,5.49905637,2.79147951
-5.92196098,6.18157448,2.08242083,0.00000000,1.31923251,0.00000000,5.51025976,2.80778774
-5.91595798,6.18176395,2.11750009,0.00000000,1.29552833,0.00000000,5.51477165,2.82698486
-5.90995498,6.18408555,2.15453406,0.00000000,1.27261667,0.00000000,5.51201933,2.84896265
-5.90395198,6.18847477,2.19329101,0.00000000,1.25076790,0.00000000,5.50143577,2.87358829
-5.89794897,6.19486439,2.23357944,0.00000000,1.23023541,0.00000000,5.48250107,2.90072760
-5.89194597,6.20322349,2.27526546,0.00000000,1.21125702,0.00000000,5.45478405,2.93026714
-5.88594297,6.21359186,2.31828647,0.00000000,1.19405584,0.00000000,5.41798165,2.96213356
-5.87993997,6.22610725,2.36266011,0.00000000,1.17884036,0.00000000,5.37195378,2.99630885
-5.87393697,6.24102330,2.40848769,0.00000000,1.16580340,0.00000000,5.31675143,3.03284021
-5.86793397,6.25871646,2.45595149,0.00000000,1.15512003,0.00000000,5.25263637,3.07184361
-5.86193097,6.27968116,2.50530569,0.00000000,1.14694429,0.00000000,5.18009118,3.11350071
-5.85592796,6.30451306,2.55686134,0.00000000,1.14140492,0.00000000,5.09981880,3.15804889
-5.84992496,6.33388122,2.61096568,0.00000000,1.13860042,0.00000000,5.01273161,3.20576490
-5.84392196,6.36849081,2.66797694,0.00000000,1.13859376,0.00000000,4.91993062,3.25694300
-5.83791896,6.40903862,2.72823591,0.00000000,1.14140713,0.00000000,4.82267593,3.31186880
-5.83191596,6.45616442,2.79203588,0.00000000,1.14701745,0.00000000,4.72235006,3.37079055
-5.82591296,6.51040143,2.85959268,0.00000000,1.15535293,0.00000000,4.62041646,3.43388959
-5.81990995,6.57212946,2.93101675,0.00000000,1.16629130,0.00000000,4.51837532,3.50125213
-5.81390695,6.64153398,3.00628897,0.00000000,1.17966008,0.00000000,4.41771918,3.57284415
-5.80790395,6.71857445,3.08524195,0.00000000,1.19523922,0.00000000,4.31989079,3.64849146
-5.80190095,6.80296414,3.16754814,0.00000000,1.21276620,0.00000000,4.22624507,3.72786621
-5.79589795,6.89416337,3.25271573,0.00000000,1.23194363,0.00000000,4.13801703,3.81048132
-5.78989495,6.99138696,3.34009285,0.00000000,1.25244906,0.00000000,4.05629669,3.89569317
-5.78389195,7.09362566,3.42888022,0.00000000,1.27394671,0.00000000,3.98201177,3.98271303
-5.77788894,7.19968063,3.51815168,0.00000000,1.29610040,0.00000000,3.91591793,4.07062661
-5.77188594,7.30820883,3.60688160,0.00000000,1.31858722,0.00000000,3.85859632,4.15842093
-5.76588294,7.41777654,3.69397809,0.00000000,1.34111091,0.00000000,3.81045724,4.24501710
-5.75987994,7.52691789,3.77831991,0.00000000,1.36341433,0.00000000,3.77174869,4.32930733
-5.75387694,7.63419447,3.85879553,0.00000000,1.38529013,0.00000000,3.74256819,4.41019410
-5.74787394,7.73825270,3.93434209,0.00000000,1.40658891,0.00000000,3.72287633,4.48662951
-5.74187094,7.83787524,4.00398236,0.00000000,1.42722438,0.00000000,3.71251044,4.55765270
-5.73586793,7.93202368,4.06685794,0.00000000,1.44717501,0.00000000,3.71119724,4.62242336
-5.72986493,8.01987014,4.12225706,0.00000000,1.46648209,0.00000000,3.71856335,4.68024982
-5.72386193,8.10081634,4.16963582,0.00000000,1.48524428,0.00000000,3.73414330,4.73061049
-5.71785893,8.17449962,4.20863214,0.00000000,1.50360885,0.00000000,3.75738489,4.77316767
-5.71185593,8.24078635,4.23907204,0.00000000,1.52176033,0.00000000,3.78765225,4.80777356
-5.70585293,8.29975387,4.26096838,0.00000000,1.53990710,0.00000000,3.82422739,4.83446853
-5.69984992,8.35166305,4.27451256,0.00000000,1.55826692,0.00000000,3.86631129,4.85347216
-5.69384692,8.39692384,4.28006006,0.00000000,1.57705230,0.00000000,3.91302562,4.86516795
-5.68784392,8.43605684,4.27811084,0.00000000,1.59645668,0.00000000,3.96341645,4.87008292
-5.68184092,8.46965361,4.26928605,0.00000000,1.61664231,0.00000000,4.01646106,4.86886340
-5.67583792,8.49833862,4.25430212,0.00000000,1.63773060,0.00000000,4.07107862,4.86224829
-5.66983492,8.52273513,4.23394381,0.00000000,1.65979564,0.00000000,4.12614542,4.85104134
-5.66383192,8.54343703,4.20903717,0.00000000,1.68286104,0.00000000,4.18051474,4.83608358
-5.65782891,8.56098759,4.18042363,0.00000000,1.70690046,0.00000000,4.23304096,4.81822684
-5.65182591,8.57586586,4.14893592,0.00000000,1.73184154,0.00000000,4.28260711,4.79830935
-5.64582291,8.58848033,4.11537644,0.00000000,1.75757277,0.00000000,4.32815484,4.77713388
-5.63981991,8.59916898,4.08049832,0.00000000,1.78395291,0.00000000,4.36871492,4.75544865
-5.63381691,8.60820442,4.04498951,0.00000000,1.81082187,0.00000000,4.40343684,4.73393122
-5.62781391,8.61580216,4.00945966,0.00000000,1.83801229,0.00000000,4.43161553,4.71317512
-5.62181091,8.62213026,3.97442971,0.00000000,1.86536089,0.00000000,4.45271337,4.69367911
-5.61580790,8.62731816,3.94032398,0.00000000,1.89271853,0.00000000,4.46637601,4.67583863
-5.60980490,8.63146319,3.90746443,0.00000000,1.91995812,0.00000000,4.47244070,4.65993926
-5.60380190,8.63463309,3.87606691,0.00000000,1.94697989,0.00000000,4.47093633,4.64615177
-5.59779890,8.63686388,3.84623916,0.00000000,1.97371332,0.00000000,4.46207483,4.63452875
-5.59179590,8.63815248,3.81798053,0.00000000,2.00011559,0.00000000,4.44623419,4.62500250
-5.58579290,8.63844459,3.79118325,0.00000000,2.02616664,0.00000000,4.42393380,4.61738446
-5.57978989,8.63761842,3.76563544,0.00000000,2.05186114,0.00000000,4.39580347,4.61136608
