energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.61015899,0.00990013,0.23937553,1.12762995,0.22641411,0.04182273,1.40197621,0.45062778,0.35360205
-5.99399700,2.53501835,0.00975211,0.23515990,1.10334272,0.21524861,0.04060772,1.35970643,0.44148626,0.35209428
-5.98799400,2.47851891,0.00967670,0.23352486,1.08603575,0.20591831,0.03984206,1.32614075,0.43553638,0.35467485
-5.98199100,2.44192245,0.00967725,0.23455047,1.07635082,0.19849541,0.03952389,1.30204355,0.43306037,0.36146487
-5.97598799,2.42615461,0.00975595,0.23827116,1.07478283,0.19302672,0.03964404,1.28801367,0.43427205,0.37251753
-5.96998499,2.43177068,0.00991377,0.24467345,1.08165957,0.18953264,0.04018612,1.28446340,0.43930906,0.38781363
-5.96398199,2.45892785,0.01015034,0.25369459,1.09712516,0.18800657,0.04112666,1.29160116,0.44822672,0.40725810
-5.95797899,2.50736540,0.01046384,0.26522195,1.12112801,0.18841464,0.04243537,1.30941844,0.46099365,0.43067780
-5.95197599,2.57639417,0.01085096,0.27909359,1.15341381,0.19069590,0.04407562,1.33768186,0.47748936,0.45782079
-5.94597299,2.66489639,0.01130691,0.29509980,1.19352417,0.19476307,0.04600506,1.37593084,0.49750420,0.48835749
-5.93996998,2.77133676,0.01182534,0.31298600,1.24080125,0.20050381,0.04817637,1.42348143,0.52074149,0.52188376
-5.93396698,2.89378542,0.01239849,0.33245684,1.29439849,0.20778261,0.05053818,1.47943645,0.54682230,0.55792625
-5.92796398,3.02995279,0.01301726,0.35318161,1.35329751,0.21644325,0.05303617,1.54270212,0.57529253,0.59594986
-5.92196098,3.17723603,0.01367136,0.37480077,1.41633070,0.22631181,0.05561429,1.61201089,0.60563254,0.63536757
-5.91595798,3.33277612,0.01434950,0.39693372,1.48220921,0.23720019,0.05821598,1.68595005,0.63726887,0.67555216
-5.90995498,3.49352420,0.01503965,0.41918728,1.54955531,0.24891003,0.06078557,1.76299536,0.66958793,0.71584983
-5.90395198,3.65631516,0.01572932,0.44116499,1.61693817,0.26123692,0.06326958,1.84154871,0.70195132,0.75559519
-5.89794897,3.81794610,0.01640584,0.46247667,1.68291198,0.27397477,0.06561804,1.91997865,0.73371213,0.79412718
-5.89194597,3.97525693,0.01705668,0.48274798,1.74605483,0.28692009,0.06778565,1.99666220,0.76423184,0.83080532
-5.88594297,4.12520999,0.01766978,0.50162971,1.80500704,0.29987620,0.06973285,2.07002668,0.79289717,0.86502573
-5.87993997,4.26496584,0.01823384,0.51880631,1.85850740,0.31265695,0.07142663,2.13858970,0.81913622,0.89623619
-5.87393697,4.39195202,0.01873861,0.53400335,1.90542605,0.32509005,0.07284117,2.20099597,0.84243330,0.92394974
-5.86793397,4.50392227,0.01917515,0.54699362,1.94479249,0.33701973,0.07395817,2.25604951,0.86234195,0.94775609
-5.86193097,4.59900387,0.01953600,0.55760168,1.97581796,0.34830864,0.07476693,2.30273989,0.87849549,0.96733053
-5.85592796,4.67573148,0.01981534,0.56570652,1.99791118,0.35883908,0.07526416,2.34026186,0.89061487,0.98243983
-5.84992496,4.73306640,0.02000908,0.57124247,2.01068711,0.36851339,0.07545354,2.36802747,0.89851337,0.99294508
-5.84392196,4.77040116,0.02011490,0.57419820,2.01396865,0.37725370,0.07534502,2.38567082,0.90209828,0.99880131
-5.83791896,4.78754990,0.02013217,0.57461397,2.00778132,0.38500102,0.07495399,2.39304532,0.90136928,1.00005407
-5.83191596,4.78472579,0.02006193,0.57257745,1.99234178,0.39171389,0.07430029,2.39021421,0.89641399,0.99683327
-5.82591296,4.76250744,0.01990667,0.56821813,1.96804080,0.39736669,0.07340713,2.37743510,0.88740087,0.98934461
-5.81990995,4.72179673,0.01967025,0.56170097,1.93542183,0.40194788,0.07230001,2.35513982,0.87456994,0.97785933
-5.81390695,4.66377071,0.01935761,0.55321934,1.89515656,0.40545827,0.07100572,2.32391072,0.85822186,0.96270258
-5.80790395,4.58983046,0.01897462,0.54298796,1.84801856,0.40790948,0.06955137,2.28445495,0.83870604,0.94424142
-5.80190095,4.50154978,0.01852781,0.53123583,1.79485645,0.40932276,0.06796359,2.23757814,0.81640822,0.92287272
-5.79589795,4.40062621,0.01802420,0.51819989,1.73656784,0.40972836,0.06626791,2.18415869,0.79173833,0.89901177
-5.78989495,4.28883644,0.01747108,0.50411928,1.67407495,0.40916521,0.06448832,2.12512390,0.76511890,0.87308202
-5.78389195,4.16799790,0.01687584,0.48923070,1.60830296,0.40768124,0.06264702,2.06142863,0.73697471,0.84550625
-5.77788894,4.03993719,0.01624584,0.47376479,1.54016147,0.40533402,0.06076436,1.99403729,0.70772382,0.81669950
-5.77188594,3.90646604,0.01558829,0.45794365,1.47052952,0.40219166,0.05885894,1.92390921,0.67777032,0.78706379
-5.76588294,3.76936410,0.01491018,0.44197935,1.40024420,0.39833386,0.05694785,1.85198739,0.64749870,0.75698459
-5.75987994,3.63036806,0.01421825,0.42607341,1.33009260,0.39385289,0.05504698,1.77919044,0.61727004,0.72682890
-5.75387694,3.49116553,0.01351893,0.41041697,1.26080690,0.38885425,0.05317142,1.70640701,0.58741968,0.69694462
-5.74787394,3.35339233,0.01281840,0.39519143,1.19306176,0.38345686,0.05133579,1.63449205,0.55825619,0.66766090
-5.74187094,3.21863132,0.01212254,0.38056934,1.12747379,0.37779263,0.04955463,1.56426429,0.53006140,0.63928910
-5.73586793,3.08841129,0.01143700,0.36671534,1.06460214,0.37200522,0.04784264,1.49650394,0.50309110,0.61212391
-5.72986493,2.96420431,0.01076722,0.35378679,1.00494974,0.36624804,0.04621486,1.43195026,0.47757621,0.58644438
-5.72386193,2.84742050,0.01011845,0.34193414,0.94896477,0.36068134,0.04468669,1.37129812,0.45372397,0.56251448
-5.71785893,2.73939948,0.00949573,0.33130065,0.89704175,0.35546856,0.04327386,1.31519351,0.43171908,0.54058303
-5.71185593,2.64139823,0.00890396,0.32202161,0.84952213,0.35077210,0.04199221,1.26422776,0.41172447,0.52088278
-5.70585293,2.55457554,0.00834782,0.31422301,0.80669426,0.34674864,0.04085738,1.21893051,0.39388174,0.50362872
-5.69984992,2.47997379,0.00783181,0.30801957,0.76879275,0.34354427,0.03988447,1.17976188,0.37831110,0.48901564
-5.69384692,2.41849898,0.00736018,0.30351248,0.73599737,0.34128976,0.03908755,1.14710420,0.36511094,0.47721493
-5.68784392,2.37090031,0.00693689,0.30078677,0.70843175,0.34009626,0.03847920,1.12125399,0.35435704,0.46837109
-5.68184092,2.33775079,0.00656557,0.29990861,0.68616221,0.34005160,0.03807009,1.10241476,0.34610169,0.46259791
-5.67583792,2.31943025,0.00624949,0.30092264,0.66919711,0.34121761,0.03786853,1.09069148,0.34037271,0.45997475
-5.66983492,2.31611221,0.00599146,0.30384962,0.65748693,0.34362854,0.03788011,1.08608710,0.33717262,0.46054312
