energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-5.67583792,2.25529679,0.01468242,0.43764990,0.00958407,0.00000000,0.50506585,1.13333151,0.00739502,0.65921319
-5.66983492,2.27911207,0.01526585,0.43994130,0.00987502,0.00000000,0.53903443,1.12794511,0.00768021,0.68224613
-5.66383192,2.30901612,0.01592588,0.44235416,0.01021505,0.00000000,0.57564905,1.12470348,0.00800798,0.70834605
-5.65782891,2.34567187,0.01665918,0.44496833,0.01060576,0.00000000,0.61472821,1.12408233,0.00838140,0.73761408
-5.65182591,2.38952482,0.01746041,0.44783250,0.01104730,0.00000000,0.65601430,1.12647063,0.00880236,0.77006952
-5.64582291,2.44077741,0.01832222,0.45096127,0.01153823,0.00000000,0.69917220,1.13215719,0.00927142,0.80564213
-5.63981991,2.49937281,0.01923521,0.45433380,0.01207550,0.00000000,0.74379083,1.14132133,0.00978772,0.84416761
-5.63381691,2.56498856,0.02018805,0.45789395,0.01265443,0.00000000,0.78938779,1.15402777,0.01034886,0.88538650
-5.62781391,2.63704006,0.02116775,0.46155205,0.01326871,0.00000000,0.83541702,1.17022560,0.01095093,0.92894657
-5.62181091,2.71469358,0.02215989,0.46518814,0.01391060,0.00000000,0.88127929,1.18975126,0.01158847,0.97440858
-5.61580790,2.79688817,0.02314904,0.46865644,0.01457099,0.00000000,0.92633517,1.21233514,0.01225458,1.02125531
-5.60980490,2.88236542,0.02411915,0.47179099,0.01523971,0.00000000,0.96992013,1.23761120,0.01294103,1.06890337
-5.60380190,2.96970586,0.02505409,0.47441218,0.01590569,0.00000000,1.01136117,1.26512942,0.01363842,1.11671764
-5.59779890,3.05737071,0.02593811,0.47633378,0.01655735,0.00000000,1.04999453,1.29437022,0.01433643,1.16402759
-5.59179590,3.14374733,0.02675638,0.47737039,0.01718282,0.00000000,1.08518374,1.32476043,0.01502403,1.21014511
-5.58579290,3.22719681,0.02749549,0.47734474,0.01777035,0.00000000,1.11633743,1.35569016,0.01568979,1.25438317
-5.57978989,3.30610210,0.02814395,0.47609482,0.01830863,0.00000000,1.14292621,1.38653007,0.01632218,1.29607466
-5.57378689,3.37891497,0.02869259,0.47348040,0.01878709,0.00000000,1.16449798,1.41664839,0.01690989,1.33459079
-5.56778389,3.44420039,0.02913500,0.46938870,0.01919629,0.00000000,1.18069129,1.44542735,0.01744221,1.36935852
-5.56178089,3.50067679,0.02946774,0.46373910,0.01952812,0.00000000,1.19124589,1.47227833,0.01790926,1.39987620
-5.55577789,3.54725098,0.02969068,0.45648659,0.01977614,0.00000000,1.19601053,1.49665568,0.01830238,1.42572717
-5.54977489,3.58304667,0.02980704,0.44762399,0.01993571,0.00000000,1.19494737,1.51806847,0.01861438,1.44659061
-5.54377189,3.60742570,0.02982345,0.43718276,0.02000419,0.00000000,1.18813299,1.53609036,0.01883974,1.46224944
-5.53776888,3.62000133,0.02974993,0.42523246,0.01998100,0.00000000,1.17575605,1.55036694,0.01897487,1.47259488
-5.53176588,3.62064338,0.02959965,0.41187885,0.01986765,0.00000000,1.15811151,1.56062079,0.01901816,1.47762761
-5.52576288,3.60947509,0.02938873,0.39726086,0.01966772,0.00000000,1.13559181,1.56665407,0.01897010,1.47745542
-5.51975988,3.58686200,0.02913582,0.38154636,0.01938668,0.00000000,1.10867532,1.56834863,0.01883326,1.47228761
-5.51375688,3.55339334,0.02886167,0.36492714,0.01903180,0.00000000,1.07791249,1.56566393,0.01861222,1.46242609
-5.50775388,3.50985687,0.02858858,0.34761316,0.01861190,0.00000000,1.04391018,1.55863282,0.01831341,1.44825392
-5.50175088,3.45720811,0.02833977,0.32982637,0.01813704,0.00000000,1.00731495,1.54735551,0.01794496,1.43022142
-5.49574787,3.39653543,0.02813870,0.31179433,0.01761827,0.00000000,0.96879570,1.53199216,0.01751641,1.40883061
-5.48974487,3.32902224,0.02800835,0.29374391,0.01706724,0.00000000,0.92902655,1.51275430,0.01703842,1.38461861
-5.48374187,3.25590810,0.02797042,0.27589528,0.01649590,0.00000000,0.88867040,1.48989568,0.01652245,1.35814052
-5.47773887,3.17845004,0.02804462,0.25845634,0.01591615,0.00000000,0.84836377,1.46370280,0.01598041,1.32995277
-5.47173587,3.09788598,0.02824790,0.24161803,0.01533946,0.00000000,0.80870356,1.43448577,0.01542432,1.30059726
-5.46573287,3.01540138,0.02859373,0.22555028,0.01477665,0.00000000,0.77023597,1.40256961,0.01486595,1.27058725
-5.45972986,2.93210059,0.02909153,0.21039912,0.01423754,0.00000000,0.73344799,1.36828661,0.01431655,1.24039533
-5.45372686,2.84898390,0.02974609,0.19628471,0.01373081,0.00000000,0.69876158,1.33196977,0.01378653,1.21044394
-5.44772386,2.76693080,0.03055727,0.18330044,0.01326377,0.00000000,0.66653066,1.29394765,0.01328524,1.18109883
-5.44172086,2.68669021,0.03151972,0.17151310,0.01284232,0.00000000,0.63704076,1.25454068,0.01282083,1.15266557
-5.43571786,2.60887732,0.03262288,0.16096392,0.01247086,0.00000000,0.61051120,1.21405881,0.01240010,1.12538901
-5.42971486,2.53397697,0.03385111,0.15167050,0.01215234,0.00000000,0.58709934,1.17280057,0.01202845,1.09945571
-5.42371186,2.46235291,0.03518412,0.14362931,0.01188829,0.00000000,0.56690679,1.13105313,0.01170990,1.07499891
-5.41770885,2.39426182,0.03659749,0.13681880,0.01167900,0.00000000,0.54998671,1.08909330,0.01144712,1.05210562
-5.41170585,2.32987108,0.03806349,0.13120276,0.01152365,0.00000000,0.53635207,1.04718890,0.01124155,1.03082531
-5.40570285,2.26927893,0.03955202,0.12673375,0.01142048,0.00000000,0.52598393,1.00560044,0.01109352,1.01117960
-5.39969985,2.21253538,0.04103169,0.12335649,0.01136704,0.00000000,0.51883961,0.96458257,0.01100242,0.99317224
-5.39369685,2.15966275,0.04247104,0.12101096,0.01136037,0.00000000,0.51485993,0.92438496,0.01096684,0.97679876
-5.38769385,2.11067416,0.04383979,0.11963509,0.01139723,0.00000000,0.51397520,0.88525261,0.01098477,0.96205509
-5.38169085,2.06558899,0.04511007,0.11916694,0.01147425,0.00000000,0.51610973,0.84742502,0.01105374,0.94894472
-5.37568784,2.02444422,0.04625764,0.11954618,0.01158812,0.00000000,0.52118441,0.81113445,0.01117091,0.93748380
-5.36968484,1.98730104,0.04726293,0.12071501,0.01173570,0.00000000,0.52911746,0.77660305,0.01133325,0.92770398
-5.36368184,1.95424640,0.04811198,0.12261835,0.01191408,0.00000000,0.53982323,0.74403905,0.01153753,0.91965278
-5.35767884,1.92538935,0.04879707,0.12520346,0.01212066,0.00000000,0.55320924,0.71363208,0.01178042,0.91339139
-5.35167584,1.90085275,0.04931712,0.12841905,0.01235309,0.00000000,0.56917179,0.68554806,0.01205843,0.90899023
-5.34567284,1.88076081,0.04967786,0.13221390,0.01260926,0.00000000,0.58759037,0.65992370,0.01236795,0.90652242
-5.33966983,1.86522346,0.04989154,0.13653538,0.01288722,0.00000000,0.60832155,0.63686127,0.01270514,0.90605561
-5.33366683,1.85431871,0.04997650,0.14132766,0.01318507,0.00000000,0.63119268,0.61642370,0.01306593,0.90764287
-5.32766383,1.84807429,0.04995633,0.14653018,0.01350084,0.00000000,0.65599598,0.59863066,0.01344589,0.91131299
-5.32166083,1.84644982,0.04985880,0.15207620,0.01383240,0.00000000,0.68248372,0.58345573,0.01384025,0.91706111
-5.31565783,1.84932094,0.04971459,0.15789180,0.01417730,0.00000000,0.71036472,0.57082496,0.01424384,0.92484008
-5.30965483,1.85646640,0.04955585,0.16389529,0.01453272,0.00000000,0.73930286,0.56061712,0.01465104,0.93455337
-5.30365183,1.86755938,0.04941464,0.16999721,0.01489538,0.00000000,0.76891770,0.55266561,0.01505586,0.94604989
-5.29764882,1.88216342,0.04932139,0.17610098,0.01526150,0.00000000,0.79878755,0.54676206,0.01545199,0.95912119
-5.29164582,1.89973384,0.04930337,0.18210409,0.01562683,0.00000000,0.82845497,0.54266155,0.01583284,0.97350129
-5.28564282,1.91962438,0.04938336,0.18789991,0.01598664,0.00000000,0.85743462,0.54008922,0.01619174,0.98886932
-5.27963982,1.94109916,0.04957836,0.19337999,0.01633583,0.00000000,0.88522325,0.53874806,0.01652205,1.00485481
-5.27363682,1.96334940,0.04989875,0.19843678,0.01666903,0.00000000,0.91131138,0.53832738,0.01681734,1.02104559
-5.26763382,1.98551406,0.05034758,0.20296653,0.01698074,0.00000000,0.93519628,0.53851184,0.01707159,1.03699783
-5.26163082,2.00670358,0.05092025,0.20687236,0.01726544,0.00000000,0.95639568,0.53899041,0.01727934,1.05224794
-5.25562781,2.02602557,0.05160456,0.21006727,0.01751783,0.00000000,0.97446151,0.53946499,0.01743592,1.06632565
-5.24962481,2.04261120,0.05238108,0.21247689,0.01773293,0.00000000,0.98899314,0.53965827,0.01753754,1.07876780
-5.24362181,2.05564123,0.05322382,0.21404191,0.01790625,0.00000000,0.99964946,0.53932063,0.01758144,1.08913223
