energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.86720167,-1.02644004,0.01410275,-0.02095278,0.10279906,-0.02164375,0.82401204,-0.37303240,0.53053307,-0.13354509,0.00794533,-0.01164421,1.00536383,-0.65215621,0.59449380,-0.37683777,0.12837905,-0.05996590
-5.99399700,1.80202718,-1.01129916,0.01365817,-0.01983885,0.10829863,-0.02187283,0.79253132,-0.37967757,0.52421219,-0.13180480,0.00745309,-0.01062341,0.95748855,-0.64313641,0.56525257,-0.37334328,0.12231339,-0.05905943
-5.98799400,1.74111283,-1.00516834,0.01317804,-0.01874819,0.11510985,-0.02234801,0.76081749,-0.39020569,0.52151856,-0.13123805,0.00699562,-0.00972529,0.91003189,-0.64005855,0.53591812,-0.37328920,0.11619043,-0.05879980
-5.98199100,1.68491330,-1.00855152,0.01267037,-0.01768250,0.12321062,-0.02307540,0.72912154,-0.40481532,0.52249356,-0.13193638,0.00657708,-0.00894667,0.86330918,-0.64326134,0.50665141,-0.37687805,0.11007365,-0.05921783
-5.97598799,1.63379702,-1.02178765,0.01214491,-0.01664313,0.13254824,-0.02405651,0.69768868,-0.42363108,0.52709632,-0.13396925,0.00620235,-0.00828373,0.81763348,-0.65297387,0.47761733,-0.38424102,0.10402699,-0.06033426
-5.96998499,1.58804079,-1.04504273,0.01161294,-0.01563127,0.14303846,-0.02528802,0.66675487,-0.44669818,0.53520239,-0.13738244,0.00587701,-0.00773222,0.77331364,-0.66931022,0.44898419,-0.39543473,0.09811403,-0.06215930
-5.96398199,1.54782607,-1.07830491,0.01108698,-0.01464810,0.15456519,-0.02676165,0.63654331,-0.47397854,0.54660407,-0.14219689,0.00560730,-0.00728768,0.73065220,-0.69226621,0.42092297,-0.41043966,0.09239726,-0.06469247
-5.95797899,1.51323691,-1.12138246,0.01058046,-0.01369479,0.16698103,-0.02846416,0.60726126,-0.50534853,0.56101260,-0.14840812,0.00540011,-0.00694551,0.68994298,-0.72171812,0.39360621,-0.42916000,0.08693735,-0.06792249
-5.95197599,1.48426011,-1.17390506,0.01010748,-0.01277262,0.18010880,-0.03037741,0.57909704,-0.54059847,0.57806262,-0.15598606,0.00526291,-0.00670107,0.65146853,-0.75742359,0.36720651,-0.45142518,0.08179256,-0.07182727
-5.94597299,1.46078762,-1.23532811,0.00968242,-0.01188295,0.19374403,-0.03247857,0.55221758,-0.57943405,0.59731866,-0.16487539,0.00520362,-0.00654971,0.61549733,-0.79902458,0.34189481,-0.47699291,0.07701812,-0.07637416
