energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,1.42397161,0.03594446,0.08421593,0.40373965,0.18523149,0.45895758,0.40560896,0.02825193,0.58204740
-5.99399700,1.47121263,0.03786966,0.08367011,0.40856858,0.18845016,0.46631575,0.43680687,0.03128812,0.60093597
-5.98799400,1.52352903,0.03987060,0.08314701,0.41390899,0.19194049,0.47461290,0.47114394,0.03452308,0.62218891
-5.98199100,1.58129544,0.04193412,0.08268547,0.41987947,0.19574209,0.48402097,0.50864885,0.03793882,0.64602927
-5.97598799,1.64469189,0.04404282,0.08231693,0.42655883,0.19987510,0.49466555,0.54926164,0.04151131,0.67260077
-5.96998499,1.71368339,0.04617523,0.08206442,0.43398212,0.20433867,0.50661985,0.59282573,0.04521049,0.70195716
-5.96398199,1.78800707,0.04830626,0.08194190,0.44213861,0.20911032,0.51990066,0.63908288,0.04900051,0.73405450
-5.95797899,1.86716768,0.05040780,0.08195402,0.45097171,0.21414621,0.53446639,0.68767145,0.05284020,0.76874671
-5.95197599,1.95044142,0.05244942,0.08209630,0.46038076,0.21938244,0.55021714,0.73812830,0.05668377,0.80578447
-5.94597299,2.03688825,0.05439927,0.08235569,0.47022454,0.22473703,0.56699684,0.78989452,0.06048168,0.84481756
-5.93996998,2.12537197,0.05622499,0.08271143,0.48032634,0.23011265,0.58459708,0.84232475,0.06418172,0.88540062
-5.93396698,2.21458747,0.05789474,0.08313625,0.49048014,0.23539997,0.60276265,0.89470021,0.06773019,0.92700211
-5.92796398,2.30309396,0.05937811,0.08359767,0.50045771,0.24048133,0.62119826,0.94624477,0.07107325,0.96901606
-5.92196098,2.38935308,0.06064710,0.08405949,0.51001626,0.24523467,0.63957641,0.99614384,0.07415826,1.01077642
-5.91595798,2.47177032,0.06167690,0.08448331,0.51890623,0.24953746,0.65754587,1.04356529,0.07693521,1.05157337
-5.90995498,2.54873843,0.06244664,0.08483005,0.52687901,0.25327059,0.67474079,1.08768164,0.07935801,1.09067114
-5.90395198,2.61868132,0.06293991,0.08506133,0.53369430,0.25632195,0.69078982,1.12769289,0.08138576,1.12732687
-5.89794897,2.68009690,0.06314519,0.08514081,0.53912676,0.25858967,0.70532543,1.16284893,0.08298387,1.16080977
-5.89194597,2.73159774,0.06305604,0.08503528,0.54297208,0.25998490,0.71799279,1.19247091,0.08412497,1.19042020
-5.88594297,2.77194813,0.06267115,0.08471564,0.54505196,0.26043406,0.72845845,1.21597057,0.08478964,1.21550802
-5.87993997,2.80009657,0.06199422,0.08415759,0.54521832,0.25988056,0.73641837,1.23286698,0.08496687,1.23548970
-5.87393697,2.81520294,0.06103374,0.08334221,0.54335647,0.25828596,0.74160529,1.24280000,0.08465428,1.24986376
-5.86793397,2.81665954,0.05980257,0.08225629,0.53938730,0.25563058,0.74379532,1.24554000,0.08385812,1.25822406
-5.86193097,2.80410559,0.05831747,0.08089244,0.53326866,0.25191364,0.74281352,1.24099361,0.08259299,1.26027053
-5.85592796,2.77743505,0.05659857,0.07924917,0.52499577,0.24715286,0.73853858,1.22920522,0.08088128,1.25581718
-5.84992496,2.73679747,0.05466876,0.07733064,0.51460091,0.24138372,0.73090614,1.21035436,0.07875256,1.24479700
-5.84392196,2.68259232,0.05255310,0.07514648,0.50215230,0.23465828,0.71991100,1.18474916,0.07624261,1.22726367
