energy_ev,total_up,B_p_up,B_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.15924850,0.00011730,0.00000000,1.25346044,0.37611547,0.00754195,0.03486212
-5.99399700,1.11027756,0.00010901,0.00000000,1.20372760,0.36537655,0.00688412,0.03387474
-5.98799400,1.06419190,0.00010137,0.00000000,1.15761973,0.35530881,0.00626368,0.03286636
-5.98199100,1.02169069,0.00009451,0.00000000,1.11596136,0.34613562,0.00568485,0.03185374
-5.97598799,0.98342975,0.00008857,0.00000000,1.07953606,0.33807294,0.00515080,0.03085501
-5.96998499,0.95001920,0.00008370,0.00000000,1.04908319,0.33132827,0.00466367,0.02988942
-5.96398199,0.92202153,0.00008001,0.00000000,1.02529465,0.32609965,0.00422468,0.02897712
-5.95797899,0.89994946,0.00007760,0.00000000,1.00881081,0.32257439,0.00383419,0.02813877
-5.95197599,0.88426289,0.00007657,0.00000000,1.00021516,0.32092733,0.00349179,0.02739510
-5.94597299,0.87536461,0.00007700,0.00000000,1.00002675,0.32131857,0.00319647,0.02676645
-5.93996998,0.87359407,0.00007894,0.00000000,1.00869034,0.32389043,0.00294664,0.02627219
-5.93396698,0.87921929,0.00008244,0.00000000,1.02656366,0.32876358,0.00274031,0.02593012
-5.92796398,0.89242655,0.00008751,0.00000000,1.05390219,0.33603238,0.00257511,0.02575587
-5.92196098,0.91330838,0.00009416,0.00000000,1.09084154,0.34575961,0.00244844,0.02576224
-5.91595798,0.94185006,0.00010235,0.00000000,1.13737824,0.35797059,0.00235746,0.02595859
-5.90995498,0.97791556,0.00011204,0.00000000,1.19334994,0.37264712,0.00229919,0.02635026
-5.90395198,1.02123359,0.00012315,0.00000000,1.25841614,0.38972162,0.00227057,0.02693807
-5.89794897,1.07138513,0.00013556,0.00000000,1.33204095,0.40907170,0.00226840,0.02771789
-5.89194597,1.12779342,0.00014913,0.00000000,1.41347950,0.43051586,0.00228947,0.02868040
-5.88594297,1.18971772,0.00016370,0.00000000,1.50176951,0.45381057,0.00233047,0.02981092
-5.87993997,1.25625188,0.00017906,0.00000000,1.59572939,0.47864927,0.00238808,0.03108944
-5.87393697,1.32632891,0.00019499,0.00000000,1.69396439,0.50466365,0.00245892,0.03249087
-5.86793397,1.39873198,0.00021123,0.00000000,1.79488145,0.53142743,0.00253962,0.03398546
