energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.68184022,0.03353160,0.00059208,0.00979988,0.43295614,0.26001282,0.19831222
-5.99399700,0.65789276,0.03317082,0.00061647,0.00918132,0.41479844,0.23004044,0.19645335
-5.98799400,0.63931150,0.03306261,0.00064184,0.00866762,0.40019054,0.20386694,0.19567369
-5.98199100,0.62558561,0.03319001,0.00066773,0.00825045,0.38879260,0.18135973,0.19579299
-5.97598799,0.61617873,0.03353694,0.00069375,0.00792085,0.38024252,0.16235338,0.19662781
-5.96998499,0.61055924,0.03408966,0.00071957,0.00766976,0.37417539,0.14666268,0.19799995
-5.96398199,0.60822805,0.03483814,0.00074491,0.00748837,0.37024124,0.13409464,0.19974416
-5.95797899,0.60874279,0.03577709,0.00076962,0.00736847,0.36812070,0.12445883,0.20171491
-5.95197599,0.61173744,0.03690680,0.00079364,0.00730274,0.36753781,0.11757600,0.20379192
-5.94597299,0.61693661,0.03823357,0.00081707,0.00728494,0.36826958,0.11328447,0.20588429
-5.93996998,0.62416389,0.03976981,0.00084009,0.00730999,0.37015203,0.11144442,0.20793292
-5.93396698,0.63334416,0.04153366,0.00086306,0.00737408,0.37308253,0.11193987,0.20991135
-5.92796398,0.64449953,0.04354830,0.00088641,0.00747455,0.37701846,0.11467853,0.21182481
-5.92196098,0.65773942,0.04584076,0.00091071,0.00760981,0.38197233,0.11958959,0.21370765
-5.91595798,0.67324514,0.04844044,0.00093657,0.00777917,0.38800372,0.12661971,0.21561927
-5.90995498,0.69124976,0.05137722,0.00096469,0.00798259,0.39520848,0.13572743,0.21763874
-5.90395198,0.71201417,0.05467941,0.00099577,0.00822045,0.40370568,0.14687646,0.21985846
-5.89794897,0.73580058,0.05837145,0.00103048,0.00849322,0.41362317,0.16002804,0.22237699
-5.89194597,0.76284480,0.06247159,0.00106943,0.00880125,0.42508232,0.17513296,0.22529171
-5.88594297,0.79332855,0.06698965,0.00111314,0.00914442,0.43818283,0.19212356,0.22869142
-5.87993997,0.82735344,0.07192481,0.00116199,0.00952196,0.45298841,0.21090618,0.23264945
-5.87393697,0.86491791,0.07726387,0.00121617,0.00993224,0.46951411,0.23135458,0.23721756
-5.86793397,0.90589856,0.08297978,0.00127567,0.01037261,0.48771599,0.25330454,0.24242103
-5.86193097,0.95003690,0.08903073,0.00134027,0.01083940,0.50748377,0.27655023,0.24825512
-5.85592796,0.99693248,0.09535982,0.00140947,0.01132785,0.52863688,0.30084255,0.25468327
-5.84992496,1.04604315,0.10189540,0.00148257,0.01183225,0.55092429,0.32588955,0.26163701
-5.84392196,1.09669252,0.10855206,0.00155858,0.01234610,0.57402823,0.35135934,0.26901771
-5.83791896,1.14808470,0.11523239,0.00163634,0.01286229,0.59757165,0.37688519,0.27670003
-5.83191596,1.19932589,0.12182928,0.00171445,0.01337344,0.62112929,0.40207298,0.28453703
-5.82591296,1.24945183,0.12822888,0.00179139,0.01387219,0.64424169,0.42651057,0.29236653
-5.81990995,1.29746022,0.13431403,0.00186550,0.01435154,0.66643180,0.44977897,0.30001853
-5.81390695,1.34234640,0.13996797,0.00193510,0.01480525,0.68722306,0.47146463,0.30732325
-5.80790395,1.38314085,0.14507832,0.00199849,0.01522811,0.70615841,0.49117262,0.31411930
-5.80190095,1.41894668,0.14954098,0.00205404,0.01561626,0.72281903,0.50853988,0.32026170
-5.79589795,1.44897521,0.15326392,0.00210023,0.01596743,0.73684207,0.52324800,0.32562918
-5.78989495,1.47257802,0.15617057,0.00213575,0.01628105,0.74793633,0.53503505,0.33013031
-5.78389195,1.48927386,0.15820275,0.00215948,0.01655838,0.75589523,0.54370572,0.33370838
-5.77788894,1.49876904,0.15932286,0.00217062,0.01680241,0.76060633,0.54913940,0.33634445
-5.77188594,1.50097041,0.15951537,0.00216863,0.01701777,0.76205697,0.55129574,0.33805863
-5.76588294,1.49599026,0.15878748,0.00215332,0.01721047,0.76033578,0.55021740,0.33890940
-5.75987994,1.48414300,0.15716886,0.00212484,0.01738758,0.75563003,0.54602998,0.33899109
-5.75387694,1.46593392,0.15471057,0.00208364,0.01755683,0.74821900,0.53893899,0.33842961
-5.74787394,1.44204062,0.15148320,0.00203053,0.01772618,0.73846374,0.52922402,0.33737676
-5.74187094,1.41328817,0.14757430,0.00196658,0.01790329,0.72679382,0.51723057,0.33600337
-5.73586793,1.38061941,0.14308526,0.00189313,0.01809508,0.71369185,0.50335968,0.33449162
-5.72986493,1.34506181,0.13812776,0.00181171,0.01830724,0.69967642,0.48805602,0.33302721
-5.72386193,1.30769257,0.13282003,0.00172402,0.01854384,0.68528451,0.47179490,0.33179147
-5.71785893,1.26960373,0.12728299,0.00163189,0.01880697,0.67105407,0.45506874,0.33095411
-5.71185593,1.23186866,0.12163652,0.00153718,0.01909650,0.65750762,0.43837362,0.33066689
-5.70585293,1.19551154,0.11599603,0.00144177,0.01941001,0.64513753,0.42219623,0.33105843
-5.69984992,1.16148081,0.11046934,0.00134747,0.01974273,0.63439356,0.40700186,0.33223059
-5.69384692,1.13062750,0.10515411,0.00125603,0.02008771,0.62567300,0.39322363,0.33425642
-5.68784392,1.10368896,0.10013579,0.00116905,0.02043607,0.61931354,0.38125327,0.33717967
-5.68184092,1.08127816,0.09548623,0.00108800,0.02077737,0.61558908,0.37143354,0.34101598
-5.67583792,1.06387838,0.09126279,0.00101415,0.02110009,0.61470815,0.36405250,0.34575545
-5.66983492,1.05184294,0.08750810,0.00094858,0.02139218,0.61681476,0.35933941,0.35136635
-5.66383192,1.04539934,0.08425028,0.00089218,0.02164164,0.62199132,0.35746240,0.35779980
-5.65782891,1.04465696,0.08150363,0.00084562,0.02183714,0.63026315,0.35852760,0.36499496
-5.65182591,1.04961759,0.07926967,0.00080939,0.02196861,0.64160419,0.36257979,0.37288453
-5.64582291,1.06018783,0.07753846,0.00078378,0.02202779,0.65594331,0.36960423,0.38140005
-5.63981991,1.07619255,0.07629010,0.00076892,0.02200870,0.67317109,0.37952975,0.39047683
-5.63381691,1.09738881,0.07549632,0.00076476,0.02190801,0.69314644,0.39223280,0.40005828
-5.62781391,1.12347960,0.07512213,0.00077115,0.02172530,0.71570307,0.40754260,0.41009926
-5.62181091,1.15412692,0.07512745,0.00078781,0.02146315,0.74065549,0.42524710,0.42056849
-5.61580790,1.18896412,0.07546865,0.00081435,0.02112714,0.76780457,0.44509986,0.43144996
-5.60980490,1.22760721,0.07610002,0.00085033,0.02072569,0.79694263,0.46682780,0.44274312
