energy_ev,total_up,Bi_p_up,Bi_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,4.40050413,1.25319494,0.01654013,2.15159400,1.76612182,1.58905799,0.00000000
-5.99399700,4.44470068,1.28638651,0.01732424,2.16544529,1.79222139,1.57349013,0.00000000
-5.98799400,4.48153777,1.31753263,0.01810061,2.17410919,1.81555045,1.55494201,0.00000000
-5.98199100,4.51019080,1.34636662,0.01886026,2.17730857,1.83577805,1.53315341,0.00000000
-5.97598799,4.53004312,1.37263299,0.01959363,2.17487527,1.85264979,1.50800574,0.00000000
-5.96998499,4.54066420,1.39608279,0.02029074,2.16673613,1.86598036,1.47951231,0.00000000
-5.96398199,4.54178456,1.41647037,0.02094132,2.15289805,1.87564458,1.44780431,0.00000000
-5.95797899,4.53326971,1.43355211,0.02153500,2.13343336,1.88156806,1.41311358,0.00000000
-5.95197599,4.51509538,1.44708728,0.02206156,2.10846662,1.88371800,1.37575345,0.00000000
-5.94597299,4.48732562,1.45684143,0.02251120,2.07816366,1.88209485,1.33609848,0.00000000
-5.93996998,4.45009516,1.46259199,0.02287481,2.04272339,1.87672536,1.29456436,0.00000000
-5.93396698,4.40359654,1.46413603,0.02314431,2.00237274,1.86765711,1.25158855,0.00000000
-5.92796398,4.34807247,1.46129969,0.02331295,1.95736443,1.85495493,1.20761254,0.00000000
-5.92196098,4.28381281,1.45394855,0.02337554,1.90797737,1.83869892,1.16306612,0.00000000
-5.91595798,4.21115587,1.44199843,0.02332878,1.85451907,1.81898413,1.11835416,0.00000000
-5.90995498,4.13049281,1.42542583,0.02317140,1.79732933,1.79592151,1.07384594,0.00000000
-5.90395198,4.04227422,1.40427721,0.02290435,1.73678442,1.76964004,1.02986736,0.00000000
-5.89794897,3.94701763,1.37867652,0.02253085,1.67330097,1.74028944,0.98669575,0.00000000
-5.89194597,3.84531491,1.34883040,0.02205640,1.60733881,1.70804341,0.94455741,0.00000000
-5.88594297,3.73783844,1.31503061,0.02148871,1.53940222,1.67310296,0.90362751,0.00000000
-5.87993997,3.62534540,1.27765338,0.02083755,1.47003908,1.63569951,0.86403221,0.00000000
-5.87393697,3.50867935,1.23715573,0.02011453,1.39983773,1.59609762,0.82585269,0.00000000
-5.86793397,3.38876890,1.19406862,0.01933283,1.32942146,1.55459709,0.78913069,0.00000000
-5.86193097,3.26662311,1.14898739,0.01850687,1.25944073,1.51153418,0.75387533,0.00000000
-5.85592796,3.14332367,1.10255965,0.01765190,1.19056341,1.46728193,0.72007068,0.00000000
-5.84992496,3.02001393,1.05547118,0.01678367,1.12346346,1.42224931,0.68768378,0.00000000
-5.84392196,2.89788500,1.00843033,0.01591798,1.05880845,1.37687909,0.65667275,0.00000000
-5.83791896,2.77815930,0.96215155,0.01507032,0.99724651,1.33164445,0.62699442,0.00000000
-5.83191596,2.66207180,0.91733845,0.01425543,0.93939320,1.28704401,0.59861139,0.00000000
-5.82591296,2.55084935,0.87466713,0.01348700,0.88581878,1.24359552,0.57149791,0.00000000
-5.81990995,2.44568870,0.83477015,0.01277731,0.83703643,1.20182800,0.54564454,0.00000000
-5.81390695,2.34773346,0.79822167,0.01213700,0.79349169,1.16227250,0.52106121,0.00000000
-5.80790395,2.25805069,0.76552415,0.01157478,0.75555353,1.12545159,0.49777872,0.00000000
-5.80190095,2.17760770,0.73709688,0.01109734,0.72350727,1.09186795,0.47584845,0.00000000
-5.79589795,2.10724964,0.71326675,0.01070916,0.69754964,1.06199214,0.45534054,0.00000000
-5.78989495,2.04767875,0.69426134,0.01041252,0.67778590,1.03625023,0.43634053,0.00000000
-5.78389195,1.99943588,0.68020470,0.01020744,0.66422944,1.01501165,0.41894479,0.00000000
-5.77788894,1.96288532,0.67111564,0.01009179,0.65680351,0.99857783,0.40325496,0.00000000
-5.77188594,1.93820345,0.66690894,0.01006136,0.65534535,0.98717218,0.38937184,0.00000000
-5.76588294,1.92537232,0.66739918,0.01011002,0.65961261,0.98093206,0.37738910,0.00000000
-5.75987994,1.92417839,0.67230737,0.01022994,0.66929174,0.97990316,0.36738718,0.00000000
-5.75387694,1.93421726,0.68127011,0.01041181,0.68400852,0.98403681,0.35942778,0.00000000
-5.74787394,1.95490443,0.69385111,0.01064513,0.70334015,0.99319047,0.35354930,0.00000000
-5.74187094,1.98549212,0.70955482,0.01091852,0.72682885,1.00713166,0.34976359,0.00000000
-5.73586793,2.02509195,0.72784187,0.01122003,0.75399650,1.02554528,0.34805404,0.00000000
-5.72986493,2.07270284,0.74814569,0.01153748,0.78435984,1.04804421,0.34837538,0.00000000
-5.72386193,2.12724327,0.76989010,0.01185879,0.81744596,1.07418286,0.35065503,0.00000000
-5.71785893,2.18758692,0.79250704,0.01217235,0.85280738,1.10347321,0.35479612,0.00000000
-5.71185593,2.25260036,0.81545412,0.01246730,0.89003627,1.13540277,0.36068191,0.00000000
-5.70585293,2.32118135,0.83823126,0.01273381,0.92877751,1.16945378,0.36818147,0.00000000
-5.69984992,2.39229655,0.86039591,0.01296340,0.96873983,1.20512284,0.37715639,0.00000000
-5.69384692,2.46501700,0.88157639,0.01314907,1.00970507,1.24194044,0.38746811,0.00000000
-5.68784392,2.53855031,0.90148290,0.01328553,1.05153494,1.27948942,0.39898561,0.00000000
-5.68184092,2.61226848,0.91991586,0.01336928,1.09417541,1.31742195,0.41159315,0.00000000
-5.67583792,2.68573035,0.93677142,0.01339867,1.13765856,1.35547435,0.42519763,0.00000000
-5.66983492,2.75869826,0.95204394,0.01337390,1.18210199,1.39347928,0.43973529,0.00000000
