energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,17.07362338,5.03411887,9.10664853,0.06029235,1.91450170,0.77014289,1.06960135,0.11804254,3.39398852
-5.99399700,16.96406563,4.94634459,9.03595700,0.06162341,1.86874025,0.76912228,1.08826448,0.11982424,3.41889758
-5.98799400,16.81995169,4.84779400,8.94944722,0.06273474,1.81942060,0.76702802,1.10322134,0.12139692,3.43507575
-5.98199100,16.64491041,4.74081698,8.84922796,0.06361045,1.76746730,0.76401424,1.11422000,0.12274525,3.44258199
-5.97598799,16.44298359,4.62789460,8.73753385,0.06423931,1.71382757,0.76027209,1.12107375,0.12385684,3.44163967
-5.96998499,16.21849798,4.51157294,8.61665251,0.06461513,1.65944548,0.75602353,1.12366497,0.12472220,3.43262425
-5.96398199,15.97593188,4.39439445,8.48885291,0.06473689,1.60523602,0.75151383,1.12194724,0.12533449,3.41604681
-5.95797899,15.71978141,4.27882916,8.35631793,0.06460886,1.55206035,0.74700308,1.11594558,0.12568928,3.39253427
-5.95197599,15.45443155,4.16720783,8.22108378,0.06424045,1.50070284,0.74275694,1.10575478,0.12578421,3.36280678
-5.94597299,15.18403663,4.06165943,8.08498862,0.06364596,1.45185097,0.73903693,1.09153610,0.12561869,3.32765329
-5.93996998,14.91241447,3.96405478,7.94963192,0.06284416,1.40607865,0.73609068,1.07351229,0.12519357,3.28790606
-5.93396698,14.64295751,3.87595835,7.81634598,0.06185779,1.36383359,0.73414232,1.05196133,0.12451083,3.24441505
-5.92796398,14.37856357,3.79858962,7.68617978,0.06071288,1.32542899,0.73338353,1.02720910,0.12357340,3.19802323
-5.92196098,14.12158785,3.73279529,7.55989521,0.05943808,1.29103993,0.73396553,0.99962123,0.12238495,3.14954354
-5.91595798,13.87381673,3.67903312,7.43797480,0.05806382,1.26070426,0.73599234,0.96959449,0.12094986,3.09973844
-5.90995498,13.63646307,3.63736785,7.32063966,0.05662154,1.23432790,0.73951557,0.93754804,0.11927323,3.04930255
-5.90395198,13.41018194,3.60747919,7.20787598,0.05514284,1.21169432,0.74453108,0.90391471,0.11736093,2.99884916
-5.89794897,13.19510467,3.58868156,7.09946811,0.05365873,1.19247746,0.75097748,0.86913266,0.11521984,2.94890063
-5.89194597,12.99088883,3.57995465,6.99503601,0.05219882,1.17625779,0.75873682,0.83363757,0.11285798,2.89988313
-5.88594297,12.79678103,3.57998385,6.89407515,0.05079068,1.16254060,0.76763723,0.79785554,0.11028483,2.85212545
-5.87993997,12.61168930,3.58720890,6.79599668,0.04945921,1.15077593,0.77745762,0.76219677,0.10751150,2.80586182
-5.87393697,12.43426173,3.59987899,6.70016614,0.04822611,1.14037928,0.78793420,0.72705009,0.10455104,2.76123818
-5.86793397,12.26296795,3.61611251,6.60593942,0.04710951,1.13075246,0.79876850,0.69277841,0.10141853,2.71832158
-5.86193097,12.09618034,3.63395908,6.51269464,0.04612368,1.12130375,0.80963678,0.65971496,0.09813127,2.67711178
-5.85592796,11.93225213,3.65146189,6.41985938,0.04527879,1.11146676,0.82020023,0.62816038,0.09470875,2.63755459
-5.84992496,11.76958999,3.66671803,6.32693285,0.04458090,1.10071746,0.83011576,0.59838060,0.09117265,2.59955610
-5.84392196,11.60671898,3.67793481,6.23350304,0.04403200,1.08858877,0.83904676,0.57060528,0.08754661,2.56299706
-5.83791896,11.44233844,3.68348016,6.13925895,0.04363010,1.07468250,0.84667355,0.54502705,0.08385607,2.52774675
-5.83191596,11.27536777,3.68192560,6.04399858,0.04336955,1.05867823,0.85270312,0.52180115,0.08012786,2.49367577
-5.82591296,11.10498142,3.67208035,5.94763304,0.04324135,1.04033911,0.85687766,0.50104567,0.07638983,2.46066729
-5.81990995,10.93063318,3.65301587,5.85018765,0.04323352,1.01951457,0.85898176,0.48284219,0.07267040,2.42862630
-5.81390695,10.75206970,3.62408033,5.75180047,0.04333164,0.99613987,0.85884789,0.46723698,0.06899807,2.39748681
-5.80790395,10.56933416,3.58490290,5.65271902,0.04351932,0.97023302,0.85636021,0.45424242,0.06540092,2.36721677
-5.80190095,10.38276072,3.53538848,5.55329549,0.04377876,0.94188909,0.85145648,0.44383904,0.06190613,2.33782083
-5.79589795,10.19296085,3.47570350,5.45398105,0.04409135,0.91127244,0.84412817,0.43597777,0.05853951,2.30934112
-5.78989495,10.00080280,3.40625412,5.35531913,0.04443821,0.87860728,0.83441895,0.43058262,0.05532511,2.28185621
-5.78389195,9.80738543,3.32765812,5.25793811,0.04480077,0.84416703,0.82242166,0.42755373,0.05228482,2.25547865
-5.77788894,9.61400766,3.24071231,5.16254316,0.04516123,0.80826303,0.80827397,0.42677060,0.04943814,2.23035138
-5.77188594,9.42213485,3.14635696,5.06990730,0.04550308,0.77123296,0.79215318,0.42809567,0.04680188,2.20664328
-5.76588294,9.23336328,3.04563917,4.98086141,0.04581148,0.73342955,0.77427025,0.43137796,0.04439005,2.18454440
-5.75987994,9.04938368,2.93967679,4.89628310,0.04607359,0.69520993,0.75486347,0.43645696,0.04221374,2.16426086
-5.75387694,8.87194492,2.82962430,4.81708435,0.04627881,0.65692597,0.73419214,0.44316632,0.04028110,2.14600987
-5.74787394,8.70281852,2.71664195,4.74419771,0.04641896,0.61891585,0.71253030,0.45133764,0.03859734,2.13001496
-5.74187094,8.54376466,2.60186917,4.67856116,0.04648833,0.58149712,0.69016101,0.46080402,0.03716481,2.11650149
-5.73586793,8.39650021,2.48640277,4.62110170,0.04648375,0.54496133,0.66737108,0.47140334,0.03598312,2.10569252
-5.72986493,8.26266921,2.37128047,4.57271776,0.04640444,0.50957024,0.64444667,0.48298128,0.03504932,2.09780498
-5.72386193,8.14381610,2.25746957,4.53426091,0.04625198,0.47555359,0.62166954,0.49539398,0.03435804,2.09304626
-5.71785893,8.04136203,2.14586081,4.50651716,0.04603007,0.44310835,0.59931421,0.50851027,0.03390177,2.09161096
-5.71185593,7.95658453,2.03726670,4.49018842,0.04574440,0.41239926,0.57764597,0.52221356,0.03367114,2.09367800
-5.70585293,7.89060079,1.93242389,4.48587477,0.04540242,0.38356054,0.55691956,0.53640334,0.03365520,2.09940791
-5.69984992,7.84435497,1.83199872,4.49405822,0.04501316,0.35669850,0.53737864,0.55099641,0.03384179,2.10894052
-5.69384692,7.81860980,1.73659530,4.51508866,0.04458704,0.33189480,0.51925584,0.56592776,0.03421795,2.12239296
-5.68784392,7.81394290,1.64676508,4.54917290,0.04413570,0.30921024,0.50277328,0.58115135,0.03477031,2.13985830
-5.68184092,7.83074802,1.56301729,4.59636721,0.04367190,0.28868880,0.48814355,0.59664075,0.03548556,2.16140478
-5.67583792,7.86924156,1.48582947,4.65657432,0.04320940,0.27036164,0.47557085,0.61238970,0.03635090,2.18707598
-5.66983492,7.92947438,1.41565734,4.72954508,0.04276289,0.25425108,0.46525232,0.62841265,0.03735455,2.21689200
-5.66383192,8.01134866,1.35294352,4.81488513,0.04234789,0.24037414,0.45737931,0.64474538,0.03848617,2.25085166
-5.65782891,8.11463937,1.29812448,4.91206669,0.04198074,0.22874573,0.45213856,0.66144552,0.03973731,2.28893594
-5.65182591,8.23901951,1.25163546,5.02044496,0.04167848,0.21938112,0.44971298,0.67859298,0.04110179,2.33111232
-5.64582291,8.38408781,1.21391272,5.13927886,0.04145874,0.21229784,0.45028200,0.69629020,0.04257595,2.37733995
-5.63981991,8.54939727,1.18539316,5.26775488,0.04133957,0.20751662,0.45402130,0.71466207,0.04415886,2.42757519
