energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
4.42721361,2.91556112,0.23884344,0.03304324,0.21588701,0.41560757,0.11031960,0.34211031,1.79177231,1.66494516
4.43321661,2.86573992,0.23303406,0.03166077,0.21235736,0.40840550,0.11000191,0.33254457,1.77377775,1.63300588
4.43921961,2.80551106,0.22647628,0.03023833,0.20816329,0.39918384,0.10932833,0.32242540,1.74812104,1.59534398
4.44522261,2.73598346,0.21930174,0.02879169,0.20343000,0.38813087,0.10833136,0.31186865,1.71526439,1.55268929
4.45122561,2.65840305,0.21164874,0.02733639,0.19828914,0.37546222,0.10704860,0.30099926,1.67578130,1.50584096
4.45722861,2.57411341,0.20365867,0.02588756,0.19287452,0.36141448,0.10552158,0.28994674,1.63033927,1.45564147
4.46323162,2.48451615,0.19547261,0.02445976,0.18731786,0.34623842,0.10379449,0.27884102,1.57968086,1.40295112
4.46923462,2.39103233,0.18722821,0.02306686,0.18174477,0.33019209,0.10191275,0.26780897,1.52460365,1.34862361
4.47523762,2.29506600,0.17905687,0.02172195,0.17627091,0.31353404,0.09992173,0.25697163,1.46593974,1.29348367
4.48124062,2.19797113,0.17108150,0.02043731,0.17099874,0.29651684,0.09786535,0.24644205,1.40453548,1.23830728
4.48724362,2.10102267,0.16341466,0.01922436,0.16601479,0.27938120,0.09578493,0.23632394,1.34123208,1.18380485
4.49324662,2.00539247,0.15615728,0.01809369,0.16138759,0.26235084,0.09371809,0.22671093,1.27684744,1.13060803
4.49924962,1.91213058,0.14939790,0.01705504,0.15716639,0.24562815,0.09169785,0.21768651,1.21216006,1.07926001
4.50525263,1.82215208,0.14321238,0.01611743,0.15338064,0.22939090,0.08975198,0.20932443,1.14789502,1.03020967
4.51125563,1.73622951,0.13766409,0.01528910,0.15004019,0.21378995,0.08790256,0.20168959,1.08471266,0.98380932
4.51725863,1.65499069,0.13280449,0.01457767,0.14713639,0.19894800,0.08616576,0.19483916,1.02319994,0.94031590
4.52326163,1.57892145,0.12867398,0.01399011,0.14464366,0.18495933,0.08455201,0.18882388,0.96386469,0.89989536
4.52926463,1.50837264,0.12530300,0.01353284,0.14252183,0.17189049,0.08306620,0.18368934,0.90713258,0.86262963
4.53526763,1.44357068,0.12271315,0.01321169,0.14071889,0.15978183,0.08170830,0.17947714,0.85334675,0.82852584
4.54127064,1.38463077,0.12091841,0.01303192,0.13917402,0.14864965,0.08047401,0.17622572,0.80276983,0.79752708
4.54727364,1.33157163,0.11992615,0.01299815,0.13782088,0.13848897,0.07935559,0.17397084,0.75558793,0.76952411
4.55327664,1.28433093,0.11973799,0.01311428,0.13659093,0.12927664,0.07834279,0.17274552,0.71191627,0.74436737
4.55927964,1.24278042,0.12035032,0.01338332,0.13541652,0.12097460,0.07742373,0.17257942,0.67180594,0.72187874
4.56528264,1.20673972,0.12175455,0.01380722,0.13423386,0.11353327,0.07658582,0.17349761,0.63525138,0.70186237
4.57128564,1.17598827,0.12393691,0.01438666,0.13298546,0.10689475,0.07581646,0.17551879,0.60219802,0.68411420
4.57728864,1.15027470,0.12687790,0.01512072,0.13162215,0.10099583,0.07510376,0.17865299,0.57254980,0.66842973
4.58329165,1.12932340,0.13055139,0.01600664,0.13010453,0.09577063,0.07443689,0.18289878,0.54617614,0.65460978
4.58929465,1.11283810,0.13492346,0.01703949,0.12840376,0.09115283,0.07380642,0.18824032,0.52291812,0.64246423
4.59529765,1.10050279,0.13995098,0.01821189,0.12650178,0.08707747,0.07320431,0.19464424,0.50259368,0.63181357
4.60130065,1.09198014,0.14558023,0.01951369,0.12439096,0.08348223,0.07262376,0.20205672,0.48500187,0.62248868
4.60730365,1.08690829,0.15174549,0.02093183,0.12207317,0.08030832,0.07205894,0.21040085,0.46992608,0.61432891
4.61330665,1.08489648,0.15836795,0.02245014,0.11955849,0.07750092,0.07150450,0.21957470,0.45713649,0.60717903
4.61930965,1.08552064,0.16535494,0.02404930,0.11686357,0.07500932,0.07095507,0.22945008,0.44639181,0.60088540
4.62531266,1.08831966,0.17259968,0.02570695,0.11400978,0.07278674,0.07040470,0.23987240,0.43744074,0.59529195
4.63131566,1.09279327,0.17998172,0.02739787,0.11102133,0.07078997,0.06984635,0.25066166,0.43002327,0.59023652
4.63731866,1.09840223,0.18736808,0.02909432,0.10792338,0.06897901,0.06927150,0.26161471,0.42387220,0.58554789
4.64332166,1.10457138,0.19461515,0.03076653,0.10474041,0.06731655,0.06866983,0.27250873,0.41871501,0.58104406
4.64932466,1.11069597,0.20157135,0.03238335,0.10149477,0.06576760,0.06802909,0.28310599,0.41427640,0.57653198
4.65532766,1.11615129,0.20808058,0.03391294,0.09820560,0.06429918,0.06733526,0.29315974,0.41028150,0.57180888
4.66133067,1.12030536,0.21398617,0.03532362,0.09488812,0.06288016,0.06657273,0.30242085,0.40645980,0.56666539
4.66733367,1.12253438,0.21913534,0.03658478,0.09155332,0.06148128,0.06572485,0.31064527,0.40254976,0.56089005
4.67333667,1.12224009,0.22338396,0.03766779,0.08820803,0.06007524,0.06477455,0.31760166,0.39830395,0.55427530
4.67933967,1.11886823,0.22660124,0.03854690,0.08485528,0.05863703,0.06370508,0.32307904,0.39349449,0.54662427
4.68534267,1.11192707,0.22867430,0.03920007,0.08149503,0.05714432,0.06250087,0.32689408,0.38791846,0.53775822
4.69134567,1.10100505,0.22951233,0.03960977,0.07812499,0.05557787,0.06114840,0.32889748,0.38140309,0.52752390
4.69734867,1.08578624,0.22905002,0.03976353,0.07474172,0.05392201,0.05963701,0.32897948,0.37381028,0.51580052
4.70335168,1.06606293,0.22725019,0.03965444,0.07134156,0.05216508,0.05795962,0.32707380,0.36504030,0.50250569
4.70935468,1.04174440,0.22410544,0.03928134,0.06792173,0.05029972,0.05611335,0.32316013,0.35503429,0.48760008
4.71535768,1.01286136,0.21963866,0.03864891,0.06448114,0.04832313,0.05409992,0.31726489,0.34377539,0.47109032
4.72136068,0.97956569,0.21390247,0.03776752,0.06102115,0.04623714,0.05192580,0.30946028,0.33128852,0.45303001
4.72736368,0.94212556,0.20697753,0.03665280,0.05754600,0.04404807,0.04960224,0.29986154,0.31763855,0.43351877
4.73336668,0.90091593,0.19896984,0.03532517,0.05406310,0.04176650,0.04714500,0.28862285,0.30292712,0.41269930
4.73936968,0.85640519,0.19000711,0.03380905,0.05058301,0.03940679,0.04457388,0.27593170,0.28728821,0.39075259
4.74537269,0.80913838,0.18023449,0.03213213,0.04711924,0.03698657,0.04191209,0.26200241,0.27088255,0.36789172
4.75137569,0.75971801,0.16980977,0.03032435,0.04368777,0.03452595,0.03918547,0.24706871,0.25389132,0.34435430
4.75737869,0.70878340,0.15889827,0.02841702,0.04030654,0.03204684,0.03642164,0.23137615,0.23650930,0.32039423
4.76338169,0.65698950,0.14766779,0.02644184,0.03699466,0.02957203,0.03364900,0.21517431,0.21893789,0.29627305
4.76938469,0.60498621,0.13628363,0.02442999,0.03377169,0.02712447,0.03089589,0.19870941,0.20137826,0.27225135
4.77538769,0.55339906,0.12490409,0.02241129,0.03065688,0.02472644,0.02818965,0.18221748,0.18402496,0.24858068
4.78139070,0.50281211,0.11367646,0.02041345,0.02766838,0.02239881,0.02555582,0.16591837,0.16706017,0.22549621
4.78739370,0.45375355,0.10273376,0.01846150,0.02482260,0.02016051,0.02301749,0.15001082,0.15064892,0.20321058
4.79339670,0.40668443,0.09219215,0.01657734,0.02213368,0.01802799,0.02059472,0.13466869,0.13493531,0.18190895
4.79939970,0.36199089,0.08214927,0.01477936,0.01961304,0.01601488,0.01830419,0.12003831,0.12003979,0.16174556
4.80540270,0.31997973,0.07268329,0.01308238,0.01726908,0.01413178,0.01615891,0.10623722,0.10605764,0.14284167
4.81140570,0.28087722,0.06385274,0.01149755,0.01510709,0.01238618,0.01416821,0.09335386,0.09305848,0.12528490
4.81740870,0.24483101,0.05569713,0.01003249,0.01312925,0.01078249,0.01233778,0.08144837,0.08108679,0.10912992
4.82341171,0.21191444,0.04823799,0.00869151,0.01133471,0.00932222,0.01066986,0.07055431,0.07016321,0.09440018
4.82941471,0.18213310,0.04148052,0.00747589,0.00971990,0.00800422,0.00916353,0.06068101,0.06028665,0.08109062
4.83541771,0.15543282,0.03541555,0.00638426,0.00827878,0.00682497,0.00781510,0.05181642,0.05143682,0.06917101
4.84142071,0.13170873,0.03002170,0.00541298,0.00700326,0.00577897,0.00661852,0.04393042,0.04357713,0.05858977
4.84742371,0.11081484,0.02526767,0.00455659,0.00588360,0.00485907,0.00556585,0.03697810,0.03665781,0.04927808
4.85342671,0.09257361,0.02111452,0.00380820,0.00490881,0.00405695,0.00464767,0.03090321,0.03061896,0.04115396
4.85942971,0.07678519,0.01751786,0.00315991,0.00406709,0.00336341,0.00385358,0.02564136,0.02539359,0.03412618
4.86543272,0.06323603,0.01442989,0.00260318,0.00334620,0.00276876,0.00317257,0.02112300,0.02091040,0.02809801
4.87143572,0.05170648,0.01180118,0.00212916,0.00273382,0.00226312,0.00259340,0.01727612,0.01709623,0.02297046
4.87743872,0.04197738,0.00958224,0.00172896,0.00221781,0.00183671,0.00210492,0.01402853,0.01387824,0.01864513
4.88344172,0.03383554,0.00772478,0.00139391,0.00178653,0.00148006,0.00169629,0.01130974,0.01118563,0.01502651
4.88944472,0.02707796,0.00618276,0.00111573,0.00142894,0.00118419,0.00135726,0.00905247,0.00895109,0.01202388
