energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,5.99291327,0.02209796,0.28758461,0.02791838,2.88556376,2.20597195,1.48861910
-5.99399700,5.88220842,0.02260879,0.28575881,0.02772129,2.82904468,2.16572251,1.46203115
-5.98799400,5.76610568,0.02307497,0.28310043,0.02752646,2.77025936,2.12501379,1.43387516
-5.98199100,5.64720798,0.02348982,0.27970940,0.02734329,2.71048023,2.08495477,1.40480552
-5.97598799,5.52820582,0.02384729,0.27570952,0.02718181,2.65100836,2.04666571,1.37550302
-5.96998499,5.41179879,0.02414210,0.27124386,0.02705235,2.59313504,2.01124143,1.34665659
-5.96398199,5.30061075,0.02436988,0.26646917,0.02696515,2.53810087,1.97971256,1.31894343
-5.95797899,5.19710223,0.02452732,0.26154960,0.02692995,2.48705399,1.95300659,1.29300829
-5.95197599,5.10348432,0.02461217,0.25664991,0.02695550,2.44100948,1.93191068,1.26944287
-5.94597299,5.02163811,0.02462331,0.25192874,0.02704915,2.40081179,1.91703795,1.24876630
-5.93996998,4.95304390,0.02456064,0.24753203,0.02721646,2.36710236,1.90879917,1.23140776
-5.93396698,4.89872393,0.02442506,0.24358714,0.02746081,2.34029392,1.90738144,1.21769196
-5.92796398,4.85920175,0.02421831,0.24019778,0.02778318,2.32055311,1.91273508,1.20782843
-5.92196098,4.83448063,0.02394287,0.23744013,0.02818193,2.30779236,1.92456968,1.20190506
-5.91595798,4.82404243,0.02360177,0.23536025,0.02865275,2.30167184,1.94235974,1.19988625
-5.90995498,4.82686733,0.02319848,0.23397289,0.02918869,2.30161135,1.96535996,1.20161581
-5.90395198,4.84147372,0.02273675,0.23326176,0.02978031,2.30681204,1.99262953,1.20682450
-5.89794897,4.86597645,0.02222051,0.23318119,0.03041593,2.31628680,2.02306462,1.21514167
-5.89194597,4.89816091,0.02165376,0.23365907,0.03108197,2.32889824,2.05543756,1.22611060
-5.88594297,4.93556935,0.02104051,0.23460090,0.03176334,2.34340239,2.08844107,1.23920661
-5.87993997,4.97559544,0.02038478,0.23589469,0.03244395,2.35849614,2.12073558,1.25385713
-5.87393697,5.01558287,0.01969056,0.23741655,0.03310714,2.37286637,2.15099743,1.26946287
-5.86793397,5.05292340,0.01896187,0.23903654,0.03373626,2.38523849,2.17796607,1.28541890
-5.86193097,5.08515023,0.01820278,0.24062465,0.03431509,2.39442236,2.20048799,1.30113509
-5.85592796,5.11002301,0.01741749,0.24205657,0.03482832,2.39935366,2.21755578,1.31605489
-5.84992496,5.12560107,0.01661036,0.24321900,0.03526196,2.39912921,2.22834076,1.32967195
-5.84392196,5.13030274,0.01578600,0.24401437,0.03560367,2.39303489,2.23221802,1.34154407
-5.83791896,5.12294894,0.01494929,0.24436474,0.03584302,2.38056554,2.22878324,1.35130428
-5.83191596,5.10279057,0.01410539,0.24421478,0.03597172,2.36143640,2.21786084,1.35866886
-5.82591296,5.06951964,0.01325977,0.24353381,0.03598371,2.33558617,2.19950381,1.36344242
-5.81990995,5.02326509,0.01241813,0.24231690,0.03587524,2.30317226,2.17398556,1.36552017
-5.81390695,4.96457469,0.01158642,0.24058489,0.03564488,2.26455884,2.14178460,1.36488761
-5.80790395,4.89438488,0.01077067,0.23838366,0.03529346,2.22029897,2.10356324,1.36161804
-5.80190095,4.81398072,0.00997695,0.23578245,0.03482399,2.17111165,2.06014135,1.35586800
-5.79589795,4.72494805,0.00921126,0.23287158,0.03424155,2.11785540,2.01246655,1.34787114
-5.78989495,4.62912008,0.00847935,0.22975945,0.03355316,2.06149928,1.96158212,1.33793053
-5.78389195,4.52852029,0.00778666,0.22656911,0.03276764,2.00309260,1.90859376,1.32640981
-5.77788894,4.42530335,0.00713817,0.22343439,0.03189542,1.94373439,1.85463639,1.31372302
-5.77188594,4.32169550,0.00653829,0.22049581,0.03094841,1.88454333,1.80084178,1.30032351
-5.76588294,4.21993548,0.00599077,0.21789619,0.02993980,1.82662879,1.74830794,1.28669170
-5.75987994,4.12221694,0.00549865,0.21577623,0.02888386,1.77106361,1.69807077,1.27332198
-5.75387694,4.03063298,0.00506419,0.21427008,0.02779573,1.71885881,1.65107848,1.26070869
-5.74787394,3.94712361,0.00468887,0.21350089,0.02669123,1.67094054,1.60816917,1.24933156
-5.74187094,3.87342661,0.00437338,0.21357661,0.02558654,1.62812947,1.57005178,1.23964064
-5.73586793,3.81103260,0.00411766,0.21458599,0.02449798,1.59112275,1.53729063,1.23204126
-5.72986493,3.76114512,0.00392092,0.21659498,0.02344169,1.56047867,1.51029384,1.22687948
-5.72386193,3.72464660,0.00378174,0.21964350,0.02243332,1.53660432,1.48930558,1.22442841
-5.71785893,3.70207135,0.00369812,0.22374290,0.02148769,1.51974629,1.47440249,1.22487622
-5.71185593,3.69358653,0.00366759,0.22887399,0.02061846,1.50998490,1.46549424,1.22831636
-5.70585293,3.69898235,0.00368727,0.23498596,0.01983785,1.50723204,1.46232839,1.23474056
-5.69984992,3.71767229,0.00375397,0.24199615,0.01915627,1.51123293,1.46449947,1.24403522
-5.69384692,3.74870422,0.00386428,0.24979077,0.01858213,1.52157209,1.47146222,1.25598160
-5.68784392,3.79078268,0.00401460,0.25822664,0.01812156,1.53768351,1.48254880,1.27026003
-5.68184092,3.84230250,0.00420128,0.26713408,0.01777829,1.55886506,1.49698957,1.28645827
-5.67583792,3.90139305,0.00442058,0.27632059,0.01755356,1.58429711,1.51393695,1.30408383
-5.66983492,3.96597236,0.00466875,0.28557573,0.01744611,1.61306472,1.53249173,1.32257996
-5.66383192,4.03380946,0.00494204,0.29467661,0.01745225,1.64418322,1.55173102,1.34134469
-5.65782891,4.10259294,0.00523668,0.30339418,0.01756605,1.67662625,1.57073691,1.35975222
-5.65182591,4.17000354,0.00554890,0.31149997,0.01777952,1.70935553,1.58862493,1.37717581
-5.64582291,4.23378784,0.00587487,0.31877300,0.01808299,1.74135129,1.60457122,1.39301108
-5.63981991,4.29183045,0.00621071,0.32500672,0.01846544,1.77164240,1.61783750,1.40669879
-5.63381691,4.34222169,0.00655242,0.33001569,0.01891493,1.79933502,1.62779279,1.41774600
-5.62781391,4.38331814,0.00689590,0.33364156,0.01941906,1.82363869,1.63393126,1.42574475
-5.62181091,4.41379345,0.00723691,0.33575840,0.01996541,1.84388893,1.63588532,1.43038728
-5.61580790,4.43267751,0.00757103,0.33627683,0.02054200,1.85956536,1.63343377,1.43147722
-5.60980490,4.43938220,0.00789374,0.33514700,0.02113772,1.87030471,1.62650451,1.42893624
-5.60380190,4.43371282,0.00820038,0.33236017,0.02174266,1.87590812,1.61517193,1.42280581
-5.59779890,4.41586474,0.00848625,0.32794885,0.02234848,1.87634254,1.59964923,1.41324411
-5.59179590,4.38640557,0.00874664,0.32198542,0.02294857,1.87173608,1.58027590,1.40051819
-5.58579290,4.34624352,0.00897697,0.31457943,0.02353824,1.86236758,1.55750114,1.38499186
-5.57978989,4.29658363,0.00917285,0.30587353,0.02411471,1.84865085,1.53186384,1.36710970
-5.57378689,4.23887357,0.00933025,0.29603827,0.02467711,1.83111419,1.50397010,1.34737820
-5.56778389,4.17474153,0.00944560,0.28526608,0.02522627,1.81037611,1.47446910,1.32634457
-5.56178089,4.10592876,0.00951594,0.27376450,0.02576453,1.78711819,1.44402840,1.30457444
-5.55577789,4.03421982,0.00953906,0.26174914,0.02629542,1.76205641,1.41330963,1.28262935
-5.54977489,3.96137333,0.00951362,0.24943652,0.02682333,1.73591191,1.38294549,1.26104494
-5.54377189,3.88905636,0.00943923,0.23703723,0.02735309,1.70938261,1.35351899,1.24031093
-5.53776888,3.81878508,0.00931657,0.22474949,0.02788959,1.68311690,1.32554559,1.22085374
-5.53176588,3.75187439,0.00914739,0.21275360,0.02843743,1.65769047,1.29945908,1.20302250
-5.52576288,3.68939847,0.00893458,0.20120726,0.02900057,1.63358724,1.27560145,1.18707903
-5.51975988,3.63216406,0.00868210,0.19024209,0.02958207,1.61118547,1.25421731,1.17319234
-5.51375688,3.58069740,0.00839499,0.17996131,0.03018390,1.59074930,1.23545283,1.16143781
-5.50775388,3.53524543,0.00807920,0.17043878,0.03080688,1.57242639,1.21935921,1.15180104
-5.50175088,3.49579089,0.00774153,0.16171925,0.03145064,1.55625153,1.20590042,1.14418620
