energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,8.92035307,1.03001780,0.00000000,7.37108865,5.56269973,1.94017497,0.00000000
-5.99399700,9.16581494,1.06271524,0.00000000,7.62035483,5.71312212,1.98768045,0.00000000
-5.98799400,9.39141279,1.09365490,0.00000000,7.85053876,5.85189413,2.02933972,0.00000000
-5.98199100,9.59477452,1.12260773,0.00000000,8.05995858,5.97743679,2.06474910,0.00000000
-5.97598799,9.77393932,1.14937092,0.00000000,8.24723817,6.08843262,2.09361453,0.00000000
-5.96998499,9.92738380,1.17376688,0.00000000,8.41130948,6.18384443,2.11575784,0.00000000
-5.96398199,10.05403730,1.19564166,0.00000000,8.55140775,6.26292712,2.13112012,0.00000000
-5.95797899,10.15328658,1.21486293,0.00000000,8.66706054,6.32523244,2.13976226,0.00000000
-5.95197599,10.22497029,1.23131779,0.00000000,8.75807220,6.37060712,2.14186247,0.00000000
-5.94597299,10.26936420,1.24491087,0.00000000,8.82450505,6.39918475,2.13771086,0.00000000
-5.93996998,10.28715786,1.25556278,0.00000000,8.86665862,6.41137197,2.12770114,0.00000000
-5.93396698,10.27942392,1.26320920,0.00000000,8.88504827,6.40782963,2.11231974,0.00000000
-5.92796398,10.24758133,1.26780070,0.00000000,8.88038415,6.38944983,2.09213250,0.00000000
-5.92196098,10.19335355,1.26930336,0.00000000,8.85355122,6.35732945,2.06776948,0.00000000
-5.91595798,10.11872330,1.26770023,0.00000000,8.80559089,6.31274121,2.03990824,0.00000000
-5.90995498,10.02588486,1.26299342,0.00000000,8.73768445,6.25710300,2.00925614,0.00000000
-5.90395198,9.91719545,1.25520683,0.00000000,8.65113811,6.19194644,1.97653222,0.00000000
-5.89794897,9.79512667,1.24438926,0.00000000,8.54736958,6.11888522,1.94244924,0.00000000
-5.89194597,9.66221714,1.23061753,0.00000000,8.42789552,6.03958422,1.90769643,0.00000000
