energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,7.87206248,0.04100418,0.83558804,2.86956311,2.72841591,0.08204137,3.52576186,1.58126853,1.00861426
-5.99399700,7.97688725,0.04188270,0.85498377,2.90899182,2.77556206,0.08190990,3.56658211,1.59994566,1.01535671
-5.98799400,8.07268052,0.04273215,0.87383640,2.94629077,2.81912915,0.08164567,3.60304740,1.61799290,1.02115081
-5.98199100,8.15760977,0.04354185,0.89189160,2.98111253,2.85825057,0.08124717,3.63442493,1.63507632,1.02568708
-5.97598799,8.22998078,0.04430026,0.90889803,3.01310161,2.89213327,0.08071374,3.66004983,1.65086680,1.02867174
-5.96998499,8.28828523,0.04499520,0.92461338,3.04190263,2.92007861,0.08004571,3.67934394,1.66504930,1.02983682
-5.96398199,8.33124397,0.04561399,0.93881063,3.06716962,2.94150094,0.07924458,3.69183219,1.67733186,1.02894945
-5.95797899,8.35784456,0.04614382,0.95128426,3.08857595,2.95594318,0.07831313,3.69715621,1.68745399,1.02581986
-5.95197599,8.36737143,0.04657203,0.96185608,3.10582459,2.96308881,0.07725558,3.69508448,1.69519413,1.02030802
-5.94597299,8.35942767,0.04688653,0.97038054,3.11865808,2.96277011,0.07607759,3.68551869,1.70037602,1.01232851
-5.93996998,8.33394748,0.04707618,0.97674937,3.12686787,2.95497198,0.07478632,3.66849613,1.70287357,1.00185346
-5.93396698,8.29119875,0.04713122,0.98089508,3.13030253,2.93983156,0.07339035,3.64418792,1.70261429,0.98891354
-5.92796398,8.23177544,0.04704370,0.98279342,3.12887428,2.91763327,0.07189963,3.61289321,1.69958074,0.97359697
-5.92196098,8.15657975,0.04680779,0.98246444,3.12256352,2.88879959,0.07032530,3.57502940,1.69381028,0.95604650
-5.91595798,8.06679460,0.04642017,0.97997200,3.11142097,2.85387768,0.06867954,3.53111884,1.68539283,0.93645466
-5.90995498,7.96384687,0.04588020,0.97542191,3.09556712,2.81352224,0.06697530,3.48177222,1.67446663,0.91505735
-5.90395198,7.84936263,0.04519012,0.96895836,3.07518897,2.76847509,0.06522607,3.42766935,1.66121227,0.89212602
-5.89794897,7.72511557,0.04435511,0.96075899,3.05053388,2.71954201,0.06344557,3.36953791,1.64584497,0.86795889
-5.89194597,7.59297051,0.04338318,0.95102861,3.02190091,2.66756775,0.06164746,3.30813074,1.62860543,0.84287128
-5.88594297,7.45482365,0.04228503,0.93999180,2.98962972,2.61340984,0.05984500,3.24420276,1.60974959,0.81718568
-5.87993997,7.31254216,0.04107379,0.92788472,2.95408778,2.55791223,0.05805074,3.17848807,1.58953770,0.79122175
-5.87393697,7.16790519,0.03976460,0.91494649,2.91565623,2.50187990,0.05627624,3.11167835,1.56822313,0.76528674
-5.86793397,7.02254904,0.03837422,0.90141046,2.87471538,2.44605512,0.05453176,3.04440333,1.54604148,0.73966658
-5.86193097,6.87791878,0.03692046,0.88749593,2.83163057,2.39109675,0.05282608,2.97721428,1.52320048,0.71461805
-5.85592796,6.73522887,0.03542169,0.87340056,2.78673915,2.33756324,0.05116626,2.91057123,1.49987126,0.69036232
