energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,7.37304003,0.01272221,1.51152736,0.25927024,0.18630405,2.85119983,3.90357260,0.06113775,1.76006482
-5.99399700,7.72476463,0.01344472,1.56890310,0.27550211,0.19879173,3.00806772,4.07643779,0.06550918,1.86410981
-5.98799400,8.07827024,0.01420183,1.62393638,0.29218576,0.21207100,3.16698309,4.24766298,0.07015246,1.97194935
-5.98199100,8.43083104,0.01499696,1.67624787,0.30920495,0.22600085,3.32626098,4.41614591,0.07504514,2.08265120
-5.97598799,8.77979381,0.01583328,1.72552694,0.32643814,0.24042335,3.48415280,4.58088777,0.08016173,2.19523151
-5.96998499,9.12257794,0.01671339,1.77152755,0.34375953,0.25516524,3.63886711,4.74098522,0.08547316,2.30866202
-5.96398199,9.45667279,0.01763909,1.81406161,0.36104061,0.27004015,3.78859333,4.89561797,0.09094647,2.42187941
-5.95797899,9.77963441,0.01861109,1.85299047,0.37815207,0.28485125,3.93152846,5.04403359,0.09654458,2.53379684
-5.95197599,10.08908377,0.01962884,1.88821511,0.39496613,0.29939459,4.06590670,5.18553076,0.10222629,2.64331784
-5.94597299,10.38270839,0.02069038,1.91966573,0.41135913,0.31346289,4.19003146,5.31944273,0.10794646,2.74935250
-5.93996998,10.65826868,0.02179220,1.94729158,0.42721448,0.32684980,4.30230940,5.44512229,0.11365648,2.85083548
-5.93396698,10.91361005,0.02292925,1.97105141,0.44242567,0.33935448,4.40128552,5.56192956,0.11930486,2.94674567
-5.92796398,11.14668105,0.02409496,1.99090536,0.45689936,0.35078639,4.48567832,5.66922350,0.12483802,3.03612647
-5.92196098,11.35555735,0.02528135,2.00680855,0.47055834,0.36097009,4.55441368,5.76635786,0.13020131,3.11810635
-5.91595798,11.53847060,0.02647924,2.01870677,0.48334419,0.36974985,4.60665631,5.85268191,0.13534005,3.19191842
-5.90995498,11.69384099,0.02767841,2.02653449,0.49521953,0.37699394,4.64183716,5.92754582,0.14020069,3.25691841
-5.90395198,11.82031158,0.02886794,2.03021510,0.50616967,0.38259836,4.65967552,5.99031058,0.14473199,3.31259991
-5.89794897,11.91678257,0.03003648,2.02966334,0.51620347,0.38648979,4.66019446,6.04036170,0.14888613,3.35860627
-5.89194597,11.98244335,0.03117256,2.02478981,0.52535344,0.38862779,4.64372856,6.07712598,0.15261975,3.39473830
-5.88594297,12.01680022,0.03226497,2.01550696,0.53367482,0.38900586,4.61092305,6.10009034,0.15589489,3.42095739
-5.87993997,12.01969803,0.03330300,2.00173647,0.54124370,0.38765161,4.56272383,6.10882173,0.15867969,3.43738361
-5.87393697,11.99133421,0.03427674,1.98341733,0.54815421,0.38462575,4.50035831,6.10298699,0.16094894,3.44428891
-5.86793397,11.93226391,0.03517737,1.96051426,0.55451465,0.38002012,4.42530721,6.08237156,0.16268442,3.44208541
-5.86193097,11.84339575,0.03599731,1.93302592,0.56044292,0.37395471,4.33926800,6.04689623,0.16387500,3.43130936
-5.85592796,11.72597795,0.03673038,1.90099253,0.56606111,0.36657391,4.24411123,5.99663082,0.16451659,3.41260131
-5.84992496,11.58157507,0.03737188,1.86450237,0.57148966,0.35804201,4.14183090,5.93180435,0.16461178,3.38668329
-5.84392196,11.41203639,0.03791866,1.82369693,0.57684118,0.34853828,4.03449090,5.85281089,0.16416948,3.35433405
-5.83791896,11.21945685,0.03836905,1.77877444,0.58221424,0.33825174,3.92416945,5.76021106,0.16320429,3.31636331
-5.83191596,11.00613240,0.03872281,1.72999144,0.58768740,0.32737584,3.81290372,5.65472873,0.16173589,3.27358611
