energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
1.80390195,1.95359450,0.00369180,0.06771663,0.32533677,0.49201640,1.14523390,1.28647304,0.01775518,0.25626202
1.80990495,2.00187078,0.00389427,0.06978279,0.33120561,0.50790875,1.16541850,1.31564139,0.01840686,0.25784367
1.81590795,2.04328621,0.00410480,0.07175941,0.33581765,0.52265428,1.18020937,1.33931542,0.01902963,0.25834325
1.82191096,2.07784373,0.00432592,0.07364968,0.33915873,0.53623163,1.18961092,1.35744013,0.01962918,0.25780345
1.82791396,2.10569823,0.00456044,0.07545999,0.34123702,0.54863896,1.19373614,1.37007859,0.02021313,0.25628986
1.83391696,2.12714818,0.00481145,0.07719940,0.34208159,0.55989234,1.19280124,1.37740876,0.02079077,0.25388810
1.83991996,2.14262311,0.00508210,0.07887911,0.34174059,0.57002398,1.18711712,1.37971704,0.02137281,0.25070023
1.84592296,2.15266751,0.00537555,0.08051176,0.34027908,0.57908006,1.17707839,1.37738895,0.02197097,0.24684084
1.85192596,2.15792154,0.00569474,0.08211078,0.33777671,0.58711848,1.16315019,1.37089720,0.02259758,0.24243289
1.85792896,2.15909939,0.00604227,0.08368960,0.33432521,0.59420632,1.14585338,1.36078761,0.02326504,0.23760348
1.86393197,2.15696587,0.00642018,0.08526091,0.33002585,0.60041722,1.12574880,1.34766340,0.02398538,0.23247978
1.86993497,2.15231182,0.00682981,0.08683594,0.32498688,0.60582863,1.10342087,1.33216814,0.02476965,0.22718510
1.87593797,2.14592932,0.00727160,0.08842366,0.31932102,0.61051895,1.07946134,1.31496799,0.02562745,0.22183545
1.88194097,2.13858708,0.00774498,0.09003016,0.31314299,0.61456466,1.05445349,1.29673364,0.02656645,0.21653647
1.88794397,2.13100696,0.00824820,0.09165801,0.30656716,0.61803744,1.02895731,1.27812231,0.02759193,0.21138100
1.89394697,2.12384211,0.00877830,0.09330578,0.29970530,0.62100141,1.00349600,1.25976040,0.02870644,0.20644724
1.89994997,2.11765751,0.00933104,0.09496763,0.29266446,0.62351054,0.97854417,1.24222714,0.02990955,0.20179753
1.90595298,2.11291353,0.00990092,0.09663308,0.28554502,0.62560642,0.95451797,1.22603964,0.03119768,0.19747783
1.91195598,2.10995305,0.01048129,0.09828699,0.27843893,0.62731654,0.93176747,1.21163982,0.03256407,0.19351781
1.91795898,2.10899262,0.01106440,0.09990967,0.27142819,0.62865306,0.91057123,1.19938352,0.03399887,0.18993158
1.92396198,2.11011829,0.01164167,0.10147726,0.26458355,0.62961251,0.89113345,1.18953227,0.03548936,0.18671899
1.92996498,2.11328613,0.01220389,0.10296225,0.25796362,0.63017622,0.87358349,1.18224785,0.03702024,0.18386744
1.93596798,2.11832786,0.01274152,0.10433435,0.25161431,0.63031186,0.85797788,1.17759014,0.03857412,0.18135408
1.94197099,2.12496139,0.01324501,0.10556135,0.24556863,0.62997589,0.84430469,1.17551819,0.04013203,0.17914839
1.94797399,2.13280614,0.01370515,0.10661035,0.23984702,0.62911707,0.83249009,1.17589475,0.04167402,0.17721498
1.95397699,2.14140267,0.01411345,0.10744899,0.23445809,0.62768089,0.82240679,1.17849415,0.04317980,0.17551652
1.95997999,2.15023588,0.01446251,0.10804679,0.22939982,0.62561475,0.81388421,1.18301323,0.04462946,0.17401665
1.96598299,2.15876108,0.01474633,0.10837649,0.22466113,0.62287376,0.80671980,1.18908525,0.04600410,0.17268284
1.97198599,2.16643164,0.01496064,0.10841540,0.22022390,0.61942676,0.80069120,1.19629595,0.04728650,0.17148892
1.97798899,2.17272718,0.01510316,0.10814658,0.21606520,0.61526238,0.79556866,1.20420143,0.04846168,0.17041737
1.98399200,2.17718086,0.01517378,0.10755983,0.21215977,0.61039471,0.79112721,1.21234693,0.04951738,0.16946104
1.98999500,2.17940461,0.01517468,0.10665249,0.20848246,0.60486826,0.78715803,1.22028579,0.05044452,0.16862444
1.99599800,2.17911075,0.01511037,0.10542996,0.20501072,0.59876187,0.78347855,1.22759761,0.05123738,0.16792433
2.00200100,2.17612909,0.01498762,0.10390582,0.20172681,0.59219125,0.77994074,1.23390486,0.05189379,0.16738965
2.00800400,2.17041832,0.01481535,0.10210169,0.19861976,0.58530986,0.77643719,1.23888710,0.05241511,0.16706080
2.01400700,2.16207108,0.01460433,0.10004673,0.19568678,0.57830804,0.77290477,1.24229198,0.05280609,0.16698818
2.02001001,2.15131221,0.01436694,0.09777679,0.19293429,0.57141022,0.76932557,1.24394267,0.05307461,0.16723009
