energy_ev,total_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.55086236,0.44463837,0.01381125,0.61535147,0.00000000,0.69265958,0.58644302
-5.99399700,1.58498186,0.45813513,0.01398196,0.62975524,0.00000000,0.70757324,0.59787016
-5.98799400,1.62050718,0.47173834,0.01419448,0.64459735,0.00000000,0.72218939,0.61023123
-5.98199100,1.65705090,0.48526592,0.01444498,0.65975682,0.00000000,0.73631736,0.62338477
-5.97598799,1.69413611,0.49851161,0.01472894,0.67507647,0.00000000,0.74975101,0.63714890
-5.96998499,1.73120179,0.51124867,0.01504119,0.69036416,0.00000000,0.76227203,0.65130290
-5.96398199,1.76761288,0.52323502,0.01537593,0.70539591,0.00000000,0.77365458,0.66559083
-5.95797899,1.80267502,0.53421969,0.01572685,0.71992085,0.00000000,0.78367098,0.67972710
-5.95197599,1.83565334,0.54395039,0.01608720,0.73366793,0.00000000,0.79209836,0.69340390
-5.94597299,1.86579476,0.55218183,0.01644999,0.74635412,0.00000000,0.79872583,0.70630015
-5.93996998,1.89235284,0.55868438,0.01680809,0.75769377,0.00000000,0.80336193,0.71809174
-5.93396698,1.91461409,0.56325273,0.01715446,0.76740878,0.00000000,0.80584195,0.72846253
-5.92796398,1.93192458,0.56571402,0.01748234,0.77523910,0.00000000,0.80603472,0.73711576
-5.92196098,1.94371576,0.56593517,0.01778544,0.78095311,0.00000000,0.80384854,0.74378527
-5.91595798,1.94952799,0.56382884,0.01805816,0.78435740,0.00000000,0.79923586,0.74824613
-5.90995498,1.94903111,0.55935794,0.01829583,0.78530548,0.00000000,0.79219650,0.75032410
-5.90395198,1.94204070,0.55253833,0.01849485,0.78370500,0.00000000,0.78277928,0.74990366
-5.89794897,1.92852954,0.54343963,0.01865286,0.77952318,0.00000000,0.77108182,0.74693404
-5.89194597,1.90863363,0.53218410,0.01876892,0.77279015,0.00000000,0.75724859,0.74143326
-5.88594297,1.88265253,0.51894367,0.01884353,0.76360001,0.00000000,0.74146733,0.73348970
-5.87993997,1.85104395,0.50393534,0.01887875,0.75210962,0.00000000,0.72396395,0.72326138
-5.87393697,1.81441292,0.48741509,0.01887814,0.73853506,0.00000000,0.70499617,0.71097286
-5.86793397,1.77349589,0.46967070,0.01884676,0.72314599,0.00000000,0.68484616,0.69690983
-5.86193097,1.72914045,0.45101371,0.01879100,0.70625809,0.00000000,0.66381261,0.68141176
-5.85592796,1.68228147,0.43177108,0.01871842,0.68822384,0.00000000,0.64220251,0.66486265
-5.84992496,1.63391468,0.41227662,0.01863757,0.66942213,0.00000000,0.62032294,0.64768044
-5.84392196,1.58506845,0.39286285,0.01855767,0.65024698,0.00000000,0.59847341,0.63030531
-5.83791896,1.53677510,0.37385329,0.01848834,0.63109587,0.00000000,0.57693874,0.61318729
-5.83191596,1.49004249,0.35555563,0.01843921,0.61235811,0.00000000,0.55598307,0.59677369
-5.82591296,1.44582700,0.33825592,0.01841961,0.59440367,0.00000000,0.53584491,0.58149660
-5.81990995,1.40500870,0.32221378,0.01843816,0.57757287,0.00000000,0.51673356,0.56776104
-5.81390695,1.36836953,0.30765891,0.01850244,0.56216725,0.00000000,0.49882681,0.55593395
-5.80790395,1.33657510,0.29478870,0.01861862,0.54844197,0.00000000,0.48227012,0.54633456
-5.80190095,1.31016055,0.28376700,0.01879121,0.53659989,0.00000000,0.46717698,0.53922628
-5.79589795,1.28952100,0.27472396,0.01902278,0.52678759,0.00000000,0.45363058,0.53481038
-5.78989495,1.27490656,0.26775670,0.01931378,0.51909330,0.00000000,0.44168643,0.53322173
-5.78389195,1.26642204,0.26293081,0.01966248,0.51354688,0.00000000,0.43137591,0.53452665
-5.77788894,1.26403131,0.26028245,0.02006493,0.51012169,0.00000000,0.42271036,0.53872297
-5.77188594,1.26756588,0.25982084,0.02051503,0.50873824,0.00000000,0.41568565,0.54574218
-5.76588294,1.27673743,0.26153106,0.02100472,0.50926956,0.00000000,0.41028680,0.55545381
-5.75987994,1.29115370,0.26537696,0.02152422,0.51154786,0.00000000,0.40649260,0.56767157
-5.75387694,1.31033708,0.27130406,0.02206240,0.51537235,0.00000000,0.40427976,0.58216125
