energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.11248573,0.23550342,0.00000000,0.00324222,0.23897365,0.36421247,0.48201091
-5.99399700,1.02231909,0.21645582,0.00000000,0.00276080,0.22015654,0.33587808,0.44349238
-5.98799400,0.93783659,0.19874489,0.00000000,0.00234126,0.20233471,0.30919957,0.40765172
-5.98199100,0.85945179,0.18245059,0.00000000,0.00198016,0.18561336,0.28434055,0.37467422
-5.97598799,0.78750692,0.16763737,0.00000000,0.00167396,0.17008457,0.26143989,0.34471038
-5.96998499,0.72227492,0.15435433,0.00000000,0.00141923,0.15582780,0.24061136,0.31787591
-5.96398199,0.66396197,0.14263552,0.00000000,0.00121285,0.14291047,0.22194343,0.29425177
-5.95797899,0.61271028,0.13250017,0.00000000,0.00105215,0.13138883,0.20549933,0.27388433
-5.95197599,0.56860119,0.12395290,0.00000000,0.00093508,0.12130893,0.19131727,0.25678554
-5.94597299,0.53165860,0.11698399,0.00000000,0.00086034,0.11270770,0.17941095,0.24293328
-5.93996998,0.50185293,0.11156971,0.00000000,0.00082746,0.10561437,0.16977024,0.23227190
-5.93396698,0.47910559,0.10767272,0.00000000,0.00083692,0.10005187,0.16236223,0.22471298
-5.92796398,0.46329409,0.10524270,0.00000000,0.00089022,0.09603855,0.15713254,0.22013660
-5.92196098,0.45425800,0.10421717,0.00000000,0.00098995,0.09358990,0.15400704,0.21839299
-5.91595798,0.45180565,0.10452252,0.00000000,0.00113976,0.09272049,0.15289390,0.21930487
-5.90995498,0.45572161,0.10607541,0.00000000,0.00134443,0.09344588,0.15368608,0.22267042
-5.90395198,0.46577492,0.10878438,0.00000000,0.00160985,0.09578454,0.15626421,0.22826696
-5.89794897,0.48172776,0.11255180,0.00000000,0.00194291,0.09975967,0.16049979,0.23585536
-5.89194597,0.50334449,0.11727610,0.00000000,0.00235148,0.10540079,0.16625871,0.24518516
-5.88594297,0.53040046,0.12285411,0.00000000,0.00284424,0.11274499,0.17340495,0.25600016
-5.87993997,0.56269039,0.12918361,0.00000000,0.00343054,0.12183778,0.18180431,0.26804453
-5.87393697,0.60003567,0.13616585,0.00000000,0.00412019,0.13273334,0.19132814,0.28106909
-5.86793397,0.64229017,0.14370798,0.00000000,0.00492320,0.14549398,0.20185671,0.29483752
-5.86193097,0.68934391,0.15172529,0.00000000,0.00584949,0.16018898,0.21328224,0.30913230
