energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,3.69930645,1.06232128,0.00000000,1.33696167,1.97591288,0.02788777,0.89153677
-5.99399700,3.70574918,1.07728621,0.00000000,1.36077874,1.97386492,0.02675318,0.89005592
-5.98799400,3.72450703,1.09608742,0.00000000,1.39198614,1.97819725,0.02559716,0.89073312
-5.98199100,3.75607514,1.11870086,0.00000000,1.43070902,1.98915801,0.02443894,0.89373433
-5.97598799,3.80070040,1.14505049,0.00000000,1.47694417,2.00687328,0.02329733,0.89915427
-5.96998499,3.85836771,1.17500612,0.00000000,1.53055580,2.03134076,0.02219025,0.90701223
-5.96398199,3.92879322,1.20838168,0.00000000,1.59127390,2.06242684,0.02113423,0.91725109
-5.95797899,4.01142473,1.24493412,0.00000000,1.65869501,2.09986713,0.02014405,0.92973953
-5.95197599,4.10544944,1.28436304,0.00000000,1.73228557,2.14327037,0.01923234,0.94427722
-5.94597299,4.20980861,1.32631130,0.00000000,1.81138776,2.19212585,0.01840932,0.96060274
-5.93996998,4.32321913,1.37036677,0.00000000,1.89522775,2.24581403,0.01768258,0.97840378
-5.93396698,4.44420108,1.41606561,0.00000000,1.98292643,2.30362015,0.01705701,0.99732914
-5.92796398,4.57111079,1.46289696,0.00000000,2.07351246,2.36475054,0.01653473,1.01700188
-5.92196098,4.70217816,1.51030947,0.00000000,2.16593740,2.42835100,0.01611516,1.03703289
-5.91595798,4.83554730,1.55771947,0.00000000,2.25909286,2.49352689,0.01579520,1.05703438
-5.90995498,4.96931912,1.60452079,0.00000000,2.35182925,2.55936415,0.01556940,1.07663246
-5.90395198,5.10159444,1.65009616,0.00000000,2.44297584,2.62495068,0.01543024,1.09547838
-5.89794897,5.23051646,1.69382971,0.00000000,2.53136164,2.68939732,0.01536847,1.11325785
-5.89194597,5.35431092,1.73512033,0.00000000,2.61583663,2.75185773,0.01537342,1.12969822
-5.88594297,5.47132303,1.77339548,0.00000000,2.69529282,2.81154661,0.01543339,1.14457314
-5.87993997,5.58004977,1.80812472,0.00000000,2.76868457,2.86775552,0.01553602,1.15770485
-5.87393697,5.67916688,1.83883262,0.00000000,2.83504770,2.91986595,0.01566860,1.16896400
-5.86793397,5.76754971,1.86511038,0.00000000,2.89351672,2.96735917,0.01581846,1.17826748
-5.86193097,5.84428758,1.88662559,0.00000000,2.94333992,3.00982260,0.01597324,1.18557429
-5.85592796,5.90869150,1.90312985,0.00000000,2.98389185,3.04695272,0.01612116,1.19088028
-5.84992496,5.96029532,1.91446361,0.00000000,3.01468280,3.07855432,0.01625128,1.19421184
-5.84392196,5.99885067,1.92055820,0.00000000,3.03536531,3.10453650,0.01635363,1.19561945
-5.83791896,6.02431628,1.92143481,0.00000000,3.04573742,3.12490553,0.01641942,1.19517120
-5.83191596,6.03684229,1.91720048,0.00000000,3.04574278,3.13975494,0.01644111,1.19294702
-5.82591296,6.03675057,1.90804120,0.00000000,3.03546770,3.14925354,0.01641250,1.18903369
-5.81990995,6.02451176,1.89421252,0.00000000,3.01513535,3.15363157,0.01632874,1.18352110
-5.81390695,6.00072017,1.87602802,0.00000000,2.98509726,3.15316586,0.01618638,1.17649970
-5.80790395,5.96606744,1.85384618,0.00000000,2.94582269,3.14816438,0.01598334,1.16805920
-5.80190095,5.92131585,1.82805628,0.00000000,2.89788590,3.13895090,0.01571887,1.15828844
-5.79589795,5.86727218,1.79906393,0.00000000,2.84195197,3.12585028,0.01539347,1.14727614
-5.78989495,5.80476297,1.76727697,0.00000000,2.77876145,3.10917493,0.01500889,1.13511233
-5.78389195,5.73461178,1.73309227,0.00000000,2.70911425,3.08921301,0.01456796,1.12189011
-5.77788894,5.65761923,1.69688410,0.00000000,2.63385323,3.06621861,0.01407457,1.10770741
-5.77188594,5.57454616,1.65899448,0.00000000,2.55384790,3.04040460,0.01353349,1.09266847
-5.76588294,5.48610050,1.61972603,0.00000000,2.46997855,3.01193802,0.01295031,1.07688473
-5.75987994,5.39292815,1.57933743,0.00000000,2.38312130,2.98093856,0.01233125,1.06047507
-5.75387694,5.29560804,1.53804173,0.00000000,2.29413442,2.94748001,0.01168310,1.04356517
-5.74787394,5.19465145,1.49600741,0.00000000,2.20384612,2.91159470,0.01101300,1.02628611
-5.74187094,5.09050562,1.45336210,0.00000000,2.11304433,2.87328080,0.01032833,1.00877220
-5.73586793,4.98356151,1.41019857,0.00000000,2.02246841,2.83251217,0.00963657,0.99115830
-5.72986493,4.87416510,1.36658271,0.00000000,1.93280323,2.78925042,0.00894515,0.97357684
-5.72386193,4.76263198,1.32256279,0.00000000,1.84467550,2.74345863,0.00826130,0.95615475
-5.71785893,4.64926441,1.27817970,0.00000000,1.75865229,2.69511606,0.00759193,0.93901066
-5.71185593,4.53436985,1.23347719,0.00000000,1.67524181,2.64423321,0.00694351,0.92225262
-5.70585293,4.41828013,1.18851191,0.00000000,1.59489590,2.59086639,0.00632200,0.90597648
-5.69984992,4.30136995,1.14336222,0.00000000,1.51801412,2.53513101,0.00573272,0.89026518
-5.69384692,4.18407360,1.09813554,0.00000000,1.44494883,2.47721277,0.00518033,0.87518891
-5.68784392,4.06689854,1.05297366,0.00000000,1.37601083,2.41737589,0.00466877,0.86080623
-5.68184092,3.95043488,1.00805559,0.00000000,1.31147493,2.35596793,0.00420123,0.84716593
-5.67583792,3.83535954,0.96359787,0.00000000,1.25158490,2.29342040,0.00378015,0.83430943
-5.66983492,3.72243435,0.91985213,0.00000000,1.19655736,2.23024499,0.00340726,0.82227362
-5.66383192,3.61249759,0.87710002,0.00000000,1.14658394,2.16702513,0.00308355,0.81109352
-5.65782891,3.50644875,0.83564570,0.00000000,1.10183155,2.10440306,0.00280932,0.80080482
-5.65182591,3.40522667,0.79580621,0.00000000,1.06244057,2.04306271,0.00258427,0.79144565
-5.64582291,3.30978170,0.75790019,0.00000000,1.02852068,1.98370889,0.00240747,0.78305750
-5.63981991,3.22104282,0.72223549,0.00000000,1.00014476,1.92704365,0.00227745,0.77568511
-5.63381691,3.13988108,0.68909626,0.00000000,0.97734109,1.87374080,0.00219225,0.76937510
-5.62781391,3.06707116,0.65873023,0.00000000,0.96008421,1.82441963,0.00214946,0.76417339
-5.62181091,3.00325272,0.63133676,0.00000000,0.94828535,1.77961924,0.00214624,0.76012160
-5.61580790,2.94889385,0.60705630,0.00000000,0.94178295,1.73977455,0.00217942,0.75725245
-5.60980490,2.90425844,0.58596188,0.00000000,0.94033422,1.70519537,0.00224549,0.75558462
-5.60380190,2.86937975,0.56805304,0.00000000,0.94360855,1.67604962,0.00234069,0.75511738
