energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up
-6.00000000,3.40729364,0.92528570,2.12165559,0.00317158,0.20618101,0.55583736,0.25886095,0.00365876,0.75233795
-5.99399700,3.18199763,0.86010690,1.98274764,0.00285436,0.19065484,0.51832478,0.24264414,0.00353384,0.70228453
-5.98799400,2.96855535,0.79654009,1.85241262,0.00256415,0.17561687,0.48224658,0.22725933,0.00344729,0.65428012
-5.98199100,2.76847226,0.73512271,1.73150184,0.00230111,0.16118102,0.44785618,0.21282500,0.00339941,0.60869308
-5.97598799,2.58288736,0.67630599,1.62062639,0.00206502,0.14743952,0.41535418,0.19943230,0.00338972,0.56581928
-5.96998499,2.41256642,0.62045094,1.52015576,0.00185527,0.13446268,0.38488692,0.18714394,0.00341699,0.52587869
-5.96398199,2.25790828,0.56782790,1.43022460,0.00167094,0.12229943,0.35654700,0.17599410,0.00347919,0.48901472
-5.95797899,2.11896318,0.51861933,1.35074707,0.00151084,0.11097849,0.33037566,0.16598922,0.00357363,0.45529622
-5.95197599,1.99546181,0.47292546,1.28143773,0.00137356,0.10051012,0.30636674,0.15710977,0.00369691,0.42472196
-5.94597299,1.88685316,0.43077217,1.22183788,0.00125751,0.09088825,0.28447186,0.14931268,0.00384507,0.39722712
-5.93996998,1.79234918,0.39212057,1.17134585,0.00116097,0.08209296,0.26460664,0.14253454,0.00401368,0.37269155
-5.93396698,1.71097408,0.35687772,1.12925013,0.00108218,0.07409301,0.24665754,0.13669521,0.00419790,0.35094927
-5.92796398,1.64161598,0.32490773,1.09476348,0.00101929,0.06684845,0.23048892,0.13170183,0.00439263,0.33179866
-5.92196098,1.58307855,0.29604291,1.06705696,0.00097051,0.06031319,0.21595021,0.12745301,0.00459266,0.31501315
-5.91595798,1.53413078,0.27009427,1.04529223,0.00093407,0.05443727,0.20288268,0.12384296,0.00479277,0.30035153
-5.90995498,1.49355273,0.24686114,1.02865105,0.00090826,0.04916899,0.19112566,0.12076553,0.00498789,0.28756791
-5.90395198,1.46017580,0.22613941,1.01636092,0.00089149,0.04445665,0.18052208,0.11811790,0.00517323,0.27642060
-5.89794897,1.43291611,0.20772842,1.00771588,0.00088229,0.04025004,0.17092304,0.11580379,0.00534439,0.26667981
-5.89194597,1.41080018,0.19143619,1.00209213,0.00087931,0.03650145,0.16219149,0.11373621,0.00549751,0.25813390
-5.88594297,1.39298223,0.17708308,0.99895780,0.00088135,0.03316651,0.15420479,0.11183950,0.00562932,0.25059404
-5.87993997,1.37875319,0.16450393,0.99787716,0.00088736,0.03020457,0.14685634,0.11005070,0.00573723,0.24389717
-5.87393697,1.36754152,0.15354887,0.99850920,0.00089644,0.02757891,0.14005624,0.10832025,0.00581939,0.23790741
-5.86793397,1.35890650,0.14408286,1.00060116,0.00090781,0.02525664,0.13373110,0.10661201,0.00587468,0.23251583
-5.86193097,1.35252509,0.13598436,1.00397777,0.00092082,0.02320846,0.12782306,0.10490260,0.00590272,0.22763894
-5.85592796,1.34817352,0.12914332,1.00852685,0.00093494,0.02140831,0.12228831,0.10318029,0.00590381,0.22321603
-5.84992496,1.34570497,0.12345867,1.01418264,0.00094972,0.01983287,0.11709510,0.10144332,0.00587888,0.21920555
-5.84392196,1.34502507,0.11883567,1.02090758,0.00096480,0.01846110,0.11222150,0.09969795,0.00582943,0.21558102
-5.83791896,1.34606669,0.11518334,1.02867405,0.00097985,0.01727371,0.10765301,0.09795626,0.00575737,0.21232650
-5.83191596,1.34876568,0.11241206,1.03744695,0.00099458,0.01625276,0.10338021,0.09623394,0.00566496,0.20943211
-5.82591296,1.35303888,0.11043160,1.04716818,0.00100873,0.01538122,0.09939654,0.09454800,0.00555466,0.20688986
-5.81990995,1.35876563,0.10914973,1.05774401,0.00102201,0.01464269,0.09569631,0.09291476,0.00542902,0.20468980
-5.81390695,1.36577389,0.10847129,1.06903580,0.00103415,0.01402118,0.09227304,0.09134803,0.00529059,0.20281701
-5.80790395,1.37383128,0.10829804,1.08085471,0.00104485,0.01350096,0.08911819,0.08985770,0.00514180,0.20124923
-5.80190095,1.38264173,0.10852898,1.09296044,0.00105377,0.01306655,0.08622028,0.08844865,0.00498487,0.19995547
-5.79589795,1.39184730,0.10906129,1.10506397,0.00106059,0.01270274,0.08356436,0.08712017,0.00482178,0.19889544
-5.78989495,1.40103514,0.10979174,1.11683401,0.00106493,0.01239472,0.08113197,0.08586575,0.00465423,0.19801983
-5.78389195,1.40974860,0.11061846,1.12790661,0.00106645,0.01212821,0.07890132,0.08467335,0.00448357,0.19727136
-5.77788894,1.41750185,0.11144298,1.13789711,0.00106479,0.01188972,0.07684784,0.08352596,0.00431088,0.19658641
