energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.25310680,0.82317604,0.39411957,0.00346222,0.59642084,1.46743487,0.87340767,0.00652890,1.25365537
-5.99399700,3.33042650,0.84682997,0.39906403,0.00332628,0.60815300,1.50476741,0.89175880,0.00692911,1.28970635
-5.98799400,3.40862104,0.87106316,0.40448378,0.00322374,0.61954991,1.54070455,0.91021706,0.00737114,1.32683653
-5.98199100,3.48670074,0.89562995,0.41029944,0.00315327,0.63042698,1.57498552,0.92842102,0.00785660,1.36464793
-5.97598799,3.56378285,0.92028493,0.41643570,0.00311293,0.64064209,1.60741797,0.94605883,0.00838720,1.40274302
-5.96998499,3.63909976,0.94478541,0.42282249,0.00310019,0.65009643,1.63787662,0.96287223,0.00896476,1.44072904
-5.96398199,3.71200011,0.96889297,0.42939569,0.00311207,0.65873344,1.66629852,0.97865781,0.00959103,1.47822080
-5.95797899,3.78194317,0.99237420,0.43609695,0.00314518,0.66653570,1.69267544,0.99326569,0.01026764,1.51484239
-5.95197599,3.84848779,1.01500094,0.44287307,0.00319583,0.67352023,1.71704399,1.00659585,0.01099591,1.55022801
-5.94597299,3.91127694,1.03655021,0.44967489,0.00326011,0.67973243,1.73947415,1.01859255,0.01177668,1.58402233
-5.93996998,3.97001970,1.05680429,0.45645585,0.00333403,0.68523895,1.76005714,1.02923711,0.01261012,1.61588080
-5.93396698,4.02447204,1.07555105,0.46317049,0.00341353,0.69012009,1.77889336,1.03853982,0.01349550,1.64547038
-5.92796398,4.07441825,1.09258499,0.46977296,0.00349464,0.69446195,1.79608119,1.04653123,0.01443100,1.67247099
-5.92196098,4.11965424,1.10770900,0.47621577,0.00357355,0.69834895,1.81170742,1.05325357,0.01541352,1.69657796
-5.91595798,4.15997429,1.12073699,0.48244885,0.00364667,0.70185690,1.82583974,1.05875269,0.01643848,1.71750570
-5.90995498,4.19516192,1.13149749,0.48841914,0.00371077,0.70504724,1.83852192,1.06307096,0.01749970,1.73499251
-5.90395198,4.22498568,1.13983794,0.49407055,0.00376297,0.70796249,1.84977167,1.06624162,0.01858932,1.74880649
-5.89794897,4.24920005,1.14562965,0.49934461,0.00380088,0.71062324,1.85958153,1.06828470,0.01969778,1.75875228
-5.89194597,4.26755142,1.14877305,0.50418148,0.00382261,0.71302687,1.86792242,1.06920473,0.02081384,1.76467824
-5.88594297,4.27978856,1.14920300,0.50852146,0.00382680,0.71514793,1.87474978,1.06899036,0.02192472,1.76648369
-5.87993997,4.28567702,1.14689376,0.51230687,0.00381270,0.71694015,1.88001185,1.06761579,0.02301631,1.76412574
-5.87393697,4.28501638,1.14186323,0.51548410,0.00378009,0.71834007,1.88365953,1.06504385,0.02407343,1.75762505
-5.86793397,4.27765931,1.13417628,0.51800578,0.00372934,0.71927198,1.88565737,1.06123054,0.02508017,1.74707040
-5.86193097,4.26353117,1.12394675,0.51983294,0.00366135,0.71965389,1.88599495,1.05613074,0.02602032,1.73262129
