energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.92716247,0.00207187,0.15581055,0.80594435,2.11392092,0.34597137,0.00000000,0.62608949,0.20865345
-5.99399700,2.85407219,0.00195126,0.14673998,0.78886408,2.05903161,0.35193798,0.00000000,0.59018978,0.20170541
-5.98799400,2.78342702,0.00183442,0.13873572,0.77305462,2.00391140,0.35832703,0.00000000,0.55733833,0.19565234
-5.98199100,2.71496896,0.00172245,0.13173710,0.75819653,1.94858952,0.36496491,0.00000000,0.52739304,0.19044099
-5.97598799,2.64839178,0.00161629,0.12567598,0.74397401,1.89307532,0.37166641,0.00000000,0.50019231,0.18601045
-5.96998499,2.58336498,0.00151673,0.12047992,0.73008355,1.83736997,0.37823939,0.00000000,0.47556510,0.18229508
-5.96398199,2.51955846,0.00142438,0.11607539,0.71624241,1.78147821,0.38449005,0.00000000,0.45334055,0.17922760
-5.95797899,2.45666693,0.00133968,0.11239079,0.70219662,1.72541966,0.39022899,0.00000000,0.43335661,0.17674227
-5.95197599,2.39443321,0.00126291,0.10935926,0.68772819,1.66923925,0.39527750,0.00000000,0.41546762,0.17477793
-5.94597299,2.33266939,0.00119420,0.10692100,0.67266147,1.61301655,0.39947412,0.00000000,0.39955025,0.17328077
-5.93996998,2.27127525,0.00113355,0.10502522,0.65686830,1.55687354,0.40268102,0.00000000,0.38550784,0.17220686
-5.93396698,2.21025304,0.00108086,0.10363148,0.64027186,1.50098074,0.40478998,0.00000000,0.37327281,0.17152402
-5.92796398,2.14971819,0.00103592,0.10271047,0.62284903,1.44556139,0.40572766,0.00000000,0.36280722,0.17121319
-5.92196098,2.08990528,0.00099849,0.10224411,0.60463119,1.39089364,0.40545987,0.00000000,0.35410147,0.17126915
-5.91595798,2.03116910,0.00096824,0.10222506,0.58570337,1.33731044,0.40399464,0.00000000,0.34717116,0.17170039
-5.90995498,1.97398043,0.00094485,0.10265562,0.56620175,1.28519725,0.40138376,0.00000000,0.34205240,0.17252839
-5.90395198,1.91891671,0.00092795,0.10354605,0.54630951,1.23498730,0.39772274,0.00000000,0.33879585,0.17378609
-5.89794897,1.86664752,0.00091720,0.10491249,0.52625122,1.18715458,0.39314909,0.00000000,0.33745961,0.17551568
-5.89194597,1.81791543,0.00091224,0.10677443,0.50628580,1.14220445,0.38783887,0.00000000,0.33810148,0.17776588
-5.88594297,1.77351260,0.00091271,0.10915203,0.48669833,1.10066210,0.38200157,0.00000000,0.34077099,0.18058874
-5.87993997,1.73425391,0.00091828,0.11206324,0.46779089,1.06305907,0.37587351,0.00000000,0.34550142,0.18403608
-5.87393697,1.70094748,0.00092859,0.11552102,0.44987276,1.02991799,0.36970995,0.00000000,0.35230242,0.18815591
-5.86793397,1.67436361,0.00094331,0.11953077,0.43325023,1.00173616,0.36377621,0.00000000,0.36115338,0.19298874
-5.86193097,1.65520329,0.00096209,0.12408794,0.41821634,0.97896830,0.35833805,0.00000000,0.37199817,0.19856424
-5.85592796,1.64406744,0.00098454,0.12917628,0.40504092,0.96200903,0.35365183,0.00000000,0.38474126,0.20489815
-5.84992496,1.64142819,0.00101028,0.13476646,0.39396121,0.95117582,0.34995472,0.00000000,0.39924566,0.21198985
-5.84392196,1.64760329,0.00103890,0.14081547,0.38517338,0.94669306,0.34745540,0.00000000,0.41533272,0.21982049
-5.83791896,1.66273498,0.00106996,0.14726660,0.37882525,0.94867787,0.34632564,0.00000000,0.43278399,0.22835193
-5.83191596,1.68677402,0.00110299,0.15405021,0.37501040,0.95712843,0.34669311,0.00000000,0.45134493,0.23752648
-5.82591296,1.71947001,0.00113749,0.16108518,0.37376393,0.97191543,0.34863570,0.00000000,0.47073064,0.24726746
-5.81990995,1.76036841,0.00117297,0.16828097,0.37506005,0.99277719,0.35217766,0.00000000,0.49063321,0.25748060
-5.81390695,1.80881467,0.00120891,0.17554036,0.37881148,1.01931891,0.35728765,0.00000000,0.51073057,0.26805618
-5.80790395,1.86396563,0.00124481,0.18276258,0.38487082,1.05101636,0.36387889,0.00000000,0.53069645,0.27887180
