energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.69839293,0.14433984,0.00163161,0.02547347,1.03435264,0.93719460,0.42333604
-5.99399700,1.69126960,0.14208255,0.00160851,0.02486596,1.03177674,0.95386631,0.41897503
-5.98799400,1.68263483,0.13992284,0.00158916,0.02420995,1.02799537,0.97006120,0.41376324
-5.98199100,1.67219060,0.13784837,0.00157276,0.02350274,1.02282815,0.98562962,0.40765397
-5.97598799,1.65976727,0.13585521,0.00155861,0.02274406,1.01617610,1.00045976,0.40064252
-5.96998499,1.64532837,0.13394801,0.00154608,0.02193607,1.00802448,1.01448078,0.39276643
-5.96398199,1.62897022,0.13213991,0.00153470,0.02108331,0.99844249,1.02766486,0.38410403
-5.95797899,1.61091693,0.13045222,0.00152411,0.02019243,0.98757999,1.04002814,0.37477154
-5.95197599,1.59151127,0.12891377,0.00151411,0.01927197,0.97566153,1.05163055,0.36491881
-5.94597299,1.57120192,0.12756018,0.00150465,0.01833200,0.96297819,1.06257447,0.35472407
-5.93996998,1.55052788,0.12643285,0.00149581,0.01738378,0.94987752,1.07300220,0.34438789
-5.93396698,1.53010046,0.12557786,0.00148784,0.01643934,0.93675201,1.08309232,0.33412663
-5.92796398,1.51058369,0.12504463,0.00148108,0.01551116,0.92402655,1.09305464,0.32416570
-5.92196098,1.49267343,0.12488459,0.00147602,0.01461173,0.91214517,1.10312394,0.31473277
-5.91595798,1.47707600,0.12514956,0.00147324,0.01375324,0.90155755,1.11355245,0.30605127
-5.90995498,1.46448655,0.12589016,0.00147338,0.01294729,0.89270539,1.12460107,0.29833420
-5.90395198,1.45556783,0.12715402,0.00147716,0.01220460,0.88600916,1.13652951,0.29177860
-5.89794897,1.45092961,0.12898406,0.00148533,0.01153479,0.88185543,1.14958557,0.28656062
-5.89194597,1.45110928,0.13141661,0.00149863,0.01094622,0.88058494,1.16399385,0.28283131
-5.88594297,1.45655406,0.13447965,0.00151781,0.01044585,0.88248190,1.17994425,0.28071327
-5.87993997,1.46760525,0.13819116,0.00154355,0.01003911,0.88776452,1.19758080,0.28029805
-5.87393697,1.48448487,0.14255747,0.00157649,0.00972990,0.89657725,1.21699125,0.28164447
-5.86793397,1.50728532,0.14757203,0.00161715,0.00952049,0.90898482,1.23819806,0.28477765
-5.86193097,1.53596233,0.15321429,0.00166595,0.00941158,0.92496845,1.26115131,0.28968900
-5.85592796,1.57033163,0.15944905,0.00172317,0.00940226,0.94442429,1.28572398,0.29633689
-5.84992496,1.61006959,0.16622616,0.00178893,0.00949010,0.96716441,1.31171020,0.30464810
-5.84392196,1.65471821,0.17348073,0.00186318,0.00967118,0.99292022,1.33882657,0.31452004
-5.83791896,1.70369414,0.18113375,0.00194572,0.00994016,1.02134853,1.36671692,0.32582351
-5.83191596,1.75630203,0.18909331,0.00203615,0.01029038,1.05204002,1.39496033,0.33840613
