energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,4.20121725,0.07088960,0.36756905,0.08267764,0.16865600,1.80579032,2.15720018,1.55128714
-5.99399700,4.36896729,0.07663172,0.38301814,0.08912389,0.16726295,1.87584914,2.33336074,1.60112672
-5.98799400,4.55428776,0.08251411,0.40207293,0.09581916,0.16605412,1.95280669,2.52848273,1.65500390
-5.98199100,4.75892266,0.08851978,0.42514640,0.10273776,0.16513623,2.03729572,2.74341050,1.71347767
-5.97598799,4.98429918,0.09463261,0.45259490,0.10985002,0.16460594,2.12982153,2.97880176,1.77699924
-5.96998499,5.23144593,0.10083716,0.48470172,0.11712198,0.16454688,2.23073166,3.23507420,1.84588561
-5.96398199,5.50091369,0.10711827,0.52166098,0.12451514,0.16502725,2.34018659,3.51234676,1.92029550
-5.95797899,5.79270106,0.11346035,0.56356269,0.13198619,0.16609768,2.45813221,3.81037745,2.00020823
-5.95197599,6.10618816,0.11984657,0.61037943,0.13948668,0.16778961,2.58427536,4.12850043,2.08540672
-5.94597299,6.44008156,0.12625778,0.66195524,0.14696288,0.17011417,2.71806343,4.46556569,2.17546514
-5.93996998,6.79237377,0.13267142,0.71799756,0.15435566,0.17306158,2.85866939,4.81988535,2.26974231
-5.93396698,7.16032084,0.13906041,0.77807264,0.16160049,0.17660099,3.00498358,5.18919068,2.36738132
-5.92796398,7.54044111,0.14539205,0.84160506,0.16862773,0.18068100,3.15561340,5.57060424,2.46731613
-5.92196098,7.92853793,0.15162722,0.90788172,0.17536308,0.18523055,3.30889209,5.96063110,2.56828548
-5.91595798,8.31974844,0.15771972,0.97606075,0.18172836,0.19016044,3.46289728,6.35517280,2.66885439
-5.90995498,8.70861935,0.16361607,1.04518523,0.18764259,0.19536537,3.61547999,6.74956649,2.76744306
-5.90395198,9.08920997,0.16925564,1.11420188,0.19302343,0.20072638,3.76430389,7.13865091,2.86236293
-5.89794897,9.45522089,0.17457132,1.18198418,0.19778881,0.20611381,3.90689458,7.51685927,2.95185910
-5.89194597,9.80014588,0.17949062,1.24735953,0.20185900,0.21139061,4.04069770,7.87833773,3.03415799
-5.88594297,10.11744270,0.18393723,1.30913961,0.20515877,0.21641603,4.16314452,8.21708652,3.10751904
-5.87993997,10.40071766,0.18783303,1.36615297,0.20761976,0.22104945,4.27172280,8.52711948,3.17028864
-5.87393697,10.64391734,0.19110047,1.41727868,0.20918284,0.22515440,4.36405064,8.80263602,3.22095441
-5.86793397,10.84152031,0.19366511,1.46147984,0.20980045,0.22860262,4.43795028,9.03819907,3.25819785
-5.86193097,10.98872105,0.19545840,1.49783549,0.20943869,0.23127791,4.49151911,9.22891128,3.28094317
-5.85592796,11.08159827,0.19642037,1.52556981,0.20807922,0.23307982,4.52319466,9.37058171,3.28840043
-5.84992496,11.11726016,0.19650227,1.54407711,0.20572062,0.23392690,4.53181089,9.45987547,3.28010084
-5.84392196,11.09396001,0.19566887,1.55294171,0.20237938,0.23375950,4.51664290,9.49443888,3.25592281
-5.83791896,11.01117641,0.19390035,1.55195179,0.19809023,0.23254192,4.47743824,9.47299441,3.21610738
-5.83191596,10.86965427,0.19119379,1.54110651,0.19290596,0.23026379,4.41443300,9.39540025,3.16126213
-5.82591296,10.67140400,0.18756396,1.52061612,0.18689650,0.22694080,4.32835189,9.26267164,3.09235326
-5.81990995,10.41965861,0.18304353,1.49089505,0.18014754,0.22261445,4.22039214,9.07696249,3.01068573
-5.81390695,10.11878988,0.17768267,1.45254831,0.17275851,0.21735110,4.09219171,8.84150796,2.91787227
-5.80790395,9.77418687,0.17154794,1.40635167,0.16484009,0.21124011,3.94578320,8.56053022,2.81579199
-5.80190095,9.39210148,0.16472060,1.35322670,0.15651139,0.20439127,3.78353518,8.23911183,2.70654021
