energy_ev,total_up,Ge_p_up,Ge_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,1.68191880,0.58814786,0.00000000,0.43075123,0.53950439,0.03893601,0.45385893
-5.99399700,1.73047816,0.59677081,0.00000000,0.43752498,0.54677925,0.04061949,0.47502900
-5.98799400,1.77990840,0.60539007,0.00000000,0.44508504,0.55431940,0.04223716,0.49662921
-5.98199100,1.82967945,0.61387189,0.00000000,0.45337799,0.56203722,0.04376272,0.51847038
-5.97598799,1.87928086,0.62209382,0.00000000,0.46234742,0.56985490,0.04517058,0.54036784
-5.96998499,1.92825998,0.62995691,0.00000000,0.47194326,0.57771552,0.04643687,0.56215269
-5.96398199,1.97625866,0.63739685,0.00000000,0.48213067,0.58559333,0.04754037,0.58368293
-5.95797899,2.02304601,0.64439344,0.00000000,0.49289803,0.59350227,0.04846344,0.60485380
-5.95197599,2.06854519,0.65097761,0.00000000,0.50426337,0.60150232,0.04919275,0.62560657
-5.94597299,2.11285236,0.65723554,0.00000000,0.51627876,0.60970299,0.04971997,0.64593537
-5.93996998,2.15624608,0.66330943,0.00000000,0.52903223,0.61826361,0.05004223,0.66589139
-5.93396698,2.19918620,0.66939477,0.00000000,0.54264687,0.62739022,0.05016236,0.68558395
-5.92796398,2.24230144,0.67573400,0.00000000,0.55727713,0.63732898,0.05008894,0.70517827
-5.92196098,2.28636554,0.68260671,0.00000000,0.57310206,0.64835622,0.04983614,0.72488963
-5.91595798,2.33226277,0.69031690,0.00000000,0.59031585,0.66076547,0.04942323,0.74497407
-5.90995498,2.38094352,0.69917748,0.00000000,0.60911597,0.67485204,0.04887400,0.76571573
-5.90395198,2.43337201,0.70949308,0.00000000,0.62968937,0.69089562,0.04821591,0.78741126
-5.89794897,2.49046812,0.72154168,0.00000000,0.65219737,0.70914198,0.04747902,0.81035203
-5.89194597,2.55304616,0.73555612,0.00000000,0.67676001,0.72978443,0.04669494,0.83480466
-5.88594297,2.62175339,0.75170635,0.00000000,0.70344073,0.75294606,0.04589556,0.86099102
-5.87993997,2.69701160,0.77008337,0.00000000,0.73223216,0.77866378,0.04511177,0.88906858
-5.87393697,2.77896488,0.79068585,0.00000000,0.76304394,0.80687507,0.04437227,0.91911217
-5.86793397,2.86743672,0.81341006,0.00000000,0.79569343,0.83740821,0.04370240,0.95109827
