energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.76111257,-1.06994848,0.67544437,-0.08718964,0.43678595,-0.05539000,3.00752547,-0.91202324,1.01077643,-0.31829361,0.00491602,-0.00133749,0.94465011,-0.42065647,1.26967696,-0.20878479,0.00000000,-0.00000000
-5.99399700,3.82790066,-1.08973988,0.68542227,-0.09216460,0.44342438,-0.05933926,3.11673545,-0.95429069,1.02666145,-0.31262868,0.00489990,-0.00147322,0.97034233,-0.42311521,1.28703985,-0.21809765,0.00000000,-0.00000000
-5.98799400,3.88957370,-1.11808190,0.69218857,-0.09829499,0.44812505,-0.06374823,3.23116327,-1.00410784,1.04215991,-0.30953451,0.00487622,-0.00161828,0.99834796,-0.42871789,1.29865484,-0.22956674,0.00000000,-0.00000000
-5.98199100,3.94586917,-1.15479543,0.69566656,-0.10556877,0.45085761,-0.06861214,3.35031375,-1.06127031,1.05719395,-0.30902976,0.00484359,-0.00177138,1.02856442,-0.43743714,1.30444718,-0.24313932,0.00000000,-0.00000000
-5.97598799,3.99654918,-1.19958496,0.69584472,-0.11397449,0.45163023,-0.07392909,3.47351321,-1.12546833,1.07165457,-0.31108111,0.00480072,-0.00193115,1.06080032,-0.44917871,1.30445832,-0.25876399,0.00000000,-0.00000000
-5.96998499,4.04140549,-1.25205885,0.69277766,-0.12350270,0.45049012,-0.07970104,3.59991410,-1.19630101,1.08540414,-0.31560899,0.00474659,-0.00209611,1.09477745,-0.46378866,1.29884616,-0.27639501,0.00000000,-0.00000000
-5.96398199,4.08026248,-1.31175163,0.68658460,-0.13414712,0.44752266,-0.08593474,3.72850225,-1.27329302,1.09827980,-0.32249438,0.00468051,-0.00226474,1.13013510,-0.48106218,1.28788143,-0.29599604,0.00000000,-0.00000000
-5.95797899,4.11297810,-1.37814722,0.67744584,-0.14590556,0.44284951,-0.09264221,3.85810632,-1.35591322,1.11009783,-0.33158634,0.00460221,-0.00243548,1.16643653,-0.50075367,1.27194031,-0.31754289,0.00000000,-0.00000000
-5.95197599,4.13944290,-1.45070187,0.66559701,-0.15878031,0.43662551,-0.09984080,3.98740989,-1.44359446,1.12065858,-0.34270997,0.00451194,-0.00260680,1.20317736,-0.52258785,1.25149367,-0.34102512,0.00000000,-0.00000000
-5.94597299,4.15957746,-1.52886590,0.65132168,-0.17277802,0.42903469,-0.10755285,4.11496626,-1.53575381,1.12975207,-0.35567451,0.00441046,-0.00277720,1.23979591,-0.54627125,1.22709328,-0.36644615,0.00000000,-0.00000000
-5.93996998,4.17332887,-1.61210302,0.63494249,-0.18790892,0.42028549,-0.11580466,4.23921639,-1.63181268,1.13716399,-0.37028115,0.00429912,-0.00294523,1.27568506,-0.57150398,1.19935576,-0.39382179,0.00000000,-0.00000000
-5.93396698,4.18066685,-1.69990663,0.61681137,-0.20418529,0.41060534,-0.12462497,4.35851046,-1.73121605,1.14268198,-0.38633049,0.00417981,-0.00310956,1.31020565,-0.59799129,1.16894482,-0.42317707,0.00000000,-0.00000000
-5.92796398,4.18158004,-1.79181236,0.59729916,-0.22161925,0.40023485,-0.13404292,4.47113344,-1.83345020,1.14610211,-0.40362930,0.00405495,-0.00326898,1.34270102,-0.62545467,1.13655261,-0.45454126,0.00000000,-0.00000000
-5.92196098,4.17607341,-1.88740654,0.57678510,-0.24021974,0.38942184,-0.14408539,4.57533489,-1.93805843,1.14723526,-0.42199650,0.00392746,-0.00342239,1.37251254,-0.65364208,1.10288075,-0.48794137,0.00000000,-0.00000000
-5.91595798,4.16416696,-1.98633029,0.55564666,-0.25998887,0.37841529,-0.15477405,4.66936319,-2.04465412,1.14591352,-0.44126817,0.00380065,-0.00356885,1.39899590,-0.68233726,1.06862187,-0.52339418,0.00000000,-0.00000000
-5.90995498,4.14589648,-2.08827938,0.53424998,-0.28091773,0.36745957,-0.16612201,4.75150380,-2.15293083,1.14199615,-0.46130155,0.00367818,-0.00370751,1.42153763,-0.71136759,1.03444222,-0.56089716,0.00000000,-0.00000000
-5.90395198,4.12131615,-2.19300011,0.51294135,-0.30298176,0.35678895,-0.17813039,4.82012110,-2.26266886,1.13537516,-0.48197798,0.00356394,-0.00383767,1.43957172,-0.74061055,1.00096582,-0.60041875,0.00000000,-0.00000000
-5.89794897,4.09050333,-2.30028154,0.49203979,-0.32613602,0.34662254,-0.19078497,4.87370281,-2.37373803,1.12598029,-0.50320468,0.00346196,-0.00395870,1.45259572,-0.76999826,0.96876059,-0.64188840,0.00000000,-0.00000000
-5.89194597,4.05356486,-2.40994472,0.47183110,-0.35031047,0.33715990,-0.20405301,4.91090559,-2.48609644,1.11378320,-0.52491549,0.00337630,-0.00407007,1.46018602,-0.79952018,0.93832676,-0.68518703,0.00000000,-0.00000000
-5.88594297,4.01064469,-2.52182966,0.45256326,-0.37540573,0.32857719,-0.21788064,4.93060022,-2.59978490,1.09880068,-0.54707045,0.00331092,-0.00417125,1.46201167,-0.82922358,0.91008777,-0.73013857,0.00000000,-0.00000000
-5.87993997,3.96193200,-2.63578058,0.43444331,-0.40128942,0.32102404,-0.23219086,4.93191431,-2.71491703,1.08109690,-0.56965428,0.00326961,-0.00426176,1.45784632,-0.85921163,0.88438359,-0.77650298,0.00000000,-0.00000000
-5.87393697,3.90766907,-2.75163048,0.41763563,-0.42779364,0.31462113,-0.24688244,4.91427059,-2.83166507,1.06078433,-0.59267387,0.00325590,-0.00434111,1.44757775,-0.88963916,0.86146667,-0.82397166,0.00000000,-0.00000000
-5.86793397,3.84815802,-2.86918546,0.40226152,-0.45471360,0.30945845,-0.26182979,4.87741845,-2.95024142,1.03802345,-0.61615465,0.00327292,-0.00440877,1.43121452,-0.92070575,0.84150023,-0.87216546,0.00000000,-0.00000000
-5.86193097,3.78376571,-2.98820976,0.38839990,-0.48180787,0.30559427,-0.27688404,4.82145697,-3.07087623,1.01302101,-0.64013605,0.00332336,-0.00446418,1.40888935,-0.95264631,0.82455886,-0.92063596,0.00000000,-0.00000000
-5.85592796,3.71492588,-3.10841191,0.37608904,-0.50880031,0.30305477,-0.29187525,4.74684756,-3.19379158,0.98602694,-0.66466605,0.00340940,-0.00450674,1.38085884,-0.98571918,0.81063119,-0.96887004,0.00000000,-0.00000000
