energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,5.74928302,0.03800614,0.54229457,1.78872165,0.60502909,2.04430387,1.95161910,2.65319722,0.00000000
-5.99399700,5.54870686,0.03645196,0.51650134,1.69468672,0.59334864,1.95068165,1.89016815,2.56553037,0.00000000
-5.98799400,5.34900974,0.03486761,0.49273556,1.60087867,0.57983993,1.86058918,1.83035967,2.47469845,0.00000000
-5.98199100,5.15248990,0.03325972,0.47120338,1.50812809,0.56470132,1.77457505,1.77311648,2.38170773,0.00000000
-5.97598799,4.96144238,0.03163643,0.45207428,1.41728514,0.54816570,1.69312985,1.71933243,2.28763035,0.00000000
-5.96998499,4.77810197,0.03000713,0.43547849,1.32919989,0.53049393,1.61667796,1.66984939,2.19357639,0.00000000
-5.96398199,4.60458707,0.02838205,0.42150536,1.24470294,0.51196731,1.54556972,1.62543564,2.10066466,0.00000000
-5.95797899,4.44284703,0.02677190,0.41020246,1.16458718,0.49287955,1.48007470,1.58676667,2.00999351,0.00000000
-5.95197599,4.29461521,0.02518746,0.40157586,1.08959129,0.47352853,1.42037657,1.55440918,1.92261292,0.00000000
-5.94597299,4.16137007,0.02363919,0.39559127,1.02038559,0.45420825,1.36657024,1.52880893,1.83949903,0.00000000
-5.93996998,4.04430628,0.02213689,0.39217639,0.95756060,0.43520127,1.31866160,1.51028313,1.76153226,0.00000000
-5.93396698,3.94431724,0.02068938,0.39122432,0.90161880,0.41677211,1.27657049,1.49901769,1.68947994,0.00000000
-5.92796398,3.86198993,0.01930427,0.39259812,0.85296954,0.39916176,1.24013691,1.49506951,1.62398404,0.00000000
-5.92196098,3.79761235,0.01798777,0.39613618,0.81192730,0.38258355,1.20913062,1.49837374,1.56555452,0.00000000
-5.91595798,3.75119298,0.01674462,0.40165864,0.77871304,0.36722049,1.18326385,1.50875561,1.51456833,0.00000000
-5.90995498,3.72249124,0.01557802,0.40897425,0.75345848,0.35322405,1.16220667,1.52594619,1.47127368,0.00000000
-5.90395198,3.71105674,0.01448966,0.41788771,0.73621278,0.34071448,1.14560443,1.54960126,1.43579928,0.00000000
-5.89794897,3.71627516,0.01347985,0.42820705,0.72695116,0.32978233,1.13309636,1.57932200,1.40816744,0.00000000
-5.89194597,3.73741756,0.01254766,0.43975068,0.72558478,0.32049102,1.12433431,1.61467653,1.38831014,0.00000000
-5.88594297,3.77369007,0.01169109,0.45235390,0.73197133,0.31288022,1.11900066,1.65522073,1.37608684,0.00000000
-5.87993997,3.82428049,0.01090726,0.46587437,0.74592552,0.30696975,1.11682423,1.70051713,1.37130255,0.00000000
-5.87393697,3.88839893,0.01019269,0.48019636,0.76722872,0.30276348,1.11759320,1.75015063,1.37372509,0.00000000
-5.86793397,3.96530940,0.00954345,0.49523337,0.79563735,0.30025321,1.12116412,1.80374000,1.38310022,0.00000000
-5.86193097,4.05435040,0.00895544,0.51092912,0.83088919,0.29942200,1.12746650,1.86094443,1.39916357,0.00000000
-5.85592796,4.15494309,0.00842450,0.52725658,0.87270742,0.30024682,1.13650225,1.92146454,1.42164878,0.00000000
-5.84992496,4.26658622,0.00794661,0.54421526,0.92080197,0.30270035,1.14834027,1.98503809,1.45029123,0.00000000
-5.84392196,4.38883861,0.00751799,0.56182671,0.97486819,0.30675183,1.16310602,2.05143031,1.48482728,0.00000000
-5.83791896,4.52129023,0.00713518,0.58012853,1.03458298,0.31236694,1.18096682,2.12042006,1.52498943,0.00000000
-5.83191596,4.66352424,0.00679510,0.59916715,1.09959861,0.31950681,1.20211369,2.19178249,1.57049773,0.00000000
-5.82591296,4.81507313,0.00649502,0.61898985,1.16953492,0.32812629,1.22674064,2.26526999,1.62104861,0.00000000
-5.81990995,4.97537232,0.00623257,0.63963648,1.24397044,0.33817165,1.25502290,2.34059278,1.67630206,0.00000000
-5.81390695,5.14371547,0.00600569,0.66113132,1.32243344,0.34957810,1.28709520,2.41740107,1.73586862,0.00000000
-5.80790395,5.31921525,0.00581256,0.68347572,1.40439369,0.36226720,1.32303170,2.49527034,1.79929752,0.00000000
-5.80190095,5.50077366,0.00565152,0.70664188,1.48925602,0.37614470,1.36282874,2.57369159,1.86606728,0.00000000
-5.79589795,5.68706501,0.00552104,0.73056838,1.57635656,0.39109889,1.40639157,2.65206768,1.93558010,0.00000000
-5.78989495,5.87653431,0.00541960,0.75515764,1.66496248,0.40699974,1.45352615,2.72971676,2.00716099,0.00000000
-5.78389195,6.06741272,0.00534569,0.78027565,1.75427594,0.42369914,1.50393636,2.80588354,2.08006228,0.00000000
-5.77788894,6.25775042,0.00529774,0.80575408,1.84344258,0.44103217,1.55722720,2.87975806,2.15347401,0.00000000
-5.77188594,6.44546656,0.00527415,0.83139464,1.93156482,0.45881957,1.61291375,2.95050180,2.22654001,0.00000000
-5.76588294,6.62841411,0.00527324,0.85697562,2.01771970,0.47687138,1.67043549,3.01727975,2.29837921,0.00000000
-5.75987994,6.80445693,0.00529334,0.88226020,2.10098084,0.49499150,1.72917523,3.07929724,2.36811139,0.00000000
-5.75387694,6.97155516,0.00533282,0.90700607,2.18044375,0.51298308,1.78848163,3.13583929,2.43488609,0.00000000
-5.74787394,7.12785417,0.00539015,0.93097590,2.25525335,0.53065453,1.84769402,3.18631055,2.49791325,0.00000000
-5.74187094,7.27177232,0.00546402,0.95394790,2.32463257,0.54782564,1.90616810,3.23027340,2.55649394,0.00000000
-5.73586793,7.40208222,0.00555339,0.97572605,2.38791049,0.56433376,1.96330117,3.26748180,2.61004941,0.00000000
-5.72986493,7.51798080,0.00565761,0.99614915,2.44454862,0.58003946,2.01855537,3.29790885,2.65814681,0.00000000
-5.72386193,7.61914370,0.00577652,1.01509832,2.49416392,0.59483150,2.07147772,3.32176615,2.70052015,0.00000000
-5.71785893,7.70576064,0.00591051,1.03250244,2.53654717,0.60863080,2.12171596,3.33951353,2.73708504,0.00000000
-5.71185593,7.77854932,0.00606060,1.04834111,2.57167576,0.62139315,2.16902932,3.35185823,2.76794649,0.00000000
-5.70585293,7.83874663,0.00622850,1.06264518,2.59971991,0.63311061,2.21329390,3.35974319,2.79339914,0.00000000
-5.69984992,7.88807742,0.00641662,1.07549462,2.62104206,0.64381140,2.25450239,3.36432490,2.81391983,0.00000000
-5.69384692,7.92870210,0.00662809,1.08701406,2.63618916,0.65355848,2.29275854,3.36694150,2.83015294,0.00000000
-5.68784392,7.96314583,0.00686675,1.09736619,2.64587828,0.66244676,2.32826686,3.36907266,2.84288918,0.00000000
-5.68184092,7.99421285,0.00713710,1.10674360,2.65097600,0.67059922,2.36131830,3.37229319,2.85303898,0.00000000
-5.67583792,8.02489028,0.00744421,1.11535949,2.65247261,0.67816220,2.39227311,3.37822234,2.86160185,0.00000000
-5.66983492,8.05824634,0.00779367,1.12343788,2.65145227,0.68530004,2.42154180,3.38847147,2.86963330,0.00000000
-5.66383192,8.09732780,0.00819150,1.13120399,2.64906026,0.69218952,2.44956555,3.40459219,2.87821082,0.00000000
-5.65782891,8.14506148,0.00864399,1.13887523,2.64646897,0.69901431,2.47679712,3.42802744,2.88840074,0.00000000
-5.65182591,8.20416402,0.00915761,1.14665346,2.64484377,0.70595963,2.50368320,3.46006738,2.90122705,0.00000000
-5.64582291,8.27706343,0.00973889,1.15471872,2.64531008,0.71320760,2.53064910,3.50181182,2.91764366,0.00000000
-5.63981991,8.36583489,0.01039426,1.16322480,2.64892291,0.72093313,2.55808624,3.55414028,2.93851079,0.00000000
-5.63381691,8.47215223,0.01112997,1.17229660,2.65663952,0.72930063,2.58634270,3.61769040,2.96457607,0.00000000
-5.62781391,8.59725550,0.01195191,1.18202933,2.66929607,0.73846151,2.61571693,3.69284476,2.99646051,0.00000000
-5.62181091,8.74193387,0.01286553,1.19248923,2.68758857,0.74855228,2.64645416,3.77972585,3.03464911,0.00000000
-5.61580790,8.90652227,0.01387569,1.20371540,2.71205838,0.75969332,2.67874534,3.87819829,3.07948573,0.00000000
-5.60980490,9.09090942,0.01498659,1.21572250,2.74308205,0.77198790,2.71272757,3.98787729,3.13117134,0.00000000
-5.60380190,9.29455458,0.01620158,1.22850362,2.78086548,0.78552136,2.74848570,4.10814200,3.18976498,0.00000000
-5.59779890,9.51650991,0.01752311,1.24203293,2.82544183,0.80036029,2.78605410,4.23815227,3.25518637,0.00000000
-5.59179590,9.75544589,0.01895256,1.25626776,2.87667286,0.81655129,2.82541802,4.37686744,3.32721951,0.00000000
-5.58579290,10.00967711,0.02049015,1.27114959,2.93425313,0.83411946,2.86651412,4.52306600,3.40551631,0.00000000
-5.57978989,10.27718682,0.02213474,1.28660390,2.99771667,0.85306628,2.90922959,4.67536508,3.48960009,0.00000000
-5.57378689,10.55564902,0.02388376,1.30253877,3.06644568,0.87336707,2.95340002,4.83223908,3.57886840,0.00000000
-5.56778389,10.84244799,0.02573302,1.31884227,3.13968087,0.89496804,2.99880598,4.99203733,3.67259544,0.00000000
-5.56178089,11.13469581,0.02767656,1.33537900,3.21653342,0.91778318,3.04516866,5.15300065,3.76993442,0.00000000
-5.55577789,11.42924931,0.02970654,1.35198605,3.29599822,0.94169113,3.09214522,5.31327741,3.86992029,0.00000000
-5.54977489,11.72272837,0.03181309,1.36846901,3.37696848,0.96653257,3.13932457,5.47093979,3.97147390,0.00000000
-5.54377189,12.01153804,0.03398421,1.38459845,3.45825185,0.99210822,3.18622420,5.62400106,4.07340817,0.00000000
-5.53776888,12.29189683,0.03620571,1.40010753,3.53858793,1.01817800,3.23228915,5.77043497,4.17443749,0.00000000
