energy_ev,total_up,In_p_up,In_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,1.43346314,0.18414213,0.00160841,0.60714331,0.37121697,0.00392979,0.09909390
-5.99399700,1.44302272,0.18826505,0.00163626,0.62311400,0.36356566,0.00414330,0.09669036
-5.98799400,1.45151897,0.19173233,0.00165733,0.64002914,0.35683571,0.00443235,0.09504891
-5.98199100,1.45927642,0.19459661,0.00167196,0.65810833,0.35106624,0.00479796,0.09414700
-5.97598799,1.46675158,0.19693135,0.00168070,0.67762424,0.34632048,0.00524176,0.09397046
-5.96998499,1.47450810,0.19882764,0.00168427,0.69888633,0.34268070,0.00576572,0.09451152
-5.96398199,1.48318564,0.20038993,0.00168352,0.72222113,0.34024204,0.00637189,0.09576650
-5.95797899,1.49346361,0.20173102,0.00167942,0.74794975,0.33910556,0.00706215,0.09773325
-5.95197599,1.50602182,0.20296636,0.00167296,0.77636393,0.33937110,0.00783793,0.10040840
-5.94597299,1.52149995,0.20420811,0.00166517,0.80770152,0.34113017,0.00870003,0.10378481
-5.93996998,1.54045810,0.20555910,0.00165702,0.84212296,0.34445958,0.00964853,0.10784915
-5.93396698,1.56334077,0.20710716,0.00164939,0.87968996,0.34941617,0.01068273,0.11258011
-5.92796398,1.59044648,0.20891995,0.00164304,0.92034782,0.35603320,0.01180122,0.11794701
-5.92196098,1.62190516,0.21104073,0.00163854,0.96391257,0.36431878,0.01300211,0.12390942
-5.91595798,1.65766503,0.21348523,0.00163630,1.01006399,0.37425678,0.01428328,0.13041747
-5.90995498,1.69749031,0.21623982,0.00163650,1.05834538,0.38581037,0.01564296,0.13741328
-5.90395198,1.74097053,0.21926114,0.00163910,1.10817044,0.39892838,0.01708023,0.14483334
-5.89794897,1.78754161,0.22247717,0.00164385,1.15883760,0.41355444,0.01859586,0.15261190
-5.89194597,1.83651819,0.22578978,0.00165032,1.20955123,0.42963870,0.02019312,0.16068526
-5.88594297,1.88713601,0.22907858,0.00165790,1.25944940,0.44715158,0.02187877,0.16899688
-5.87993997,1.93860263,0.23220596,0.00166584,1.30763688,0.46609932,0.02366405,0.17750294
-5.87393697,1.99015391,0.23502304,0.00167330,1.35322201,0.48654017,0.02556574,0.18617833
-5.86793397,2.04111342,0.23737615,0.00167941,1.39535587,0.50860062,0.02760708,0.19502253
-5.86193097,2.09095166,0.23911374,0.00168328,1.43327171,0.53249056,0.02981866,0.20406516
-5.85592796,2.13934139,0.24009311,0.00168411,1.46632267,0.55851617,0.03223909,0.21337076
-5.84992496,2.18620587,0.24018681,0.00168117,1.49401573,0.58708963,0.03491536,0.22304245
-5.84392196,2.23175663,0.23928836,0.00167386,1.51604005,0.61873429,0.03790299,0.23322416
-5.83791896,2.27651776,0.23731694,0.00166180,1.53228792,0.65408454,0.04126564,0.24410088
-5.83191596,2.32133449,0.23422097,0.00164475,1.54286700,0.69387936,0.04507431,0.25589698
-5.82591296,2.36736427,0.22998032,0.00162273,1.54810285,0.73894898,0.04940610,0.26887212
-5.81990995,2.41604948,0.22460715,0.00159593,1.54853125,0.79019441,0.05434236,0.28331484
-5.81390695,2.46907187,0.21814532,0.00156477,1.54488031,0.84855974,0.05996633,0.29953371
-5.80790395,2.52828965,0.21066849,0.00152986,1.53804298,0.91499762,0.06636035,0.31784631
-5.80190095,2.59565933,0.20227708,0.00149196,1.52904085,0.99042887,0.07360258,0.33856627
-5.79589795,2.67314505,0.19309414,0.00145194,1.51898088,1.07569725,0.08176337,0.36198873
-5.78989495,2.76261936,0.18326056,0.00141078,1.50900699,1.17152124,0.09090155,0.38837486
-5.78389195,2.86575967,0.17292973,0.00136947,1.50024855,1.27844464,0.10106048,0.41793599
-5.77788894,2.98394535,0.16226199,0.00132902,1.49376834,1.39678850,0.11226441,0.45081816
-5.77188594,3.11816081,0.15141915,0.00129038,1.49051239,1.52660665,0.12451506,0.48708786
-5.76588294,3.26890952,0.14055926,0.00125438,1.49126415,1.66764760,0.13778877,0.52671973
-5.75987994,3.43614410,0.12983190,0.00122176,1.49660522,1.81932519,0.15203437,0.56958705
-5.75387694,3.61921690,0.11937416,0.00119307,1.50688467,1.98070043,0.16717204,0.61545568
-5.74787394,3.81685458,0.10930744,0.00116870,1.52219843,2.15047638,0.18309310,0.66398212
-5.74187094,4.02715941,0.09973512,0.00114882,1.54237987,2.32700759,0.19966113,0.71471604
-5.73586793,4.24763849,0.09074109,0.00113343,1.56700222,2.50832481,0.21671426,0.76710753
-5.72986493,4.47526108,0.08238926,0.00112232,1.59539265,2.69217522,0.23406870,0.82051907
-5.72386193,4.70654238,0.07472381,0.00111513,1.62665757,2.87607714,0.25152345,0.87424199
-5.71785893,4.93765103,0.06777022,0.00111131,1.65971782,3.05738798,0.26886605,0.92751689
-5.71185593,5.16453594,0.06153688,0.00111023,1.69335238,3.23338270,0.28587906,0.97955723
-5.70585293,5.38306718,0.05601714,0.00111115,1.72624830,3.40133995,0.30234720,1.02957521
-5.69984992,5.58918463,0.05119169,0.00111326,1.75705459,3.55863202,0.31806461,1.07680879
-5.69384692,5.77904739,0.04703118,0.00111576,1.78443757,3.70281473,0.33284199,1.12054857
-5.68784392,5.94917692,0.04349871,0.00111789,1.80713508,3.83171273,0.34651332,1.16016321
-5.68184092,6.09658703,0.04055242,0.00111890,1.82400691,3.94349639,0.35894163,1.19512236
-5.67583792,6.21889434,0.03814773,0.00111818,1.83407932,4.03674614,0.37002372,1.22501558
-5.66983492,6.31440382,0.03623942,0.00111520,1.83658168,4.11050120,0.37969336,1.24956669
-5.66383192,6.38216541,0.03478330,0.00110958,1.83097360,4.16429013,0.38792292,1.26864249
-5.65782891,6.42199913,0.03373759,0.00110110,1.81696160,4.19814163,0.39472332,1.28225567
-5.65182591,6.43448781,0.03306385,0.00108965,1.79450502,4.21257522,0.40014216,1.29056160
-5.64582291,6.42093840,0.03272761,0.00107532,1.76381105,4.20857233,0.40426028,1.29384940
-5.63981991,6.38331434,0.03269864,0.00105829,1.72531972,4.18752950,0.40718690,1.29252770
-5.63381691,6.32414310,0.03295090,0.00103890,1.67967999,4.15119632,0.40905347,1.28710595
-5.62781391,6.24640423,0.03346225,0.00101756,1.62771852,4.10160159,0.41000683,1.27817241
-5.62181091,6.15340401,0.03421399,0.00099479,1.57040289,4.04097160,0.41020174,1.26636993
-5.61580790,6.04864346,0.03519016,0.00097112,1.50880153,3.97164490,0.40979352,1.25237088
-5.60980490,5.93568644,0.03637690,0.00094715,1.44404231,3.89598784,0.40893093,1.23685253
-5.60380190,5.81803419,0.03776161,0.00092345,1.37727190,3.81631503,0.40774985,1.22047411
-5.59779890,5.69901203,0.03933218,0.00090056,1.30961779,3.73481831,0.40636797,1.20385656
-5.59179590,5.58167291,0.04107632,0.00087898,1.24215446,3.65350713,0.40488082,1.18756587
-5.58579290,5.46872104,0.04298086,0.00085913,1.17587507,3.57416242,0.40335931,1.17210047
-5.57978989,5.36245766,0.04503119,0.00084138,1.11166933,3.49830507,0.40184876,1.15788311
-5.57378689,5.26474946,0.04721080,0.00082596,1.05030802,3.42717927,0.40036964,1.14525705
-5.56778389,5.17701876,0.04950098,0.00081305,0.99243412,3.36174984,0.39891964,1.13448638
-5.56178089,5.10025336,0.05188055,0.00080271,0.93856022,3.30271205,0.39747713,1.12575980
-5.55577789,5.03503315,0.05432582,0.00079492,0.88907129,3.25051185,0.39600564,1.11919728
-5.54977489,4.98156939,0.05681057,0.00078956,0.84423211,3.20537362,0.39445917,1.11485863
-5.54377189,4.93975291,0.05930622,0.00078646,0.80419800,3.16733273,0.39278794,1.11275302
-5.53776888,4.90920667,0.06178207,0.00078536,0.76902781,3.13626992,0.39094430,1.11284874
-5.53176588,4.88933884,0.06420565,0.00078596,0.73869788,3.11194478,0.38888851,1.11508211
-5.52576288,4.87939285,0.06654315,0.00078795,0.71311595,3.09402599,0.38659407,1.11936505
-5.51975988,4.87849162,0.06875994,0.00079097,0.69213410,3.08211641,0.38405235,1.12559071
-5.51375688,4.88567400,0.07082120,0.00079464,0.67555989,3.07577193,0.38127634,1.13363689
-5.50775388,4.89992222,0.07269252,0.00079862,0.66316547,3.07451341,0.37830339,1.14336711
-5.50175088,4.92018045,0.07434067,0.00080255,0.65469410,3.07783186,0.37519665,1.15462966
-5.49574787,4.94536490,0.07573428,0.00080609,0.64986449,3.08518770,0.37204545,1.16725475
-5.48974487,4.97436697,0.07684466,0.00080895,0.64837287,3.09600518,0.36896434,1.18105045
-5.48374187,5.00605133,0.07764647,0.00081086,0.64989344,3.10966371,0.36609087,1.19579805
-5.47773887,5.03925124,0.07811852,0.00081157,0.65407769,3.12548809,0.36358233,1.21124746
-5.47173587,5.07276339,0.07824432,0.00081089,0.66055330,3.14273948,0.36161127,1.22711346
-5.46573287,5.10534478,0.07801274,0.00080868,0.66892312,3.16060904,0.36036019,1.24307348
-5.45972986,5.13571332,0.07741842,0.00080481,0.67876514,3.17821600,0.36001530,1.25876743
-5.45372686,5.16255415,0.07646209,0.00079923,0.68963369,3.19461142,0.36075968,1.27380008
-5.44772386,5.18453233,0.07515071,0.00079191,0.70106253,3.20878840,0.36276603,1.28774612
-5.44172086,5.20031256,0.07349750,0.00078287,0.71256996,3.21969916,0.36618911,1.30015813
-5.43571786,5.20858547,0.07152172,0.00077217,0.72366599,3.22627861,0.37115819,1.31057711
-5.42971486,5.20809972,0.06924827,0.00075993,0.73386156,3.22747373,0.37776983,1.31854530
-5.42371186,5.19769824,0.06670719,0.00074630,0.74267939,3.22227733,0.38608115,1.32362065
-5.41770885,5.17635692,0.06393287,0.00073145,0.74966615,3.20976452,0.39610398,1.32539233
