energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,1.23530572,0.66635430,0.39658767,0.01261216,0.26283437,0.32172978,0.50815671,0.00000000
-5.99399700,1.21046954,0.64945720,0.39355420,0.01148252,0.26012796,0.29539489,0.49520281,0.00000000
-5.98799400,1.18772545,0.63334837,0.39137126,0.01042126,0.25717185,0.27036188,0.48367300,0.00000000
-5.98199100,1.16722234,0.61817616,0.39002268,0.00943398,0.25400618,0.24689168,0.47361870,0.00000000
-5.97598799,1.14905174,0.60407606,0.38947812,0.00852415,0.25066563,0.22519820,0.46505952,0.00000000
-5.96998499,1.13326090,0.59117360,0.38969914,0.00769324,0.24717968,0.20544987,0.45799074,0.00000000
-5.96398199,1.11986839,0.57958795,0.39064609,0.00694098,0.24357356,0.18777272,0.45239201,0.00000000
-5.95797899,1.10888111,0.56943600,0.39228500,0.00626561,0.23986950,0.17225451,0.44823661,0.00000000
-5.95197599,1.10031168,0.56083650,0.39459441,0.00566421,0.23608837,0.15894956,0.44550070,0.00000000
-5.94597299,1.09419465,0.55391399,0.39757125,0.00513295,0.23225152,0.14788396,0.44417191,0.00000000
-5.93996998,1.09060062,0.54880198,0.40123571,0.00466748,0.22838266,0.13906067,0.44425663,0.00000000
-5.93396698,1.08964685,0.54564503,0.40563427,0.00426311,0.22450951,0.13246431,0.44578550,0.00000000
-5.92796398,1.09150349,0.54459936,0.41084086,0.00391515,0.22066530,0.12806520,0.44881670,0.00000000
-5.92196098,1.09639478,0.54583178,0.41695574,0.00361910,0.21688967,0.12582268,0.45343657,0.00000000
-5.91595798,1.10459452,0.54951659,0.42410208,0.00337080,0.21322905,0.12568730,0.45975754,0.00000000
-5.90995498,1.11641601,0.55583058,0.43242015,0.00316659,0.20973636,0.12760209,0.46791333,0.00000000
-5.90395198,1.13219651,0.56494607,0.44205944,0.00300338,0.20646995,0.13150275,0.47805147,0.00000000
-5.89794897,1.15227700,0.57702225,0.45316892,0.00287869,0.20349188,0.13731695,0.49032371,0.00000000
-5.89194597,1.17697797,0.59219518,0.46588596,0.00279062,0.20086554,0.14496290,0.50487448,0.00000000
-5.88594297,1.20657280,0.61056684,0.48032443,0.00273783,0.19865269,0.15434736,0.52182828,0.00000000
-5.87993997,1.24125991,0.63219400,0.49656262,0.00271942,0.19691016,0.16536333,0.54127651,0.00000000
-5.87393697,1.28113545,0.65707726,0.51463177,0.00273485,0.19568633,0.17788779,0.56326461,0.00000000
-5.86793397,1.32616810,0.68515118,0.53450576,0.00278379,0.19501768,0.19177960,0.58778012,0.00000000
-5.86193097,1.37617770,0.71627600,0.55609277,0.00286599,0.19492550,0.20687789,0.61474258,0.00000000
-5.85592796,1.43081909,0.75023163,0.57922934,0.00298112,0.19541313,0.22300121,0.64399570,0.00000000
-5.84992496,1.48957235,0.78671433,0.60367757,0.00312860,0.19646384,0.23994750,0.67530259,0.00000000
-5.84392196,1.55174053,0.82533657,0.62912547,0.00330752,0.19803951,0.25749511,0.70834419,0.00000000
-5.83791896,1.61645528,0.86563018,0.65519093,0.00351647,0.20008029,0.27540489,0.74272140,0.00000000
-5.83191596,1.68269057,0.90705285,0.68142913,0.00375343,0.20250529,0.29342333,0.77796080,0.00000000
-5.82591296,1.74928423,0.94899797,0.70734324,0.00401576,0.20521426,0.31128670,0.81352385,0.00000000
-5.81990995,1.81496661,0.99080735,0.73239806,0.00430011,0.20809029,0.32872616,0.84881933,0.00000000
-5.81390695,1.87839527,1.03178643,0.75603608,0.00460241,0.21100344,0.34547344,0.88321852,0.00000000
-5.80790395,1.93819437,1.07122146,0.77769517,0.00491792,0.21381502,0.36126712,0.91607254,0.00000000
-5.80190095,1.99299696,1.10839782,0.79682736,0.00524131,0.21638250,0.37585914,0.94673105,0.00000000
-5.79589795,2.04148854,1.14261890,0.81291759,0.00556671,0.21856474,0.38902121,0.97456167,0.00000000
-5.78989495,2.08244988,1.17322465,0.82550194,0.00588790,0.22022729,0.40055104,0.99896920,0.00000000
-5.78389195,2.11479727,1.19960920,0.83418412,0.00619842,0.22124750,0.41027793,1.01941396,0.00000000
-5.77788894,2.13761863,1.22123679,0.83864986,0.00649178,0.22151936,0.41806773,1.03542834,0.00000000
-5.77188594,2.15020368,1.23765547,0.83867836,0.00676162,0.22095757,0.42382668,1.04663113,0.00000000
-5.76588294,2.15206737,1.24850817,0.83415032,0.00700197,0.21950097,0.42750431,1.05273891,0.00000000
-5.75987994,2.14296526,1.25354078,0.82505235,0.00720736,0.21711497,0.42909503,1.05357424,0.00000000
-5.75387694,2.12290073,1.25260705,0.81147755,0.00737307,0.21379296,0.42863853,1.04907026,0.00000000
-5.74787394,2.09212369,1.24567035,0.79362223,0.00749527,0.20955668,0.42621888,1.03927182,0.00000000
-5.74187094,2.05112106,1.23280227,0.77177919,0.00757114,0.20445550,0.42196248,1.02433296,0.00000000
-5.73586793,2.00059973,1.21417844,0.74632768,0.00759898,0.19856476,0.41603482,1.00451114,0.00000000
-5.72986493,1.94146282,1.19007164,0.71772076,0.00757827,0.19198312,0.40863623,0.98015845,0.00000000
-5.72386193,1.87478031,1.16084278,0.68647053,0.00750970,0.18482917,0.39999673,0.95171023,0.00000000
-5.71785893,1.80175550,1.12692996,0.65313188,0.00739510,0.17723746,0.39037018,0.91967162,0.00000000
-5.71185593,1.72368847,1.08883620,0.61828556,0.00723742,0.16935402,0.38002778,0.88460255,0.00000000
-5.70585293,1.64193820,1.04711618,0.58252113,0.00704058,0.16133169,0.36925120,0.84710179,0.00000000
-5.69984992,1.55788446,1.00236239,0.54642046,0.00680935,0.15332531,0.35832541,0.80779057,0.00000000
-5.69384692,1.47289106,0.95519116,0.51054239,0.00654916,0.14548710,0.34753152,0.76729626,0.00000000
-5.68784392,1.38827128,0.90622885,0.47540897,0.00626592,0.13796223,0.33713957,0.72623679,0.00000000
-5.68184092,1.30525674,0.85609853,0.44149370,0.00596579,0.13088481,0.32740174,0.68520602,0.00000000
-5.67583792,1.22497035,0.80540756,0.40921198,0.00565502,0.12437447,0.31854582,0.64476062,0.00000000
-5.66983492,1.14840396,0.75473612,0.37891404,0.00533969,0.11853345,0.31076942,0.60540865,0.00000000
-5.66383192,1.07640112,0.70462700,0.35088023,0.00502555,0.11344443,0.30423481,0.56760014,0.00000000
