energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-5.61580790,0.95884104,0.06487532,0.00000000,0.54837215,0.00000000,0.49129532,0.30633608
-5.60980490,1.02062026,0.07005621,0.00000000,0.58114326,0.00000000,0.51813636,0.32783610
-5.60380190,1.08552727,0.07579918,0.00000000,0.61491141,0.00000000,0.54718365,0.35000842
-5.59779890,1.15293592,0.08209480,0.00000000,0.64928224,0.00000000,0.57807627,0.37263700
-5.59179590,1.22222620,0.08893215,0.00000000,0.68387283,0.00000000,0.61046129,0.39550416
-5.58579290,1.29278569,0.09629742,0.00000000,0.71831505,0.00000000,0.64399250,0.41839283
-5.57978989,1.36400956,0.10417233,0.00000000,0.75225787,0.00000000,0.67832821,0.44108848
-5.57378689,1.43529930,0.11253238,0.00000000,0.78536879,0.00000000,0.71312833,0.46338100
-5.56778389,1.50606075,0.12134520,0.00000000,0.81733436,0.00000000,0.74805149,0.48506616
-5.56178089,1.57570185,0.13056891,0.00000000,0.84786006,0.00000000,0.78275227,0.50594708
-5.55577789,1.64363059,0.14015079,0.00000000,0.87666968,0.00000000,0.81687926,0.52583536
-5.54977489,1.70925368,0.15002617,0.00000000,0.90350449,0.00000000,0.85007410,0.54455228
-5.54377189,1.77197639,0.16011781,0.00000000,0.92812226,0.00000000,0.88197200,0.56192973
-5.53776888,1.83120390,0.17033566,0.00000000,0.95029659,0.00000000,0.91220375,0.57781128
-5.53176588,1.88634443,0.18057734,0.00000000,0.96981652,0.00000000,0.94039946,0.59205312
-5.52576288,1.93681441,0.19072899,0.00000000,0.98648669,0.00000000,0.96619381,0.60452515
-5.51975988,1.98204546,0.20066694,0.00000000,1.00012820,0.00000000,0.98923289,0.61511197
-5.51375688,2.02149335,0.21025973,0.00000000,1.01058007,0.00000000,1.00918203,0.62371405
-5.50775388,2.05464828,0.21937085,0.00000000,1.01770150,0.00000000,1.02573449,0.63024885
-5.50175088,2.08104644,0.22786177,0.00000000,1.02137461,0.00000000,1.03862043,0.63465195
-5.49574787,2.10028202,0.23559540,0.00000000,1.02150777,0.00000000,1.04761552,0.63687815
-5.48974487,2.11201924,0.24243969,0.00000000,1.01803916,0.00000000,1.05254896,0.63690244
-5.48374187,2.11600375,0.24827136,0.00000000,1.01094037,0.00000000,1.05331006,0.63472089
-5.47773887,2.11207280,0.25297954,0.00000000,1.00021988,0.00000000,1.04985326,0.63035119
-5.47173587,2.10016349,0.25646914,0.00000000,0.98592608,0.00000000,1.04220103,0.62383307
-5.46573287,2.08031890,0.25866395,0.00000000,0.96814963,0.00000000,1.03044454,0.61522831
-5.45972986,2.05269147,0.25950914,0.00000000,0.94702496,0.00000000,1.01474210,0.60462044
-5.45372686,2.01754358,0.25897328,0.00000000,0.92273073,0.00000000,0.99531520,0.59211402
