energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.00373150,-0.43835853,0.00000169,-0.00000000,0.00062474,-0.09192809,0.00016678,-0.01781569,0.00112807,-0.06667229,0.00013879,-0.00518844,0.00090582,-0.12814587
-5.99399700,0.00442204,-0.43629293,0.00000240,-0.00000000,0.00073592,-0.09156155,0.00020622,-0.01778152,0.00135210,-0.06639773,0.00016898,-0.00517565,0.00107552,-0.12746539
-5.98799400,0.00532106,-0.43155201,0.00000338,-0.00000000,0.00088361,-0.09063237,0.00026508,-0.01763742,0.00163650,-0.06571530,0.00020632,-0.00513090,0.00129500,-0.12600469
-5.98199100,0.00645250,-0.42422164,0.00000473,-0.00000000,0.00107214,-0.08915722,0.00034841,-0.01738589,0.00198852,-0.06463729,0.00025174,-0.00505500,0.00156988,-0.12379037
-5.97598799,0.00784645,-0.41443345,0.00000657,-0.00000000,0.00130708,-0.08716252,0.00046304,-0.01703139,0.00241681,-0.06318300,0.00030635,-0.00494928,0.00190718,-0.12086231
-5.96998499,0.00953938,-0.40236097,0.00000905,-0.00000000,0.00159537,-0.08468359,0.00061794,-0.01658016,0.00293155,-0.06137820,0.00037134,-0.00481562,0.00231528,-0.11727245
-5.96398199,0.01157457,-0.38821463,0.00001240,-0.00000000,0.00194544,-0.08176365,0.00082476,-0.01604011,0.00354442,-0.05925436,0.00044807,-0.00465634,0.00280406,-0.11308335
-5.95797899,0.01400270,-0.37223577,0.00001685,-0.00000000,0.00236739,-0.07845262,0.00109831,-0.01542050,0.00426875,-0.05684775,0.00053804,-0.00447419,0.00338496,-0.10836635
-5.95197599,0.01688264,-0.35468996,0.00002275,-0.00000000,0.00287318,-0.07480571,0.00145733,-0.01473177,0.00511959,-0.05419850,0.00064290,-0.00427222,0.00407112,-0.10319965
-5.94597299,0.02028246,-0.33585974,0.00003050,-0.00000000,0.00347693,-0.07088190,0.00192514,-0.01398520,0.00611395,-0.05134941,0.00076443,-0.00405372,0.00487761,-0.09766616
-5.93996998,0.02428060,-0.31603728,0.00004060,-0.00000000,0.00419518,-0.06674240,0.00253054,-0.01319262,0.00727092,-0.04834488,0.00090461,-0.00382216,0.00582161,-0.09185136
-5.93396698,0.02896735,-0.29551697,0.00005366,-0.00000000,0.00504734,-0.06244910,0.00330873,-0.01236612,0.00861206,-0.04522979,0.00106559,-0.00358103,0.00692275,-0.08584112
-5.92796398,0.03444648,-0.27458839,0.00007043,-0.00000000,0.00605599,-0.05806307,0.00430226,-0.01151771,0.01016162,-0.04204837,0.00124976,-0.00333382,0.00820336,-0.07971971
-5.92196098,0.04083702,-0.25352974,0.00009180,-0.00000000,0.00724739,-0.05364315,0.00556205,-0.01065907,0.01194700,-0.03884324,0.00145972,-0.00308392,0.00968893,-0.07356788
-5.91595798,0.04827524,-0.23260208,0.00011881,-0.00000000,0.00865190,-0.04924472,0.00714839,-0.00980129,0.01399909,-0.03565448,0.00169838,-0.00283453,0.01140841,-0.06746122
-5.90995498,0.05691653,-0.21204436,0.00015269,-0.00000000,0.01030443,-0.04491862,0.00913186,-0.00895463,0.01635277,-0.03251887,0.00196896,-0.00258859,0.01339468,-0.06146874
-5.90395198,0.06693735,-0.19206956,0.00019487,-0.00000000,0.01224487,-0.04071033,0.01159416,-0.00812834,0.01904731,-0.02946928,0.00227503,-0.00234878,0.01568489,-0.05565177
-5.89794897,0.07853674,-0.17286177,0.00024696,-0.00000000,0.01451841,-0.03665928,0.01462869,-0.00733053,0.02212677,-0.02653420,0.00262058,-0.00211742,0.01832084,-0.05006316
-5.89194597,0.09193747,-0.15457444,0.00031079,-0.00000000,0.01717579,-0.03279851,0.01834091,-0.00656807,0.02564031,-0.02373749,0.00301003,-0.00189647,0.02134917,-0.04474681
-5.88594297,0.10738655,-0.13732963,0.00038839,-0.00000000,0.02027339,-0.02915442,0.02284821,-0.00584653,0.02964235,-0.02109818,0.00344826,-0.00168752,0.02482153,-0.03973745
-5.87993997,0.12515469,-0.12121828,0.00048198,-0.00000000,0.02387303,-0.02574686,0.02827946,-0.00517019,0.03419258,-0.01863058,0.00394061,-0.00149178,0.02879443,-0.03506078
-5.87393697,0.14553464,-0.10630132,0.00059396,-0.00000000,0.02804158,-0.02258931,0.03477378,-0.00454204,0.03935564,-0.01634436,0.00449288,-0.00131009,0.03332894,-0.03073379
-5.86793397,0.16883805,-0.09261155,0.00072685,-0.00000000,0.03285022,-0.01968929,0.04247884,-0.00396390,0.04520052,-0.01424489,0.00511128,-0.00114297,0.03849000,-0.02676536
-5.86193097,0.19539060,-0.08015620,0.00088330,-0.00000000,0.03837327,-0.01704884,0.05154824,-0.00343645,0.05179959,-0.01233359,0.00580232,-0.00099057,0.04434545,-0.02315697
-5.85592796,0.22552524,-0.06891979,0.00106595,-0.00000000,0.04468666,-0.01466517,0.06213820,-0.00295941,0.05922708,-0.01060837,0.00657274,-0.00085281,0.05096458,-0.01990360
-5.84992496,0.25957332,-0.05886746,0.00127742,-0.00000000,0.05186590,-0.01253130,0.07440331,-0.00253160,0.06755723,-0.00906413,0.00742928,-0.00072932,0.05841625,-0.01699466
-5.84392196,0.29785376,-0.04994835,0.00152021,-0.00000000,0.05998365,-0.01063683,0.08849157,-0.00215117,0.07686180,-0.00769329,0.00837850,-0.00061955,0.06676664,-0.01441497
-5.83791896,0.34066002,-0.04209900,0.00179658,-0.00000000,0.06910679,-0.00896863,0.10453856,-0.00181566,0.08720721,-0.00648630,0.00942649,-0.00052278,0.07607645,-0.01214580
-5.83191596,0.38824544,-0.03524668,0.00210845,-0.00000000,0.07929319,-0.00751153,0.12266098,-0.00152220,0.09865112,-0.00543216,0.01057854,-0.00043817,0.08639781,-0.01016577
-5.82591296,0.44080695,-0.02931246,0.00245730,-0.00000000,0.09058808,-0.00624901,0.14294977,-0.00126760,0.11123872,-0.00451887,0.01183884,-0.00036478,0.09777080,-0.00845178
-5.81990995,0.49846801,-0.02421407,0.00284400,-0.00000001,0.10302027,-0.00516380,0.16546283,-0.00104851,0.12499872,-0.00373391,0.01321002,-0.00030165,0.11021983,-0.00697980
-5.81390695,0.56126108,-0.01986834,0.00326874,-0.00000001,0.11659834,-0.00423837,0.19021786,-0.00086153,0.13993927,-0.00306460,0.01469281,-0.00024776,0.12374992,-0.00572562
-5.80790395,0.62911069,-0.01619333,0.00373088,-0.00000001,0.13130694,-0.00345544,0.21718551,-0.00070325,0.15604393,-0.00249840,0.01628562,-0.00020215,0.13834309,-0.00466539
-5.80190095,0.70181793,-0.01311004,0.00422887,-0.00000002,0.14710335,-0.00279831,0.24628311,-0.00057043,0.17326795,-0.00202322,0.01798419,-0.00016385,0.15395503,-0.00377619
-5.79589795,0.77904716,-0.01054379,0.00476015,-0.00000003,0.16391464,-0.00225117,0.27736963,-0.00045997,0.19153504,-0.00162763,0.01978127,-0.00013196,0.17051235,-0.00303635
-5.78989495,0.86031621,-0.00842520,0.00532110,-0.00000005,0.18163556,-0.00179932,0.31024195,-0.00036903,0.21073499,-0.00130099,0.02166633,-0.00010564,0.18791045,-0.00242577
