energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.68159962,0.36836507,0.14110211,0.00727807,0.16736815,0.00493397,0.27768752,0.08620041,0.12376300
-5.99399700,0.70365896,0.39420505,0.14594155,0.00777575,0.17672642,0.00456984,0.28303762,0.08965418,0.12732034
-5.98799400,0.73230193,0.42239110,0.15232291,0.00827686,0.18762342,0.00430094,0.29137342,0.09413742,0.13158505
-5.98199100,0.76687387,0.45260458,0.16006898,0.00877671,0.19986026,0.00412094,0.30249252,0.09963382,0.13645251
-5.97598799,0.80674302,0.48451990,0.16900635,0.00927104,0.21323451,0.00402295,0.31621361,0.10614049,0.14182573
-5.96998499,0.85131245,0.51780936,0.17896708,0.00975615,0.22754191,0.00399967,0.33238211,0.11366890,0.14761845
-5.96398199,0.90002924,0.55214777,0.18979014,0.01022905,0.24257802,0.00404361,0.35087377,0.12224508,0.15375751
-5.95797899,0.95239060,0.58721675,0.20132241,0.01068747,0.25813993,0.00414716,0.37159629,0.13190887,0.16018441
-5.95197599,1.00794714,0.62270866,0.21341953,0.01112993,0.27402796,0.00430278,0.39448870,0.14271236,0.16685595
-5.94597299,1.06630323,0.65833017,0.22594633,0.01155568,0.29004747,0.00450306,0.41951881,0.15471739,0.17374411
-5.93996998,1.12711476,0.69380534,0.23877722,0.01196467,0.30601072,0.00474080,0.44667870,0.16799237,0.18083492
-5.93396698,1.19008460,0.72887830,0.25179632,0.01235739,0.32173882,0.00500907,0.47597865,0.18260835,0.18812665
-5.92796398,1.25495609,0.76331548,0.26489750,0.01273476,0.33706367,0.00530130,0.50743963,0.19863456,0.19562723
-5.92196098,1.32150512,0.79690741,0.27798432,0.01309792,0.35182994,0.00561129,0.54108505,0.21613367,0.20335117
-5.91595798,1.38953130,0.82947005,0.29096992,0.01344804,0.36589702,0.00593325,0.57693186,0.23515687,0.21131613
-5.90995498,1.45884873,0.86084593,0.30377692,0.01378616,0.37914083,0.00626187,0.61498177,0.25573913,0.21953928
-5.90395198,1.52927711,0.89090484,0.31633724,0.01411292,0.39145549,0.00659235,0.65521294,0.27789473,0.22803370
-5.89794897,1.60063356,0.91954433,0.32859203,0.01442848,0.40275474,0.00692038,0.69757263,0.30161348,0.23680506
-5.89194597,1.67272574,0.94669006,0.34049158,0.01473229,0.41297318,0.00724224,0.74197118,0.32685762,0.24584878
-5.88594297,1.74534664,0.97229588,0.35199533,0.01502309,0.42206704,0.00755476,0.78827779,0.35355980,0.25514765
-5.87993997,1.81827129,0.99634382,0.36307181,0.01529881,0.43001470,0.00785539,0.83631813,0.38162203,0.26467040
-5.87393697,1.89125549,1.01884383,0.37369874,0.01555659,0.43681671,0.00814213,0.88587413,0.41091584,0.27437092
-5.86793397,1.96403656,1.03983330,0.38386298,0.01579288,0.44249542,0.00841362,0.93668567,0.44128356,0.28418841
-5.86193097,2.03633583,1.05937624,0.39356046,0.01600354,0.44709412,0.00866902,0.98845429,0.47254058,0.29404839
-5.85592796,2.10786263,1.07756204,0.40279608,0.01618403,0.45067569,0.00890808,1.04084849,0.50447863,0.30386439
-5.84992496,2.17831917,1.09450367,0.41158328,0.01632958,0.45332084,0.00913104,1.09351019,0.53686970,0.31354040
-5.84392196,2.24740589,1.11033516,0.41994351,0.01643544,0.45512582,0.00933858,1.14606220,0.56947047,0.32297367
-5.83791896,2.31482663,1.12520841,0.42790533,0.01649713,0.45619980,0.00953179,1.19811586,0.60202701,0.33205799
-5.83191596,2.38029314,1.13928907,0.43550321,0.01651063,0.45666182,0.00971210,1.24927860,0.63427944,0.34068693
-5.82591296,2.44352835,1.15275156,0.44277596,0.01647261,0.45663746,0.00988118,1.29916096,0.66596635,0.34875715
-5.81990995,2.50426817,1.16577335,0.44976483,0.01638062,0.45625529,0.01004086,1.34738255,0.69682878,0.35617138
-5.81390695,2.56226165,1.17852849,0.45651127,0.01623319,0.45564324,0.01019308,1.39357689,0.72661366,0.36284114
-5.80790395,2.61726940,1.19118071,0.46305444,0.01602998,0.45492495,0.01033979,1.43739490,0.75507649,0.36868887
-5.80190095,2.66906072,1.20387641,0.46942856,0.01577176,0.45421630,0.01048289,1.47850698,0.78198351,0.37364960
-5.79589795,2.71740975,1.21673785,0.47566032,0.01546041,0.45362226,0.01062417,1.51660402,0.80711312,0.37767205
-5.78989495,2.76209125,1.22985706,0.48176635,0.01509887,0.45323418,0.01076526,1.55139741,0.83025695,0.38071919
-5.78389195,2.80287687,1.24329096,0.48775109,0.01469102,0.45312773,0.01090760,1.58261856,0.85122058,0.38276841
-5.77788894,2.83953265,1.25705816,0.49360521,0.01424157,0.45336161,0.01105243,1.61001830,0.86982417,0.38381120
-5.77188594,2.87181853,1.27113788,0.49930468,0.01375582,0.45397722,0.01120082,1.63336668,0.88590330,0.38385268
-5.76588294,2.89949061,1.28547148,0.50481073,0.01323959,0.45499918,0.01135364,1.65245347,0.89931004,0.38291097
-5.75987994,2.92230667,1.29996672,0.51007084,0.01269892,0.45643710,0.01151168,1.66708986,0.90991460,0.38101642
-5.75387694,2.94003522,1.31450493,0.51502071,0.01213999,0.45828821,0.01167567,1.67711153,0.91760758,0.37821101
-5.74787394,2.95246820,1.32895104,0.51958735,0.01156889,0.46054106,0.01184636,1.68238320,0.92230286,0.37454781
-5.74187094,2.95943675,1.34316606,0.52369310,0.01099154,0.46318004,0.01202463,1.68280455,0.92394107,0.37009053
-5.73586793,2.96082963,1.35702164,0.52726048,0.01041351,0.46619053,0.01221151,1.67831741,0.92249353,0.36491329
-5.72986493,2.95661315,1.37041590,0.53021771,0.00983999,0.46956441,0.01240836,1.66891364,0.91796651,0.35910037
-5.72386193,2.94685146,1.38328962,0.53250448,0.00927568,0.47330561,0.01261682,1.65464335,0.91040533,0.35274606
-5.71785893,2.93172567,1.39564187,0.53407774,0.00872482,0.47743543,0.01283897,1.63562266,0.89989818,0.34595441
-5.71185593,2.91155027,1.40754384,0.53491712,0.00819109,0.48199708,0.01307723,1.61204042,0.88657923,0.33883878
-5.70585293,2.88678542,1.41914980,0.53502963,0.00767771,0.48705924,0.01333445,1.58416321,0.87063061,0.33152114
-5.69984992,2.85804354,1.43070413,0.53445314,0.00718741,0.49271819,0.01361378,1.55233780,0.85228304,0.32413095
-5.69384692,2.82608914,1.44254346,0.53325862,0.00672243,0.49909830,0.01391862,1.51699082,0.83181469,0.31680367
-5.68784392,2.79183098,1.45509332,0.53155059,0.00628463,0.50635053,0.01425245,1.47862491,0.80954833,0.30967871
-5.68184092,2.75630619,1.46885866,0.52946578,0.00587544,0.51464904,0.01461873,1.43781149,0.78584635,0.30289692
-5.67583792,2.72065626,1.48440837,0.52716997,0.00549594,0.52418570,0.01502063,1.39517990,0.76110398,0.29659765
-5.66983492,2.68609573,1.50235401,0.52485293,0.00514684,0.53516277,0.01546087,1.35140322,0.73574066,0.29091544
-5.66383192,2.65387422,1.52332325,0.52272182,0.00482852,0.54778386,0.01594149,1.30718135,0.71018980,0.28597640
-5.65782891,2.62523371,1.54792929,0.52099312,0.00454104,0.56224372,0.01646363,1.26322174,0.68488743,0.28189462
-5.65182591,2.60136262,1.57673742,0.51988363,0.00428410,0.57871715,0.01702734,1.22021878,0.66026004,0.27876849
-5.64582291,2.58334906,1.61023043,0.51960088,0.00405708,0.59734771,0.01763142,1.17883272,0.63671215,0.27667744
-5.63981991,2.57213541,1.64877460,0.52033353,0.00385903,0.61823673,0.01827331,1.13966904,0.61461417,0.27567903
-5.63381691,2.56847669,1.69258821,0.52224214,0.00368866,0.64143335,0.01894903,1.10325927,0.59429111,0.27580669
-5.62781391,2.57290493,1.74171450,0.52545098,0.00354434,0.66692609,0.01965320,1.07004432,0.57601254,0.27706818
-5.62181091,2.58570143,1.79600064,0.53004113,0.00342414,0.69463658,0.02037913,1.04036094,0.55998445,0.27944499
-5.61580790,2.60687867,1.85508443,0.53604547,0.00332583,0.72441585,0.02111896,1.01443212,0.54634324,0.28289265
-5.60980490,2.63617291,1.91838974,0.54344568,0.00324693,0.75604353,0.02186389,0.99236192,0.53515228,0.28734195
-5.60380190,2.67304809,1.98513149,0.55217152,0.00318474,0.78923014,0.02260448,0.97413488,0.52640105,0.29270114
-5.59779890,2.71671119,2.05433048,0.56210236,0.00313641,0.82362253,0.02333095,0.95962013,0.52000707,0.29885898
-5.59179590,2.76613831,2.12483773,0.57307103,0.00309901,0.85881232,0.02403358,0.94857999,0.51582045,0.30568840
-5.58579290,2.82011048,2.19536768,0.58486966,0.00306959,0.89434692,0.02470307,0.94068264,0.51363094,0.31305082
-5.57978989,2.87725755,2.26453895,0.59725728,0.00304526,0.92974290,0.02533091,0.93551815,0.51317711,0.32080076
-5.57378689,2.93610819,2.33092099,0.60996877,0.00302330,0.96450093,0.02590972,0.93261734,0.51415728,0.32879057
-5.56778389,2.99514369,2.39308467,0.62272481,0.00300120,0.99812172,0.02643357,0.93147233,0.51624178,0.33687517
-5.56178089,3.05285307,2.44965448,0.63524215,0.00297675,1.03012219,0.02689818,0.93155807,0.51908593,0.34491635
-5.55577789,3.10778705,2.49936004,0.64724391,0.00294811,1.06005120,0.02730109,0.93235372,0.52234332,0.35278677
-5.54977489,3.15860859,2.54108455,0.65846933,0.00291384,1.08750406,0.02764171,0.93336314,0.52567867,0.36037321
-5.54377189,3.20413772,2.57390794,0.66868258,0.00287298,1.11213519,0.02792133,0.93413353,0.52877996,0.36757915
-5.53776888,3.24338904,2.59714280,0.67768020,0.00282502,1.13366841,0.02814295,0.93427155,0.53136923,0.37432643
-5.53176588,3.27560043,2.61036151,0.68529710,0.00276996,1.15190452,0.02831114,0.93345638,0.53321173,0.38055618
-5.52576288,3.30025217,2.61341333,0.69141064,0.00270825,1.16672576,0.02843171,0.93144934,0.53412310,0.38622883
-5.51975988,3.31707611,2.60643099,0.69594303,0.00264079,1.17809724,0.02851140,0.92809978,0.53397443,0.39132335
-5.51375688,3.32605504,2.58982651,0.69886186,0.00256886,1.18606534,0.02855750,0.92334731,0.53269506,0.39583586
-5.50775388,3.32741295,2.56427672,0.70017896,0.00249408,1.19075322,0.02857748,0.91722048,0.53027314,0.39977762
-5.50175088,3.32159714,2.53069942,0.69994778,0.00241834,1.19235403,0.02857859,0.90983218,0.52675407,0.40317270
-5.49574787,3.30925363,2.49022150,0.69825952,0.00234370,1.19112202,0.02856751,0.90137220,0.52223708,0.40605531
-5.48974487,3.29119746,2.44414054,0.69523835,0.00227231,1.18736229,0.02855006,0.89209748,0.51687006,0.40846713
-5.48374187,3.26837953,2.39388195,0.69103592,0.00220634,1.18141959,0.02853092,0.88232061,0.51084305,0.41045462
-5.47773887,3.24185174,2.34095356,0.68582562,0.00214788,1.17366689,0.02851349,0.87239720,0.50438079,0.41206662
-5.47173587,3.21273201,2.28689960,0.67979670,0.00209884,1.16449406,0.02849984,0.86271262,0.49773452,0.41335211
-5.46573287,3.18217061,2.23325602,0.67314862,0.00206088,1.15429723,0.02849065,0.85366883,0.49117349,0.41435853
-5.45972986,3.15131891,2.18150873,0.66608572,0.00203537,1.14346916,0.02848537,0.84567152,0.48497645,0.41513031
-5.45372686,3.12130133,2.13305615,0.65881249,0.00202331,1.13239084,0.02848234,0.83911816,0.47942338,0.41570799
-5.44772386,3.09319113,2.08917712,0.65152925,0.00202528,1.12142440,0.02847905,0.83438716,0.47478770,0.41612761
-5.44172086,3.06798997,2.05100468,0.64442853,0.00204144,1.11090746,0.02847241,0.83182818,0.47132910,0.41642057
-5.43571786,3.04661123,2.01950614,0.63769188,0.00207149,1.10114866,0.02845905,0.83175390,0.46928703,0.41661364
-5.42971486,3.02986666,1.99546918,0.63148725,0.00211468,1.09242437,0.02843561,0.83443301,0.46887508,0.41672925
-5.42371186,3.01845578,1.97949371,0.62596659,0.00216986,1.08497626,0.02839905,0.84008446,0.47027601,0.41678576
-5.41770885,3.01295734,1.97198877,0.62126377,0.00223546,1.07900940,0.02834687,0.84887270,0.47363762,0.41679788
-5.41170585,3.01382226,1.97317373,0.61749267,0.00230959,1.07469088,0.02827732,0.86090395,0.47906923,0.41677679
-5.40570285,3.02136736,1.98308293,0.61474526,0.00239006,1.07214850,0.02818954,0.87622308,0.48663892,0.41673034
-5.39969985,3.03576965,2.00157284,0.61308978,0.00247446,1.07146957,0.02808356,0.89481123,0.49637130,0.41666284
-5.39369685,3.05706085,2.02833118,0.61256896,0.00256026,1.07269962,0.02796030,0.91658395,0.50824589,0.41657481
-5.38769385,3.08512234,2.06288712,0.61319831,0.00264483,1.07584117,0.02782144,0.94138990,0.52219613,0.41646247
-5.38169085,3.11968078,2.10462249,0.61496467,0.00272559,1.08085260,0.02766927,0.96901021,0.53810908,0.41631711
-5.37568784,3.16030522,2.15278350,0.61782504,0.00280003,1.08764737,0.02750640,0.99915870,0.55582577,0.41612440
-5.36968484,3.20640621,2.20649327,0.62170607,0.00286584,1.09609385,0.02733551,1.03148304,0.57514251,0.41586377
-5.36368184,3.25723814,2.26476519,0.62650411,0.00292092,1.10601603,0.02715908,1.06556734,0.59581312,0.41550789
-5.35767884,3.31190564,2.32651755,0.63208631,0.00296350,1.11719542,0.02697906,1.10093625,0.61755231,0.41502246
-5.35167584,3.36937487,2.39058988,0.63829263,0.00299213,1.12937454,0.02679660,1.13706102,0.64004026,0.41436638
-5.34567284,3.42849063,2.45576131,0.64493917,0.00300575,1.14226197,0.02661188,1.17336766,0.66292850,0.41349230
-5.33966983,3.48799958,2.52077140,0.65182258,0.00300372,1.15553930,0.02642392,1.20924734,0.68584724,0.41234782
-5.33366683,3.54657961,2.58434350,0.65872575,0.00298579,1.16886983,0.02623048,1.24406915,0.70841379,0.41087719
-5.32766383,3.60287512,2.64521069,0.66542450,0.00295213,1.18190891,0.02602814,1.27719500,0.73024236,0.40902349
-5.32166083,3.65553734,2.70214392,0.67169520,0.00290329,1.19431556,0.02581233,1.30799650,0.75095466,0.40673147
-5.31565783,3.70326837,2.75398177,0.67732291,0.00284021,1.20576506,0.02557757,1.33587325,0.77019120,0.40395068
-5.30965483,3.74486724,2.79966095,0.68210983,0.00276412,1.21596175,0.02531768,1.36027211,0.78762290,0.40063889
-5.30365183,3.77927606,2.83824649,0.68588349,0.00267653,1.22465155,0.02502618,1.38070658,0.80296238,0.39676565
-5.29764882,3.80562391,2.86896024,0.68850442,0.00257920,1.23163349,0.02469658,1.39677556,0.81597475,0.39231577
-5.29164582,3.82326625,2.89120628,0.68987275,0.00247403,1.23676937,0.02432286,1.40818059,0.82648706,0.38729253
-5.28564282,3.83181751,2.90459195,0.68993336,0.00236307,1.23999117,0.02389981,1.41474066,0.83439614,0.38172038
-5.27963982,3.83117493,2.90894314,0.68867932,0.00224840,1.24130547,0.02342345,1.41640388,0.83967437,0.37564706
-5.27363682,3.82153198,2.90431270,0.68615326,0.00213213,1.24079453,0.02289132,1.41325510,0.84237291,0.36914488
-5.26763382,3.80338031,2.89098128,0.68244660,0.00201635,1.23861384,0.02230280,1.40551916,0.84262223,0.36231109
