energy_ev,total_up,Hf_p_up,Hf_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,1.19178748,1.10328284,0.21427541,0.09571400,0.00277631,0.40720603,0.00000000
-5.99399700,1.17948933,1.08414542,0.21885536,0.09695938,0.00286115,0.38339743,0.00000000
-5.98799400,1.16973466,1.06720411,0.22396198,0.09824532,0.00295154,0.36079591,0.00000000
-5.98199100,1.16203061,1.05216897,0.22937249,0.09953851,0.00304419,0.33949803,0.00000000
-5.97598799,1.15582235,1.03867524,0.23486520,0.10079992,0.00313582,0.31956703,0.00000000
-5.96998499,1.15051405,1.02630134,0.24022509,0.10198676,0.00322319,0.30103359,0.00000000
-5.96398199,1.14549400,1.01459082,0.24525001,0.10305474,0.00330321,0.28389849,0.00000000
-5.95797899,1.14016244,1.00307749,0.24975691,0.10396056,0.00337304,0.26813717,0.00000000
-5.95197599,1.13396080,0.99131195,0.25358816,0.10466455,0.00343016,0.25370570,0.00000000
-5.94597299,1.12640074,0.97888853,0.25661739,0.10513317,0.00347246,0.24054764,0.00000000
-5.93996998,1.11709155,0.96547091,0.25875474,0.10534136,0.00349831,0.22860159,0.00000000
-5.93396698,1.10576426,0.95081515,0.25995116,0.10527450,0.00350664,0.21780866,0.00000000
-5.92796398,1.09229141,0.93478901,0.26020154,0.10492999,0.00349693,0.20811974,0.00000000
-5.92196098,1.07670119,0.91738633,0.25954641,0.10431825,0.00346929,0.19950189,0.00000000
-5.91595798,1.05918527,0.89873596,0.25807219,0.10346310,0.00342442,0.19194377,0.00000000
-5.90995498,1.04009979,0.87910455,0.25590984,0.10240157,0.00336363,0.18545975,0.00000000
-5.90395198,1.01995946,0.85889304,0.25323185,0.10118306,0.00328876,0.18009254,0.00000000
-5.89794897,0.99942473,0.83862706,0.25024779,0.09986796,0.00320215,0.17591419,0.00000000
-5.89194597,0.97928271,0.81894141,0.24719836,0.09852574,0.00310658,0.17302554,0.00000000
-5.88594297,0.96042243,0.80055932,0.24434823,0.09723260,0.00300514,0.17155403,0.00000000
