energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-3.61080540,5.06437394,-5.06437394,0.82377476,-0.82377476,3.82209812,-3.82209812,0.00115401,-0.00115401,0.26637325,-0.26637325,0.22526554,-0.22526554,0.70068042,-0.70068042,0.00918167,-0.00918167,0.21062051,-0.21062051
-3.60480240,5.03739401,-5.03739401,0.80638354,-0.80638354,3.80982967,-3.80982967,0.00118138,-0.00118138,0.26001011,-0.26001011,0.22177921,-0.22177921,0.69457250,-0.69457250,0.00894898,-0.00894898,0.21313194,-0.21313194
-3.59879940,5.01486492,-5.01486492,0.79193564,-0.79193564,3.79999893,-3.79999893,0.00121263,-0.00121263,0.25384794,-0.25384794,0.21848754,-0.21848754,0.68926148,-0.68926148,0.00875850,-0.00875850,0.21602382,-0.21602382
-3.59279640,4.99648777,-4.99648777,0.78022742,-0.78022742,3.79245654,-3.79245654,0.00124802,-0.00124802,0.24786519,-0.24786519,0.21536401,-0.21536401,0.68471131,-0.68471131,0.00860838,-0.00860838,0.21926008,-0.21926008
-3.58679340,4.98205743,-4.98205743,0.77106944,-0.77106944,3.78712045,-3.78712044,0.00128783,-0.00128783,0.24204639,-0.24204639,0.21238696,-0.21238696,0.68090144,-0.68090144,0.00849649,-0.00849649,0.22280638,-0.22280638
-3.58079040,4.97147074,-4.97147074,0.76429263,-0.76429263,3.78398035,-3.78398034,0.00133234,-0.00133234,0.23638235,-0.23638235,0.20954056,-0.20954056,0.67782758,-0.67782758,0.00842042,-0.00842042,0.22663118,-0.22663118
-3.57478739,4.96472812,-4.96472812,0.75975236,-0.75975236,3.78309756,-3.78309756,0.00138180,-0.00138180,0.23087017,-0.23087017,0.20681544,-0.20681544,0.67550120,-0.67550120,0.00837752,-0.00837752,0.23070667,-0.23070667
-3.56878439,4.96192810,-4.96192810,0.75733046,-0.75733046,3.78459985,-3.78459985,0.00143642,-0.00143642,0.22551295,-0.22551295,0.20420903,-0.20420903,0.67394807,-0.67394807,0.00836498,-0.00836498,0.23500936,-0.23500936
-3.56278139,4.96325464,-4.96325464,0.75693504,-0.75693504,3.78867118,-3.78867117,0.00149637,-0.00149637,0.22031921,-0.22031921,0.20172547,-0.20172547,0.67320560,-0.67320560,0.00837985,-0.00837985,0.23952051,-0.23952051
-3.55677839,4.96895767,-4.96895767,0.75849822,-0.75849822,3.79553635,-3.79553635,0.00156174,-0.00156174,0.21530220,-0.21530220,0.19937526,-0.19937527,0.67331942,-0.67331942,0.00841905,-0.00841905,0.24422610,-0.24422610
-3.55077539,4.97932733,-4.97932733,0.76197184,-0.76197184,3.80544125,-3.80544124,0.00163250,-0.00163250,0.21047902,-0.21047902,0.19717453,-0.19717453,0.67433909,-0.67433908,0.00847941,-0.00847941,0.24911668,-0.24911668
-3.54477239,4.99466303,-4.99466303,0.76732148,-0.76732148,3.81862915,-3.81862915,0.00170853,-0.00170853,0.20586956,-0.20586956,0.19514391,-0.19514392,0.67631328,-0.67631328,0.00855770,-0.00855770,0.25418668,-0.25418668
