energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,3.16899601,0.60547312,2.33075155,0.02143733,0.04080479,0.15205541,0.06069545,0.59314532
-5.99399700,3.16678686,0.59457441,2.34181164,0.02096415,0.04134659,0.14594586,0.06054041,0.58441435
-5.98799400,3.15677661,0.58278425,2.34760074,0.02039856,0.04186875,0.13960274,0.06014549,0.57377844
-5.98199100,3.14041589,0.57036094,2.34920288,0.01975036,0.04238708,0.13311716,0.05953519,0.56149955
-5.97598799,3.11935335,0.55758781,2.34785524,0.01903037,0.04292104,0.12657992,0.05873877,0.54787212
-5.96998499,3.09537653,0.54476387,2.34490123,0.01825008,0.04349302,0.12007900,0.05778941,0.53321428
-5.96398199,3.07034575,0.53219381,2.34173778,0.01742141,0.04412732,0.11369729,0.05672320,0.51785834
-5.95797899,3.04612377,0.52017759,2.33975895,0.01655638,0.04484909,0.10751058,0.05557808,0.50214066
-5.95197599,3.02450376,0.50900000,2.34029805,0.01566683,0.04568315,0.10158572,0.05439265,0.48639154
-5.94597299,3.00713876,0.49892057,2.34457097,0.01476415,0.04665275,0.09597930,0.05320499,0.47092513
-5.93996998,2.99547544,0.49016411,2.35362303,0.01385909,0.04777835,0.09073652,0.05205141,0.45603016
-5.93396698,2.99069516,0.48291231,2.36828178,0.01296149,0.04907644,0.08589063,0.05096539,0.44196135
-5.92796398,2.99366470,0.47729674,2.38911795,0.01208021,0.05055846,0.08146259,0.04997646,0.42893228
-5.92196098,3.00489906,0.47339344,2.41641634,0.01122291,0.05222986,0.07746123,0.04910932,0.41710959
-5.91595798,3.02453778,0.47121942,2.45015790,0.01039608,0.05408936,0.07388373,0.04838308,0.40660898
-5.90995498,3.05233589,0.47073117,2.49001405,0.00960494,0.05612846,0.07071645,0.04781070,0.39749301
-5.90395198,3.08766995,0.47182538,2.53535331,0.00885349,0.05833118,0.06793602,0.04739870,0.38977084
-5.89794897,3.12955867,0.47434167,2.58526005,0.00814453,0.06067415,0.06551071,0.04714700,0.38339978
-5.89194597,3.17669739,0.47806745,2.63856447,0.00747977,0.06312685,0.06340202,0.04704903,0.37828874
-5.88594297,3.22750459,0.48274462,2.69388244,0.00685990,0.06565231,0.06156629,0.04709215,0.37430317
-5.87993997,3.28017853,0.48807787,2.74966336,0.00628472,0.06820795,0.05995652,0.04725812,0.37127153
-5.87393697,3.33276132,0.49374434,2.80424385,0.00575330,0.07074667,0.05852413,0.04752387,0.36899275
-5.86793397,3.38320777,0.49940412,2.85590504,0.00526408,0.07321822,0.05722064,0.04786239,0.36724457
-5.86193097,3.42945603,0.50471133,2.90293086,0.00481503,0.07557056,0.05599936,0.04824370,0.36579227
-5.85592796,3.46949712,0.50932532,2.94366503,0.00440376,0.07775146,0.05481680,0.04863599,0.36439752
-5.84992496,3.50144072,0.51292149,2.97656435,0.00402771,0.07971007,0.05363398,0.04900670,0.36282699
-5.84392196,3.52357464,0.51520143,3.00024655,0.00368416,0.08139838,0.05241749,0.04932363,0.36086039
