energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,4.25609664,0.27988664,0.00746997,0.00371851,2.98383808,2.51365936,1.73618935
-5.99399700,4.36655858,0.27181843,0.00743146,0.00362904,3.08208737,2.59082624,1.81328406
-5.98799400,4.48510582,0.26400224,0.00740734,0.00354002,3.18625186,2.67322568,1.89604299
-5.98199100,4.61130984,0.25647942,0.00739696,0.00345168,3.29593932,2.76077741,1.98435144
-5.97598799,4.74466562,0.24928323,0.00739931,0.00336418,3.41071087,2.85335447,2.07801876
-5.96998499,4.88459635,0.24243860,0.00741310,0.00327770,3.53008497,2.95078305,2.17677230
-5.96398199,5.03045377,0.23596222,0.00743688,0.00319237,3.65353783,3.05283920,2.28025032
-5.95797899,5.18151389,0.22986274,0.00746907,0.00310830,3.78049975,3.15924209,2.38799455
-5.95197599,5.33696821,0.22414101,0.00750812,0.00302564,3.91034781,3.26964384,2.49944250
-5.94597299,5.49591105,0.21879053,0.00755246,0.00294449,4.04239535,3.38361648,2.61392025
-5.93996998,5.65732440,0.21379780,0.00760064,0.00286498,4.17587927,3.50063672,2.73063656
-5.93396698,5.82006179,0.20914279,0.00765132,0.00278725,4.30994648,3.62007009,2.84867900
-5.92796398,5.98283321,0.20479930,0.00770325,0.00271141,4.44364103,3.74115564,2.96701325
-5.92196098,6.14419342,0.20073545,0.00775530,0.00263759,4.57589369,3.86299312,3.08448622
-5.91595798,6.30253561,0.19691414,0.00780643,0.00256587,4.70551570,3.98453431,3.19983400
-5.90995498,6.45609261,0.19329358,0.00785565,0.00249633,4.83119814,4.10458021,3.31169508
-5.90395198,6.60294722,0.18982797,0.00790198,0.00242898,4.95151836,4.22178534,3.41862929
-5.89794897,6.74105272,0.18646828,0.00794442,0.00236380,5.06495412,4.33467031,3.51914242
-5.89194597,6.86826406,0.18316320,0.00798192,0.00230071,5.16990606,4.44164303,3.61171615
-5.88594297,6.98237935,0.17986023,0.00801334,0.00223958,5.26472791,4.54102855,3.69484265
-5.87993997,7.08119057,0.17650703,0.00803745,0.00218019,5.34776401,4.63110685,3.76706262
-5.87393697,7.16254165,0.17305274,0.00805293,0.00212229,5.41739242,4.71015718,3.82700542
-5.86793397,7.22439141,0.16944957,0.00805836,0.00206558,5.47207204,4.77650733,3.87342967
-5.86193097,7.26487846,0.16565429,0.00805225,0.00200972,5.51039127,4.82858546,3.90526232
-5.85592796,7.28238475,0.16162968,0.00803310,0.00195434,5.53111600,4.86497205,3.92163455
-5.84992496,7.27559441,0.15734597,0.00799943,0.00189908,5.53323416,4.88444927,3.92191246
-5.84392196,7.24354479,0.15278192,0.00794983,0.00184356,5.51599469,4.88604528,3.90572112
-5.83791896,7.18566681,0.14792571,0.00788303,0.00178748,5.47893864,4.86907119,3.87296057
-5.83191596,7.10181246,0.14277551,0.00779792,0.00173052,5.42192075,4.83314853,3.82381297
-5.82591296,6.99226787,0.13733956,0.00769367,0.00167247,5.34512036,4.77822608,3.75874026
-5.81990995,6.85775127,0.13163602,0.00756970,0.00161316,5.24904108,4.70458500,3.67847256
-5.81390695,6.69939599,0.12569224,0.00742578,0.00155250,5.13449933,4.61283231,3.58398765
-5.80790395,6.51871944,0.11954384,0.00726199,0.00149046,5.00260226,4.50388299,3.47648266
-5.80190095,6.31757971,0.11323335,0.00707880,0.00142712,4.85471648,4.37893194,3.35733913
-5.79589795,6.09812218,0.10680865,0.00687699,0.00136260,4.69242918,4.23941724,3.22808332
-5.78989495,5.86271874,0.10032128,0.00665770,0.00129711,4.51750357,4.08697676,3.09034334
-5.78389195,5.61390266,0.09382458,0.00642236,0.00123088,4.33183089,3.92340021,2.94580523
-5.77788894,5.35430208,0.08737196,0.00617268,0.00116423,4.13738129,3.75057906,2.79616978
-5.77188594,5.08657497,0.08101517,0.00591058,0.00109747,3.93615549,3.57045644,2.64311179
-5.76588294,4.81334820,0.07480279,0.00563817,0.00103095,3.73013931,3.38497921,2.48824326
-5.75987994,4.53716272,0.06877894,0.00535765,0.00096503,3.52126256,3.19605387,2.33308170
-5.75387694,4.26042654,0.06298223,0.00507132,0.00090005,3.31136355,3.00550779,2.17902440
-5.74787394,3.98537658,0.05744510,0.00478146,0.00083636,3.10215993,2.81505671,2.02732905
-5.74187094,3.71404972,0.05219334,0.00449033,0.00077427,2.89522632,2.62627914,1.87910081
-5.73586793,3.44826320,0.04724597,0.00420012,0.00071407,2.69197865,2.44059777,1.73528564
-5.72986493,3.18960366,0.04261544,0.00391289,0.00065602,2.49366490,2.25926764,1.59666930
-5.72386193,2.93942407,0.03830791,0.00363055,0.00060032,2.30136160,2.08337068,1.46388132
-5.71785893,2.69884736,0.03432388,0.00335485,0.00054718,2.11597529,1.91381565,1.33740302
-5.71185593,2.46877548,0.03065885,0.00308735,0.00049673,1.93824797,1.75134288,1.21757865
-5.70585293,2.24990252,0.02730407,0.00282939,0.00044908,1.76876567,1.59653245,1.10462868
-5.69984992,2.04273070,0.02424741,0.00258212,0.00040430,1.60796918,1.44981522,0.99866428
-5.69384692,1.84758792,0.02147409,0.00234649,0.00036244,1.45616603,1.31148550,0.89970225
-5.68784392,1.66464602,0.01896752,0.00212322,0.00032349,1.31354311,1.18171468,0.80767964
-5.68184092,1.49393886,0.01670996,0.00191286,0.00028745,1.18017935,1.06056513,0.72246755
-5.67583792,1.33537969,0.01468311,0.00171576,0.00025427,1.05605801,0.94800382,0.64388384
-5.66983492,1.18877743,0.01286868,0.00153210,0.00022387,0.94107825,0.84391529,0.57170428
-5.66383192,1.05385161,0.01124874,0.00136190,0.00019618,0.83506603,0.74811376,0.50567232
-5.65782891,0.93024600,0.00980606,0.00120502,0.00017107,0.73778404,0.66035421,0.44550732
-5.65182591,0.81754096,0.00852432,0.00106123,0.00014844,0.64894100,0.58034246,0.39091144
-5.64582291,0.71526455,0.00738826,0.00093014,0.00012816,0.56820006,0.50774429,0.34157520
-5.63981991,0.62290276,0.00638370,0.00081129,0.00011007,0.49518680,0.44219366,0.29718219
-5.63381691,0.53990878,0.00549763,0.00070414,0.00009404,0.42949653,0.38330013,0.25741273
-5.62781391,0.46571173,0.00471811,0.00060807,0.00007991,0.37070135,0.33065568,0.22194712
-5.62181091,0.39972469,0.00403427,0.00052243,0.00006754,0.31835677,0.28384092,0.19046817
-5.61580790,0.34135235,0.00343621,0.00044653,0.00005676,0.27200801,0.24243076,0.16266359
-5.60980490,0.28999809,0.00291493,0.00037964,0.00004744,0.23119603,0.20599970,0.13822799
-5.60380190,0.24507071,0.00246227,0.00032104,0.00003942,0.19546315,0.17412661,0.11686473
-5.59779890,0.20599051,0.00207081,0.00027002,0.00003257,0.16435831,0.14639913,0.09828764
-5.59179590,0.17219492,0.00173385,0.00022585,0.00002675,0.13744186,0.12241752,0.08222255
-5.58579290,0.14314342,0.00144531,0.00018785,0.00002185,0.11428980,0.10179814,0.06840867
-5.57978989,0.11832176,0.00119972,0.00015537,0.00001774,0.09449742,0.08417632,0.05659978
-5.57378689,0.09724550,0.00099223,0.00012778,0.00001433,0.07768240,0.06920874,0.04656524
-5.56778389,0.07946268,0.00081853,0.00010449,0.00001152,0.06348714,0.05657527,0.03809072
-5.56178089,0.06455577,0.00067493,0.00008498,0.00000922,0.05158045,0.04598020,0.03097869
-5.55577789,0.05214289,0.00055833,0.00006873,0.00000736,0.04165870,0.03715307,0.02504872
-5.54977489,0.04187820,0.00046630,0.00005532,0.00000588,0.03344617,0.02984887,0.02013746
