energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,3.14884496,0.00131923,0.92771653,1.28332475,1.47351344,0.03374134,0.41044976
-5.99399700,3.26803982,0.00134641,0.95817830,1.33335224,1.52551974,0.03517541,0.43108694
-5.98799400,3.38510743,0.00137573,0.98813751,1.38050190,1.57800710,0.03650818,0.45148130
-5.98199100,3.49909265,0.00140672,1.01748007,1.42434560,1.63077330,0.03771913,0.47132295
-5.97598799,3.60915127,0.00143896,1.04612715,1.46455287,1.68364337,0.03879014,0.49030979
-5.96998499,3.71458567,0.00147210,1.07403940,1.50090579,1.73647819,0.03970614,0.50815971
-5.96398199,3.81487433,0.00150595,1.10121908,1.53330959,1.78918070,0.04045560,0.52462236
-5.95797899,3.90969356,0.00154043,1.12770998,1.56179853,1.84169942,0.04103101,0.53949004
-5.95197599,3.99893005,0.00157566,1.15359494,1.58653639,1.89402885,0.04142916,0.55260706
-5.94597299,4.08268354,0.00161197,1.17899114,1.60781157,1.94620663,0.04165128,0.56387721
-5.93996998,4.16125904,0.00164986,1.20404327,1.62602684,1.99830764,0.04170306,0.57326869
-5.93396698,4.23514877,0.00169002,1.22891487,1.64168399,2.05043495,0.04159450,0.58081633
-5.92796398,4.30500447,0.00173333,1.25377822,1.65536394,2.10270835,0.04133956,0.58662084
-5.92196098,4.37160117,0.00178078,1.27880338,1.66770315,2.15525077,0.04095576,0.59084497
-5.91595798,4.43579386,0.00183348,1.30414663,1.67936716,2.20817328,0.04046356,0.59370669
-5.90995498,4.49846909,0.00189256,1.32993919,1.69102231,2.26155951,0.03988570,0.59546957
-5.90395198,4.56049353,0.00195917,1.35627648,1.70330694,2.31545018,0.03924642,0.59643082
-5.89794897,4.62266189,0.00203434,1.38320858,1.71680296,2.36982857,0.03857065,0.59690740
-5.89194597,4.68564657,0.00211898,1.41073227,1.73200926,2.42460768,0.03788320,0.59722087
-5.88594297,4.74995126,0.00221377,1.43878501,1.74931782,2.47961975,0.03720790,0.59768165
-5.87993997,4.81587081,0.00231912,1.46724119,1.76899362,2.53460871,0.03656684,0.59857350
-5.87393697,4.88345914,0.00243509,1.49591073,1.79115916,2.58922606,0.03597965,0.60013897
-5.86793397,4.95250681,0.00256138,1.52454015,1.81578428,2.64303038,0.03546288,0.60256643
-5.86193097,5.02252944,0.00269726,1.55281610,1.84268164,2.69549076,0.03502953,0.60597962
-5.85592796,5.09276768,0.00284157,1.58037118,1.87150829,2.74599399,0.03468862,0.61042998
