energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.72698665,0.08192404,0.00000000,0.02547367,1.75902039,0.79579477,1.19085638
-5.99399700,2.58674555,0.07666400,0.00000000,0.02404080,1.67567359,0.74980032,1.13662992
-5.98799400,2.43978931,0.07141613,0.00000000,0.02256134,1.58649007,0.70286028,1.07779140
-5.98199100,2.28858970,0.06624825,0.00000000,0.02105611,1.49313232,0.65561202,1.01546284
-5.97598799,2.13566100,0.06122669,0.00000000,0.01954583,1.39730882,0.60869041,0.95080002
-5.96998499,1.98351034,0.05641573,0.00000000,0.01805075,1.30073542,0.56271792,0.88496373
-5.96398199,1.83459196,0.05187705,0.00000000,0.01659029,1.20509942,0.51829564,0.81909296
-5.95797899,1.69126697,0.04766949,0.00000000,0.01518277,1.11202772,0.47599553,0.75428094
-5.95197599,1.55576966,0.04384871,0.00000000,0.01384513,1.02305978,0.43635406,0.69155498
-5.94597299,1.43018082,0.04046721,0.00000000,0.01259281,0.93962604,0.39986738,0.63186028
-5.93996998,1.31640832,0.03757422,0.00000000,0.01143959,0.86303195,0.36698795,0.57604813
-5.93396698,1.21617450,0.03521586,0.00000000,0.01039755,0.79444760,0.33812278,0.52486844
-5.92796398,1.13100987,0.03343516,0.00000000,0.00947707,0.73490238,0.31363292,0.47896634
-5.92196098,1.06225187,0.03227225,0.00000000,0.00868685,0.68528420,0.29383413,0.43888236
-5.91595798,1.01104782,0.03176441,0.00000000,0.00803396,0.64634236,0.27899845,0.40505581
-5.90995498,0.97836048,0.03194609,0.00000000,0.00752401,0.61869322,0.26935654,0.37783059
-5.90395198,0.96497530,0.03284888,0.00000000,0.00716113,0.60282782,0.26510031,0.35746275
-5.89794897,0.97150810,0.03450130,0.00000000,0.00694818,0.59912059,0.26638587,0.34412926
-5.89194597,0.99841223,0.03692853,0.00000000,0.00688674,0.60783841,0.27333653,0.33793737
-5.88594297,1.04598490,0.04015198,0.00000000,0.00697726,0.62914954,0.28604570,0.33893400
-5.87993997,1.11437212,0.04418879,0.00000000,0.00721904,0.66313206,0.30457976,0.34711485
-5.87393697,1.20357248,0.04905116,0.00000000,0.00761030,0.70978159,0.32898074,0.36243301
-5.86793397,1.31343997,0.05474570,0.00000000,0.00814816,0.76901842,0.35926906,0.38480682
-5.86193097,1.44368663,0.06127272,0.00000000,0.00882864,0.84069403,0.39544624,0.41412705
-5.85592796,1.59388546,0.06862554,0.00000000,0.00964664,0.92459750,0.43749775,0.45026338
-5.84992496,1.76347467,0.07678989,0.00000000,0.01059591,1.02046185,0.48539613,0.49307032
-5.84392196,1.95176381,0.08574337,0.00000000,0.01166904,1.12797076,0.53910419,0.54239259
-5.83791896,2.15794245,0.09545515,0.00000000,0.01285749,1.24676576,0.59857859,0.59807012
-5.83191596,2.38109185,0.10588578,0.00000000,0.01415160,1.37645408,0.66377326,0.65994266
-5.82591296,2.62019943,0.11698723,0.00000000,0.01554067,1.51661686,0.73464286,0.72785396
-5.81990995,2.87417602,0.12870314,0.00000000,0.01701304,1.66681771,0.81114563,0.80165539
-5.81390695,3.14187500,0.14096933,0.00000000,0.01855628,1.82661090,0.89324546,0.88120882
-5.80790395,3.42211241,0.15371438,0.00000000,0.02015733,1.99554875,0.98091257,0.96638838
-5.80190095,3.71368673,0.16686053,0.00000000,0.02180270,2.17318735,1.07412250,1.05708088
-5.79589795,4.01539688,0.18032458,0.00000000,0.02347875,2.35909001,1.17285281,1.15318440
-5.78989495,4.32605682,0.19401888,0.00000000,0.02517186,2.55282739,1.27707718,1.25460477
-5.78389195,4.64450543,0.20785245,0.00000000,0.02686872,2.75397397,1.38675668,1.36124964
-5.77788894,4.96961034,0.22173191,0.00000000,0.02855653,2.96210011,1.50182805,1.47301994
-5.77188594,5.30026477,0.23556251,0.00000000,0.03022318,3.17675971,1.62218919,1.58979875
-5.76588294,5.63537718,0.24924898,0.00000000,0.03185744,3.39747339,1.74768216,1.71143771
