energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.15280569,1.08243636,1.40981993,0.00629108,0.19180449,0.01301934,0.68336699,0.96746308,0.16938652
-5.99399700,3.17321743,1.09518983,1.42089938,0.00651408,0.19480816,0.01333909,0.68564053,0.96377512,0.16888989
-5.98799400,3.19506119,1.10838857,1.43366194,0.00673789,0.19831556,0.01368068,0.68758578,0.95947732,0.16822085
-5.98199100,3.21869795,1.12197213,1.44831870,0.00695958,0.20229251,0.01404441,0.68931866,0.95479993,0.16740283
-5.97598799,3.24444465,1.13584649,1.46505519,0.00717606,0.20669247,0.01442990,0.69095335,0.94997329,0.16646052
-5.96998499,3.27255926,1.14988344,1.48402435,0.00738417,0.21145798,0.01483610,0.69259712,0.94522011,0.16541881
-5.96398199,3.30322836,1.16392186,1.50534080,0.00758075,0.21652251,0.01526124,0.69434561,0.94074806,0.16430160
-5.95797899,3.33655830,1.17777093,1.52907687,0.00776278,0.22181261,0.01570283,0.69627856,0.93674290,0.16313083
-5.95197599,3.37257070,1.19121526,1.55526088,0.00792741,0.22725047,0.01615771,0.69845648,0.93336263,0.16192555
-5.94597299,3.41120287,1.20402163,1.58387800,0.00807217,0.23275663,0.01662213,0.70091830,0.93073291,0.16070123
-5.93996998,3.45231344,1.21594710,1.61487366,0.00819495,0.23825279,0.01709184,0.70368027,0.92894403,0.15946930
-5.93396698,3.49569316,1.22674809,1.64815971,0.00829422,0.24366466,0.01756221,0.70673610,0.92804950,0.15823700
-5.92796398,3.54108045,1.23619000,1.68362291,0.00836903,0.24892466,0.01802842,0.71005841,0.92806645,0.15700743
-5.92196098,3.58818085,1.24405685,1.72113544,0.00841910,0.25397444,0.01848560,0.71360140,0.92897773,0.15577994
-5.91595798,3.63668960,1.25016050,1.76056678,0.00844489,0.25876698,0.01892904,0.71730461,0.93073556,0.15455075
-5.90995498,3.68631569,1.25434898,1.80179630,0.00844765,0.26326836,0.01935436,0.72109761,0.93326670,0.15331375
-5.90395198,3.73680630,1.25651353,1.84472572,0.00842938,0.26745892,0.01975769,0.72490525,0.93647865,0.15206147
-5.89794897,3.78796972,1.25659402,1.88929040,0.00839282,0.27133382,0.02013585,0.72865336,0.94026672,0.15078616
-5.89194597,3.83969543,1.25458244,1.93546884,0.00834147,0.27490310,0.02048646,0.73227439,0.94452153,0.14948087
-5.88594297,3.89196969,1.25052442,1.98328926,0.00827942,0.27819094,0.02080805,0.73571281,0.94913648,0.14814049
-5.87993997,3.94488542,1.24451859,2.03283273,0.00821136,0.28123438,0.02110010,0.73892986,0.95401495,0.14676270
-5.87393697,3.99864524,1.23671383,2.08423213,0.00814235,0.28408141,0.02136309,0.74190743,0.95907661,0.14534877
-5.86793397,4.05355694,1.22730461,2.13766671,0.00807777,0.28678851,0.02159839,0.74465071,0.96426259,0.14390406
-5.86193097,4.11002109,1.21652447,2.19335198,0.00802313,0.28941772,0.02180824,0.74718950,0.96953925,0.14243837
-5.85592796,4.16851078,1.20463798,2.25152517,0.00798386,0.29203342,0.02199555,0.74957801,0.97490007,0.14096592
-5.84992496,4.22954411,1.19193144,2.31242675,0.00796522,0.29469877,0.02216379,0.75189310,0.98036576,0.13950511
-5.84392196,4.29365032,1.17870268,2.37627853,0.00797203,0.29747215,0.02231671,0.75423095,0.98598229,0.13807791
-5.83791896,4.36133112,1.16525032,2.44325954,0.00800854,0.30040363,0.02245819,0.75670229,0.99181693,0.13670905
-5.83191596,4.43301882,1.15186289,2.51348073,0.00807830,0.30353161,0.02259193,0.75942643,0.99795257,0.13542492
-5.82591296,4.50903356,1.13880820,2.58695996,0.00818392,0.30687989,0.02272124,0.76252427,1.00448038,0.13425235
-5.81990995,4.58954178,1.12632338,2.66359864,0.00832702,0.31045521,0.02284884,0.76611071,1.01149131,0.13321716
-5.81390695,4.67451847,1.11460598,2.74316158,0.00850809,0.31424548,0.02297666,0.77028678,1.01906682,0.13234280
-5.80790395,4.76371542,1.10380645,2.82526145,0.00872644,0.31821873,0.02310566,0.77513201,1.02726945,0.13164882
-5.80190095,4.85663781,1.09402236,2.90934910,0.00898013,0.32232295,0.02323575,0.78069741,1.03613369,0.13114961
-5.79589795,4.95253089,1.08529467,2.99471081,0.00926599,0.32648684,0.02336574,0.78699946,1.04565785,0.13085319
-5.78989495,5.05037830,1.07760608,3.08047308,0.00957968,0.33062147,0.02349335,0.79401558,1.05579737,0.13076029
-5.78389195,5.14891284,1.07088187,3.16561549,0.00991573,0.33462278,0.02361528,0.80168135,1.06646023,0.13086369
-5.77788894,5.24664002,1.06499289,3.24899136,0.01026768,0.33837497,0.02372730,0.80988975,1.07750466,0.13114790
-5.77188594,5.34187396,1.05976091,3.32935587,0.01062822,0.34175452,0.02382446,0.81849243,1.08873963,0.13158928
-5.76588294,5.43278455,1.05496604,3.40540067,0.01098941,0.34463476,0.02390129,0.82730329,1.09992802,0.13215641
-5.75987994,5.51745423,1.05035584,3.47579369,0.01134289,0.34689071,0.02395204,0.83610396,1.11079265,0.13281096
