energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,8.91915060,0.02456712,1.37306943,1.41608443,0.35642077,3.55726490,3.87648266,0.06695635,3.58730977
-5.99399700,8.82645137,0.02433407,1.36597101,1.38717238,0.34977066,3.50138925,3.86586839,0.06535754,3.53978796
-5.98799400,8.72830559,0.02410533,1.35833550,1.35657968,0.34326242,3.44109034,3.85227319,0.06377583,3.48912905
-5.98199100,8.62662284,0.02388572,1.35050863,1.32481280,0.33696178,3.37763096,3.83627051,0.06222528,3.43609611
-5.97598799,8.52318476,0.02367943,1.34280275,1.29236895,0.33092580,3.31226697,3.81838314,0.06071814,3.38143130
-5.96998499,8.41958003,0.02348991,1.33548417,1.25972226,0.32520030,3.24620753,3.79905977,0.05926432,3.32583084
-5.96398199,8.31715190,0.02331974,1.32876290,1.22731134,0.31981796,3.18057935,3.77865743,0.05787104,3.26992349
-5.95797899,8.21696026,0.02317050,1.32278576,1.19552837,0.31479694,3.11639611,3.75743054,0.05654261,3.21425352
-5.95197599,8.11975954,0.02304280,1.31763277,1.16471033,0.31014020,3.05453396,3.73552701,0.05528034,3.15926844
-5.94597299,8.02599300,0.02293626,1.31331725,1.13513242,0.30583549,2.99571393,3.71299133,0.05408255,3.10531194
-5.93996998,7.93580312,0.02284958,1.30978934,1.10700397,0.30185606,2.94049153,3.68977449,0.05294483,3.05262207
-5.93396698,7.84905718,0.02278066,1.30694282,1.08046691,0.29816197,2.88925368,3.66574975,0.05186028,3.00133463
-5.92796398,7.76538617,0.02272679,1.30462471,1.05559679,0.29470207,2.84222279,3.64073340,0.05082002,2.95149140
-5.92196098,7.68423491,0.02268478,1.30264717,1.03240631,0.29141643,2.79946752,3.61450922,0.04981366,2.90305259
-5.91595798,7.60492022,0.02265122,1.30080083,1.01085118,0.28823918,2.76091936,3.58685495,0.04882992,2.85591306
-5.90995498,7.52669415,0.02262271,1.29886906,0.99083796,0.28510163,2.72639416,3.55756939,0.04785720,2.80992103
-5.90395198,7.44880864,0.02259605,1.29664209,0.97223360,0.28193553,2.69561731,3.52649822,0.04688426,2.76489859
-5.89794897,7.37057817,0.02256846,1.29393043,0.95487608,0.27867622,2.66825121,3.49355727,0.04590076,2.72066266
-5.89194597,7.29143682,0.02253777,1.29057676,0.93858586,0.27526570,2.64392363,3.45875144,0.04489779,2.67704537
-5.88594297,7.21098679,0.02250252,1.28646571,0.92317734,0.27165529,2.62225545,3.42218838,0.04386838,2.63391252
-5.87993997,7.12903561,0.02246213,1.28153102,0.90846994,0.26780785,2.60288632,3.38408580,0.04280777,2.59117920
-5.87393697,7.04561989,0.02241684,1.27575971,0.89429813,0.26369943,2.58549692,3.34477186,0.04171369,2.54882155
-5.86793397,6.96101438,0.02236778,1.26919324,0.88052000,0.25932028,2.56982673,3.30467857,0.04058644,2.50688388
-5.86193097,6.87572563,0.02231687,1.26192537,0.86702392,0.25467513,2.55568633,3.26432814,0.03942889,2.46548062
-5.85592796,6.79047055,0.02226666,1.25409720,0.85373295,0.24978282,2.54296370,3.22431316,0.03824634,2.42479307
-5.84992496,6.70614101,0.02222025,1.24588947,0.84060680,0.24467517,2.53162429,3.18527127,0.03704623,2.38506074
-5.84392196,6.62375632,0.02218102,1.23751265,0.82764139,0.23939530,2.52170484,3.14785571,0.03583785,2.34656809
-5.83791896,6.54440611,0.02215242,1.22919549,0.81486597,0.23399542,2.51330163,3.11270332,0.03463187,2.30962707
-5.83191596,6.46918688,0.02213777,1.22117239,0.80233815,0.22853420,2.50655375,3.08040146,0.03343990,2.27455666
-5.82591296,6.39913575,0.02214001,1.21367052,0.79013709,0.22307390,2.50162267,3.05145584,0.03227396,2.24166065
-5.81990995,6.33516504,0.02216148,1.20689728,0.77835544,0.21767745,2.49866935,3.02626091,0.03114602,2.21120495
-5.81390695,6.27800163,0.02220372,1.20102865,0.76709045,0.21240560,2.49783051,3.00507447,0.03006748,2.18339591
-5.80790395,6.22813462,0.02226737,1.19619918,0.75643495,0.20731421,2.49919542,2.98799808,0.02904879,2.15836118
-5.80190095,6.18577432,0.02235199,1.19249405,0.74646865,0.20245211,2.50278506,2.97496440,0.02809900,2.13613426
-5.79589795,6.15082540,0.02245608,1.18994353,0.73725044,0.19785926,2.50853485,2.96573234,0.02722558,2.11664395
-5.78989495,6.12287578,0.02257700,1.18852027,0.72881207,0.19356566,2.51628225,2.95989057,0.02643410,2.09970954
-5.78389195,6.10120245,0.02271109,1.18813942,0.72115366,0.18959081,2.52576023,2.95686942,0.02572823,2.08504222
