energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,4.83126174,1.03949474,2.79450432,0.00268429,0.51371127,1.82103480,0.89497551,0.03346705,0.45796936
-5.99399700,4.69329642,0.99529478,2.72458475,0.00242604,0.49474445,1.75473957,0.86291476,0.03406346,0.44770662
-5.98799400,4.54591156,0.94949978,2.64817737,0.00218166,0.47486603,1.68360477,0.83006881,0.03466762,0.43630244
-5.98199100,4.39023450,0.90241404,2.56583890,0.00195265,0.45424701,1.60838802,0.79670681,0.03526697,0.42382102
-5.97598799,4.22755900,0.85436873,2.47825866,0.00174005,0.43306640,1.52990993,0.76310304,0.03584876,0.41034986
-5.96998499,4.05932726,0.80571821,2.38624704,0.00154442,0.41150906,1.44903938,0.72953441,0.03640040,0.39599844
-5.96398199,3.88710469,0.75683491,2.29071833,0.00136597,0.38976326,1.36667701,0.69627743,0.03690996,0.38089607
-5.95797899,3.71254827,0.70810312,2.19266882,0.00120451,0.36801797,1.28373769,0.66360459,0.03736651,0.36518886
-5.95197599,3.53737008,0.65991184,2.09315123,0.00105960,0.34646004,1.20113242,0.63178029,0.03776039,0.34903609
-5.94597299,3.36329764,0.61264718,1.99324667,0.00093051,0.32527125,1.11975066,0.60105656,0.03808353,0.33260612
-5.93996998,3.19203281,0.56668476,1.89403558,0.00081637,0.30462548,1.04044352,0.57166859,0.03832955,0.31607197
-5.93396698,3.02521135,0.52238228,1.79656881,0.00071615,0.28468594,0.96400861,0.54383043,0.03849385,0.29960690
-5.92796398,2.86436490,0.48007291,1.70184056,0.00062878,0.26560277,0.89117708,0.51773094,0.03857368,0.28338010
-5.92196098,2.71088701,0.44005956,1.61076395,0.00055313,0.24751093,0.82260319,0.49353031,0.03856801,0.26755264
-5.91595798,2.56600487,0.40261032,1.52415060,0.00048810,0.23052856,0.75885685,0.47135724,0.03847744,0.25227398
-5.90995498,2.43075762,0.36795531,1.44269479,0.00043262,0.21475573,0.70041908,0.45130700,0.03830408,0.23767892
-5.90395198,2.30598197,0.33628475,1.36696272,0.00038573,0.20027384,0.64768038,0.43344045,0.03805132,0.22388538
-5.89794897,2.19230553,0.30774840,1.29738712,0.00034651,0.18714538,0.60094176,0.41778410,0.03772366,0.21099277
-5.89194597,2.09014750,0.28245616,1.23426709,0.00031419,0.17541423,0.56041813,0.40433116,0.03732646,0.19908110
-5.88594297,1.99972633,0.26047952,1.17777276,0.00028809,0.16510632,0.52624337,0.39304358,0.03686583,0.18821082
-5.87993997,1.92107324,0.24185382,1.12795411,0.00026767,0.15623067,0.49847678,0.38385496,0.03634836,0.17842323
-5.87393697,1.85405064,0.22658083,1.08475330,0.00025249,0.14878064,0.47711000,0.37667411,0.03578104,0.16974142
-5.86793397,1.79837381,0.21463160,1.04801934,0.00024223,0.14273533,0.46207403,0.37138917,0.03517111,0.16217165
-5.86193097,1.75363454,0.20594906,1.01752424,0.00023669,0.13806098,0.45324571,0.36787196,0.03452593,0.15570495
-5.85592796,1.71932514,0.20045038,0.99297952,0.00023574,0.13471243,0.45045318,0.36598242,0.03385296,0.15031900
-5.84992496,1.69486143,0.19802892,0.97405220,0.00023936,0.13263431,0.45348001,0.36557278,0.03315963,0.14597994
-5.84392196,1.67960351,0.19855546,0.96037928,0.00024759,0.13176220,0.46206787,0.36649145,0.03245330,0.14264419
-5.83791896,1.67287337,0.20187906,0.95158022,0.00026052,0.13202340,0.47591754,0.36858625,0.03174122,0.14026012
-5.83191596,1.67396867,0.20782726,0.94726675,0.00027829,0.13333766,0.49468867,0.37170696,0.03103043,0.13876945
-5.82591296,1.68217244,0.21620599,0.94704989,0.00030106,0.13561752,0.51799834,0.37570714,0.03032766,0.13810848
-5.81990995,1.69675869,0.22679934,0.95054406,0.00032899,0.13876863,0.54541900,0.38044503,0.02963929,0.13820903
-5.81390695,1.71699445,0.23936935,0.95736858,0.00036224,0.14268992,0.57647626,0.38578387,0.02897117,0.13899908
-5.80790395,1.74213881,0.25365614,0.96714684,0.00040092,0.14727371,0.61064725,0.39159142,0.02832852,0.14040334
-5.80190095,1.77144008,0.26937865,0.97950385,0.00044510,0.15240598,0.64736003,0.39773909,0.02771580,0.14234355
-5.79589795,1.80413193,0.28623617,0.99406269,0.00049478,0.15796679,0.68599472,0.40410071,0.02713657,0.14473878
-5.78989495,1.83942996,0.30391095,1.01044067,0.00054987,0.16383090,0.72588691,0.41055121,0.02659337,0.14750569
-5.78389195,1.87652961,0.32207190,1.02824604,0.00061020,0.16986886,0.76633365,0.41696552,0.02608759,0.15055896
-5.77788894,1.91460657,0.34037954,1.04707570,0.00067546,0.17594837,0.80660228,0.42321771,0.02561948,0.15381176
-5.77188594,1.95282044,0.35849206,1.06651474,0.00074524,0.18193608,0.84594218,0.42918078,0.02518804,0.15717652
-5.76588294,1.99032225,0.37607244,1.08613806,0.00081898,0.18769984,0.88359918,0.43472706,0.02479109,0.16056588
-5.75987994,2.02626591,0.39279633,1.10551438,0.00089602,0.19311127,0.91883221,0.43972946,0.02442532,0.16389393
-5.75387694,2.05982369,0.40836041,1.12421270,0.00097556,0.19804856,0.95093173,0.44406350,0.02408645,0.16707765
-5.74787394,2.09020492,0.42249084,1.14181099,0.00105668,0.20239956,0.97923906,0.44761012,0.02376937,0.17003855
-5.74187094,2.11667745,0.43495140,1.15790674,0.00113839,0.20606474,1.00316575,0.45025921,0.02346836,0.17270447
-5.73586793,2.13859048,0.44555077,1.17212890,0.00121958,0.20896018,1.02221201,0.45191364,0.02317738,0.17501135
-5.72986493,2.15539773,0.45414873,1.18415048,0.00129914,0.21102017,1.03598334,0.45249360,0.02289032,0.17690500
-5.72386193,2.16667945,0.46066062,1.19370107,0.00137591,0.21219943,1.04420425,0.45194107,0.02260126,0.17834268
-5.71785893,2.17216191,0.46506003,1.20057854,0.00144875,0.21247479,1.04672840,0.45022403,0.02230479,0.17929440
-5.71185593,2.17173314,0.46737918,1.20465914,0.00151660,0.21184612,1.04354454,0.44734029,0.02199625,0.17974394
-5.70585293,2.16545378,0.46770721,1.20590530,0.00157846,0.21033653,1.03477770,0.44332058,0.02167193,0.17968933
-5.69984992,2.15356223,0.46618612,1.20437070,0.00163349,0.20799180,1.02068556,0.43823074,0.02132929,0.17914294
-5.69384692,2.13647357,0.46300463,1.20020210,0.00168102,0.20487894,1.00165003,0.43217286,0.02096704,0.17813098
-5.68784392,2.11477213,0.45839027,1.19363787,0.00172057,0.20108409,0.97816439,0.42528512,0.02058524,0.17669262
-5.68184092,2.08919783,0.45259992,1.18500309,0.00175191,0.19670966,0.95081660,0.41774044,0.02018529,0.17487852
-5.67583792,2.06062699,0.44590942,1.17470156,0.00177504,0.19187100,0.92026941,0.40974381,0.01976988,0.17274904
-5.66983492,2.03004824,0.43860267,1.16320502,0.00179024,0.18669264,0.88723838,0.40152846,0.01934287,0.17037208
-5.66383192,1.99853487,0.43096078,1.15104011,0.00179805,0.18130429,0.85246863,0.39335083,0.01890915,0.16782082
-5.65782891,1.96721453,0.42325186,1.13877366,0.00179927,0.17583686,0.81671152,0.38548467,0.01847441,0.16517121
-5.65182591,1.93723795,0.41572183,1.12699707,0.00179495,0.17041849,0.78070215,0.37821436,0.01804496,0.16249968
-5.64582291,1.90974761,0.40858685,1.11631031,0.00178633,0.16517094,0.74513861,0.37182765,0.01762743,0.15988079
-5.63981991,1.88584782,0.40202750,1.10730630,0.00177486,0.16020635,0.71066378,0.36660813,0.01722855,0.15738530
-5.63381691,1.86657704,0.39618504,1.10055617,0.00176210,0.15562453,0.67785035,0.36282749,0.01685492,0.15507843
-5.62781391,1.85288333,0.39115979,1.09659583,0.00174971,0.15151078,0.64718918,0.36073809,0.01651273,0.15301857
-5.62181091,1.84560341,0.38701160,1.09591418,0.00173936,0.14793439,0.61908161,0.36056561,0.01620757,0.15125635
-5.61580790,1.84544566,0.38376221,1.09894304,0.00173272,0.14494774,0.59383522,0.36250246,0.01594426,0.14983415
-5.60980490,1.85297704,0.38139926,1.10604903,0.00173137,0.14258591,0.57166328,0.36670165,0.01572667,0.14878589
-5.60380190,1.86861382,0.37988148,1.11752703,0.00173673,0.14086693,0.55268718,0.37327164,0.01555763,0.14813725
-5.59779890,1.89261575,0.37914484,1.13359537,0.00175007,0.13979234,0.53694160,0.38227207,0.01543882,0.14790607
-5.59179590,1.92508320,0.37910902,1.15439217,0.00177241,0.13934829,0.52438178,0.39371058,0.01537076,0.14810291
-5.58579290,1.96595690,0.37968384,1.17997296,0.00180450,0.13950673,0.51489227,0.40754072,0.01535278,0.14873173
-5.57978989,2.01501980,0.38077521,1.21030907,0.00184681,0.14022687,0.50829668,0.42366119,0.01538302,0.14979057
-5.57378689,2.07190062,0.38229036,1.24528679,0.00189947,0.14145682,0.50436790,0.44191632,0.01545852,0.15127210
-5.56778389,2.13607903,0.38414195,1.28470711,0.00196232,0.14313515,0.50283827,0.46209785,0.01557528,0.15316415
-5.56178089,2.20689226,0.38625093,1.32828625,0.00203486,0.14519252,0.50340945,0.48394814,0.01572836,0.15545001
-5.55577789,2.28354322,0.38854817,1.37565687,0.00211630,0.14755338,0.50576166,0.50716474,0.01591200,0.15810862
-5.54977489,2.36511050,0.39097483,1.42637033,0.00220557,0.15013747,0.50956221,0.53140628,0.01611980,0.16111460
-5.54377189,2.45056029,0.39348160,1.47990021,0.00230133,0.15286152,0.51447321,0.55629967,0.01634483,0.16443818
