energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.63628665,0.41495886,0.94048791,0.00108645,0.17254665,0.67083302,0.24554214,0.01422958,0.15750998
-5.99399700,1.62557463,0.41111544,0.94285519,0.00113787,0.16798138,0.64654923,0.24104769,0.01412163,0.15739068
-5.98799400,1.61612834,0.40722458,0.94580472,0.00118695,0.16349487,0.62146309,0.23709265,0.01406340,0.15729358
-5.98199100,1.60795226,0.40327129,0.94929172,0.00123312,0.15914536,0.59587828,0.23368361,0.01404315,0.15717022
-5.97598799,1.60102836,0.39922684,0.95325883,0.00127588,0.15498589,0.57009128,0.23082786,0.01404914,0.15697080
-5.96998499,1.59532223,0.39505099,0.95763999,0.00131483,0.15106318,0.54438544,0.22853521,0.01407003,0.15664621
-5.96398199,1.59079113,0.39069502,0.96236560,0.00134972,0.14741677,0.51902601,0.22681972,0.01409522,0.15615018
-5.95797899,1.58739361,0.38610545,0.96736884,0.00138043,0.14407839,0.49425628,0.22570133,0.01411527,0.15544150
-5.95197599,1.58510039,0.38122810,0.97259306,0.00140704,0.14107170,0.47029499,0.22520725,0.01412210,0.15448610
-5.94597299,1.58390602,0.37601257,0.97799966,0.00142979,0.13841239,0.44733487,0.22537307,0.01410934,0.15325904
-5.93996998,1.58384050,0.37041670,0.98357623,0.00144913,0.13610849,0.42554238,0.22624345,0.01407244,0.15174624
-5.93396698,1.58498013,0.36441084,0.98934433,0.00146570,0.13416106,0.40505831,0.22787240,0.01400883,0.14994583
-5.92796398,1.58745671,0.35798167,0.99536628,0.00148030,0.13256497,0.38599917,0.23032290,0.01391797,0.14786915
-5.92196098,1.59146429,0.35113533,1.00175058,0.00149390,0.13130997,0.36845903,0.23366590,0.01380132,0.14554118
-5.91595798,1.59726264,0.34389969,1.00865517,0.00150761,0.13038165,0.35251158,0.23797863,0.01366222,0.14300048
-5.90995498,1.60517675,0.33632549,1.01628828,0.00152262,0.12976260,0.33821221,0.24334216,0.01350573,0.14029855
-5.90395198,1.61559206,0.32848642,1.02490646,0.00154017,0.12943333,0.32559980,0.24983826,0.01333838,0.13749867
-5.89794897,1.62894502,0.32047795,1.03480942,0.00156151,0.12937313,0.31469813,0.25754561,0.01316785,0.13467411
-5.89194597,1.64570914,0.31241493,1.04633198,0.00158784,0.12956082,0.30551682,0.26653543,0.01300263,0.13190603
-5.88594297,1.66637687,0.30442824,1.05983290,0.00162025,0.12997512,0.29805171,0.27686676,0.01285165,0.12928084
-5.87993997,1.69143782,0.29666040,1.07568120,0.00165970,0.13059498,0.29228471,0.28858148,0.01272385,0.12688735
-5.87393697,1.72135431,0.28926053,1.09424035,0.00170693,0.13139960,0.28818326,0.30169940,0.01262776,0.12481377
-5.86793397,1.75653534,0.28237874,1.11585092,0.00176247,0.13236827,0.28569944,0.31621359,0.01257118,0.12314458
-5.86193097,1.79731017,0.27616040,1.14081272,0.00182654,0.13348006,0.28476904,0.33208629,0.01256075,0.12195758
-5.85592796,1.84390303,0.27074046,1.16936699,0.00189908,0.13471348,0.28531067,0.34924559,0.01260168,0.12132104
-5.84992496,1.89641026,0.26623801,1.20167982,0.00197972,0.13604601,0.28722514,0.36758323,0.01269750,0.12129132
-5.84392196,1.95478134,0.26275159,1.23782754,0.00206777,0.13745377,0.29039539,0.38695365,0.01284992,0.12191073
-5.83791896,2.01880504,0.26035519,1.27778508,0.00216224,0.13891122,0.29468698,0.40717457,0.01305868,0.12320606
-5.83191596,2.08810178,0.25909529,1.32141790,0.00226184,0.14039110,0.29994953,0.42802912,0.01332163,0.12518757
-5.82591296,2.16212293,0.25898909,1.36847823,0.00236504,0.14186459,0.30601890,0.44926961,0.01363481,0.12784863
-5.81990995,2.24015762,0.26002380,1.41860590,0.00247009,0.14330171,0.31272042,0.47062295,0.01399261,0.13116597
-5.81390695,2.32134714,0.26215735,1.47133410,0.00257510,0.14467209,0.31987297,0.49179756,0.01438806,0.13510052
-5.80790395,2.40470664,0.26532010,1.52609983,0.00267805,0.14594601,0.32729397,0.51249155,0.01481319,0.13959880
-5.80190095,2.48915361,0.26941783,1.58225904,0.00277691,0.14709572,0.33480502,0.53240196,0.01525941,0.14459491
-5.79589795,2.57354209,0.27433558,1.63910562,0.00286966,0.14809708,0.34223811,0.55123473,0.01571795,0.15001282
-5.78989495,2.65670128,0.27994236,1.69589381,0.00295437,0.14893136,0.34944211,0.56871493,0.01618037,0.15576912
-5.78389195,2.73747709,0.28609647,1.75186294,0.00302928,0.14958711,0.35628935,0.58459687,0.01663898,0.16177596
-5.77788894,2.81477483,0.29265113,1.80626360,0.00309284,0.15006218,0.36268191,0.59867368,0.01708729,0.16794419
-5.77188594,2.88760121,0.29946038,1.85838398,0.00314376,0.15036552,0.36855741,0.61078588,0.01752047,0.17418642
-5.76588294,2.95510376,0.30638474,1.90757545,0.00318107,0.15051887,0.37389399,0.62082858,0.01793563,0.18042016
-5.75987994,3.01660593,0.31329667,1.95327605,0.00320416,0.15055813,0.37871414,0.62875683,0.01833210,0.18657059
-5.75387694,3.07163619,0.32008541,1.99503093,0.00321278,0.15053420,0.38308721,0.63458905,0.01871161,0.19257322
-5.74787394,3.11994974,0.32666115,2.03250892,0.00320708,0.15051347,0.38713042,0.63840811,0.01907835,0.19837602
-5.74187094,3.16154166,0.33295823,2.06551434,0.00318758,0.15057752,0.39100800,0.64036007,0.01943884,0.20394116
-5.73586793,3.19665092,0.33893736,2.09399359,0.00315523,0.15082225,0.39492866,0.64065051,0.01980186,0.20924624
-5.72986493,3.22575463,0.34458674,2.11803622,0.00311130,0.15135627,0.39914110,0.63953860,0.02017804,0.21428487
-5.72386193,3.24955274,0.34992193,2.13787033,0.00305742,0.15229854,0.40392767,0.63732898,0.02057955,0.21906671
-5.71785893,3.26894350,0.35498466,2.15385256,0.00299551,0.15377537,0.40959632,0.63436184,0.02101954,0.22361683
-5.71185593,3.28499053,0.35984041,2.16645297,0.00292776,0.15591666,0.41647101,0.63100145,0.02151161,0.22797446
-5.70585293,3.29888273,0.36457499,2.17623544,0.00285653,0.15885176,0.42488067,0.62762362,0.02206917,0.23219116
-5.69984992,3.31188826,0.36929020,2.18383438,0.00278434,0.16270470,0.43514724,0.62460255,0.02270477,0.23632849
-5.69384692,3.32530464,0.37409873,2.18992866,0.00271379,0.16758925,0.44757303,0.62229748,0.02342950,0.24045511
-5.68784392,3.34040654,0.37911848,2.19521382,0.00264747,0.17360384,0.46242777,0.62103972,0.02425231,0.24464361
-5.68184092,3.35839357,0.38446658,2.20037367,0.00258794,0.18082649,0.47993596,0.62112057,0.02517948,0.24896703
-5.67583792,3.38033999,0.39025327,2.20605244,0.00253762,0.18931006,0.50026484,0.62278049,0.02621413,0.25349529
-5.66983492,3.40714837,0.39657599,2.21282860,0.00249876,0.19907795,0.52351360,0.62620000,0.02735585,0.25829162
-5.66383192,3.43950934,0.40351385,2.22119144,0.00247334,0.21012051,0.54970420,0.63149276,0.02860043,0.26340919
-5.65782891,3.47786886,0.41112281,2.23152136,0.00246305,0.22239229,0.57877438,0.63870088,0.02993977,0.26888806
-5.65182591,3.52240489,0.41943173,2.24407482,0.00246924,0.23581033,0.61057314,0.64779296,0.03136191,0.27475263
-5.64582291,3.57301427,0.42843948,2.25897447,0.00249284,0.25025372,0.64485908,0.65866468,0.03285126,0.28100974
-5.63981991,3.62931083,0.43811334,2.27620500,0.00253437,0.26556435,0.68130193,0.67114219,0.03438890,0.28764747
-5.63381691,3.69063504,0.44838875,2.29561495,0.00259386,0.28154915,0.71948717,0.68498803,0.03595312,0.29463481
-5.62781391,3.75607498,0.45917040,2.31692451,0.00267091,0.29798357,0.75892408,0.69990943,0.03752000,0.30192226
-5.62181091,3.82449807,0.47033474,2.33973880,0.00276463,0.31461653,0.79905672,0.71556878,0.03906417,0.30944325
-5.61580790,3.89459249,0.48173380,2.36356645,0.00287367,0.33117646,0.83927792,0.73159577,0.04055957,0.31711652
-5.60980490,3.96491663,0.49320008,2.38784239,0.00299625,0.34737846,0.87894565,0.74760074,0.04198032,0.32484919
-5.60380190,4.03395474,0.50455251,2.41195400,0.00313020,0.36293227,0.91740126,0.76318887,0.04330159,0.33254066
-5.59779890,4.10017624,0.51560298,2.43526945,0.00327298,0.37755081,0.95398903,0.77797442,0.04450038,0.34008682
-5.59179590,4.16209634,0.52616334,2.45716682,0.00342178,0.39095887,0.98807623,0.79159468,0.04555639,0.34738468
-5.58579290,4.21833515,0.53605241,2.47706274,0.00357356,0.40290181,1.01907283,0.80372287,0.04645261,0.35433705
-5.57978989,4.26767260,0.54510284,2.49443908,0.00372516,0.41315371,1.04645018,0.81407964,0.04717597,0.36085702
-5.57378689,4.30909668,0.55316727,2.50886640,0.00387335,0.42152475,1.06975772,0.82244249,0.04771771,0.36687204
-5.56778389,4.34184260,0.56012366,2.52002295,0.00401496,0.42786740,1.08863713,0.82865295,0.04807366,0.37232736
-5.56178089,4.36542102,0.56587956,2.52770832,0.00414695,0.43208128,1.10283309,0.83262106,0.04824433,0.37718864
-5.55577789,4.37963401,0.57037491,2.53185088,0.00426648,0.43411626,1.11220041,0.83432709,0.04823479,0.38144356
