energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,2.12149197,0.46993080,0.50782741,0.00391256,0.14109835,0.83063327,0.67186578,0.00915852,0.79891879
-5.99399700,2.12451574,0.46707985,0.50804031,0.00380903,0.14384961,0.84506479,0.67356316,0.00921344,0.79475902
-5.98799400,2.12586427,0.46452616,0.50787277,0.00372485,0.14695018,0.86199144,0.67402400,0.00922027,0.78946993
-5.98199100,2.12541599,0.46216584,0.50723328,0.00365555,0.15046695,0.88171088,0.67323307,0.00917839,0.78290822
-5.97598799,2.12327719,0.45993102,0.50608234,0.00359687,0.15448110,0.90458553,0.67125910,0.00908845,0.77501505
-5.96998499,2.11977698,0.45779156,0.50443457,0.00354489,0.15908456,0.93103013,0.66825100,0.00895240,0.76581838
-5.96398199,2.11545201,0.45575465,0.50235830,0.00349616,0.16437575,0.96149466,0.66443095,0.00877340,0.75543138
-5.95797899,2.11102154,0.45386209,0.49997279,0.00344777,0.17045470,0.99644328,0.66008463,0.00855575,0.74404728
-5.95197599,2.10735413,0.45218578,0.49744314,0.00339742,0.17741778,1.03633006,0.65554909,0.00830475,0.73193073
-5.94597299,2.10542752,0.45082137,0.49497334,0.00334348,0.18535231,1.08157247,0.65119864,0.00802654,0.71940622
-5.93996998,2.10628361,0.44988075,0.49279756,0.00328494,0.19433122,1.13252397,0.64742968,0.00772789,0.70684412
-5.93396698,2.11098073,0.44948359,0.49117046,0.00322141,0.20440811,1.18944682,0.64464477,0.00741605,0.69464498
-5.92796398,2.12054541,0.44974863,0.49035668,0.00315308,0.21561283,1.25248669,0.64323704,0.00709852,0.68322285
-5.92196098,2.13592607,0.45078495,0.49062014,0.00308066,0.22794803,1.32165046,0.64357534,0.00678284,0.67298827
-5.91595798,2.15795061,0.45268397,0.49221370,0.00300526,0.24138673,1.39678836,0.64599093,0.00647645,0.66433177
-5.90995498,2.18729008,0.45551233,0.49536949,0.00292832,0.25587109,1.47758190,0.65076616,0.00618651,0.65760853
-5.90395198,2.22442977,0.45930628,0.50029040,0.00285148,0.27131266,1.56353837,0.65812579,0.00591973,0.65312469
-5.89794897,2.26964933,0.46406761,0.50714297,0.00277651,0.28759398,1.65399270,0.66823106,0.00568235,0.65112595
-5.89194597,2.32301229,0.46976150,0.51605207,0.00270516,0.30457165,1.74811708,0.68117679,0.00547996,0.65178884
-5.88594297,2.38436561,0.47631622,0.52709729,0.00263907,0.32208074,1.84493834,0.69699165,0.00531754,0.65521476
-5.87993997,2.45334887,0.48362480,0.54031125,0.00257971,0.33994047,1.94336273,0.71564124,0.00519938,0.66142706
-5.87393697,2.52941248,0.49154841,0.55567971,0.00252825,0.35796080,2.04220740,0.73703401,0.00512912,0.67037115
-5.86793397,2.61184383,0.49992136,0.57314330,0.00248556,0.37594985,2.14023754,0.76102940,0.00510972,0.68191736
-5.86193097,2.69979986,0.50855731,0.59260076,0.00245211,0.39372163,2.23620756,0.78744785,0.00514353,0.69586655
-5.85592796,2.79234432,0.51725656,0.61391332,0.00242798,0.41110395,2.32890500,0.81608209,0.00523230,0.71195786
-5.84992496,2.88848782,0.52581373,0.63690990,0.00241284,0.42794591,2.41719498,0.84670902,0.00537721,0.72987845
-5.84392196,2.98722857,0.53402580,0.66139291,0.00240600,0.44412482,2.50006340,0.87910168,0.00557890,0.74927464
