energy_ev,total_up,In_p_up,In_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,0.95660193,0.06710439,0.00598171,0.56517335,0.39514627,0.00655998,0.16715286
-5.99399700,0.91865207,0.06387841,0.00572246,0.54139632,0.37897838,0.00622484,0.15845529
-5.98799400,0.87708754,0.06047045,0.00544046,0.51554678,0.36133996,0.00586519,0.14918516
-5.98199100,0.83257604,0.05695219,0.00514007,0.48801491,0.34254213,0.00548724,0.13948973
-5.97598799,0.78583070,0.05339810,0.00482586,0.45921710,0.32291224,0.00509726,0.12951973
-5.96998499,0.73758667,0.04988346,0.00450245,0.42958119,0.30278422,0.00470139,0.11942435
-5.96398199,0.68857919,0.04648266,0.00417441,0.39953286,0.28248947,0.00430547,0.10934662
-5.95797899,0.63952381,0.04326755,0.00384608,0.36948348,0.26234870,0.00391491,0.09941954
-5.95197599,0.59109921,0.04030605,0.00352150,0.33981971,0.24266485,0.00353453,0.08976291
-5.94597299,0.54393290,0.03766100,0.00320431,0.31089497,0.22371716,0.00316853,0.08048094
-5.93996998,0.49858989,0.03538918,0.00289769,0.28302308,0.20575650,0.00282040,0.07166071
-5.93396698,0.45556438,0.03354049,0.00260432,0.25647372,0.18900191,0.00249293,0.06337143
-5.92796398,0.41527434,0.03215736,0.00232635,0.23146989,0.17363824,0.00218815,0.05566431
-5.92196098,0.37805859,0.03127422,0.00206544,0.20818705,0.15981487,0.00190742,0.04857322
-5.91595798,0.34417625,0.03091709,0.00182273,0.18675375,0.14764521,0.00165144,0.04211579
-5.90995498,0.31380811,0.03110329,0.00159889,0.16725349,0.13720702,0.00142034,0.03629493
-5.90395198,0.28705949,0.03184106,0.00139419,0.14972763,0.12854325,0.00121373,0.03110069
-5.89794897,0.26396434,0.03312937,0.00120848,0.13417890,0.12166336,0.00103078,0.02651224
-5.89194597,0.24449025,0.03495768,0.00104135,0.12057552,0.11654487,0.00087034,0.02249995
-5.88594297,0.22854394,0.03730572,0.00089207,0.10885547,0.11313529,0.00073098,0.01902747
-5.87993997,0.21597728,0.04014345,0.00075973,0.09893092,0.11135411,0.00061109,0.01605363
-5.87393697,0.20659338,0.04343101,0.00064328,0.09069258,0.11109504,0.00050895,0.01353429
-5.86793397,0.20015292,0.04711892,0.00054152,0.08401387,0.11222835,0.00042277,0.01142387
-5.86193097,0.19638046,0.05114838,0.00045324,0.07875489,0.11460342,0.00035079,0.00967670
-5.85592796,0.19497089,0.05545187,0.00037718,0.07476613,0.11805155,0.00029128,0.00824816
-5.84992496,0.19559586,0.05995399,0.00031208,0.07189187,0.12238894,0.00024260,0.00709554
-5.84392196,0.19791034,0.06457261,0.00025674,0.06997336,0.12742004,0.00020319,0.00617868
-5.83791896,0.20155924,0.06922026,0.00021002,0.06885169,0.13294113,0.00017165,0.00546044
-5.83191596,0.20618413,0.07380592,0.00017082,0.06837047,0.13874424,0.00014670,0.00490694
-5.82591296,0.21142998,0.07823697,0.00013816,0.06837829,0.14462126,0.00012717,0.00448774
-5.81990995,0.21695192,0.08242138,0.00011112,0.06873090,0.15036833,0.00011207,0.00417583
-5.81390695,0.22242185,0.08627011,0.00008889,0.06929329,0.15579020,0.00010051,0.00394755
-5.80790395,0.22753475,0.08969948,0.00007074,0.06994151,0.16070467,0.00009173,0.00378243
