energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,5.57628730,0.03573715,0.84128626,0.31459514,2.30471851,2.71777577,1.93376256,0.00000000
-5.99399700,5.43965110,0.03517213,0.81193687,0.30555232,2.22861307,2.65469707,1.89887640,0.00000000
-5.98799400,5.29352420,0.03455081,0.78116232,0.29603847,2.14776266,2.58673217,1.86114438,0.00000000
-5.98199100,5.14031841,0.03387501,0.74943055,0.28616194,2.06357258,2.51499583,1.82124980,0.00000000
-5.97598799,4.98252039,0.03314749,0.71721173,0.27603759,1.97748483,2.44063276,1.77991372,0.00000000
-5.96998499,4.82263492,0.03237187,0.68496776,0.26578398,1.89094363,2.36479214,1.73787711,0.00000000
-5.96398199,4.66312810,0.03155250,0.65314215,0.25552040,1.80536142,2.28860266,1.69588202,0.00000000
-5.95797899,4.50637260,0.03069436,0.62215056,0.24536382,1.72208626,2.21314923,1.65465267,0.00000000
-5.95197599,4.35459659,0.02980285,0.59237232,0.23542587,1.64237166,2.13945176,1.61487698,0.00000000
-5.94597299,4.20983793,0.02888368,0.56414318,0.22581008,1.56734975,2.06844692,1.57718936,0.00000000
-5.93996998,4.07390520,0.02794264,0.53774944,0.21660939,1.49800847,2.00097321,1.54215533,0.00000000
-5.93396698,3.94834644,0.02698552,0.51342366,0.20790407,1.43517334,1.93775976,1.51025851,0.00000000
-5.92796398,3.83442666,0.02601795,0.49134194,0.19976014,1.37949419,1.87941904,1.48189051,0.00000000
-5.92196098,3.73311434,0.02504534,0.47162296,0.19222832,1.33143715,1.82644344,1.45734397,0.00000000
-5.91595798,3.64507718,0.02407281,0.45432858,0.18534358,1.29128188,1.77920569,1.43680894,0.00000000
-5.90995498,3.57068680,0.02310516,0.43946603,0.17912515,1.25912391,1.73796277,1.42037275,0.00000000
-5.90395198,3.51003173,0.02214689,0.42699148,0.17357719,1.23488191,1.70286289,1.40802321,0.00000000
-5.89794897,3.46293799,0.02120223,0.41681491,0.16868986,1.21830935,1.67395500,1.39965493,0.00000000
-5.89194597,3.42899604,0.02027519,0.40880588,0.16444084,1.20901018,1.65120038,1.39507848,0.00000000
-5.88594297,3.40759287,0.01936960,0.40280023,0.16079720,1.20645777,1.63448542,1.39403204,0.00000000
-5.87993997,3.39794784,0.01848923,0.39860714,0.15771754,1.21001650,1.62363519,1.39619491,0.00000000
-5.87393697,3.39915084,0.01763780,0.39601659,0.15515426,1.21896521,1.61842712,1.40120249,0.00000000
-5.86793397,3.41020130,0.01681907,0.39480670,0.15305590,1.23252178,1.61860403,1.40866217,0.00000000
-5.86193097,3.43004674,0.01603687,0.39475089,0.15136945,1.24986806,1.62388634,1.41816949,0.00000000
-5.85592796,3.45761955,0.01529514,0.39562460,0.15004260,1.27017436,1.63398285,1.42932411,0.00000000
-5.84992496,3.49187102,0.01459795,0.39721129,0.14902569,1.29262295,1.64859979,1.44174509,0.00000000
-5.84392196,3.53180169,0.01394946,0.39930770,0.14827350,1.31642965,1.66744814,1.45508499,0.00000000
-5.83791896,3.57648724,0.01335397,0.40172820,0.14774668,1.34086332,1.69024907,1.46904240,0.00000000
-5.83191596,3.62509970,0.01281582,0.40430812,0.14741282,1.36526250,1.71673750,1.48337262,0.00000000
-5.82591296,3.67692349,0.01233942,0.40690619,0.14724719,1.38904898,1.74666411,1.49789612,0.00000000
-5.81990995,3.73136640,0.01192914,0.40940589,0.14723307,1.41173810,1.77979587,1.51250468,0.00000000
-5.81390695,3.78796558,0.01158934,0.41171597,0.14736171,1.43294556,1.81591546,1.52716498,0.00000000
-5.80790395,3.84638880,0.01132424,0.41377006,0.14763199,1.45239077,1.85481992,1.54191967,0.00000000
-5.80190095,3.90643134,0.01113797,0.41552563,0.14804970,1.46989691,1.89631873,1.55688573,0.00000000
-5.79589795,3.96800899,0.01103442,0.41696229,0.14862664,1.48538774,1.94023175,1.57225034,0.00000000
-5.78989495,4.03114751,0.01101727,0.41807964,0.14937939,1.49888164,1.98638715,1.58826421,0.00000000
-5.78389195,4.09596926,0.01108986,0.41889481,0.15032803,1.51048297,2.03461954,1.60523252,0.00000000
-5.77788894,4.16267709,0.01125519,0.41943978,0.15149467,1.52037140,2.08476835,1.62350371,0.00000000
-5.77188594,4.23153631,0.01151580,0.41975858,0.15290199,1.52878946,2.13667650,1.64345632,0.00000000
-5.76588294,4.30285478,0.01187368,0.41990455,0.15457171,1.53602881,2.19018927,1.66548411,0.00000000
-5.75987994,4.37696173,0.01233017,0.41993765,0.15652315,1.54241571,2.24515313,1.68997992,0.00000000
-5.75387694,4.45418540,0.01288584,0.41992193,0.15877189,1.54829610,2.30141447,1.71731856,0.00000000
-5.74787394,4.53483005,0.01354031,0.41992313,0.16132846,1.55402066,2.35881782,1.74783918,0.00000000
-5.74187094,4.61915253,0.01429213,0.42000653,0.16419732,1.55993042,2.41720351,1.78182779,0.00000000
-5.73586793,4.70733891,0.01513860,0.42023493,0.16737586,1.56634307,2.47640448,1.81950014,0.00000000
-5.72986493,4.79948158,0.01607561,0.42066685,0.17085372,1.57354043,2.53624216,1.86098589,0.00000000
-5.72386193,4.89555750,0.01709749,0.42135488,0.17461222,1.58175740,2.59652140,1.90631439,0.00000000
-5.71785893,4.99540809,0.01819687,0.42234414,0.17862410,1.59117249,2.65702468,1.95540277,0.00000000
-5.71185593,5.09872180,0.01936460,0.42367096,0.18285342,1.60190035,2.71750565,2.00804693,0.00000000
-5.70585293,5.20501994,0.02058970,0.42536160,0.18725575,1.61398634,2.77768265,2.06391577,0.00000000
-5.69984992,5.31364686,0.02185934,0.42743122,0.19177858,1.62740331,2.83723249,2.12254933,0.00000000
-5.69384692,5.42376532,0.02315894,0.42988294,0.19636199,1.64205076,2.89578523,2.18336102,0.00000000
-5.68784392,5.53435789,0.02447229,0.43270721,0.20093961,1.65775629,2.95292067,2.24564415,0.00000000
-5.68184092,5.64423519,0.02578181,0.43588132,0.20543972,1.67427952,3.00816702,2.30858294,0.00000000
-5.67583792,5.75205144,0.02706882,0.43936937,0.20978673,1.69131829,3.06100260,2.37126787,0.00000000
-5.66983492,5.85632761,0.02831391,0.44312256,0.21390271,1.70851708,3.11086085,2.43271511,0.00000000
-5.66383192,5.95548223,0.02949738,0.44707990,0.21770923,1.72547752,3.15713920,2.49188968,0.00000000
-5.65782891,6.04786941,0.03059976,0.45116945,0.22112922,1.74177063,3.19921172,2.54773164,0.00000000
-5.65182591,6.13182335,0.03160229,0.45531006,0.22408902,1.75695068,3.23644556,2.59918480,0.00000000
-5.64582291,6.20570804,0.03248746,0.45941363,0.22652033,1.77057008,3.26822074,2.64522686,0.00000000
-5.63981991,6.26797082,0.03323960,0.46338791,0.22836229,1.78219505,3.29395257,2.68490016,0.00000000
-5.63381691,6.31719770,0.03384530,0.46713971,0.22956324,1.79142149,3.31311591,2.71734201,0.00000000
-5.62781391,6.35216846,0.03429395,0.47057850,0.23008251,1.79789058,3.32527005,2.74181345,0.00000000
-5.62181091,6.37190919,0.03457806,0.47362034,0.22989180,1.80130357,3.33008293,2.75772550,0.00000000
-5.61580790,6.37573985,0.03469363,0.47619185,0.22897638,1.80143514,3.32735352,2.76466185,0.00000000
-5.60980490,6.36331466,0.03464027,0.47823421,0.22733584,1.79814501,3.31703088,2.76239704,0.00000000
-5.60380190,6.33465319,0.03442135,0.47970695,0.22498453,1.79138706,3.29922872,2.75090949,0.00000000
-5.59779890,6.29016040,0.03404393,0.48059132,0.22195156,1.78121575,3.27423451,2.73038866,0.00000000
-5.59179590,6.23063426,0.03351862,0.48089312,0.21828036,1.76778939,3.24251219,2.70123608,0.00000000
-5.58579290,6.15726007,0.03285933,0.48064476,0.21402791,1.75137007,3.20469822,2.66405993,0.00000000
-5.57978989,6.07159138,0.03208290,0.47990642,0.20926350,1.73232015,3.16159057,2.61966335,0.00000000
-5.57378689,5.97551757,0.03120865,0.47876619,0.20406726,1.71109527,3.11413122,2.56902672,0.00000000
-5.56778389,5.87121922,0.03025785,0.47733912,0.19852830,1.68823401,3.06338240,2.51328438,0.00000000
-5.56178089,5.76111259,0.02925317,0.47576503,0.19274278,1.66434455,3.01049776,2.45369662,0.00000000
-5.55577789,5.64778516,0.02821805,0.47420531,0.18681164,1.64008855,2.95668955,2.39161765,0.00000000
-5.54977489,5.53392449,0.02717611,0.47283850,0.18083846,1.61616288,2.90319305,2.32846069,0.00000000
-5.54377189,5.42224295,0.02615054,0.47185493,0.17492712,1.59327966,2.85122988,2.26566121,0.00000000
-5.53776888,5.31540100,0.02516355,0.47145053,0.16917960,1.57214524,2.80197164,2.20463945,0.00000000
-5.53176588,5.21593160,0.02423582,0.47182001,0.16369393,1.55343884,2.75650518,2.14676336,0.00000000
-5.52576288,5.12616839,0.02338605,0.47314954,0.15856214,1.53779151,2.71580100,2.09331314,0.00000000
-5.51975988,5.04817979,0.02263058,0.47560943,0.15386853,1.52576603,2.68068567,2.04544821,0.00000000
-5.51375688,4.98371123,0.02198303,0.47934675,0.14968808,1.51783842,2.65181922,2.00417767,0.00000000
-5.50775388,4.93413691,0.02145409,0.48447850,0.14608511,1.51438172,2.62967808,1.97033490,0.00000000
-5.50175088,4.90042242,0.02105134,0.49108536,0.14311214,1.51565245,2.61454381,1.94455701,0.00000000
-5.49574787,4.88309903,0.02077917,0.49920645,0.14080903,1.52178029,2.60649777,1.92726951,0.00000000
-5.48974487,4.88225010,0.02063872,0.50883520,0.13920235,1.53276128,2.60542151,1.91867659,0.00000000
-5.48374187,4.89750956,0.02062800,0.51991665,0.13830491,1.54845493,2.61100246,1.91875712,0.00000000
-5.47773887,4.92807237,0.02074193,0.53234628,0.13811567,1.56858518,2.62274461,1.92726646,0.00000000
-5.47173587,4.97271636,0.02097256,0.54597052,0.13861974,1.59274550,2.63998344,1.94374396,0.00000000
-5.46573287,5.02983480,0.02130927,0.56058893,0.13978868,1.62040801,2.66190462,1.96752596,0.00000000
-5.45972986,5.09747886,0.02173902,0.57595809,0.14158104,1.65093641,2.68756585,1.99776408,0.00000000
-5.45372686,5.17340879,0.02224671,0.59179720,0.14394315,1.68360254,2.71592117,2.03344833,0.00000000
-5.44772386,5.25515301,0.02281548,0.60779516,0.14681010,1.71760614,2.74584745,2.07343461,0.00000000
-5.44172086,5.34007349,0.02342715,0.62361894,0.15010705,1.75209745,2.77617222,2.11647605,0.00000000
-5.43571786,5.42543634,0.02406260,0.63892308,0.15375072,1.78620183,2.80570275,2.16125756,0.00000000
-5.42971486,5.50848602,0.02470225,0.65335999,0.15765121,1.81904604,2.83325565,2.20643274,0.00000000
-5.42371186,5.58652143,0.02532652,0.66659066,0.16171390,1.84978509,2.85768662,2.25066236,0.00000000
-5.41770885,5.65697219,0.02591628,0.67829546,0.16584170,1.87762905,2.87791989,2.29265343,0.00000000
-5.41170585,5.71747310,0.02645339,0.68818458,0.16993737,1.90186880,2.89297677,2.33119775,0.00000000
-5.40570285,5.76593457,0.02692112,0.69600781,0.17390591,1.92189984,2.90200255,2.36520881,0.00000000
-5.39969985,5.80060706,0.02730465,0.70156315,0.17765704,1.93724320,2.90429128,2.39375593,0.00000000
-5.39369685,5.82013706,0.02759141,0.70470398,0.18110763,1.94756268,2.89930747,2.41609422,0.00000000
-5.38769385,5.82361258,0.02777151,0.70534441,0.18418392,1.95267753,2.88670401,2.43168950,0.00000000
-5.38169085,5.81059621,0.02783798,0.70346259,0.18682363,1.95256995,2.86633551,2.44023674,0.00000000
-5.37568784,5.78114380,0.02778701,0.69910183,0.18897764,1.94738697,2.83826634,2.44167146,0.00000000
-5.36968484,5.73580776,0.02761808,0.69236932,0.19061136,1.93743633,2.80277265,2.43617308,0.00000000
-5.36368184,5.67562387,0.02733392,0.68343265,0.19170562,1.92317640,2.76033804,2.42415993,0.00000000
-5.35767884,5.60208145,0.02694050,0.67251401,0.19225697,1.90520024,2.71164254,2.40627574,0.00000000
-5.35167584,5.51707750,0.02644681,0.65988245,0.19227752,1.88421435,2.65754488,2.38336787,0.00000000
-5.34567284,5.42285561,0.02586459,0.64584445,0.19179414,1.86101271,2.59905843,2.35645774,0.00000000
-5.33966983,5.32193182,0.02520792,0.63073308,0.19084716,1.83644716,2.53732121,2.32670450,0.00000000
-5.33366683,5.21700962,0.02449282,0.61489637,0.18948848,1.81139513,2.47356112,2.29536314,0.00000000
-5.32766383,5.11088735,0.02373669,0.59868517,0.18777938,1.78672611,2.40905724,2.26373859,0.00000000
-5.32166083,5.00636132,0.02295779,0.58244118,0.18578785,1.76326816,2.34509878,2.23313757,0.00000000
-5.31565783,4.90612851,0.02217464,0.56648560,0.18358575,1.74177588,2.28294311,2.20482012,0.00000000
-5.30965483,4.81269269,0.02140546,0.55110871,0.18124589,1.72290131,2.22377453,2.17995269,0.00000000
-5.30365183,4.72827772,0.02066760,0.53656110,0.17883908,1.70716874,2.16866547,2.15956484,0.00000000
