energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.78725890,0.09023610,0.00000000,0.43002626,0.00000000,0.14066285,0.16528781
-5.99399700,0.86140315,0.09388779,0.00000000,0.47336101,0.00000000,0.15291310,0.17596242
-5.98799400,0.93935879,0.09908834,0.00000000,0.51774677,0.00000000,0.16625704,0.18801141
-5.98199100,1.02022272,0.10574986,0.00000000,0.56266557,0.00000000,0.18056212,0.20123537
-5.97598799,1.10299829,0.11377018,0.00000000,0.60755420,0.00000000,0.19567971,0.21541673
-5.96998499,1.18661099,0.12303285,0.00000000,0.65181482,0.00000000,0.21144687,0.23032305
-5.96398199,1.26992823,0.13340763,0.00000000,0.69482782,0.00000000,0.22768867,0.24571103
-5.95797899,1.35178271,0.14475158,0.00000000,0.73596632,0.00000000,0.24422107,0.26133124
-5.95197599,1.43099880,0.15691079,0.00000000,0.77461178,0.00000000,0.26085435,0.27693355
-5.94597299,1.50642090,0.16972299,0.00000000,0.81017012,0.00000000,0.27739690,0.29227301
-5.93996998,1.57694306,0.18302080,0.00000000,0.84208771,0.00000000,0.29365931,0.30711617
-5.93396698,1.64153852,0.19663586,0.00000000,0.86986656,0.00000000,0.30945878,0.32124753
-5.92796398,1.69928834,0.21040353,0.00000000,0.89307802,0.00000000,0.32462344,0.33447606
-5.92196098,1.74940783,0.22416826,0.00000000,0.91137455,0.00000000,0.33899678,0.34664131
-5.91595798,1.79126979,0.23778918,0.00000000,0.92449885,0.00000000,0.35244172,0.35761923
-5.90995498,1.82442371,0.25114589,0.00000000,0.93229032,0.00000000,0.36484439,0.36732698
-5.90395198,1.84860997,0.26414405,0.00000000,0.93468828,0.00000000,0.37611742,0.37572700
-5.89794897,1.86376864,0.27672048,0.00000000,0.93173216,0.00000000,0.38620258,0.38282961
-5.89194597,1.87004228,0.28884750,0.00000000,0.92355851,0.00000000,0.39507262,0.38869439
-5.88594297,1.86777269,0.30053612,0.00000000,0.91039523,0.00000000,0.40273238,0.39342990
-5.87993997,1.85749165,0.31183793,0.00000000,0.89255316,0.00000000,0.40921886,0.39719178
-5.87393697,1.83990594,0.32284534,0.00000000,0.87041566,0.00000000,0.41460042,0.40017915
-5.86793397,1.81587714,0.33369011,0.00000000,0.84442647,0.00000000,0.41897496,0.40262947
-5.86193097,1.78639695,0.34454004,0.00000000,0.81507655,0.00000000,0.42246724,0.40481173
-5.85592796,1.75255888,0.35559400,0.00000000,0.78289038,0.00000000,0.42522522,0.40701851
-5.84992496,1.71552736,0.36707519,0.00000000,0.74841226,0.00000000,0.42741582,0.40955688
-5.84392196,1.67650542,0.37922316,0.00000000,0.71219311,0.00000000,0.42921990,0.41273858
-5.83791896,1.63670204,0.39228476,0.00000000,0.67477816,0.00000000,0.43082697,0.41686998
-5.83191596,1.59730038,0.40650448,0.00000000,0.63669594,0.00000000,0.43242961,0.42224204
