energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,9.73260359,0.17199935,0.06154230,0.00760338,3.05072381,0.28653953,2.56930197,7.18611964,2.02171797
-5.99399700,9.65309796,0.17118539,0.06031264,0.00745246,3.03501347,0.28085180,2.53814468,7.11346485,2.03576287
-5.98799400,9.53341908,0.16955491,0.05883474,0.00726864,3.00737662,0.27387627,2.49567304,7.00946264,2.04304979
-5.98199100,9.37755642,0.16716624,0.05714017,0.00705695,2.96910460,0.26574684,2.44293829,6.87740058,2.04414205
-5.97598799,9.19024141,0.16409342,0.05526399,0.00682310,2.92173628,0.25661299,2.38117399,6.72114224,2.03977970
-5.96998499,8.97683325,0.16042442,0.05324395,0.00657348,2.86701833,0.24663531,2.31176947,6.54503603,2.03086154
-5.96398199,8.74319138,0.15625911,0.05111974,0.00631498,2.80685995,0.23598120,2.23624112,6.35381341,2.01842201
-5.95797899,8.49553818,0.15170705,0.04893231,0.00605493,2.74328340,0.22482058,2.15620223,6.15247966,2.00360347
-5.95197599,8.24031597,0.14688511,0.04672315,0.00580097,2.67837174,0.21332199,2.07333244,5.94620038,1.98762465
-5.94597299,7.98404181,0.14191508,0.04453363,0.00556096,2.61421527,0.20164898,1.98934721,5.74018688,1.97174582
-5.93996998,7.73316377,0.13692122,0.04240452,0.00534286,2.55285820,0.18995715,1.90596801,5.53958314,1.95723197
-5.93396698,7.49392159,0.13202789,0.04037538,0.00515464,2.49624674,0.17839157,1.82489354,5.34935702,1.94531466
-5.92796398,7.27221465,0.12735718,0.03848414,0.00500415,2.44618020,0.16708490,1.74777234,5.17419769,1.93715401
-5.92196098,7.07347962,0.12302674,0.03676672,0.00489901,2.40426595,0.15615600,1.67617683,5.01842123,1.93380171
-5.91595798,6.90257965,0.11914763,0.03525660,0.00484650,2.37187961,0.14570905,1.61157901,4.88588557,1.93616644
-5.90995498,6.76370695,0.11582236,0.03398447,0.00485347,2.35013119,0.13583313,1.55532758,4.77991607,1.94498274
-5.90395198,6.66029989,0.11314302,0.03297792,0.00492617,2.33983791,0.12660225,1.50862678,4.70324232,1.96078451
-5.89794897,6.59497590,0.11118960,0.03226102,0.00507017,2.34150447,0.11807557,1.47251661,4.65794677,1.98388407
-5.89194597,6.56948091,0.11002842,0.03185404,0.00529018,2.35531100,0.11029795,1.44785482,4.64542562,2.01435771
-5.88594297,6.58465597,0.10971080,0.03177300,0.00558998,2.38110905,0.10330054,1.43530052,4.66636225,2.05203822
-5.87993997,6.64042175,0.11027188,0.03202932,0.00597221,2.41842568,0.09710153,1.43529986,4.72071327,2.09651508
-5.87393697,6.73578105,0.11172970,0.03262941,0.00643830,2.46647547,0.09170691,1.44807391,4.80770766,2.14714222
-5.86793397,6.86883959,0.11408457,0.03357434,0.00698828,2.52418035,0.08711118,1.47360941,4.92585881,2.20305343
-5.86193097,7.03684497,0.11731866,0.03485944,0.00762073,2.59019643,0.08329812,1.51165262,5.07298988,2.26318494
-5.85592796,7.23624348,0.12139609,0.03647401,0.00833263,2.66294759,0.08024144,1.56170708,5.24627228,2.32630442
-5.84992496,7.46275408,0.12626326,0.03840118,0.00911930,2.74066461,0.07790550,1.62303567,5.44227723,2.39104566
-5.84392196,7.71145846,0.13184968,0.04061772,0.00997439,2.82142906,0.07624600,1.69466756,5.65704016,2.45594745
-5.83791896,7.97690585,0.13806921,0.04309412,0.01088982,2.90322065,0.07521077,1.77541043,5.88613726,2.51949552
-5.83191596,8.25323059,0.14482173,0.04579478,0.01185587,2.98396700,0.07474058,1.86386829,6.12477334,2.58016594
-5.82591296,8.53428007,0.15199519,0.04867837,0.01286123,3.06159411,0.07477008,1.95846491,6.36787973,2.63646834
-5.81990995,8.81375051,0.15946809,0.05169839,0.01389317,3.13407663,0.07522893,2.05747283,6.61022062,2.68698754
-5.81390695,9.08532712,0.16711225,0.05480390,0.01493772,3.19948609,0.07604303,2.15904747,6.84650555,2.73042196
-5.80790395,9.34282562,0.17479578,0.05794047,0.01597989,3.25603612,0.07713589,2.26126570,7.07150585,2.76561764
-5.80190095,9.58033110,0.18238628,0.06105127,0.01700399,3.30212331,0.07843020,2.36216805,7.28017200,2.79159662
-5.79589795,9.79233093,0.18975399,0.06407830,0.01799396,3.33636260,0.07984944,2.45980341,7.46774893,2.80757901
-5.78989495,9.97383791,0.19677496,0.06696372,0.01893368,3.35761645,0.08131965,2.55227488,7.62988592,2.81299816
-5.78389195,10.12050033,0.20333396,0.06965127,0.01980742,3.36501702,0.08277109,2.63778544,7.76273793,2.80750866
-5.77788894,10.22869597,0.20932722,0.07208770,0.02060018,3.35798093,0.08414000,2.71468192,7.86305505,2.79098753
-5.77188594,10.29560742,0.21466471,0.07422410,0.02129811,3.33621643,0.08537016,2.78149582,7.92825717,2.76352868
-5.76588294,10.31927679,0.21927204,0.07601725,0.02188890,3.29972302,0.08641426,2.83697964,7.95649129,2.72543170
-5.75987994,10.29863850,0.22309187,0.07743074,0.02236205,3.24878372,0.08723512,2.88013736,7.94666950,2.67718551
-5.75387694,10.23352956,0.22608484,0.07843595,0.02270926,3.18395050,0.08780653,2.91024832,7.89848614,2.61944815
-5.74787394,10.12467742,0.22822989,0.07901281,0.02292466,3.10602361,0.08811380,2.92688343,7.81241352,2.55302371
-5.74187094,9.97366619,0.22952426,0.07915029,0.02300494,3.01602541,0.08815394,2.92991347,7.68967626,2.47883743
-5.73586793,9.78288286,0.22998284,0.07884664,0.02294958,2.91516986,0.08793541,2.91950923,7.53220525,2.39791013
-5.72986493,9.55544534,0.22963733,0.07810936,0.02276079,2.80482847,0.08747761,2.89613360,7.34257273,2.31133293
-5.72386193,9.29511497,0.22853491,0.07695493,0.02244356,2.68649395,0.08680983,2.86052600,7.12391098,2.22024278
-5.71785893,9.00619642,0.22673674,0.07540820,0.02200555,2.56174251,0.08597009,2.81367991,6.87981753,2.12579977
-5.71185593,8.69342797,0.22431630,0.07350166,0.02145691,2.43219589,0.08500350,2.75681416,6.61425031,2.02916627
-5.70585293,8.36186541,0.22135750,0.07127442,0.02081006,2.29948423,0.08396054,2.69133916,6.33141652,1.93148839
-5.69984992,8.01676287,0.21795286,0.06877114,0.02007944,2.16521052,0.08289511,2.61881914,6.03565908,1.83387955
-5.69384692,7.66345356,0.21420159,0.06604073,0.01928113,2.03091774,0.08186255,2.54093142,5.73134453,1.73740633
-5.68784392,7.30723334,0.21020771,0.06313506,0.01843255,1.89805920,0.08091756,2.45942408,5.42275606,1.64307616
-5.68184092,6.95324971,0.20607817,0.06010763,0.01755205,1.76797280,0.08011227,2.37607295,5.11399489,1.55182666
-5.67583792,6.60639856,0.20192110,0.05701225,0.01665854,1.64185969,0.07949433,2.29263917,4.80889298,1.46451648
-5.66983492,6.27123053,0.19784391,0.05390173,0.01577107,1.52076763,0.07910527,2.21082809,4.51093912,1.38191713
-5.66383192,5.95186862,0.19395164,0.05082677,0.01490845,1.40557920,0.07897899,2.13225057,4.22322010,1.30470580
-5.65782891,5.65193822,0.19034508,0.04783482,0.01408891,1.29700494,0.07914056,2.05838724,3.94837780,1.23345890
-5.65182591,5.37451046,0.18711909,0.04496917,0.01332968,1.19558140,0.07960529,1.99055665,3.68858245,1.16864647
-5.64582291,5.12205950,0.18436075,0.04226820,0.01264673,1.10167359,0.08037813,1.92988757,3.44552152,1.11062727
-5.63981991,4.89643401,0.18214764,0.03976470,0.01205443,1.01548186,0.08145341,1.87729612,3.22040352,1.05964497
-5.63381691,4.69884298,0.18054604,0.03748541,0.01156529,0.93705242,0.08281482,1.83346816,3.01397487,1.01582558
-5.62781391,4.52985571,0.17960923,0.03545074,0.01118972,0.86629121,0.08443581,1.79884699,2.82654838,0.97917641
-5.62181091,4.38941552,0.17937587,0.03367464,0.01093584,0.80298036,0.08628025,1.77362697,2.65804114,0.94958692
-5.61580790,4.27686691,0.17986857,0.03216453,0.01080929,0.74679681,0.08830338,1.75775285,2.50801958,0.92683182
-5.60980490,4.19099512,0.18109266,0.03092154,0.01081313,0.69733222,0.09045302,1.75092520,2.37574970,0.91057656
-5.60380190,4.13007754,0.18303527,0.02994073,0.01094771,0.65411373,0.09267097,1.75261164,2.26025024,0.90038563
-5.59779890,4.09194549,0.18566480,0.02921150,0.01121067,0.61662484,0.09489471,1.76206384,2.16034702,0.89573348
-5.59179590,4.07405533,0.18893087,0.02871812,0.01159689,0.58432587,0.09705908,1.77833997,2.07472655,0.89601825
-5.58579290,4.07356714,0.19276476,0.02844032,0.01209856,0.55667350,0.09909814,1.80033216,2.00198777,0.90057795
-5.57978989,4.08742918,0.19708045,0.02835395,0.01270527,0.53313879,0.10094710,1.82679827,1.94069047,0.90870881
-5.57378689,4.11246612,0.20177626,0.02843175,0.01340417,0.51322339,0.10254410,1.85639737,1.88939963,0.91968528
-5.56778389,4.14546875,0.20673700,0.02864414,0.01418017,0.49647358,0.10383204,1.88772775,1.84672505,0.93278103
-5.56178089,4.18328273,0.21183682,0.02896002,0.01501622,0.48249167,0.10476019,1.91936672,1.81135556,0.94729023
-5.55577789,4.22289381,0.21694243,0.02934762,0.01589363,0.47094477,0.10528567,1.94991063,1.78208774,0.96254825
-5.54977489,4.26150700,0.22191678,0.02977532,0.01679248,0.46157066,0.10537458,1.97801421,1.75784879,0.97795095
-5.54377189,4.29661711,0.22662298,0.03021243,0.01769202,0.45418057,0.10500299,2.00242771,1.73771343,0.99297174
-5.53776888,4.32606829,0.23092836,0.03062998,0.01857115,0.44865908,0.10415749,2.02203068,1.72091481,1.00717554
-5.53176588,4.34810059,0.23470849,0.03100136,0.01940896,0.44496091,0.10283549,2.03586114,1.70684948,1.02022907
-5.52576288,4.36138180,0.23785102,0.03130293,0.02018520,0.44310494,0.10104510,2.04313926,1.69507628,1.03190680
-5.51975988,4.36502339,0.24025902,0.03151454,0.02088081,0.44316554,0.09880475,2.04328451,1.68530961,1.04209235
-5.51375688,4.35858007,0.24185394,0.03161992,0.02147843,0.44526154,0.09614241,2.03592591,1.67740695,1.05077507
-5.50775388,4.34203301,0.24257776,0.03160692,0.02196286,0.44954311,0.09309461,2.02090489,1.67135136,1.05804203
-5.50175088,4.31575753,0.24239448,0.03146768,0.02232144,0.45617713,0.08970513,1.99827100,1.66722918,1.06406562
-5.49574787,4.28047686,0.24129063,0.03119863,0.02254441,0.46533148,0.08602357,1.96827060,1.66520390,1.06908739
-5.48974487,4.23720399,0.23927506,0.03080041,0.02262514,0.47715887,0.08210375,1.93132936,1.66548693,1.07339893
-5.48374187,4.18717460,0.23637778,0.03027762,0.02256033,0.49178082,0.07800208,1.88802935,1.66830652,1.07732067
-5.47773887,4.13177407,0.23264812,0.02963855,0.02234998,0.50927254,0.07377590,1.83908209,1.67387597,1.08117976
-5.47173587,4.07246233,0.22815221,0.02889472,0.02199744,0.52964935,0.06948195,1.78529862,1.68236267,1.08528811
-5.46573287,4.01070001,0.22296988,0.02806048,0.02150919,0.55285534,0.06517485,1.72755828,1.69385944,1.08992179
-5.45972986,3.94787970,0.21719138,0.02715246,0.02089460,0.57875489,0.06090589,1.66677757,1.70835955,1.09530298
-5.45372686,3.88526545,0.21091377,0.02618907,0.02016566,0.60712759,0.05672191,1.60388040,1.72573697,1.10158532
-5.44772386,3.82394354,0.20423752,0.02518999,0.01933652,0.63766693,0.05266452,1.53977110,1.74573299,1.10884369
-5.44172086,3.76478667,0.19726316,0.02417566,0.01842306,0.66998305,0.04876951,1.47531121,1.76795024,1.11706871
-5.43571786,3.70843294,0.19008836,0.02316680,0.01744244,0.70360966,0.04506654,1.41130076,1.79185461,1.12616665
-5.42971486,3.65528047,0.18280555,0.02218400,0.01641255,0.73801491,0.04157908,1.34846467,1.81678537,1.13596444
-5.42371186,3.60549699,0.17549997,0.02124740,0.01535159,0.77261587,0.03832453,1.28744420,1.84197327,1.14621962
-5.41770885,3.55904345,0.16824847,0.02037633,0.01427753,0.80679623,0.03531459,1.22879363,1.86656584,1.15663475
-5.41170585,3.51570963,0.16111878,0.01958911,0.01320776,0.83992625,0.03255580,1.17298146,1.88965877,1.16687518
-5.40570285,3.47515888,0.15416948,0.01890285,0.01215866,0.87138427,0.03005009,1.12039556,1.91033186,1.17658933
-5.39969985,3.43697901,0.14745038,0.01833329,0.01114532,0.90057869,0.02779552,1.07135152,1.92768779,1.18543027
-5.39369685,3.40073574,0.14100334,0.01789471,0.01018129,0.92696931,0.02578701,1.02610308,1.94089151,1.19307709
-5.38769385,3.36602525,0.13486334,0.01759983,0.00927842,0.95008712,0.02401703,0.98485366,1.94920829,1.19925509
-5.38169085,3.33252234,0.12905977,0.01745974,0.00844674,0.96955139,0.02247628,0.94776815,1.95203828,1.20375332
-5.37568784,3.30002147,0.12361768,0.01748381,0.00769445,0.98508326,0.02115435,0.91498388,1.94894577,1.20643873
-5.36968484,3.26846803,0.11855905,0.01767967,0.00702793,0.99651515,0.02004018,0.88662026,1.93968153,1.20726585
-5.36368184,3.23797840,0.11390387,0.01805309,0.00645183,1.00379547,0.01912251,0.86278635,1.92419705,1.20628171
-5.35767884,3.20884784,0.10967098,0.01860789,0.00596918,1.00698844,0.01839024,0.84358622,1.90264995,1.20362578
-5.35167584,3.18154622,0.10587872,0.01934593,0.00558154,1.00626912,0.01783258,0.82912191,1.87540039,1.19952496
-5.34567284,3.15670243,0.10254527,0.02026698,0.00528922,1.00191387,0.01743926,0.81949412,1.84299870,1.19428411
-5.33966983,3.13507896,0.09968874,0.02136867,0.00509140,0.99428697,0.01720053,0.81480092,1.80616511,1.18827286
-5.33366683,3.11753869,0.09732715,0.02264654,0.00498635,0.98382394,0.01710722,0.81513487,1.76576262,1.18190954
-5.32766383,3.10500641,0.09547808,0.02409398,0.00497165,0.97101273,0.01715064,0.82057901,1.72276466,1.17564328
-5.32166083,3.09842765,0.09415839,0.02570234,0.00504427,0.95637361,0.01732257,0.83120231,1.67821914,1.16993542
-5.31565783,3.09872737,0.09338381,0.02746105,0.00520082,0.94043892,0.01761517,0.84705496,1.63321077,1.16524124
-5.30965483,3.10677105,0.09316852,0.02935784,0.00543760,0.92373360,0.01802097,0.86816389,1.58882349,1.16199307
-5.30365183,3.12332992,0.09352487,0.03137889,0.00575072,0.90675739,0.01853277,0.89452894,1.54610460,1.16058551
-5.29764882,3.14905200,0.09446307,0.03350924,0.00613618,0.88996952,0.01914372,0.92611959,1.50603209,1.16136336
-5.29164582,3.18443964,0.09599106,0.03573299,0.00658989,0.87377633,0.01984726,0.96287258,1.46948636,1.16461267
-5.28564282,3.22983398,0.09811440,0.03803375,0.00710768,0.85852217,0.02063720,1.00468999,1.43722714,1.17055487
-5.27963982,3.28540595,0.10083620,0.04039489,0.00768532,0.84448374,0.02150775,1.05143786,1.40987618,1.17934396
-5.27363682,3.35115302,0.10415716,0.04279993,0.00831843,0.83186766,0.02245359,1.10294489,1.38790574,1.19106631
-5.26763382,3.42690070,0.10807545,0.04523276,0.00900245,0.82081107,0.02346987,1.15900115,1.37163293,1.20574252
-5.26163082,3.51230747,0.11258667,0.04767787,0.00973257,0.81138479,0.02455224,1.21935638,1.36121942,1.22333087
-5.25562781,3.60687178,0.11768358,0.05012050,0.01050368,0.80359845,0.02569684,1.28371788,1.35667600,1.24373152
-5.24962481,3.70994010,0.12335584,0.05254666,0.01131029,0.79740717,0.02690015,1.35174796,1.35787131,1.26679104
-5.24362181,3.82071501,0.12958946,0.05494311,0.01214646,0.79271900,0.02815897,1.42306099,1.36454408,1.29230663
-5.23761881,3.93826296,0.13636631,0.05729726,0.01300579,0.78940276,0.02947014,1.49722042,1.37631799,1.32002985
-5.23161581,4.06152143,0.14366336,0.05959698,0.01388141,0.78729572,0.03083040,1.57373608,1.39271876,1.34966944
-5.22561281,4.18930604,0.15145198,0.06183039,0.01476601,0.78621089,0.03223609,1.65206243,1.41319254,1.38089359
-5.21960980,4.32031815,0.15969724,0.06398562,0.01565190,0.78594354,0.03368288,1.73159814,1.43712526,1.41333151
-5.21360680,4.45315400,0.16835726,0.06605062,0.01653110,0.78627699,0.03516552,1.81168787,1.46386245,1.44657494
-5.20760380,4.58631642,0.17738274,0.06801300,0.01739551,0.78698756,0.03667761,1.89162654,1.49272905,1.48017991
-5.20160080,4.71823035,0.18671677,0.06985992,0.01823706,0.78784884,0.03821136,1.97066667,1.52304898,1.51366935
-5.19559780,4.84726297,0.19629487,0.07157819,0.01904794,0.78863539,0.03975749,2.04802907,1.55416394,1.54653705
-5.18959480,4.97174911,0.20604548,0.07315438,0.01982078,0.78912608,0.04130519,2.12291683,1.58545122,1.57825331
-5.18359180,5.09002224,0.21589074,0.07457516,0.02054895,0.78910718,0.04284222,2.19453246,1.61634014,1.60827284
-5.17758879,5.20045051,0.22574777,0.07582774,0.02122672,0.78837551,0.04435505,2.26209772,1.64632659,1.63604482
-5.17158579,5.30147726,0.23553021,0.07690048,0.02184951,0.78674151,0.04582919,2.32487535,1.67498543,1.66102516
-5.16558279,5.39166448,0.24515013,0.07778362,0.02241407,0.78403256,0.04724960,2.38219193,1.70198016,1.68269077
-5.15957979,5.46973745,0.25452021,0.07847001,0.02291854,0.78009633,0.04860121,2.43346057,1.72706968,1.70055527
-5.15357679,5.53462857,0.26355599,0.07895604,0.02336264,0.77480412,0.04986952,2.47820246,1.75011157,1.71418553
-5.14757379,5.58551783,0.27217822,0.07924244,0.02374754,0.76805415,0.05104124,2.51606594,1.77106202,1.72321828
-5.14157079,5.62186794,0.28031509,0.07933512,0.02407593,0.75977446,0.05210497,2.54684213,1.78997195,1.72737593
-5.13556778,5.64345176,0.28790426,0.07924586,0.02435180,0.74992539,0.05305189,2.57047602,1.80697975,1.72648065
-5.12956478,5.65037022,0.29489464,0.07899292,0.02458029,0.73850132,0.05387630,2.58707242,1.82230077,1.72046593
-5.12356178,5.64305948,0.30124770,0.07860136,0.02476741,0.72553151,0.05457626,2.59689624,1.83621391,1.70938479
-5.11755878,5.62228650,0.30693839,0.07810330,0.02491981,0.71108002,0.05515391,2.60036697,1.84904615,1.69341416
-5.11155578,5.58913272,0.31195552,0.07753770,0.02504442,0.69524449,0.05561579,2.59804750,1.86115553,1.67285483
-5.10555278,5.54496635,0.31630165,0.07695012,0.02514813,0.67815377,0.05597294,2.59062766,1.87291350,1.64812692
-5.09954977,5.49140421,0.31999245,0.07639194,0.02523750,0.65996462,0.05624079,2.57890334,1.88468750,1.61976083
-5.09354677,5.43026463,0.32305566,0.07591946,0.02531846,0.64085728,0.05643891,2.56375182,1.89682448,1.58838391
-5.08754377,5.36351310,0.32552954,0.07559268,0.02539608,0.62103043,0.05659055,2.54610451,1.90963616,1.55470324
-5.08154077,5.29320287,0.32746110,0.07547377,0.02547438,0.60069539,0.05672196,2.52691809,1.92338648,1.51948526
-5.07553777,5.22141271,0.32890401,0.07562536,0.02555616,0.58007008,0.05686156,2.50714511,1.93828176,1.48353283
-5.06953477,5.15018385,0.32991632,0.07610863,0.02564302,0.55937281,0.05703899,2.48770506,1.95446364,1.44766070
-5.06353177,5.08145828,0.33055821,0.07698124,0.02573530,0.53881614,0.05728404,2.46945676,1.97200479,1.41267016
-5.05752876,5.01702032,0.33088957,0.07829519,0.02583217,0.51860116,0.05762543,2.45317289,1.99090720,1.37932384
-5.05152576,4.95844292,0.33096778,0.08009466,0.02593175,0.49891224,0.05808967,2.43951716,2.01110266,1.34832148
-5.04552276,4.90704023,0.33084558,0.08241394,0.02603125,0.47991246,0.05869982,2.42902469,2.03245502,1.32027757
-5.03951976,4.86382749,0.33056908,0.08527538,0.02612715,0.46173989,0.05947436,2.42208585,2.05476363,1.29570149
-5.03351676,4.82948920,0.33017605,0.08868772,0.02621542,0.44450469,0.06042617,2.41893398,2.07776762,1.27498093
-5.02751376,4.80435618,0.32969452,0.09264458,0.02629169,0.42828714,0.06156160,2.41963694,2.10115048,1.25836899
