energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.43994754,0.07073860,0.00000000,0.02452749,0.08671862,0.19282657,0.06244947
-5.99399700,0.45806944,0.07349398,0.00000000,0.02689043,0.08901012,0.19959656,0.06505158
-5.98799400,0.47961362,0.07650757,0.00000000,0.02957080,0.09239671,0.20796301,0.06818295
-5.98199100,0.50461202,0.07973365,0.00000000,0.03260566,0.09691851,0.21778051,0.07186931
-5.97598799,0.53308250,0.08312134,0.00000000,0.03603270,0.10261716,0.22889336,0.07613426
-5.96998499,0.56502904,0.08661562,0.00000000,0.03988947,0.10953506,0.24113874,0.08099902
-5.96398199,0.60044209,0.09015872,0.00000000,0.04421256,0.11771421,0.25435015,0.08648196
-5.95797899,0.63929861,0.09369180,0.00000000,0.04903657,0.12719473,0.26836100,0.09259816
-5.95197599,0.68156202,0.09715682,0.00000000,0.05439296,0.13801296,0.28300830,0.09935883
-5.94597299,0.72718160,0.10049859,0.00000000,0.06030876,0.15019927,0.29813628,0.10677056
-5.93996998,0.77609134,0.10366685,0.00000000,0.06680510,0.16377553,0.31359984,0.11483449
-5.93396698,0.82820812,0.10661837,0.00000000,0.07389570,0.17875242,0.32926764,0.12354533
-5.92796398,0.88342923,0.10931884,0.00000000,0.08158532,0.19512662,0.34502478,0.13289032
-5.92196098,0.94162918,0.11174455,0.00000000,0.08986821,0.21287807,0.36077490,0.14284809
-5.91595798,1.00265616,0.11388377,0.00000000,0.09872668,0.23196744,0.37644167,0.15338761
-5.90995498,1.06632823,0.11573758,0.00000000,0.10812985,0.25233395,0.39196965,0.16446711
-5.90395198,1.13242974,0.11732039,0.00000000,0.11803272,0.27389381,0.40732450,0.17603334
-5.89794897,1.20070833,0.11865977,0.00000000,0.12837555,0.29653938,0.42249261,0.18802090
-5.89194597,1.27087293,0.11979583,0.00000000,0.13908376,0.32013933,0.43748026,0.20035215
-5.88594297,1.34259330,0.12078006,0.00000000,0.15006834,0.34453983,0.45231243,0.21293739
-5.87993997,1.41550142,0.12167362,0.00000000,0.16122680,0.36956684,0.46703138,0.22567570
-5.87393697,1.48919501,0.12254530,0.00000000,0.17244481,0.39502969,0.48169512,0.23845621
-5.86793397,1.56324338,0.12346899,0.00000000,0.18359830,0.42072569,0.49637601,0.25116006
-5.86193097,1.63719555,0.12452100,0.00000000,0.19455621,0.44644584,0.51115937,0.26366281
-5.85592796,1.71059041,0.12577716,0.00000000,0.20518360,0.47198126,0.52614244,0.27583740
-5.84992496,1.78296860,0.12730993,0.00000000,0.21534519,0.49713024,0.54143344,0.28755737
-5.84392196,1.85388547,0.12918554,0.00000000,0.22490903,0.52170546,0.55715085,0.29870044
-5.83791896,1.92292443,0.13146130,0.00000000,0.23375023,0.54554105,0.57342283,0.30915204
-5.83191596,1.98970994,0.13418328,0.00000000,0.24175456,0.56849906,0.59038654,0.31880882
-5.82591296,2.05391932,0.13738427,0.00000000,0.24882173,0.59047505,0.60818738,0.32758173
-5.81990995,2.11529247,0.14108223,0.00000000,0.25486823,0.61140225,0.62697782,0.33539880
-5.81390695,2.17363900,0.14527923,0.00000000,0.25982955,0.63125418,0.64691574,0.34220711
-5.80790395,2.22884205,0.14996099,0.00000000,0.26366167,0.65004539,0.66816218,0.34797408
-5.80190095,2.28085846,0.15509687,0.00000000,0.26634184,0.66783019,0.69087829,0.35268802
-5.79589795,2.32971530,0.16064055,0.00000000,0.26786853,0.68469932,0.71522143,0.35635760
-5.78989495,2.37550268,0.16653113,0.00000000,0.26826062,0.70077480,0.74134048,0.35901070
-5.78389195,2.41836326,0.17269473,0.00000000,0.26755587,0.71620294,0.76937034,0.36069236
-5.77788894,2.45847907,0.17904661,0.00000000,0.26580887,0.73114591,0.79942575,0.36146211
-5.77188594,2.49605613,0.18549346,0.00000000,0.26308841,0.74577233,0.83159461,0.36139078
-5.76588294,2.53130790,0.19193608,0.00000000,0.25947461,0.76024714,0.86593095,0.36055700
-5.75987994,2.56443836,0.19827212,0.00000000,0.25505590,0.77472146,0.90244796,0.35904355
-5.75387694,2.59562550,0.20439880,0.00000000,0.24992595,0.78932266,0.94111113,0.35693379
-5.74787394,2.62500613,0.21021571,0.00000000,0.24418080,0.80414536,0.98183208,0.35430823
-5.74187094,2.65266276,0.21562724,0.00000000,0.23791617,0.81924369,1.02446313,0.35124158
-5.73586793,2.67861292,0.22054483,0.00000000,0.23122521,0.83462512,1.06879302,0.34780025
-5.72986493,2.70280165,0.22488890,0.00000000,0.22419661,0.85024623,1.11454413,0.34404048
-5.72386193,2.72509711,0.22859028,0.00000000,0.21691313,0.86601065,1.16137122,0.34000704
-5.71785893,2.74528961,0.23159126,0.00000000,0.20945063,0.88176911,1.20886214,0.33573265
-5.71185593,2.76309403,0.23384621,0.00000000,0.20187744,0.89732178,1.25654045,0.33123796
-5.70585293,2.77815526,0.23532172,0.00000000,0.19425408,0.91242271,1.30387018,0.32653219
-5.69984992,2.79005667,0.23599639,0.00000000,0.18663332,0.92678621,1.35026275,0.32161413
-5.69384692,2.79833114,0.23586026,0.00000000,0.17906039,0.94009490,1.39508595,0.31647363
-5.68784392,2.80247424,0.23491401,0.00000000,0.17157342,0.95200921,1.43767490,0.31109336
-5.68184092,2.80195924,0.23316792,0.00000000,0.16420386,0.96217785,1.47734494,0.30545072
-5.67583792,2.79625347,0.23064081,0.00000000,0.15697704,0.97024895,1.51340599,0.29951992
-5.66983492,2.78483561,0.22735885,0.00000000,0.14991270,0.97588145,1.54517817,0.29327400
-5.66383192,2.76721334,0.22335452,0.00000000,0.14302547,0.97875634,1.57200833,0.28668680
-5.65782891,2.74294105,0.21866555,0.00000000,0.13632538,0.97858736,1.59328689,0.27973480
-5.65182591,2.71163693,0.21333413,0.00000000,0.12981829,0.97513076,1.60846454,0.27239874
-5.64582291,2.67299906,0.20740613,0.00000000,0.12350639,0.96819391,1.61706823,0.26466509
-5.63981991,2.62681997,0.20093056,0.00000000,0.11738864,0.95764231,1.61871594,0.25652720
-5.63381691,2.57299906,0.19395913,0.00000000,0.11146124,0.94340493,1.61312946,0.24798616
-5.62781391,2.51155252,0.18654596,0.00000000,0.10571815,0.92547757,1.60014494,0.23905149
-5.62181091,2.44262030,0.17874726,0.00000000,0.10015167,0.90392424,1.57972042,0.22974140
-5.61580790,2.36646966,0.17062116,0.00000000,0.09475297,0.87887652,1.55194023,0.22008289
-5.60980490,2.28349505,0.16222742,0.00000000,0.08951271,0.85053084,1.51701573,0.21011147
-5.60380190,2.19421434,0.15362715,0.00000000,0.08442166,0.81914389,1.47528252,0.19987068
-5.59779890,2.09926103,0.14488242,0.00000000,0.07947125,0.78502633,1.42719384,0.18941133
-5.59179590,1.99937296,0.13605574,0.00000000,0.07465413,0.74853494,1.37331058,0.17879052
-5.58579290,1.89537756,0.12720951,0.00000000,0.06996456,0.71006361,1.31428800,0.16807043
-5.57978989,1.78817414,0.11840527,0.00000000,0.06539883,0.67003345,1.25085977,0.15731703
-5.57378689,1.67871394,0.10970295,0.00000000,0.06095541,0.62888231,1.18381982,0.14659858
-5.56778389,1.56797850,0.10116002,0.00000000,0.05663509,0.58705425,1.11400264,0.13598407
-5.56178089,1.45695718,0.09283061,0.00000000,0.05244089,0.54498912,1.04226290,0.12554176
-5.55577789,1.34662474,0.08476472,0.00000000,0.04837785,0.50311272,0.96945494,0.11533754
-5.54977489,1.23791976,0.07700743,0.00000000,0.04445280,0.46182786,0.89641307,0.10543359
-5.54377189,1.13172465,0.06959819,0.00000000,0.04067384,0.42150653,0.82393326,0.09588704
-5.53776888,1.02884808,0.06257036,0.00000000,0.03704997,0.38248343,0.75275687,0.08674886
-5.53176588,0.93001031,0.05595079,0.00000000,0.03359049,0.34505101,0.68355695,0.07806294
-5.52576288,0.83583197,0.04975964,0.00000000,0.03030450,0.30945615,0.61692747,0.06986548
