energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Y_p_up,Y_d_up
-6.00000000,2.05830930,0.02387631,1.35300926,0.06168246,0.00011906,0.54235472,0.78821976
-5.99399700,2.06947873,0.02456435,1.37137782,0.06246125,0.00011263,0.55871439,0.80311304
-5.98799400,2.08405513,0.02536626,1.39106283,0.06341078,0.00010673,0.57694926,0.81930606
-5.98199100,2.10208401,0.02627659,1.41213958,0.06451768,0.00010138,0.59697985,0.83685110
-5.97598799,2.12353165,0.02728713,1.43464687,0.06576440,0.00009657,0.61868382,0.85577191
-5.96998499,2.14828632,0.02838680,1.45858423,0.06712953,0.00009229,0.64189547,0.87606037
-5.96398199,2.17616044,0.02956178,1.48390942,0.06858808,0.00008854,0.66640640,0.89767359
-5.95797899,2.20689396,0.03079560,1.51053661,0.07011202,0.00008529,0.69196752,0.92053147
-5.95197599,2.24015891,0.03206942,1.53833534,0.07167086,0.00008253,0.71829246,0.94451519
-5.94597299,2.27556540,0.03336232,1.56713050,0.07323236,0.00008022,0.74506261,0.96946660
-5.93996998,2.31266907,0.03465176,1.59670367,0.07476338,0.00007834,0.77193352,0.99518896
-5.93396698,2.35098033,0.03591410,1.62679587,0.07623073,0.00007688,0.79854292,1.02144910
-5.92796398,2.38997538,0.03712520,1.65711215,0.07760217,0.00007580,0.82451989,1.04798122
-5.92196098,2.42910900,0.03826112,1.68732782,0.07884737,0.00007509,0.84949517,1.07449218
-5.91595798,2.46782901,0.03929878,1.71709646,0.07993890,0.00007474,0.87311217,1.10066852
-5.90995498,2.50559215,0.04021673,1.74605957,0.08085321,0.00007472,0.89503829,1.12618486
-5.90395198,2.54188078,0.04099584,1.77385746,0.08157151,0.00007503,0.91497621,1.15071343
-5.89794897,2.57621999,0.04162001,1.80014101,0.08208058,0.00007565,0.93267442,1.17393444
-5.89194597,2.60819424,0.04207672,1.82458396,0.08237337,0.00007659,0.94793679,1.19554688
-5.88594297,2.63746276,0.04235759,1.84689479,0.08244953,0.00007783,0.96063040,1.21527903
-5.87993997,2.66377288,0.04245868,1.86682792,0.08231560,0.00007938,0.97069144,1.23289847
-5.87393697,2.68697041,0.04238076,1.88419336,0.08198512,0.00008123,0.97812865,1.24822072
-5.86793397,2.70700646,0.04212939,1.89886434,0.08147841,0.00008338,0.98302412,1.26111630
-5.86193097,2.72393991,0.04171474,1.91078243,0.08082210,0.00008582,0.98553128,1.27151556
-5.85592796,2.73793543,0.04115140,1.91995974,0.08004850,0.00008857,0.98587015,1.27941122
-5.84992496,2.74925674,0.04045790,1.92647818,0.07919469,0.00009162,0.98431983,1.28485818
