energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,11.72337092,0.02800684,1.74252462,0.23085587,9.92886028,5.89783418,0.12329318,3.21266238
-5.99399700,11.77647378,0.02784646,1.71746913,0.24060287,9.96388432,5.88022683,0.12752465,3.29843568
-5.98799400,11.81916368,0.02769440,1.68833378,0.25005926,9.96581586,5.85925982,0.13216189,3.38558709
-5.98199100,11.85106302,0.02754937,1.65548146,0.25913707,9.93590895,5.83498955,0.13713060,3.47320365
-5.97598799,11.87166835,0.02741000,1.61931230,0.26774396,9.87580742,5.80737233,0.14234569,3.56024408
-5.96998499,11.88031959,0.02727480,1.58025139,0.27578391,9.78746079,5.77625027,0.14771266,3.64554389
-5.96398199,11.87617375,0.02714192,1.53873555,0.28315811,9.67303248,5.74133981,0.15312924,3.72782477
-5.95797899,11.85818726,0.02700908,1.49519965,0.28976626,9.53480586,5.70222497,0.15848728,3.80570889
-5.95197599,11.82511023,0.02687337,1.45006341,0.29550818,9.37509314,5.65835681,0.16367491,3.87773888
-5.94597299,11.77549583,0.02673118,1.40371946,0.30028594,9.19615226,5.60906052,0.16857885,3.94240354
-5.93996998,11.70772627,0.02657815,1.35652313,0.30400611,9.00011614,5.55355098,0.17308694,3.99816929
-5.93396698,11.62005644,0.02640916,1.30878477,0.30658248,8.78893763,5.49095690,0.17709075,4.04351665
-5.92796398,11.51067415,0.02621842,1.26076478,0.30793879,8.56435249,5.42035331,0.18048821,4.07698087
-5.92196098,11.37777514,0.02599957,1.21267166,0.30801156,8.32786138,5.34080111,0.18318624,4.09719533
-5.91595798,11.21964936,0.02574591,1.16466303,0.30675285,8.08073068,5.25139205,0.18510319,4.10293586
-5.90995498,11.03477424,0.02545061,1.11684935,0.30413268,7.82401051,5.15129687,0.18617112,4.09316427
-5.90395198,10.82190970,0.02510702,1.06930009,0.30014118,7.55856750,5.03981406,0.18633769,4.06706876
-5.89794897,10.58018949,0.02470896,1.02205176,0.29479007,7.28512886,4.91641642,0.18556774,4.02409935
-5.89194597,10.30920307,0.02425105,0.97511708,0.28811362,7.00433380,4.78079267,0.18384430,3.96399641
-5.88594297,10.00906320,0.02372896,0.92849486,0.28016879,6.71678801,4.63288163,0.18116913,3.88681049
-5.87993997,9.68045451,0.02313971,0.88217975,0.27103470,6.42311715,4.47289685,0.17756277,3.79291243
-5.87393697,9.32465994,0.02248186,0.83617121,0.26081122,6.12401532,4.30134002,0.17306388,3.68299282
-5.86793397,8.94356284,0.02175567,0.79048132,0.24961695,5.82028526,4.11900230,0.16772817,3.55805060
-5.86193097,8.53962418,0.02096316,0.74514090,0.23758638,5.51286780,3.92695331,0.16162674,3.41937105
-5.85592796,8.11583551,0.02010814,0.70020366,0.22486668,5.20285880,3.72651826,0.15484401,3.26849411
-5.84992496,7.67564998,0.01919609,0.65574827,0.21161394,4.89151292,3.51924437,0.14747531,3.10717411
-5.84392196,7.22289448,0.01823407,0.61187833,0.19798921,4.58023437,3.30685825,0.13962409,2.93733288
-5.83791896,6.76166746,0.01723047,0.56872046,0.18415448,4.27055561,3.09121645,0.13139916,2.76100800
-5.83191596,6.29622711,0.01619476,0.52642059,0.17026871,3.96410595,2.87425165,0.12291166,2.58029847
-5.82591296,5.83087532,0.01513722,0.48513902,0.15648409,3.66257208,2.65791698,0.11427229,2.39731012
-5.81990995,5.36984259,0.01406857,0.44504447,0.14294272,3.36765341,2.44413122,0.10558855,2.21410269
-5.81390695,4.91717902,0.01299969,0.40630754,0.12977375,3.08101482,2.23472709,0.09696231,2.03264090
-5.80790395,4.47665556,0.01194130,0.36909422,0.11709110,2.80423985,2.03140488,0.08848768,1.85475095
-5.80190095,4.05167951,0.01090365,0.33355951,0.10499184,2.53878668,1.83569305,0.08024927,1.68208396
-5.79589795,3.64522666,0.00989628,0.29984176,0.09355522,2.28594922,1.64891705,0.07232088,1.51608728
-5.78989495,3.25979202,0.00892780,0.26805791,0.08284228,2.04682516,1.47217711,0.06476459,1.35798428
-5.78389195,2.89735975,0.00800578,0.23829976,0.07289620,1.82229206,1.30633518,0.05763031,1.20876268
-5.77788894,2.55939208,0.00713660,0.21063148,0.06374303,1.61299238,1.15201098,0.05095575,1.06917117
-5.77188594,2.24683603,0.00632542,0.18508838,0.05539298,1.41932748,1.00958627,0.04476674,0.93972384
-5.76588294,1.96014612,0.00557622,0.16167680,0.04784210,1.24146033,0.87921663,0.03907788,0.82071136
-5.75987994,1.69932078,0.00489185,0.14037520,0.04107417,1.07932618,0.76084944,0.03389346,0.71221800
-5.75387694,1.46394947,0.00427413,0.12113615,0.03506275,0.93265019,0.65424667,0.02920859,0.61414316
