energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.88799960,0.08054604,0.00000000,0.09650468,1.26507695,0.49998274,0.54797572
-5.99399700,2.90032478,0.08352586,0.00000000,0.09532097,1.27126624,0.50741152,0.54302353
-5.98799400,2.90552504,0.08644465,0.00000000,0.09385752,1.27388075,0.51379871,0.53653103
-5.98199100,2.90418498,0.08931273,0.00000000,0.09214174,1.27319486,0.51924202,0.52863149
-5.97598799,2.89707810,0.09214322,0.00000000,0.09020808,1.26956782,0.52386992,0.51949712
-5.96998499,2.88513809,0.09495115,0.00000000,0.08809696,1.26343056,0.52783704,0.50933320
-5.96398199,2.86942460,0.09775238,0.00000000,0.08585355,1.25527041,0.53131854,0.49837119
-5.95797899,2.85108484,0.10056254,0.00000000,0.08352646,1.24561434,0.53450379,0.48686109
-5.95197599,2.83131262,0.10339592,0.00000000,0.08116621,1.23501128,0.53758950,0.47506311
-5.94597299,2.81130638,0.10626434,0.00000000,0.07882380,1.22401430,0.54077269,0.46323930
-5.93996998,2.79222801,0.10917625,0.00000000,0.07654920,1.21316316,0.54424369,0.45164510
-5.93396698,2.77516395,0.11213587,0.00000000,0.07438995,1.20296800,0.54817955,0.44052144
-5.92796398,2.76109015,0.11514266,0.00000000,0.07238984,1.19389477,0.55273801,0.43008738
-5.92196098,2.75084216,0.11819086,0.00000000,0.07058780,1.18635268,0.55805242,0.42053378
-5.91595798,2.74509134,0.12126946,0.00000000,0.06901689,1.18068439,0.56422755,0.41201816
-5.90995498,2.74432782,0.12436225,0.00000000,0.06770365,1.17715887,0.57133666,0.40466073
-5.90395198,2.74885079,0.12744825,0.00000000,0.06666754,1.17596730,0.57941980,0.39854204
-5.89794897,2.75876593,0.13050227,0.00000000,0.06592071,1.17722185,0.58848319,0.39370202
-5.89194597,2.77398985,0.13349564,0.00000000,0.06546804,1.18095734,0.59849998,0.39014043
-5.88594297,2.79426090,0.13639710,0.00000000,0.06530737,1.18713528,0.60941185,0.38781883
-5.87993997,2.81915551,0.13917373,0.00000000,0.06542991,1.19565028,0.62113170,0.38666377
