energy_ev,total_up,Bi_p_up,Bi_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,5.27391611,1.38485792,0.01936461,1.80576800,2.50881857,1.80301613,0.00000000
-5.99399700,5.11806566,1.31970192,0.01857799,1.71887177,2.45914503,1.77851238,0.00000000
-5.98799400,4.95884667,1.25224050,0.01787317,1.63243678,2.40720165,1.75208867,0.00000000
-5.98199100,4.79932930,1.18335233,0.01726129,1.54782735,2.35426022,1.72454197,0.00000000
-5.97598799,4.64254239,1.11390006,0.01675112,1.46636081,2.30159852,1.69671284,0.00000000
-5.96998499,4.49143106,1.04471649,0.01634910,1.38929690,2.25048053,1.66947437,0.00000000
-5.96398199,4.34882057,0.97659276,0.01605940,1.31783074,2.20213848,1.64372094,0.00000000
-5.95797899,4.21738618,0.91026870,0.01588400,1.25308915,2.15775682,1.62035692,0.00000000
-5.95197599,4.09962866,0.84642550,0.01582290,1.19612946,2.11845791,1.60028517,0.00000000
-5.94597299,3.99785456,0.78568048,0.01587429,1.14794001,2.08528929,1.58439512,0.00000000
-5.93996998,3.91416016,0.72858395,0.01603475,1.10944158,2.05921232,1.57355032,0.00000000
-5.93396698,3.85041804,0.67561795,0.01629950,1.08148854,2.04109167,1.56857533,0.00000000
-5.92796398,3.80826497,0.62719654,0.01666253,1.06486896,2.03168553,1.57024172,0.00000000
-5.92196098,3.78908988,0.58366739,0.01711686,1.06030262,2.03163615,1.57925309,0.00000000
-5.91595798,3.79402099,0.54531434,0.01765468,1.06843624,2.04146039,1.59622919,0.00000000
-5.90995498,3.82391126,0.51236042,0.01826748,1.08983536,2.06154024,1.62168910,0.00000000
-5.90395198,3.87932162,0.48497125,0.01894620,1.12497239,2.09211329,1.65603372,0.00000000
-5.89794897,3.96050199,0.46325822,0.01968131,1.17421100,2.13326315,1.69952807,0.00000000
-5.89194597,4.06737037,0.44728132,0.02046284,1.23778690,2.18491019,1.75228363,0.00000000
-5.88594297,4.19949071,0.43705136,0.02128052,1.31578570,2.24680295,1.81424164,0.00000000
-5.87993997,4.35605076,0.43253136,0.02212374,1.40811864,2.31851074,1.88515793,0.00000000
-5.87393697,4.53584145,0.43363718,0.02298165,1.51449754,2.39941803,1.96459024,0.00000000
-5.86793397,4.73723952,0.44023719,0.02384316,1.63441020,2.48872128,2.05188894,0.00000000
-5.86193097,4.95819554,0.45215127,0.02469699,1.76709809,2.58542903,2.14619198,0.00000000
-5.85592796,5.19622932,0.46914922,0.02553176,1.91153786,2.68836564,2.24642504,0.00000000
-5.84992496,5.44843480,0.49094881,0.02633606,2.06642863,2.79617962,2.35130756,0.00000000
-5.84392196,5.71149621,0.51721388,0.02709852,2.23018650,2.90735672,2.45936532,0.00000000
-5.83791896,5.98171714,0.54755273,0.02780800,2.40094800,3.02023825,2.56894986,0.00000000
-5.83191596,6.25506345,0.58151729,0.02845371,2.57658344,3.13304470,2.67826484,0.00000000
-5.82591296,6.52722054,0.61860333,0.02902536,2.75472102,3.24390459,2.78539921,0.00000000
-5.81990995,6.79366487,0.65825219,0.02951343,2.93278203,3.35088814,2.88836658,0.00000000
-5.81390695,7.04974863,0.69985419,0.02990933,3.10802674,3.45204526,2.98514996,0.00000000
-5.80790395,7.29079608,0.74275409,0.03020564,3.27761031,3.54544686,3.07375061,0.00000000
-5.80190095,7.51220892,0.78625862,0.03039637,3.43864716,3.62922864,3.15223965,0.00000000
-5.79589795,7.70957775,0.82964618,0.03047712,3.58828191,3.70163590,3.21881050,0.00000000
-5.78989495,7.87879585,0.87217859,0.03044532,3.72376441,3.76106806,3.27183054,0.00000000
-5.78389195,8.01617118,0.91311465,0.03030039,3.84252611,3.80612133,3.30988969,0.00000000
-5.77788894,8.11853222,0.95172521,0.03004387,3.94225460,3.83562799,3.33184423,0.00000000
-5.77188594,8.18332337,0.98730929,0.02967950,4.02096330,3.84869074,3.33685380,0.00000000
-5.76588294,8.20868565,1.01921059,0.02921326,4.07705321,3.84471072,3.32441001,0.00000000
-5.75987994,8.19351892,1.04683400,0.02865329,4.10936382,3.82340786,3.29435528,0.00000000
-5.75387694,8.13752261,1.06966119,0.02800982,4.11721099,3.78483276,3.24689101,0.00000000
-5.74787394,8.04121271,1.08726480,0.02729499,4.10040974,3.72936911,3.18257443,0.00000000
-5.74187094,7.90591371,1.09932053,0.02652259,4.05928100,3.65772663,3.10230423,0.00000000
-5.73586793,7.73372537,1.10561652,0.02570778,3.99464175,3.57092443,3.00729544,0.00000000
-5.72986493,7.52746537,1.10605963,0.02486673,3.90777898,3.47026523,2.89904438,0.00000000
-5.72386193,7.29058994,1.10067826,0.02401624,3.80040861,3.35730150,2.77928530,0.00000000
-5.71785893,7.02709564,1.08962154,0.02317335,3.67462117,3.23379454,2.64994039,0.00000000
-5.71185593,6.74140622,1.07315484,0.02235488,3.53281658,3.10166829,2.51306521,0.00000000
-5.70585293,6.43824945,1.05165184,0.02157711,3.37763111,2.96295950,2.37079187,0.00000000
