energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.16845023,0.89482421,0.00000000,0.01457340,0.11557596,0.03031920,1.41514130,0.85898218,0.13906982
-5.99399700,2.23722240,0.92340158,0.00000000,0.01512517,0.11910417,0.03103407,1.46130461,0.89224317,0.14376353
-5.98799400,2.30365712,0.95141585,0.00000000,0.01564890,0.12252147,0.03172689,1.50590179,0.92457741,0.14829754
-5.98199100,2.36631317,0.97831625,0.00000000,0.01613685,0.12572589,0.03237989,1.54802226,0.95528091,0.15259201
-5.97598799,2.42384219,1.00358873,0.00000000,0.01658147,0.12861923,0.03297637,1.58681710,0.98367864,0.15657483
-5.96998499,2.47503173,1.02677432,0.00000000,0.01697555,0.13110991,0.03350104,1.62152648,1.00914727,0.16018419
-5.96398199,2.51884347,1.04748546,0.00000000,0.01731239,0.13311567,0.03394021,1.65150398,1.03113636,0.16337093
-5.95797899,2.55444504,1.06541944,0.00000000,0.01758587,0.13456586,0.03428199,1.67623678,1.04918691,0.16610036
-5.95197599,2.58123465,1.08036859,0.00000000,0.01779068,0.13540345,0.03451644,1.69536111,1.06294660,0.16835351
-5.94597299,2.59885714,1.09222665,0.00000000,0.01792236,0.13558649,0.03463559,1.70867221,1.07218093,0.17012790
-5.93996998,2.60721122,1.10099110,0.00000000,0.01797743,0.13508909,0.03463354,1.71612852,1.07677985,0.17143755
-5.93396698,2.60644754,1.10676125,0.00000000,0.01795346,0.13390193,0.03450649,1.71784995,1.07675954,0.17231240
-5.92796398,2.59695748,1.10973223,0.00000000,0.01784919,0.13203208,0.03425267,1.71411013,1.07225926,0.17279708
-5.92196098,2.57935346,1.11018506,0.00000000,0.01766452,0.12950243,0.03387236,1.70532316,1.06353336,0.17294907
-5.91595798,2.55444124,1.10847314,0.00000000,0.01740058,0.12635053,0.03336785,1.69202515,1.05093897,0.17283627
-5.90995498,2.52318553,1.10500579,0.00000000,0.01705972,0.12262699,0.03274331,1.67485142,1.03491979,0.17253417
-5.90395198,2.48667013,1.10022947,0.00000000,0.01664545,0.11839356,0.03200473,1.65451021,1.01598682,0.17212259
-5.89794897,2.44605435,1.09460752,0.00000000,0.01616245,0.11372084,0.03115978,1.63175389,0.99469691,0.17168225
-5.89194597,2.40252748,1.08859923,0.00000000,0.01561643,0.10868586,0.03021768,1.60734903,0.97163017,0.17129119
-5.88594297,2.35726300,1.08263916,0.00000000,0.01501406,0.10336954,0.02918895,1.58204629,0.94736719,0.17102124
-5.87993997,2.31137466,1.07711775,0.00000000,0.01436277,0.09785415,0.02808524,1.55655164,0.92246723,0.17093479
-5.87393697,2.26587603,1.07236387,0.00000000,0.01367064,0.09222087,0.02691908,1.53149985,0.89744817,0.17108171
-5.86793397,2.22164529,1.06863024,0.00000000,0.01294620,0.08654759,0.02570359,1.50743159,0.87276925,0.17149699
-5.86193097,2.17939660,1.06608239,0.00000000,0.01219822,0.08090688,0.02445218,1.48477486,0.84881712,0.17219876
-5.85592796,2.13965912,1.06479151,0.00000000,0.01143551,0.07536439,0.02317827,1.46383173,0.82589587,0.17318716
