energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,6.73019543,0.76765523,0.89004681,0.02096699,0.85925135,3.50138055,2.45323901,0.10278477,1.84795044
-5.99399700,6.67226669,0.73955573,0.87096116,0.02088326,0.87606149,3.59446101,2.45073288,0.10102588,1.79811140
-5.98799400,6.63116321,0.71349249,0.85878028,0.02084368,0.89421646,3.69828676,2.45095096,0.09912671,1.75323844
-5.98199100,6.60936978,0.68991470,0.85382464,0.02085860,0.91384375,3.81426410,2.45460510,0.09712088,1.71429038
-5.97598799,6.60931712,0.66926714,0.85633093,0.02093855,0.93508649,3.94377724,2.46244862,0.09504537,1.68218501
-5.96998499,6.63329517,0.65198009,0.86645002,0.02109389,0.95808982,4.08810926,2.47524149,0.09293964,1.65777453
-5.96398199,6.68335791,0.63845763,0.88424495,0.02133450,0.98298616,4.24835863,2.49371160,0.09084447,1.64181915
-5.95797899,6.76122334,0.62906465,0.90968888,0.02166935,1.00987998,4.42535499,2.51851368,0.08880065,1.63495953
-5.95197599,6.86817331,0.62411316,0.94266317,0.02210611,1.03883287,4.61957870,2.55018789,0.08684761,1.63768940
-5.94597299,7.00495835,0.62384840,0.98295604,0.02265086,1.06984988,4.83108815,2.58911997,0.08502199,1.65032934
-5.93996998,7.17171300,0.62843547,1.03026198,0.02330769,1.10286797,5.05945948,2.63550528,0.08335627,1.67300339
-5.93396698,7.36788715,0.63794717,1.08418262,0.02407849,1.13774718,5.30374226,2.68931879,0.08187751,1.70561967
-5.92796398,7.59219823,0.65235385,1.14422925,0.02496273,1.17426545,5.56243467,2.75029298,0.08060625,1.74785645
-5.92196098,7.84260873,0.67151577,1.20982772,0.02595738,1.21211731,5.83348056,2.81790521,0.07955567,1.79915477
-5.91595798,8.11633204,0.69517873,1.28032574,0.02705682,1.25091696,6.11428976,2.89137586,0.07873103,1.85871870
-5.90995498,8.40986859,0.72297342,1.35500297,0.02825293,1.29020557,6.40178222,2.96967781,0.07812944,1.92552377
-5.90395198,8.71907257,0.75441873,1.43308390,0.02953524,1.32946270,6.69245486,3.05155742,0.07773996,1.99833399
-5.89794897,9.03924791,0.78892946,1.51375323,0.03089118,1.36812138,6.98246923,3.13556643,0.07754405,2.07572725
-5.89194597,9.36527074,0.82582805,1.59617358,0.03230635,1.40558612,7.26775656,3.22010374,0.07751636,2.15612873
-5.88594297,9.69173372,0.86436045,1.67950472,0.03376492,1.44125299,7.54413631,3.30346540,0.07762580,2.23785134
-5.87993997,10.01310682,0.90371554,1.76292394,0.03525008,1.47453078,7.80744279,3.38390059,0.07783683,2.31914186
-5.87393697,10.32390745,0.94304751,1.84564641,0.03674444,1.50486215,8.05365468,3.45967123,0.07811092,2.39823122
-5.86793397,10.61887289,0.98150035,1.92694482,0.03823056,1.53174361,8.27902134,3.52911239,0.07840820,2.47338702
-5.86193097,10.89312699,1.01823375,2.00616735,0.03969135,1.55474342,8.48018039,3.59069077,0.07868900,2.54296609
-5.85592796,11.14233384,1.05244901,2.08275298,0.04111053,1.57351634,8.65426096,3.64305850,0.07891547,2.60546516
-5.84992496,11.36283132,1.08341417,2.15624363,0.04247299,1.58781451,8.79896818,3.68509976,0.07905304,2.65956734
-5.84392196,11.55173844,1.11048714,2.22629219,0.04376511,1.59749405,8.91264490,3.71596803,0.07907162,2.70418244
-5.83791896,11.70703183,1.13313581,2.29266632,0.04497498,1.60251690,8.99430821,3.73511236,0.07894669,2.73847953
-5.83191596,11.82758808,1.15095423,2.35524766,0.04609258,1.60294805,9.04365938,3.74229147,0.07866004,2.76191020
-5.82591296,11.91319038,1.16367408,2.41402658,0.04710983,1.59894831,9.06106725,3.73757524,0.07820019,2.77422153
-5.81990995,11.96449977,1.17117095,2.46909275,0.04802059,1.59076314,9.04752645,3.72133369,0.07756256,2.77545837
-5.81390695,11.98299292,1.17346512,2.52062197,0.04882055,1.57870821,9.00459317,3.69421414,0.07674923,2.76595465
-5.80790395,11.97086998,1.17071671,2.56886004,0.04950711,1.56315261,8.93430200,3.65710791,0.07576857,2.74631440
-5.80190095,11.93093734,1.16321557,2.61410435,0.05007918,1.54450054,8.83906853,3.61110843,0.07463445,2.71738323
