energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
2.56628314,3.40513987,3.73412400,0.02876782,1.64679477,0.00000605,0.70686934,0.00000000
2.57228614,3.24637281,3.52727395,0.02775262,1.57462126,0.00000597,0.68783487,0.00000000
2.57828914,3.08259303,3.31571142,0.02666497,1.49823099,0.00000593,0.66736764,0.00000000
2.58429215,2.91741918,3.10361529,0.02552976,1.41918692,0.00000595,0.64606856,0.00000000
2.59029515,2.75439202,2.89501193,0.02437234,1.33903262,0.00000602,0.62455369,0.00000000
2.59629815,2.59689113,2.69368678,0.02321786,1.25925146,0.00000616,0.60343865,0.00000000
2.60230115,2.44805951,2.50310795,0.02209069,1.18122954,0.00000638,0.58332306,0.00000000
2.60830415,2.31073737,2.32636324,0.02101390,1.10622332,0.00000669,0.56477501,0.00000000
2.61430715,2.18740653,2.16611089,0.02000869,1.03533277,0.00000710,0.54831628,0.00000000
2.62031016,2.08014550,2.02454377,0.01909394,0.96948058,0.00000761,0.53440844,0.00000000
2.62631316,1.99059595,1.90336656,0.01828584,0.90939770,0.00000822,0.52344023,0.00000000
2.63231616,1.91994004,1.80378469,0.01759752,0.85561538,0.00000895,0.51571673,0.00000000
2.63831916,1.86888854,1.72650377,0.01703883,0.80846338,0.00000978,0.51145043,0.00000000
2.64432216,1.83767928,1.67173835,0.01661610,0.76807418,0.00001072,0.51075457,0.00000000
2.65032516,1.82608522,1.63922851,0.01633213,0.73439270,0.00001176,0.51363916,0.00000000
2.65632816,1.83343188,1.62826342,0.01618608,0.70719084,0.00001290,0.52000957,0.00000000
2.66233117,1.85862342,1.63771075,0.01617360,0.68608629,0.00001411,0.52966811,0.00000000
2.66833417,1.90017695,1.66605148,0.01628698,0.67056481,0.00001540,0.54231861,0.00000000
2.67433717,1.95626449,1.71141955,0.01651537,0.66000520,0.00001675,0.55757380,0.00000000
2.68034017,2.02476205,1.77164614,0.01684511,0.65370618,0.00001813,0.57496563,0.00000000
2.68634317,2.10330518,1.84430833,0.01726011,0.65091428,0.00001954,0.59395820,0.00000000
2.69234617,2.18934997,1.92678213,0.01774230,0.65085205,0.00002094,0.61396284,0.00000000
2.69834917,2.28023874,2.01629933,0.01827219,0.65274557,0.00002233,0.63435524,0.00000000
2.70435218,2.37326880,2.11000794,0.01882935,0.65585072,0.00002367,0.65449378,0.00000000
2.71035518,2.46576297,2.20503535,0.01939305,0.65947721,0.00002495,0.67373865,0.00000000
2.71635818,2.55513995,2.29855319,0.01994283,0.66300987,0.00002615,0.69147117,0.00000000
2.72236118,2.63898247,2.38784253,0.02045910,0.66592645,0.00002725,0.70711235,0.00000000
2.72836418,2.71510114,2.47035773,0.02092369,0.66781155,0.00002823,0.72014037,0.00000000
2.73436718,2.78159185,2.54378707,0.02132037,0.66836616,0.00002908,0.73010602,0.00000000
2.74037019,2.83688427,2.60610810,0.02163528,0.66741261,0.00002980,0.73664568,0.00000000
2.74637319,2.87977994,2.65563560,0.02185736,0.66489484,0.00003038,0.73949131,0.00000000
2.75237619,2.90947778,2.69106022,0.02197854,0.66087404,0.00003081,0.73847701,0.00000000
2.75837919,2.92558625,2.71147604,0.02199397,0.65551982,0.00003110,0.73354194,0.00000000
2.76438219,2.92812115,2.71639575,0.02190203,0.64909745,0.00003126,0.72472961,0.00000000
2.77038519,2.91748911,2.70575241,0.02170432,0.64195152,0.00003130,0.71218342,0.00000000
2.77638819,2.89445731,2.67988778,0.02140542,0.63448690,0.00003123,0.69613890,0.00000000
2.78239120,2.86011064,2.63952730,0.02101265,0.62714763,0.00003107,0.67691289,0.00000000
2.78839420,2.81579814,2.58574278,0.02053571,0.62039479,0.00003084,0.65489028,0.00000000
2.79439720,2.76307110,2.51990442,0.01998621,0.61468412,0.00003057,0.63050882,0.00000000
2.80040020,2.70361563,2.44362425,0.01937717,0.61044446,0.00003027,0.60424283,0.00000000
2.80640320,2.63918275,2.35869341,0.01872252,0.60805780,0.00002997,0.57658640,0.00000000
2.81240620,2.57151934,2.26701629,0.01803651,0.60784205,0.00002969,0.54803692,0.00000000
2.81840920,2.50230289,2.17054427,0.01733327,0.61003684,0.00002946,0.51907953,0.00000000
2.82441221,2.43308329,2.07121210,0.01662622,0.61479350,0.00002929,0.49017316,0.00000000
2.83041521,2.36523390,1.97087958,0.01592776,0.62216914,0.00002919,0.46173866,0.00000000
2.83641821,2.29991414,1.87128081,0.01524882,0.63212551,0.00002917,0.43414941,0.00000000
2.84242121,2.23804497,1.77398305,0.01459867,0.64453238,0.00002926,0.40772457,0.00000000
2.84842421,2.18029779,1.68035635,0.01398471,0.65917543,0.00002945,0.38272525,0.00000000
2.85442721,2.12709690,1.59155465,0.01341242,0.67576827,0.00002974,0.35935338,0.00000000
2.86043022,2.07863460,1.50850846,0.01288536,0.69396788,0.00003013,0.33775318,0.00000000
2.86643322,2.03489753,1.43192845,0.01240531,0.71339286,0.00003062,0.31801497,0.00000000
2.87243622,1.99570216,1.36231871,0.01197244,0.73364343,0.00003121,0.30018081,0.00000000
2.87843922,1.96073709,1.29999831,0.01158554,0.75432231,0.00003189,0.28425166,0.00000000
2.88444222,1.92960918,1.24512874,0.01124233,0.77505524,0.00003264,0.27019539,0.00000000
2.89044522,1.90189067,1.19774545,0.01093976,0.79551011,0.00003347,0.25795525,0.00000000
2.89644822,1.87716444,1.15779070,0.01067433,0.81541367,0.00003438,0.24745820,0.00000000
2.90245123,1.85506464,1.12514586,0.01044239,0.83456478,0.00003535,0.23862270,0.00000000
2.90845423,1.83531044,1.09966072,0.01024039,0.85284355,0.00003639,0.23136553,0.00000000
2.91445723,1.81773087,1.08117825,0.01006516,0.87021564,0.00003750,0.22560729,0.00000000
2.92046023,1.80227971,1.06955331,0.00991404,0.88673150,0.00003869,0.22127639,0.00000000
2.92646323,1.78903964,1.06466432,0.00978501,0.90252046,0.00003995,0.21831150,0.00000000
2.93246623,1.77821580,1.06641772,0.00967673,0.91777994,0.00004131,0.21666225,0.00000000
2.93846923,1.77011935,1.07474506,0.00958854,0.93276032,0.00004277,0.21628844,0.00000000
2.94447224,1.76514261,1.08959352,0.00952042,0.94774625,0.00004433,0.21715793,0.00000000
2.95047524,1.76372736,1.11091092,0.00947281,0.96303552,0.00004602,0.21924343,0.00000000
2.95647824,1.76632883,1.13862661,0.00944653,0.97891668,0.00004784,0.22251848,0.00000000
2.96248124,1.77337767,1.17263013,0.00944257,0.99564673,0.00004980,0.22695320,0.00000000
2.96848424,1.78524284,1.21274940,0.00946195,1.01343033,0.00005189,0.23250992,0.00000000
2.97448724,1.80219769,1.25873053,0.00950549,1.03240178,0.00005413,0.23913933,0.00000000
2.98049025,1.82439190,1.31022106,0.00957372,1.05261103,0.00005650,0.24677734,0.00000000
2.98649325,1.85183102,1.36675832,0.00966673,1.07401464,0.00005898,0.25534308,0.00000000
2.99249625,1.88436532,1.42776420,0.00978409,1.09647248,0.00006158,0.26473811,0.00000000
2.99849925,1.92168871,1.49254736,0.00992483,1.11975038,0.00006425,0.27484722,0.00000000
3.00450225,1.96334798,1.56031309,0.01008745,1.14352894,0.00006699,0.28554068,0.00000000
3.01050525,2.00876198,1.63018098,0.01026998,1.16741791,0.00006975,0.29667791,0.00000000
3.01650825,2.05724961,1.70120950,0.01047011,1.19097564,0.00007251,0.30811257,0.00000000
3.02251126,2.10806476,1.77242650,0.01068529,1.21373227,0.00007523,0.31969856,0.00000000
3.02851426,2.16043627,1.84286387,0.01091290,1.23521560,0.00007789,0.33129690,0.00000000
3.03451726,2.21361007,1.91159460,0.01115047,1.25497801,0.00008045,0.34278281,0.00000000
3.04052026,2.26689093,1.97776988,0.01139578,1.27262288,0.00008288,0.35405275,0.00000000
3.04652326,2.31968093,2.04065398,0.01164707,1.28782891,0.00008516,0.36503094,0.00000000
3.05252626,2.37151212,2.09965481,0.01190314,1.30037090,0.00008727,0.37567480,0.00000000
3.05852926,2.42207104,2.15434799,0.01216343,1.31013575,0.00008921,0.38597910,0.00000000
3.06453227,2.47121339,2.20449294,0.01242809,1.31713263,0.00009096,0.39597830,0.00000000
3.07053527,2.51896766,2.25003960,0.01269790,1.32149668,0.00009252,0.40574705,0.00000000
3.07653827,2.56552719,2.29112531,0.01297427,1.32348605,0.00009391,0.41539841,0.00000000
3.08254127,2.61123106,2.32806164,0.01325908,1.32347229,0.00009513,0.42508012,0.00000000
3.08854427,2.65653480,2.36131194,0.01355452,1.32192467,0.00009621,0.43496863,0.00000000
3.09454727,2.70197239,2.39146059,0.01386289,1.31938917,0.00009715,0.44526139,0.00000000
3.10055028,2.74811206,2.41917569,0.01418637,1.31646337,0.00009799,0.45616753,0.00000000
3.10655328,2.79550825,2.44516730,0.01452678,1.31376850,0.00009873,0.46789735,0.00000000
3.11255628,2.84465282,2.47014355,0.01488536,1.31192002,0.00009940,0.48065118,0.00000000
3.11855928,2.89592833,2.49476710,0.01526253,1.31149839,0.00010001,0.49460791,0.00000000
3.12456228,2.94956621,2.51961445,0.01565773,1.31302129,0.00010058,0.50991393,0.00000000
3.13056528,3.00561254,2.54514035,0.01606928,1.31691865,0.00010110,0.52667289,0.00000000
3.13656828,3.06390316,2.57164925,0.01649428,1.32351166,0.00010158,0.54493673,0.00000000
3.14257129,3.12405010,2.59927531,0.01692863,1.33299651,0.00010200,0.56469856,0.00000000
3.14857429,3.18543976,2.62797210,0.01736701,1.34543355,0.00010236,0.58588757,0.00000000
3.15457729,3.24724334,2.65751223,0.01780300,1.36074214,0.00010264,0.60836644,0.00000000
3.16058029,3.30843896,2.68749703,0.01822926,1.37870127,0.00010281,0.63193122,0.00000000
3.16658329,3.36784421,2.71737540,0.01863773,1.39895572,0.00010284,0.65631398,0.00000000
3.17258629,3.42415776,2.74647089,0.01901984,1.42102729,0.00010273,0.68118799,0.00000000
3.17858929,3.47600773,2.77401524,0.01936683,1.44433058,0.00010243,0.70617541,0.00000000
3.18459230,3.52200447,2.79918671,0.01967001,1.46819255,0.00010193,0.73085719,0.00000000
3.19059530,3.56079533,2.82115108,0.01992107,1.49187496,0.00010120,0.75478497,0.00000000
3.19659830,3.59111874,2.83910314,0.02011236,1.51459895,0.00010024,0.77749435,0.00000000
3.20260130,3.61185514,2.85230678,0.02023716,1.53557073,0.00009903,0.79851932,0.00000000
3.20860430,3.62207262,2.86013151,0.02028987,1.55400766,0.00009758,0.81740707,0.00000000
3.21460730,3.62106538,2.86208392,0.02026625,1.56916377,0.00009589,0.83373292,0.00000000
3.22061031,3.60838336,2.85783253,0.02016354,1.58035404,0.00009397,0.84711460,0.00000000
3.22661331,3.58385218,2.84722517,0.01998056,1.58697673,0.00009186,0.85722538,0.00000000
3.23261631,3.54758268,2.83029794,0.01971775,1.58853309,0.00008957,0.86380573,0.00000000
3.23861931,3.49997000,2.80727593,0.01937716,1.58464410,0.00008715,0.86667281,0.00000000
3.24462231,3.44168246,2.77856539,0.01896240,1.57506361,0.00008464,0.86572765,0.00000000
3.25062531,3.37364114,2.74473822,0.01847854,1.55968770,0.00008208,0.86095967,0.00000000
3.25662831,3.29699106,2.70650953,0.01793199,1.53856003,0.00007951,0.85244829,0.00000000
3.26263132,3.21306554,2.66470939,0.01733030,1.51187304,0.00007699,0.84036176,0.00000000
3.26863432,3.12334525,2.62025033,0.01668198,1.47996500,0.00007456,0.82495318,0.00000000
3.27463732,3.02941383,2.57409199,0.01599633,1.44331320,0.00007228,0.80655384,0.00000000
3.28064032,2.93291175,2.52720485,0.01528315,1.40252326,0.00007017,0.78556434,0.00000000
3.28664332,2.83549049,2.48053452,0.01455257,1.35831517,0.00006828,0.76244363,0.00000000
3.29264632,2.73876847,2.43496836,0.01381482,1.31150633,0.00006664,0.73769664,0.00000000
3.29864932,2.64429056,2.39130591,0.01308003,1.26299225,0.00006527,0.71186083,0.00000000
3.30465233,2.55349233,2.35023441,0.01235803,1.21372532,0.00006421,0.68549225,0.00000000
3.31065533,2.46767006,2.31231031,0.01165816,1.16469238,0.00006345,0.65915149,0.00000000
3.31665833,2.38795733,2.27794751,0.01098916,1.11689162,0.00006301,0.63339016,0.00000000
3.32266133,2.31530836,2.24741250,0.01035902,1.07130940,0.00006289,0.60873807,0.00000000
3.32866433,2.25048819,2.22082624,0.00977486,1.02889744,0.00006308,0.58569163,0.00000000
3.33466733,2.19406929,2.19817233,0.00924289,0.99055101,0.00006358,0.56470360,0.00000000
3.34067034,2.14643391,2.17931039,0.00876829,0.95708829,0.00006437,0.54617438,0.00000000
3.34667334,2.10778126,2.16399373,0.00835524,0.92923137,0.00006543,0.53044490,0.00000000
3.35267634,2.07813849,2.15188965,0.00800684,0.90758915,0.00006675,0.51779121,0.00000000
3.35867934,2.05737427,2.14260111,0.00772512,0.89264228,0.00006830,0.50842054,0.00000000
3.36468234,2.04521382,2.13568813,0.00751104,0.88473040,0.00007007,0.50246894,0.00000000
3.37068534,2.04125445,2.13068766,0.00736450,0.88404178,0.00007202,0.50000030,0.00000000
3.37668834,2.04498064,2.12713069,0.00728436,0.89060574,0.00007413,0.50100669,0.00000000
3.38269135,2.05577815,2.12455578,0.00726843,0.90428778,0.00007637,0.50540988,0.00000000
3.38869435,2.07294686,2.12251854,0.00731354,0.92478794,0.00007871,0.51306418,0.00000000
3.39469735,2.09571226,2.12059693,0.00741558,0.95164247,0.00008114,0.52376035,0.00000000
3.40070035,2.12323603,2.11839272,0.00756951,0.98422914,0.00008361,0.53723074,0.00000000
3.40670335,2.15462598,2.11552967,0.00776945,1.02177642,0.00008609,0.55315570,0.00000000
3.41270635,2.18894631,2.11164949,0.00800876,1.06337665,0.00008856,0.57117117,0.00000000
3.41870935,2.22522873,2.10640661,0.00828016,1.10800345,0.00009098,0.59087766,0.00000000
3.42471236,2.26248543,2.09946307,0.00857579,1.15453303,0.00009332,0.61185033,0.00000000
