energy_ev,total_up,B_p_up,B_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-4.80540270,2.80958537,0.13313311,0.00000000,0.66202846,0.51288431,0.50849754,0.64621505
-4.79939970,2.73121542,0.13330496,0.00000000,0.65307046,0.50447322,0.47145876,0.62819682
-4.79339670,2.65913278,0.13380172,0.00000000,0.64486615,0.49660757,0.43612502,0.61136299
-4.78739370,2.59382561,0.13462835,0.00000000,0.63749453,0.48936297,0.40271082,0.59577571
-4.78139070,2.53562061,0.13578218,0.00000000,0.63101091,0.48280580,0.37137024,0.58145921
-4.77538769,2.48468271,0.13725277,0.00000000,0.62544549,0.47699165,0.34219992,0.56840164
-4.76938469,2.44101784,0.13902193,0.00000000,0.62080245,0.47196380,0.31524359,0.55655786
-4.76338169,2.40447903,0.14106385,0.00000000,0.61705968,0.46775157,0.29049790,0.54585345
-4.75737869,2.37477583,0.14334556,0.00000000,0.61416913,0.46436896,0.26791922,0.53618964
-4.75137569,2.35148720,0.14582746,0.00000000,0.61205814,0.46181354,0.24743083,0.52744908
-4.74537269,2.33407783,0.14846431,0.00000000,0.61063154,0.46006590,0.22893040,0.51950232
-4.73936968,2.32191771,0.15120632,0.00000000,0.60977483,0.45908962,0.21229731,0.51221469
-4.73336668,2.31430475,0.15400063,0.00000000,0.60935819,0.45883201,0.19739953,0.50545347
-4.72736368,2.31049006,0.15679300,0.00000000,0.60924149,0.45922561,0.18409990,0.49909490
-4.72136068,2.30970539,0.15952971,0.00000000,0.60927997,0.46019051,0.17226168,0.49303104
-4.71535768,2.31119188,0.16215968,0.00000000,0.60933052,0.46163746,0.16175310,0.48717595
-4.70935468,2.31422953,0.16463665,0.00000000,0.60925847,0.46347172,0.15245113,0.48147110
-4.70335168,2.31816627,0.16692139,0.00000000,0.60894430,0.46559738,0.14424419,0.47588978
-4.69734867,2.32244548,0.16898384,0.00000000,0.60829033,0.46792226,0.13703406,0.47044020
-4.69134567,2.32663110,0.17080506,0.00000000,0.60722683,0.47036287,0.13073693,0.46516725
-4.68534267,2.33042887,0.17237889,0.00000000,0.60571732,0.47284932,0.12528362,0.46015270
-4.67933967,2.33370274,0.17371322,0.00000000,0.60376280,0.47532994,0.12061923,0.45551382
-4.67333667,2.33648535,0.17483075,0.00000000,0.60140446,0.47777523,0.11670219,0.45140038
-4.66733367,2.33898172,0.17576918,0.00000000,0.59872484,0.48018097,0.11350274,0.44799005
-4.66133067,2.34156552,0.17658077,0.00000000,0.59584710,0.48257009,0.11100114,0.44548230
-4.65532766,2.34476742,0.17733120,0.00000000,0.59293241,0.48499330,0.10918551,0.44409097
-4.64932466,2.34925561,0.17809771,0.00000000,0.59017532,0.48752816,0.10804938,0.44403568
-4.64332166,2.35580858,0.17896666,0.00000000,0.58779733,0.49027659,0.10758925,0.44553235
-4.63731866,2.36528108,0.18003039,0.00000000,0.58603870,0.49336080,0.10780193,0.44878312
-4.63131566,2.37856407,0.18138358,0.00000000,0.58514882,0.49691775,0.10868201,0.45396607
-4.62531266,2.39654018,0.18311928,0.00000000,0.58537550,0.50109225,0.11021938,0.46122509
-4.61930965,2.42003640,0.18532458,0.00000000,0.58695353,0.50602903,0.11239700,0.47066028
-4.61330665,2.44977591,0.18807635,0.00000000,0.59009306,0.51186404,0.11518888,0.48231935
-4.60730365,2.48633118,0.19143693,0.00000000,0.59496825,0.51871548,0.11855848,0.49619043
-4.60130065,2.53008064,0.19545032,0.00000000,0.60170680,0.52667481,0.12245759,0.51219654
-4.59529765,2.58117096,0.20013872,0.00000000,0.61038072,0.53579838,0.12682567,0.53019228
-4.58929465,2.63948707,0.20549984,0.00000000,0.62099897,0.54610005,0.13158977,0.54996279
-4.58329165,2.70463160,0.21150503,0.00000000,0.63350236,0.55754520,0.13666514,0.57122529
-4.57728864,2.77591527,0.21809843,0.00000000,0.64776092,0.57004658,0.14195633,0.59363324
-4.57128564,2.85235898,0.22519707,0.00000000,0.66357408,0.58346230,0.14735901,0.61678317
-4.56528264,2.93270832,0.23269221,0.00000000,0.68067374,0.59759604,0.15276222,0.64022387
-4.55927964,3.01546007,0.24045166,0.00000000,0.69873016,0.61219986,0.15805120,0.66346795
-4.55327664,3.09890027,0.24832319,0.00000000,0.71736055,0.62697929,0.16311051,0.68600514
-4.54727364,3.18115242,0.25613885,0.00000000,0.73614002,0.64160081,0.16782739,0.70731701
-4.54127064,3.26023410,0.26372007,0.00000000,0.75461458,0.65570137,0.17209523,0.72689262
-4.53526763,3.33411980,0.27088330,0.00000000,0.77231556,0.66889961,0.17581694,0.74424428
-4.52926463,3.40080749,0.27744599,0.00000000,0.78877495,0.68080833,0.17890813,0.75892302
-4.52326163,3.45838606,0.28323272,0.00000000,0.80354104,0.69104780,0.18129986,0.77053304
-4.51725863,3.50510094,0.28808112,0.00000000,0.81619361,0.69925912,0.18294092,0.77874451
-4.51125563,3.53941498,0.29184737,0.00000000,0.82635817,0.70511737,0.18379947,0.78330423
-4.50525263,3.56006229,0.29441112,0.00000000,0.83371856,0.70834366,0.18386400,0.78404379
-4.49924962,3.56609253,0.29567951,0.00000000,0.83802747,0.70871586,0.18314350,0.78088475
-4.49324662,3.55690408,0.29559020,0.00000000,0.83911433,0.70607726,0.18166694,0.77384079
-4.48724362,3.53226467,0.29411335,0.00000000,0.83689054,0.70034303,0.17948201,0.76301665
-4.48124062,3.49231897,0.29125233,0.00000000,0.83135151,0.69150407,0.17665314,0.74860411
-4.47523762,3.43758279,0.28704335,0.00000000,0.82257582,0.67962813,0.17325911,0.73087510
-4.46923462,3.36892465,0.28155388,0.00000000,0.81072142,0.66485822,0.16939005,0.71017229
-4.46323162,3.28753553,0.27488007,0.00000000,0.79601909,0.64740834,0.16514434,0.68689774
-4.45722861,3.19488848,0.26714335,0.00000000,0.77876364,0.62755678,0.16062518,0.66149996
-4.45122561,3.09268992,0.25848619,0.00000000,0.75930308,0.60563723,0.15593732,0.63446002
-4.44522261,2.98282483,0.24906740,0.00000000,0.73802646,0.58202827,0.15118387,0.60627730
-4.43921961,2.86729815,0.23905717,0.00000000,0.71535074,0.55714144,0.14646342,0.57745546
-4.43321661,2.74817483,0.22863185,0.00000000,0.69170731,0.53140859,0.14186760,0.54848909
-4.42721361,2.62752078,0.21796898,0.00000000,0.66752871,0.50526895,0.13747907,0.51985161
-4.42121061,2.50734692,0.20724240,0.00000000,0.64323591,0.47915639,0.13337015,0.49198467
-4.41520760,2.38955827,0.19661795,0.00000000,0.61922677,0.45348735,0.12960200,0.46528953
-4.40920460,2.27590946,0.18624953,0.00000000,0.59586591,0.42864991,0.12622443,0.44012047
-4.40320160,2.16796808,0.17627585,0.00000000,0.57347624,0.40499428,0.12327626,0.41678038
-4.39719860,2.06708650,0.16681786,0.00000000,0.55233245,0.38282501,0.12078626,0.39551851
-4.39119560,1.97438264,0.15797678,0.00000000,0.53265649,0.36239514,0.11877457,0.37653035
-4.38519260,1.89072968,0.14983293,0.00000000,0.51461510,0.34390231,0.11725441,0.35995937
-4.37918959,1.81675435,0.14244508,0.00000000,0.49831920,0.32748699,0.11623420,0.34590043
-4.37318659,1.75284311,0.13585055,0.00000000,0.48382525,0.31323255,0.11571970,0.33440458
-4.36718359,1.69915548,0.13006572,0.00000000,0.47113816,0.30116727,0.11571630,0.32548481
-4.36118059,1.65564304,0.12508714,0.00000000,0.46021561,0.29126791,0.11623117,0.31912259
-4.35517759,1.62207327,0.12089300,0.00000000,0.45097360,0.28346470,0.11727518,0.31527459
-4.34917459,1.59805644,0.11744494,0.00000000,0.44329277,0.27764734,0.11886450,0.31387936
-4.34317159,1.58307454,0.11469014,0.00000000,0.43702533,0.27367189,0.12102178,0.31486364
-4.33716858,1.57651053,0.11256361,0.00000000,0.43200231,0.27136799,0.12377678,0.31814786
-4.33116558,1.57767693,0.11099061,0.00000000,0.42804070,0.27054630,0.12716639,0.32365072
-4.32516258,1.58584238,0.10988916,0.00000000,0.42495046,0.27100572,0.13123396,0.33129246
-4.31915958,1.60025527,0.10917252,0.00000000,0.42254094,0.27254019,0.13602805,0.34099680
-4.31315658,1.62016356,0.10875167,0.00000000,0.42062665,0.27494476,0.14160039,0.35269139
-4.30715358,1.64483031,0.10853765,0.00000000,0.41903214,0.27802084,0.14800327,0.36630680
-4.30115058,1.67354452,0.10844376,0.00000000,0.41759597,0.28158037,0.15528642,0.38177406
-4.29514757,1.70562726,0.10838755,0.00000000,0.41617364,0.28544901,0.16349333,0.39902100
-4.28914457,1.74043330,0.10829262,0.00000000,0.41463944,0.28946806,0.17265733,0.41796746
-4.28314157,1.77734867,0.10809011,0.00000000,0.41288733,0.29349549,0.18279760,0.43851989
-4.27713857,1.81578493,0.10771984,0.00000000,0.41083082,0.29740585,0.19391507,0.46056548
-4.27113557,1.85517092,0.10713127,0.00000000,0.40840215,0.30108945,0.20598876,0.48396640
-4.26513257,1.89494315,0.10628404,0.00000000,0.40555066,0.30445088,0.21897251,0.50855451
-4.25912956,1.93453595,0.10514820,0.00000000,0.40224078,0.30740710,0.23279239,0.53412702
-4.25312656,1.97337248,0.10370423,0.00000000,0.39844968,0.30988527,0.24734514,0.56044347
-4.24712356,2.01085783,0.10194269,0.00000000,0.39416480,0.31182071,0.26249754,0.58722454
-4.24112056,2.04637516,0.09986370,0.00000000,0.38938159,0.31315501,0.27808710,0.61415286
-4.23511756,2.07928563,0.09747621,0.00000000,0.38410135,0.31383452,0.29392408,0.64087620
-4.22911456,2.10893286,0.09479713,0.00000000,0.37832968,0.31380945,0.30979477,0.66701303
-4.22311156,2.13465202,0.09185032,0.00000000,0.37207529,0.31303352,0.32546627,0.69216043
-4.21710855,2.15578361,0.08866559,0.00000000,0.36534957,0.31146436,0.34069236,0.71590435
-4.21110555,2.17169146,0.08527765,0.00000000,0.35816662,0.30906442,0.35522053,0.73783165
-4.20510255,2.18178437,0.08172507,0.00000000,0.35054400,0.30580251,0.36879992,0.75754380
-4.19909955,2.18554012,0.07804930,0.00000000,0.34250390,0.30165578,0.38118972,0.77467139
-4.19309655,2.18253095,0.07429381,0.00000000,0.33407478,0.29661189,0.39216795,0.78888910
-4.18709355,2.17244878,0.07050325,0.00000000,0.32529315,0.29067134,0.40154002,0.79993013
-4.18109055,2.15512882,0.06672273,0.00000000,0.31620552,0.28384964,0.40914684,0.80759964
-4.17508754,2.13057014,0.06299719,0.00000000,0.30687017,0.27617916,0.41487205,0.81178631
-4.16908454,2.09895158,0.05937088,0.00000000,0.29735863,0.26771055,0.41864796,0.81247136
-4.16308154,2.06064205,0.05588678,0.00000000,0.28775670,0.25851351,0.42045994,0.80973465
-4.15707854,2.01620403,0.05258626,0.00000000,0.27816476,0.24867683,0.42034896,0.80375710
-4.15107554,1.96638993,0.04950860,0.00000000,0.26869748,0.23830767,0.41841210,0.79481951
-4.14507254,1.91213070,0.04669058,0.00000000,0.25948257,0.22753012,0.41480084,0.78329730
-4.13906953,1.85451721,0.04416614,0.00000000,0.25065879,0.21648290,0.40971731,0.76965159
-4.13306653,1.79477458,0.04196590,0.00000000,0.24237311,0.20531656,0.40340833,0.75441657
-4.12706353,1.73423055,0.04011677,0.00000000,0.23477716,0.19419008,0.39615759,0.73818384
-4.12106053,1.67427906,0.03864154,0.00000000,0.22802302,0.18326718,0.38827620,0.72158411
-4.11505753,1.61634033,0.03755840,0.00000000,0.22225868,0.17271237,0.38009194,0.70526711
-4.10905453,1.56181924,0.03688058,0.00000000,0.21762313,0.16268708,0.37193761,0.68988051
-4.10305153,1.51206368,0.03661593,0.00000000,0.21424152,0.15334586,0.36413900,0.67604870
-4.09704852,1.46832449,0.03676664,0.00000000,0.21222046,0.14483299,0.35700293,0.66435226
-4.09104552,1.43171882,0.03732899,0.00000000,0.21164386,0.13727947,0.35080580,0.65530915
-4.08504252,1.40319821,0.03829324,0.00000000,0.21256928,0.13080058,0.34578328,0.64935831
-4.07903952,1.38352285,0.03964367,0.00000000,0.21502526,0.12549403,0.34212144,0.64684636
-4.07303652,1.37324289,0.04135877,0.00000000,0.21900960,0.12143879,0.33994971,0.64801806
-4.06703352,1.37268748,0.04341157,0.00000000,0.22448869,0.11869450,0.33933607,0.65301084
-4.06103052,1.38196191,0.04577023,0.00000000,0.23139810,0.11730153,0.34028461,0.66185365
-4.05502751,1.40095276,0.04839873,0.00000000,0.23964424,0.11728153,0.34273552,0.67447020
-4.04902451,1.42934069,0.05125777,0.00000000,0.24910719,0.11863845,0.34656766,0.69068632
-4.04302151,1.46662006,0.05430581,0.00000000,0.25964449,0.12135994,0.35160342,0.71024115
-4.03701851,1.51212442,0.05750016,0.00000000,0.27109573,0.12541893,0.35761585,0.73280150
-4.03101551,1.56505656,0.06079819,0.00000000,0.28328777,0.13077548,0.36433759,0.75797886
-4.02501251,1.62452160,0.06415855,0.00000000,0.29604034,0.13737854,0.37147125,0.78534796
-4.01900950,1.68956157,0.06754225,0.00000000,0.30917172,0.14516771,0.37870088,0.81446625
-4.01300650,1.75918985,0.07091376,0.00000000,0.32250422,0.15407493,0.38570388,0.84489304
-4.00700350,1.83242384,0.07424181,0.00000000,0.33586936,0.16402588,0.39216298,0.87620763
-4.00100050,1.90831446,0.07750009,0.00000000,0.34911220,0.17494120,0.39777761,0.90802527
-3.99499750,1.98597111,0.08066763,0.00000000,0.36209498,0.18673741,0.40227436,0.94001036
-3.98899450,2.06458112,0.08372891,0.00000000,0.37469958,0.19932759,0.40541597,0.97188609
-3.98299150,2.14342305,0.08667367,0.00000000,0.38682904,0.21262174,0.40700857,1.00344016
-3.97698849,2.22187337,0.08949647,0.00000000,0.39840775,0.22652694,0.40690691,1.03452623
-3.97098549,2.29940665,0.09219595,0.00000000,0.40938068,0.24094728,0.40501735,1.06506122
-3.96498249,2.37558953,0.09477386,0.00000000,0.41971151,0.25578365,0.40129877,1.09501849
-3.95897949,2.45006934,0.09723400,0.00000000,0.42937994,0.27093343,0.39576123,1.12441754
-3.95297649,2.52255833,0.09958097,0.00000000,0.43837829,0.28629018,0.38846275,1.15331078
-3.94697349,2.59281477,0.10181896,0.00000000,0.44670776,0.30174339,0.37950435,1.18176815
-3.94097049,2.66062243,0.10395062,0.00000000,0.45437443,0.31717832,0.36902383,1.20986071
-3.93496748,2.72576994,0.10597603,0.00000000,0.46138548,0.33247606,0.35718848,1.23764401
-3.92896448,2.78803157,0.10789190,0.00000000,0.46774562,0.34751390,0.34418733,1.26514245
-3.92296148,2.84715081,0.10969106,0.00000000,0.47345424,0.36216594,0.33022325,1.29233551
-3.91695848,2.90282810,0.11136228,0.00000000,0.47850325,0.37630410,0.31550527,1.31914679
-3.91095548,2.95471349,0.11289041,0.00000000,0.48287586,0.38979954,0.30024154,1.34543656
-3.90495248,3.00240518,0.11425692,0.00000000,0.48654634,0.40252436,0.28463314,1.37099839
-3.89894947,3.04545393,0.11544072,0.00000000,0.48948083,0.41435380,0.26886901,1.39556003
-3.89294647,3.08337356,0.11641936,0.00000000,0.49163913,0.42516865,0.25312209,1.41878882
-3.88694347,3.11565691,0.11717043,0.00000000,0.49297729,0.43485800,0.23754668,1.44030118
-3.88094047,3.14179652,0.11767314,0.00000000,0.49345110,0.44332208,0.22227713,1.45967588
-3.87493747,3.16130909,0.11791006,0.00000000,0.49301993,0.45047526,0.20742760,1.47647051
-3.86893447,3.17376217,0.11786878,0.00000000,0.49165106,0.45624893,0.19309285,1.49024012
-3.86293147,3.17880187,0.11754357,0.00000000,0.48932393,0.46059421,0.17934988,1.50055730
-3.85692846,3.17617974,0.11693685,0.00000000,0.48603436,0.46348435,0.16626014,1.50703255
-3.85092546,3.16577764,0.11606038,0.00000000,0.48179819,0.46491668,0.15387216,1.50933396
-3.84492246,3.14762876,0.11493618,0.00000000,0.47665437,0.46491394,0.14222438,1.50720525
-3.83891946,3.12193381,0.11359701,0.00000000,0.47066717,0.46352497,0.13134798,1.50048112
-3.83291646,3.08907116,0.11208650,0.00000000,0.46392731,0.46082455,0.12126955,1.48909937
-3.82691346,3.04960017,0.11045876,0.00000000,0.45655203,0.45691244,0.11201346,1.47310904
-3.82091046,3.00425732,0.10877760,0.00000000,0.44868390,0.45191156,0.10360390,1.45267416
-3.81490745,2.95394493,0.10711525,0.00000000,0.44048844,0.44596528,0.09606641,1.42807312
-3.80890445,2.89971274,0.10555073,0.00000000,0.43215057,0.43923390,0.08942895,1.39969348
-3.80290145,2.84273293,0.10416778,0.00000000,0.42386994,0.43189045,0.08372255,1.36802257
-3.79689845,2.78426933,0.10305250,0.00000000,0.41585541,0.42411587,0.07898137,1.33363430
-3.79089545,2.72564195,0.10229078,0.00000000,0.40831874,0.41609374,0.07524242,1.29717270
-3.78489245,2.66818823,0.10196552,0.00000000,0.40146776,0.40800479,0.07254489,1.25933291
-3.77888944,2.61322227,0.10215380,0.00000000,0.39549930,0.40002136,0.07092900,1.22084049
-3.77288644,2.56199377,0.10292402,0.00000000,0.39059219,0.39230200,0.07043471,1.18242965
-3.76688344,2.51564812,0.10433325,0.00000000,0.38690051,0.38498652,0.07110002,1.14482145
-3.76088044,2.47518920,0.10642474,0.00000000,0.38454743,0.37819156,0.07295920,1.10870265
-3.75487744,2.44144632,0.10922571,0.00000000,0.38361996,0.37200698,0.07604074,1.07470594
-3.74887444,2.41504656,0.11274568,0.00000000,0.38416474,0.36649320,0.08036527,1.04339223
-3.74287144,2.39639364,0.11697513,0.00000000,0.38618516,0.36167958,0.08594342,1.01523555
-3.73686843,2.38565410,0.12188488,0.00000000,0.38963995,0.35756393,0.09277366,0.99061087
-3.73086543,2.38275137,0.12742605,0.00000000,0.39444330,0.35411327,0.10084028,0.96978534
-3.72486243,2.38736816,0.13353067,0.00000000,0.40046665,0.35126567,0.11011151,0.95291298
-3.71885943,2.39895695,0.14011301,0.00000000,0.40754201,0.34893326,0.12053794,0.94003284
-3.71285643,2.41675847,0.14707161,0.00000000,0.41546690,0.34700620,0.13205123,0.93107081
-3.70685343,2.43982753,0.15429192,0.00000000,0.42401051,0.34535745,0.14456333,0.92584467
-3.70085043,2.46706526,0.16164954,0.00000000,0.43292117,0.34384830,0.15796619,0.92407235
-3.69484742,2.49725684,0.16901402,0.00000000,0.44193467,0.34233417,0.17213211,0.92538297
-3.68884442,2.52911323,0.17625285,0.00000000,0.45078312,0.34067075,0.18691480,0.92933034
-3.68284142,2.56131562,0.18323592,0.00000000,0.45920420,0.33872000,0.20215109,0.93540850
-3.67683842,2.59256081,0.18983981,0.00000000,0.46695023,0.33635587,0.21766339,0.94306884
-3.67083542,2.62160619,0.19595211,0.00000000,0.47379688,0.33346949,0.23326288,0.95173826
-3.66483242,2.64731238,0.20147541,0.00000000,0.47955098,0.32997373,0.24875330,0.96083785
-3.65882941,2.66868218,0.20633076,0.00000000,0.48405737,0.32580668,0.26393527,0.96980157
-3.65282641,2.68489436,0.21046058,0.00000000,0.48720425,0.32093431,0.27861097,0.97809441
-3.64682341,2.69533098,0.21383073,0.00000000,0.48892702,0.31535185,0.29258909,0.98522935
-3.64082041,2.69959727,0.21643170,0.00000000,0.48921030,0.30908409,0.30568972,0.99078282
-3.63481741,2.69753340,0.21827884,0.00000000,0.48808816,0.30218457,0.31774911,0.99440797
-3.62881441,2.68921760,0.21941161,0.00000000,0.48564250,0.29473358,0.32862395,0.99584545
-3.62281141,2.67496061,0.21989183,0.00000000,0.48199963,0.28683527,0.33819507,0.99493132
-3.61680840,2.65529185,0.21980101,0.00000000,0.47732537,0.27861384,0.34637030,0.99160182
-3.61080540,2.63093772,0.21923689,0.00000000,0.47181860,0.27020912,0.35308645,0.98589484
-3.60480240,2.60279310,0.21830934,0.00000000,0.46570389,0.26177158,0.35831015,0.97794807
-3.59879940,2.57188728,0.21713571,0.00000000,0.45922323,0.25345712,0.36203768,0.96799392
-3.59279640,2.53934568,0.21583605,0.00000000,0.45262748,0.24542177,0.36429374,0.95635138
-3.58679340,2.50634908,0.21452817,0.00000000,0.44616774,0.23781651,0.36512911,0.94341517
-3.58079040,2.47409196,0.21332295,0.00000000,0.44008709,0.23078247,0.36461761,0.92964263
-3.57478739,2.44374182,0.21232008,0.00000000,0.43461304,0.22444659,0.36285223,0.91553885
-3.56878439,2.41640099,0.21160437,0.00000000,0.42995106,0.21891797,0.35994091,0.90164060
-3.56278139,2.39307256,0.21124288,0.00000000,0.42627923,0.21428495,0.35600205,0.88849974
-3.55677839,2.37463155,0.21128292,0.00000000,0.42374451,0.21061312,0.35116006,0.87666660
-3.55077539,2.36180263,0.21175105,0.00000000,0.42246045,0.20794409,0.34554123,0.86667415
