energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,3.17528689,0.01028364,0.55062361,0.80065520,0.95439588,0.52211724,0.29960969,1.27684718,0.00000000
-5.99399700,3.14479242,0.00996261,0.53267573,0.78501244,0.92417800,0.53050888,0.29921287,1.28553562,0.00000000
-5.98799400,3.10795295,0.00963374,0.51473459,0.76817322,0.89375725,0.53753140,0.29778977,1.29020624,0.00000000
-5.98199100,3.06471917,0.00929882,0.49685300,0.75014367,0.86321775,0.54305415,0.29534475,1.29070899,0.00000000
-5.97598799,3.01523855,0.00896001,0.47908749,0.73097616,0.83265418,0.54698810,0.29191548,1.28702327,0.00000000
-5.96998499,2.95987417,0.00861987,0.46150270,0.71077469,0.80217916,0.54928993,0.28757426,1.27926417,0.00000000
-5.96398199,2.89921676,0.00828136,0.44417558,0.68969843,0.77193011,0.54996468,0.28242834,1.26768449,0.00000000
-5.95797899,2.83408906,0.00794778,0.42719893,0.66796350,0.74207500,0.54906692,0.27661906,1.25267234,0.00000000
-5.95197599,2.76554257,0.00762275,0.41068435,0.64584270,0.71281705,0.54670054,0.27031995,1.23474462,0.00000000
-5.94597299,2.69484669,0.00731025,0.39476431,0.62366327,0.68439780,0.54301702,0.26373367,1.21453660,0.00000000
-5.93996998,2.62347060,0.00701447,0.37959339,0.60180294,0.65709882,0.53821251,0.25708814,1.19278795,0.00000000
-5.93396698,2.55305867,0.00673987,0.36534860,0.58068416,0.63124171,0.53252365,0.25063164,1.17032585,0.00000000
-5.92796398,2.48540004,0.00649107,0.35222875,0.56076692,0.60718662,0.52622232,0.24462739,1.14804546,0.00000000
-5.92196098,2.42239335,0.00627281,0.34045305,0.54254040,0.58532915,0.51960959,0.23934737,1.12688861,0.00000000
-5.91595798,2.36600748,0.00608989,0.33025878,0.52651352,0.56609588,0.51300878,0.23506590,1.10782096,0.00000000
-5.90995498,2.31823934,0.00594708,0.32189830,0.51320486,0.54993845,0.50675795,0.23205286,1.09180833,0.00000000
-5.90395198,2.28106952,0.00584904,0.31563528,0.50313200,0.53732655,0.50120188,0.23056678,1.07979258,0.00000000
-5.89794897,2.25641667,0.00580022,0.31174040,0.49680067,0.52873969,0.49668362,0.23084806,1.07266759,0.00000000
-5.89194597,2.24609145,0.00580475,0.31048642,0.49469373,0.52465805,0.49353586,0.23311226,1.07125561,0.00000000
-5.88594297,2.25175081,0.00586636,0.31214284,0.49726032,0.52555245,0.49207211,0.23754370,1.07628453,0.00000000
-5.87993997,2.27485332,0.00598820,0.31697006,0.50490524,0.53187370,0.49257788,0.24428952,1.08836635,0.00000000
-5.87393697,2.31661641,0.00617274,0.32521328,0.51797873,0.54404133,0.49530215,0.25345419,1.10797733,0.00000000
-5.86793397,2.37797630,0.00642165,0.33709611,0.53676689,0.56243213,0.50044909,0.26509481,1.13544021,0.00000000
-5.86193097,2.45955162,0.00673567,0.35281402,0.56148279,0.58736841,0.50817045,0.27921711,1.17090900,0.00000000
-5.85592796,2.56161165,0.00711448,0.37252781,0.59225855,0.61910663,0.51855879,0.29577241,1.21435678,0.00000000
-5.84992496,2.68405019,0.00755661,0.39635721,0.62913855,0.65782630,0.53164172,0.31465573,1.26556707,0.00000000
-5.84392196,2.82636642,0.00805935,0.42437473,0.67207393,0.70361985,0.54737759,0.33570502,1.32412926,0.00000000
-5.83791896,2.98765354,0.00861868,0.45660008,0.72091875,0.75648352,0.56565276,0.35870177,1.38943852,0.00000000
-5.83191596,3.16659651,0.00922927,0.49299526,0.77542778,0.81630989,0.58628069,0.38337309,1.46070067,0.00000000
-5.82591296,3.36147956,0.00988449,0.53346064,0.83525645,0.88288228,0.60900313,0.40939524,1.53694227,0.00000000
-5.81990995,3.57020440,0.01057643,0.57783207,0.89996277,0.95587135,0.63349339,0.43639877,1.61702607,0.00000000
-5.81390695,3.79031917,0.01129603,0.62587950,0.96901164,1.03483432,0.65936188,0.46397520,1.69967175,0.00000000
-5.80790395,4.01905845,0.01203320,0.67730695,1.04178138,1.11921692,0.68616382,0.49168504,1.78348176,0.00000000
-5.80190095,4.25339356,0.01277703,0.73175418,1.11757264,1.20835828,0.71340899,0.51906726,1.86697179,0.00000000
-5.79589795,4.49009246,0.01351600,0.78880007,1.19561940,1.30149871,0.74057327,0.54564978,1.94860503,0.00000000
-5.78989495,4.72578772,0.01423822,0.84796763,1.27510200,1.39779042,0.76711167,0.57096074,2.02682946,0.00000000
-5.78389195,4.95705077,0.01493176,0.90873072,1.35516186,1.49631084,0.79247247,0.59454033,2.10011693,0.00000000
-5.77788894,5.18047018,0.01558497,0.97052221,1.43491741,1.59607830,0.81611188,0.61595269,2.16700280,0.00000000
-5.77188594,5.39273147,0.01618672,1.03274347,1.51348101,1.69606967,0.83750891,0.63479744,2.22612477,0.00000000
-5.76588294,5.59069579,0.01672682,1.09477485,1.58997611,1.79523936,0.85617966,0.65072059,2.27625953,0.00000000
-5.75987994,5.77147472,0.01719624,1.15598695,1.66355441,1.89253911,0.87169073,0.66342423,2.31635586,0.00000000
-5.75387694,5.93249845,0.01758744,1.21575227,1.73341215,1.98693811,0.88367114,0.67267474,2.34556297,0.00000000
-5.74787394,6.07157516,0.01789457,1.27345684,1.79880546,2.07744254,0.89182241,0.67830915,2.36325303,0.00000000
-5.74187094,6.18693922,0.01811366,1.32851162,1.85906392,2.16311417,0.89592637,0.68023942,2.36903708,0.00000000
-5.73586793,6.27728690,0.01824276,1.38036316,1.91360223,2.24308733,0.89585060,0.67845446,2.36277379,0.00000000
-5.72986493,6.34179832,0.01828202,1.42850331,1.96192950,2.31658375,0.89155118,0.67301981,2.34457075,0.00000000
-5.72386193,6.38014521,0.01823366,1.47247772,2.00365613,2.38292493,0.88307300,0.66407502,2.31477860,0.00000000
-5.71785893,6.39248464,0.01810189,1.51189279,2.03849797,2.44154168,0.87054744,0.65182887,2.27397810,0.00000000
-5.71185593,6.37943929,0.01789281,1.54642110,2.06627789,2.49198075,0.85418776,0.63655259,2.22296098,0.00000000
-5.70585293,6.34206546,0.01761420,1.57580505,2.08692485,2.53390830,0.83428253,0.61857140,2.16270548,0.00000000
-5.69984992,6.28181057,0.01727524,1.59985880,2.10047044,2.56711053,0.81118728,0.59825479,2.09434743,0.00000000
